設定	تنظیمات
初回訪問時のお知らせの設定	د لومړي ځل لیدنو لپاره د خبرتیاوو تنظیمول
メッセージの設定	پیغام ترتیبات
右クリックやソースコード表示時に転送する URL を設定します	هغه URL وټاکئ چې د ښي کلیک کولو یا د سرچینې کوډ لیدلو پر مهال پرانیستل کیږي
警告メッセージにはHTMLは使用できません	HTML په خبرداری پیغامونو کې نشي کارول کېدای.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	که تاسو دا په همدې سکرین کې تنظیم کړئ، نو د پرمختللي ټب
以下の文字列が使用できます	لاندې سټرینګونه کارول کېدای شي
改行	کرښې ماتې
押下されたキー	کیلي فشار شوه
Neo HTML Protector 設定	د نوي HTML محافظت کوونکي ترتیبات
お知らせ	خبرتیا
メッセージ	پیغام
デザイン・音	ډیزاین او غږ
初期化	پیلول
このプラグインについて	د دې پلګ ان په اړه
設定が初期化されました	تنظیمات ری سیټ شول
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	پلګ ان پیل کړئ. مهرباني وکړئ په یاد ولرئ چې د IP Log Reader ډیټا په دې مرحله کې به نه ړنګیږي.
Neo HTML Protectorについて	د نیو ایچ ټي ایم ایل محافظ په اړه
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	دا پلګ ان ستاسو د ورډپریس سایټ لخوا تولید شوي HTML، انځورونو او نورو منځپانګو د ساتنې لپاره ډیزاین شوی، ترڅو یې له غیر مجازې کارونې څخه خوندي وساتي.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	د محتوا بشپړ ساتنه ناممکنه ده. خو، هر چېرته چې امکان ولري د خبرداري په ورکولو او د هر ډول پېښې لپاره د چمتووالي په کولو سره، موږ باید وکولای شو چې دا مسله د حکومت له خوا ټاکل شویو کړنلارو سره سم حل کړو.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	البته، تاسو باید ډاډ ترلاسه کړئ چې ستاسو شرایط او مقررات او د سایټ پالیسي جامع دي. که څه هم دا پلګ ان د شرایطو او مقرراتو جوړولو لپاره وسیله نه ده، خو دا کولی شي یو څه لارښوونه وکړي.
開発者: 夜桜　なの	جوړوونکی: نانو یوزاکورا
バージョン	نسخه
ビルド	جوړول
サポートページ	د ملاتړ پاڼه
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	د اغلې اُرا منیرا لخوا اجرا شوی
支援のお願い	د ملاتړ غوښتنه
Neo HTML Protectorをご利用いただき、ありがとうございます！	د نیو ایچ ټي ایم ایل پروټیکټر کارولو څخه مننه!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	د دې پلګ ان په جوړولو او ساتنه کې ډېر وخت او هڅې لګېدلې دي، او د دې د لا ښه کولو او نوي کولو د کار د دوام لپاره د مالي مرستو راټولولو په موخه، موږ به منندوی یو که هر څوک چې د ملاتړ توان لري، د مرستې کولو په اړه غور وکړي.
寄付について	د بسپنو په اړه
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	مرستې په بشپړه توګه داوطلبانه دي او لازمي نه دي. دا پلګ ان د هرچا لپاره وړیا دی. خو، ستاسو د ملاتړ ډېره ستاینه کیږي ترڅو موږ سره د پراختیا په دوام کې مرسته وکړي، او موږ به ډېر خوښ شو که تاسو هر څومره چې کولی شئ مرسته وکړئ.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	تاسو کولی شئ د لاندې لینک له لارې مرسته وکړئ. که تاسو په جاپان کې اوسیږئ، تاسو وړیا مرسته کولی شئ، او همدارنګه کولی شئ په اسانۍ سره د امازون د ډالۍ واؤچرونو په کارولو سره مرسته وکړئ.
寄付先	خیریه
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	ستاسو په ملاتړ، موږ به خپله پوره هڅه وکړو چې تاسو ته په دوامداره توګه په زړه پورې تازه معلومات وړاندې کړو!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	ستاسو له ملاتړ څخه مننه کوو او په راتلونکي کې ستاسو د دوامداره ملاتړ په تمه یو.
ライセンス	جواز
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	دا پلګ ان د خلاصې سرچینې سافټویر په توګه جوړ شوی او د GPLv2.0 یا وروستي نسخې تر جواز لاندې دی.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	په دې پلګ ان کې شاملې ځینې ټیکنالوژۍ د پیټنټونو له مخې خوندي دي.
特許技術の使用は、このプラグイン内での使用に限って認められます。	د پیټینټ شوي ټیکنالوژۍ کارول یوازې په دې پلګ-ان کې اجازه لري.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	د هر ډول بلې کارونې لپاره، مهرباني وکړئ د سوداګریز جواز ترلاسه کولو لپاره له لیکوال سره اړیکه ونیسئ.
本プラグインには以下のライブラリを同梱しています	په دې پلګ ان کې لاندې کتابتونونه شامل دي
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	په دې پلګ ان کې لاندې جوړ شوي ASCII هنري فونټونه، د فونټ فایلونو سره یوځای شامل دي.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	په دې پلګ ان کې د سوپر فېمېکام له غیر رسمي لوبې 'SM Trainer Hitomi 3' څخه موسیقي شامله ده، چې د EJ Co., Ltd. لخوا جوړه شوې او د دې پلګ ان جوړوونکي لخوا کمپوز شوې ده، او په رسمي توګه جواز لري.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	په دې پلګ ان کې د 'کیپي یاماها سي ۷' په کارولو سره جوړ شوي ټریکونه شامل دي، چې د کیپي
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	ما د دې پلګ ان په جوړولو کې راسبیري پای ۵، چیټ جی پي ټي او ډیپ ایل هم کارولي دي.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	یو کیشینګ پلګ ان موندل شوی دی. که یو کیشینګ پلګ ان فعال وي، دا پلګ ان به سم کار ونه کړي.
無効なIPアドレス	غلط آی پي پته
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	د دې وېبپاڼې د کارولو لپاره، تاسو باید کوکیز او جاواسکریپټ فعال کړئ.
利用規約	د کارونې شرایط
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	د غیر مجازې کارونې د مخنیوي او زموږ د خدماتو د خوندي عملیاتو د ډاډمنولو لپاره، دا ویب پاڼه ممکن معلومات لکه د IP پتو، د براوزینګ تاریخ او د فعالیت ریکارډونه په کوکیز او ډیټابیسونو کې ذخیره کړي. دا معلومات یوازې د ویب پاڼې د عملیاتو او د قانوني موخو لپاره کارول کیږي، او دریمګړو ته به نه ورکول کیږي.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	د دې خدمت د کارولو لپاره، تاسو باید دې پروسس کولو فعالیتونو ته رضایت ورکړئ.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	تاسو کولی شئ د محرمیت تګلارې منځپانګه وګورئ، که تاسو خپله رضایت ورکړې وي او که نه وي.
同意する	زه موافق یم
同意しない	زه موافق نه یم
確認	تصدیق
プライバシーポリシー	د محرمیت تګلاره
通常とは異なる方法でのアクセスや操作が検出されました	غیر معمولي لاسرسی یا فعالیت کشف شوی دی
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	د امنیت او منځپانګې د ساتنې په موخه ځینې ځانګړتیاوې محدودې شوي دي.
デバッグモード、コンソールの起動は禁止されています	د بګ موډ او کنسول ته لاسرسی غیر فعال دي
以下の情報がサーバーに送信されました	لاندې معلومات سرور ته استول شوي دي
あなたのIPアドレス	ستاسو د آی پي پته
あなたの端末とブラウザ	ستاسو وسیله او براوزر
あなたの押下したキー	هغه تڼۍ چې تا ووهله
リダイレクトをします	تاسو به بلې پاڼې ته واستول شئ
コンテンツ保護のため一部の機能を制限しています	د محتوا د ساتنې لپاره ځینې ځانګړتیاوې محدودې شوې دي.
右クリックは禁止されています	ښي کلیک کول اجازه نلري
あなたが押下したキー	هغه تڼۍ چې تا ووهله
印刷、PDFへの保存は禁止されています	چاپ کول او د پي ډي ایف په توګه خوندي کول منع دي.
スクリーンショットは禁止されています	د سکرین عکسونه منع دي
スクリーンショット、デバッグモード等の起動は禁止されています	د سکرین شاټونو اخیستل او د ډیبیګ حالت فعالول منع دي.
ページの保存は禁止されています	د دې پاڼې خوندي کول منع دي
コピー、カットは禁止されています	کاپي کول او پرې کول منع دي.
あなたが起こしたイベント	هغه غونډې چې تاسو تنظیم کړې دي
テキストの選択は禁止されています	د متن غوره کول اجازه نلري
HTMLソース表示は禁止されています	د HTML سرچینې کوډ ښودل منع دي
不正アクセスは禁止されています	غیر مجاز لاسرسی منع ده
アフリカーンス語	افریقایی
アラゴン語	ارغونیسي
アラビア語	عربي
アッサム語	آسامي
アゼルバイジャン語	آذربایجاني
バシュキール語	بشکیرد
ベラルーシ語	بېلاروسي
ベンガル語	بنگالي
ブルガリア語	بلغاري
ボスニア語	بوسنیایی
カタロニア語	کاتالان
チェコ語	چکي
ウェールズ語	ویلش
デンマーク語	ډنمارکي
ドイツ語	الماني
現代ギリシア語	عصري يوناني
英語	انګلیسي
イギリス英語	برتانوي انګلیسي
アメリカ英語	امریکایي انګلیسي
エスペラント語	اسپرانټو
スペイン語	هسپانوي
エストニア語	استونیایی
バスク語	باسکي
ペルシャ語	فارسي
フィンランド語	فنلینډي
フランス語	فرانسوي
アイルランド語	ایرلنډي
ガリシア語	ګالیسیایی
グァラニ語	ګواراني
グジャラート語	ګجراتی
ハウサ語	هاوسا
ヘブライ語	عبراني
ヒンディ語	هندي
クロアチア語	کروشیايي
ハイチ・クレオール語	هیتی کريول
ハンガリー語	مجار
インドネシア語	اندونیزیایی
イボ語	ایبو ژبه
アイスランド語	آیس لینډي
イタリア語	ایټالوی
日本語	جاپانۍ
ジャワ語	جاوانيز
カザフ語	قزاقي
朝鮮語	کوریایي
クルド語	کردي
キルギス語	قيرغیز
ラテン語	لاتیني
ルクセンブルク語	لوګزیمبورګیزه
リンガラ語	سپین
リトアニア語	لیتواني
ラトビア語	لتویي
マダガスカル語	ماداګاسکري
マオリ語	ماوري
マケドニア語	مقدونی
マラヤーラム語	مالایالام
モンゴル語	منګولی
マラーティー語	مراټي
マレー語	ملايي
マルタ語	مالټي
ビルマ語	برمی
ネパール語	نیپالي
ノルウェー語	نارویژ
オランダ語	هالنډي
オック語	اُکتان
オロモ語	یا
パンジャーブ語	پنجابی
ポーランド語	پالش
パシュトー語	پښتۍ
ポルトガリア語	پرتګالي
ブラジルポルトガル語	برازیلۍ پرتګالي
ヨーロピアンポルトガル語	اروپايي پرتګالي
ケチュア語	کیچوا
ルーマニア語	رومانیايي
ロシア語	روسي
サンスクリット語	سنسکریت
スロバキア語	سلوواکي
スロベニア語	سلووینیايي
セルビア語	سربي
南セソト語	جنوبي سسوتو
スンダ語	سوندانیز
スウェーデン語	سوېډني
スワヒリ語	سواحلي
タミル語	تامیلی
テルグ語	تېلګو
タジク語	تاجیک
タイ語	تایلنډي
トルクメン語	ترکمن
タガログ語	تګالاګ
トルコ語	ترکی
タタール語	تاتار
ウクライナ語	اوکرایني
ウルドゥー語	اردو
ウズベク語	ازبک
ベトナム語	ویتنامي
コサ語	کوسا
イディッシュ語	ییدیش
簡体中国語	ساده چینایي
繁体中国語	دودیز چینایي
ズールー語	زولو
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	هغه براوزر چې تاسو یې اوسمهال کاروئ، یوه زړه نسخه ده چې نور ملاتړ نه کیږي. د یوې خوندي او ډېرې هوسا براوزینګ تجربې لپاره، مهرباني وکړئ خپل براوزر وروستۍ نسخې ته نوی کړئ.
不正なリクエストです	غلطه غوښتنه
画像が見つかりません	انځور وموندل نشو
