設定	Izilungiselelo
初期設定に戻す	Buyisela izilungiselelo ezizenzakalelayo
デザイン・音の設定	Ukuklama nezilungiselelo zomsindo
イベントの設定	Izilungiselelo zomcimbi
初回訪問時のお知らせの設定	Ukusetha izaziso zokuvakasha okokuqala
メッセージの設定	Izilungiselelo zemilayezo
右クリックやソースコード表示時に転送する URL を設定します	Seta i-URL ezovulwa lapho uchofoza kwesokudla noma ubuka ikhodi yomthombo
警告メッセージにはHTMLは使用できません	I-HTML ayinakusetshenziswa emilayezweni yokuxwayisa.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Uma ulungisa lokhu kulesi sikrini, izilungiselelo zolimi kuthebhu ethi Advanced ngeke zicatshangelwe.
以下の文字列が使用できます	Lezi zintambo ezilandelayo zingasetshenziswa
改行	Ukuqhekeka komugqa
押下されたキー	Isihluthulelo sicindezelwe
Neo HTML Protector 設定	Izilungiselelo Zokuvikela i-Neo HTML
お知らせ	Isaziso
メッセージ	Umyalezo
デザイン・音	Ukuklama nomsindo
初期化	Ukuqaliswa
このプラグインについて	Mayelana nale plugin
設定が初期化されました	Izilungiselelo sezibuyiselwe esimweni sazo sokuqala.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Qalisa i-plugin. Sicela uqaphele ukuthi idatha ye-IP Log Reader ngeke isuswe kulesi sigaba.
Neo HTML Protectorについて	Mayelana ne-Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Leli plugin lenzelwe ukuvikela i-HTML, izithombe nezinye iziqukathi ezikhiqizwa yiwebhusayithi yakho ye-WordPress, likuvikela ekusetshenzisweni okungagunyaziwe.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Akungeneki ukuvikela okuqukethwe ngokuphelele. Nokho, ngokwazisa lapho kungenzeka khona konke nokulungiselela uma kwenzeka noma yini, sizokwazi ukuxazulula udaba ngokuhambisana nezinqubo ezibekwe nguhulumeni.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Impela, kuzodingeka uqinisekise ukuthi imigomo nemibandela yakho kanye nenqubomgomo yesayithi yakho igcwele. Nakuba le plugin ingeyona ithuluzi lokudala imigomo nemibandela, ingakunikeza iziqondiso ezithile.
開発者: 夜桜　なの	Umthuthukisi: Nano Yozakura
バージョン	Inguqulo
ビルド	Yakha
サポートページ	Ikhasi lokweseka
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Yenziwe nguNkosazana Ura Manira
支援のお願い	Isicelo sokwesekwa
Neo HTML Protectorをご利用いただき、ありがとうございます！	Siyabonga ngokusebenzisa i-Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Ukuthuthukiswa nokugcinwa kwale plugin kudinge isikhathi esiningi nomzamo omkhulu, futhi ukuze siqoqe imali yokuqhubeka nokuyithuthukisa nokuyivuselela, sizobonga kakhulu uma noma ubani ongakwazi ukusisekela ecabangela ukwenza umnikelo.
寄付について	Mayelana nezipho
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Ukunikela kungenziwa ngokuzithandela ngokuphelele futhi akuphoqelekile. Le plugin itholakala kubo bonke mahhala. Nokho, ukweseka kwenu kuyaziswa kakhulu ukuze siqhubeke nokuthuthukisa, futhi sizojabula kakhulu uma ningakwazi ukunikela noma ngabe kancane.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Unganikela usebenzisa isixhumanisi esingezansi. Uma useJapane, ungakwazi ukunikela mahhala, futhi ungakwazi futhi ukunikela kalula usebenzisa amakhuphoni ezipho ze-Amazon.
寄付先	Izinhlangano ezisiza abanye
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Ngokweseka kwenu, sizokwenza konke okusemandleni ethu ukuqhubeka sikuletha izibuyekezo ezimangalisayo!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Siyabonga ngokweseka kwenu futhi sibheke ngabomvu ukuqhubeka kwenu nokusekela esikhathini esizayo.
ライセンス	Ilayisensi
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Leli plugin luthuthukiswe njengohlelo lwemithombo evulekile futhi linelayisensi ngaphansi kwe-GPLv2.0 noma engaphezulu.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Ezinye zobuchwepheshe ezifakiwe kule plugin zivikelwe ngamapatenti.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Ukusetshenziswa kobuchwepheshe obunelungelo lobunikazi kuvunyelwe kuphela kule plug-in.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Noma yiluphi olunye usebenziso, sicela uxhumane nombhali ukuze uthole ilayisensi yokuhweba.
本プラグインには以下のライブラリを同梱しています	Leli plugin liqukethe amalabhulali alandelayo
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Leli plugin liqukethe amafonti e-ASCII art akhiqizwe ngezansi, kanye namafayela wamafonti.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Leli plugin liqukethe umculo womdlalo we-Super Famicom ongavumelekile 'SM Trainer Hitomi 3', owenziwe yi-EJ Co., Ltd. futhi owakhiwe ngumdali waleli plugin, futhi linelayisensi esemthethweni.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Leli plugin liqukethe izingoma ezenziwe kusetshenziswa 'Keppy's YAMAHA C7', ethuthukiswe nguKeppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Ngiphinde ngasebenzisa i-Raspberry Pi 5, i-ChatGPT kanye ne-DeepL ekuthuthukisweni kwale plugin.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Kutholakale i-plugin yokugcina idatha yesikhashana. Le plugin ngeke isebenze kahle uma i-plugin yokugcina idatha yesikhashana ivuliwe.
無効なIPアドレス	Ikheli le-IP elingalungile
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Ukuze usebenzise le webhusayithi, kumele uvumele ama-cookie ne-JavaScript.
利用規約	Imigomo yokusetshenziswa
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Ukuvimbela ukusetshenziswa okungagunyaziwe nokuqinisekisa ukusebenza okuphephile kwezinsizakalo zethu, le webhusayithi ingagcina imininingwane efana namakheli e-IP, umlando wokubuka kanye namarekhodi emisebenzi kuma-cookie nakuma-database. Le mininingwane isetshenziselwa kuphela ukusebenza kwewebhusayithi nezinhloso zomthetho, futhi ngeke ivezwe kwabanye abantu besithathu.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Ukuze usebenzise le nkonzo, kufanele uvume le misebenzi yokucubungula.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Ungabuka okuqukethwe Kwenqubomgomo Yobumfihlo kungakhathaliseki ukuthi unikeze imvume yakho.
同意する	Ngiyavuma
同意しない	Angivumelani
確認	Ukuqinisekiswa
プライバシーポリシー	Inqubomgomo Yobumfihlo
通常とは異なる方法でのアクセスや操作が検出されました	Ukufinyelela okungajwayelekile noma umsebenzi okungajwayelekile kutholakale
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Ezinye izici zivinjwe ngenhloso yokuphepha nokuvikelwa kokuqukethwe.
デバッグモード、コンソールの起動は禁止されています	Imodi yokuxilonga nokufinyelela kukhonsoli kuvaliwe
以下の情報がサーバーに送信されました	Ulwazi olulandelayo seluthunyelwe kuseva.
あなたのIPアドレス	Ikheli lakho le-IP
あなたの端末とブラウザ	Idivayisi yakho nesiphequluli sakho
あなたの押下したキー	Isihluthulelo osicindezile
リダイレクトをします	Uzodluliselwa kwenye ikhasi.
コンテンツ保護のため一部の機能を制限しています	Ezinye izici zivinjwe ukuze kuvikelwe okuqukethwe
右クリックは禁止されています	Uku-clika kwesokudla akuvunyelwe
あなたが押下したキー	Isihluthulelo osicindezile
印刷、PDFへの保存は禁止されています	Ukuphrinta nokulondoloza njenge-PDF akuvunyelwe.
スクリーンショットは禁止されています	Ukuthatha izithombe zesikrini akuvunyelwe.
スクリーンショット、デバッグモード等の起動は禁止されています	Ukuthatha izithombe-skrini nokuvumela imodi yokuxilonga akuvunyelwe.
ページの保存は禁止されています	Awuvunyelwe ukulondoloza leli khasi
コピー、カットは禁止されています	Ukukopisha nokusika akuvunyelwe.
あなたが起こしたイベント	Imicimbi oyihlele
テキストの選択は禁止されています	Akukavunyelwa ukukhetha umbhalo.
HTMLソース表示は禁止されています	Ukubonisa ikhodi yomthombo ye-HTML akuvunyelwe.
不正アクセスは禁止されています	Ukufinyelela okungagunyaziwe kuvinjelwe
アフリカーンス語	Isifunda sase-Afrika
アラゴン語	Isi-Aragonese
アラビア語	Isilatini
アッサム語	Asamese
アゼルバイジャン語	Isi-Azerbaijani
バシュキール語	Bashkir
ベラルーシ語	IsiBelarusi
ベンガル語	IsiBengali
ブルガリア語	IsiBhulgariya
ボスニア語	UmBoshiya
カタロニア語	Isilimi saseCatalan
チェコ語	Czech
デンマーク語	WaseDenmark
ドイツ語	Jalimane
現代ギリシア語	Igiriki yanamuhla
英語	Isimanje
イギリス英語	YaseBrithani
アメリカ英語	Isingisi saseMelika
エスペラント語	Isifiso
スペイン語	Isipanyolo
エストニア語	Wase-Estonia
バスク語	IsiBasque
ペルシャ語	IsiPersi
フィンランド語	Finiyisi
フランス語	Fulentshi
アイルランド語	Wama-Irish
ガリシア語	YiseGaliyishiya
グァラニ語	Guaraní
グジャラート語	IsiGujarati
ハウサ語	Hausa
ヘブライ語	Hebheru
ヒンディ語	IsiHindi
クロアチア語	IsiCroatian
ハイチ・クレオール語	Isikreoli saseHaiti
ハンガリー語	NgesiHungary
インドネシア語	Yase-Indonesia
イボ語	Ulimi lwama-Ibo
アイスランド語	Isi-Icelandic
イタリア語	Wase-Italy
日本語	Yapani
ジャワ語	Isijavane
カザフ語	Kazakh
朝鮮語	Koreya
クルド語	Kurdhi
キルギス語	Kyrgyz
ラテン語	Latin
ルクセンブルク語	Lusemburga
リンガラ語	Loba
リトアニア語	Lelithiwaniya
ラトビア語	Elathoviya
マダガスカル語	Malagasy
マオリ語	Abantu bomdabu baseNew Zealand
マケドニア語	IsiMasedoniya
マラヤーラム語	Malayalam
モンゴル語	IsiMongoliya
マラーティー語	Marathi
マレー語	Isilimi saseMalay
マルタ語	Malta
ビルマ語	IsiBurmese
ネパール語	IsiNepali
ノルウェー語	WaseNorway
オランダ語	Netherlandese
オック語	Okwase-Okitani
オロモ語	Noma
パンジャーブ語	IsiPunjabi
ポーランド語	Ipulishi
パシュトー語	Pashto
ポルトガリア語	Iphuthukezi
ブラジルポルトガル語	Iphuthukezi yaseBrazil
ヨーロピアンポルトガル語	Iphuthukezi yaseYurophu
ケチュア語	Kichwa
ルーマニア語	WaseRomania
ロシア語	YaseRussia
サンスクリット語	Isanskrithi
スロバキア語	Esloveniya
スロベニア語	Isilovheniya
セルビア語	Serbhiya
南セソト語	Sesotho seNingizimu
スンダ語	Isindanesiya
スウェーデン語	Iswidi
スワヒリ語	Iswahili
タミル語	Tamil
テルグ語	IsiTelugu
タジク語	Tajiki
タイ語	Ithayilandi
トルクメン語	UmTurk
タガログ語	Isithiyelo
トルコ語	WaseTurkey
タタール語	Tatar
ウクライナ語	Wase-Ukraine
簡体中国語	Isishayamashaya sesiShayina
繁体中国語	Isishayamakhala saseShayina sendabuko
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Isiphequluli osisebenzisayo njengamanje inguqulo endala engasekelwa. Ukuze ube nesipiliyoni sokuphequlula esiphephile futhi esikhululekile, sicela uvuselele inguqulo yakho yakamuva yesiphequluli.
不正なリクエストです	Isicelo esingalungile
画像が見つかりません	Isithombe asitholakali
ウェールズ語	Welsh
ウルドゥー語	Isi-Urdu
ウズベク語	Ochwazi
ベトナム語	WaseVietnam
コサ語	Sula
イディッシュ語	Yidi
ズールー語	Isizulu
