設定	Qindaa'inoota
Neo HTML Protector 設定	Qindaa'ina Eegdota Neo HTML
お知らせ	Hubachiisa
メッセージ	Ergaa
デザイン・音	Dizaayinii fi Sagalee
初期化	Jalqabsiisuu
このプラグインについて	Waa'ee pilaag-inii kanaa
設定が初期化されました	Qindaa'inoonni deebi'anii qindaa'aniiru.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Pilaag-inii jalqabsiisi. Hubadhaa, sadarkaa kanatti daataan IP Log Reader hin haqamu.
Neo HTML Protectorについて	Waa'ee Neo HTML Eegdotaa
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Pilaag-iniin kun kan qophaa'e, qabiyyee HTML, suuraawwanii fi qabiyyee biroo kan marsariitii WordPress keessan irraa uumamu eeguuf, akkasumas fayyadama hayyama hin qabne irraa ittisuufidha.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Qabiyyee guutummaatti eeguun hin danda'amu. Haa ta'u malee, bakka danda'ametti akeekkachiisa kennuun fi yoo wanti tokko uumameef qophii gochuun, adeemsa mootummaan kaa'een waan kana furuu dandeenya.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Dhugumatti, ulaagaaleen tajaajilaa fi imaammanni marsariitii keessanii guutuu ta'uu isaanii mirkaneessuun isinirra jira. Plug-in'n kun meeshaa ulaagaalee tajaajilaa ittiin uuman ta'uu baatus, qajeelfama muraasa isiniif kennuu danda'a.
開発者: 夜桜　なの	Misoomsituu: Nano Yozakura
バージョン	Garaa
ビルド	Ijaari
サポートページ	Fuula deeggarsaa
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Kan dhiyeessite Mise Uraa Maniraa
支援のお願い	Gaaffii deeggarsaa
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector fayyadamaa waan turaniif galatoomaa!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Plug-in kana guddifachuu fi kunuunsuun yeroo fi tattaaffii guddaa gaafateera, akkasumas isa fooyyessuu fi haaromsuu itti fufuuf maallaqa walitti qabuuf, eenyuyyuu nu deeggaruu kan danda'u gumaacha akka taasisuu yaaduu isaatiif ni galateeffanna.
寄付について	Waa'ee Gumaacha
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Gumaachi guutummaatti fedhiidhaan kan raawwatamu yoo ta'u, dirqama miti. Pilag-iniin kun nama hundaaf bilisaan ni argama. Haa ta'u malee, guddina keenya itti fufsiisuuf deeggarsi keessan guddaa nu gargaara, kanaafuu yoo hamma xiqqoo gumaachan baay'ee gammanna.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Geessituu armaan gadii fayyadamuun gumaacha gochuu dandeessu. Yoo Jaappaan keessa jiraattan, kaffaltii malee gumaachuu dandeessu, akkasumas vaawucharii kennaa Amaazoon fayyadamuun salphaatti gumaachuu dandeessu.
寄付先	Tajaajila tola ooltummaa
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Deeggarsa keessaniin, odeeffannoo haaraa dinqisiisoo isiniif dhiyeessuu itti fufuuf waan nuuf danda'ame hunda ni goona!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Deeggarsa keessaniif isin galateeffanna, gara fuulduraattis deeggarsa keessan itti fufiinsa qabu ni eegganna.
ライセンス	Hayyama
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Pilaag-iniin kun akka sooftiweerii madda banaatti kan qophaa'e yoo ta'u, eeyyama GPLv2.0 yookiin isa itti aanu jalatti kennameera.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Teeknooloojiiwwan pilag-inii kana keessatti hammataman keessaa muraasni paatentiidhaan eegamaniiru.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Fayyadamni teeknooloojii paatentii qabuu kanaa plug-in kana keessatti qofa hayyamama.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Faayidaa biraa kamiyyuuf, maaloo hayyama daldalaa argachuuf barreessaa qunnamaa.
本プラグインには以下のライブラリを同梱しています	Pilaag-iniin kun laayibrariwwan armaan gadii of keessatti qabata.
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Pilaag-iniin kun faayiloota qubee wajjin, foontoota aartii ASCII armaan gaditti uumaman of keessatti qabata.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Pilaag-iniin kun muuziqaa tapha Super Famicom kan seeraan alaa ta'e 'SM Trainer Hitomi 3', kan EJ Co., Ltd. tiin qophaa'ee fi uumaa pilaag-inii kanaatiin qindaa'e of keessaa qaba, akkasumas hayyama seeraa qaba.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Pilaag-iniin kun sagaleewwan 'Keppy's YAMAHA C7' fayyadamuun kan uumaman, kan Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Akkasumas piilaag-inii kana guddifachuu keessatti Raspberry Pi 5, ChatGPT fi DeepL fayyadameera.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Pilaaginiin kaashii argameera. Yoo pilaaginiin kaashii hojjechiifame, pilaaginiin kun sirriitti hin hojjetu.
無効なIPアドレス	Teessoo IP sirrii miti
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Marsariitii kana fayyadamuuf, kuukiiwwanii fi JaavaAskiriptii eeyyamuu qabda.
利用規約	Ulaagaalee Itti Fayyadama
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Fayyadama hayyama hin qabne ittisuuf fi hojii tajaajila keenyaa nageenya qabu mirkaneessuuf, marsariitiin kun odeeffannoo kan akka teessoo IP, seenaa daawwannaa fi galmee gochaalee 'cookies' fi kuusaa ragaa keessatti kuusuu danda'a. Odeeffannoon kun hojii marsariitichaa fi kaayyoo seeraatiif qofa kan itti fayyadaman yoo ta'u, qaama sadaffaaf hin saaxilamu.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Tajaajila kana fayyadamuuf, gochoota raawwii kanaaf hayyamuun dirqama.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Hayyama kee kennitee yookiin dhiistees, qabiyyee Imaammata Icciitii keenyaa ilaaluu dandeessa.
同意する	Nan walii gala
同意しない	Walii hin galu
確認	Mirkanneessa
プライバシーポリシー	Imaammata Icciitii
通常とは異なる方法でのアクセスや操作が検出されました	Seensi yookiin sochiin barameen alaa argameera.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Amaloonni tokko tokko sababa nageenyaafi eegumsa qabiyyeef daangeffamaniiru.
デバッグモード、コンソールの起動は禁止されています	Haalli sirreessaa fi argamni konsoolii cufamaniiru.
以下の情報がサーバーに送信されました	Odeeffannoon armaan gadii gara sarvariitti ergameera.
あなたのIPアドレス	Teessoo IP kee
あなたの端末とブラウザ	Meeshaa kee fi biraawzarii kee
あなたの押下したキー	Furtuu ati cuqaaste
リダイレクトをします	Gara fuula biraatti ni jijjiiramtan
コンテンツ保護のため一部の機能を制限しています	Qabiyyeen eegamuuf amalootni tokko tokko daangeffamaniiru.
右クリックは禁止されています	Miraa mirgaatiin cuqaasuun hin hayyamamu
あなたが押下したキー	Furtuu ati cuqaaste
印刷、PDFへの保存は禁止されています	Maxxansuun fi akka PDF tti olkaa'uun dhorkaadha.
スクリーンショットは禁止されています	Suuraan iskiriinii kaasuun dhorkaadha.
スクリーンショット、デバッグモード等の起動は禁止されています	Suuraa iskiriinii kaasuufi moodii diibagii eeyyamsiisuun dhorkaadha.
ページの保存は禁止されています	Fuula kana olkaa'uun dhorkaadha
コピー、カットは禁止されています	Koppii gochuunii fi kukkutuu dhorkaadha.
あなたが起こしたイベント	Sagantaawwan isin qopheessitan
テキストの選択は禁止されています	Barruu filachuun hin hayyamamu.
HTMLソース表示は禁止されています	Koodii madda HTML agarsiisuun dhorkaadha.
不正アクセスは禁止されています	Seensi hayyama hin qabne ni dhorkama.
アフリカーンス語	Afaan Afrikaans
アラゴン語	Afaan Aragoon
アラビア語	Afaan Arabaa
アッサム語	Afaan Asaamsii
アゼルバイジャン語	Azerbaayijaan
バシュキール語	Bashkir
ベラルーシ語	Afaan Belaaruus
ベンガル語	Baangaa'ii
ブルガリア語	Bulgaariyaa
ボスニア語	Boosniyaan
カタロニア語	Kaataalaan
チェコ語	Tsheekii
ウェールズ語	Weelsii
デンマーク語	Daaniish
ドイツ語	Jarmanii
現代ギリシア語	Giriikii Ammayyaa
英語	Afaan Ingiliffaa
イギリス英語	Biriitishii Ingiliffaa
アメリカ英語	Afaan Ingiliffaa Ameerikaa
エスペラント語	Afaan abdii
スペイン語	Ispaanish
エストニア語	Estooniyaa
バスク語	Baaskii
ペルシャ語	Faarsii
フィンランド語	Finooshaan
フランス語	Faraansaay
アイルランド語	Aayirish
ガリシア語	Gaaliishiyaa
グァラニ語	Guaraani
グジャラート語	Gujaarati
ハウサ語	Sooriyaa
ヘブライ語	Ibroota
ヒンディ語	Afaan Hindii
クロアチア語	Kirooshiyaa
ハイチ・クレオール語	Kireeyoolii Heeyitii
ハンガリー語	Afaan Haangeerii
インドネシア語	Indoneezhiyaa
イボ語	Afaan Iboo
アイスランド語	Aayisilaandi
イタリア語	Xaaliyaanii
日本語	Jaappaan
ジャワ語	Jaavaaniis
カザフ語	Kaazaak
朝鮮語	Kooriyaa
クルド語	Kurdish
キルギス語	Kiriigiz
ラテン語	Afaan Laatiin
ルクセンブルク語	Laakshambargiis
リンガラ語	Afaan Lingala
リトアニア語	Afaan Liitweeniyaa
ラトビア語	Laatviyaa
マダガスカル語	Maalagaasii
マオリ語	Maori
マケドニア語	Maqedooniyaa
マラヤーラム語	Maalayalaam
モンゴル語	Moongooliyaa
マラーティー語	Afaan Maaraatii
マレー語	Maalay
マルタ語	Maaltizii
ビルマ語	Barmaa
ネパール語	Nefaalii
ノルウェー語	Niiwuujee
オランダ語	Afaan Daachii
オック語	Oktsitaan
オロモ語	Gara
パンジャーブ語	Panjabi
ポーランド語	Calallii
パシュトー語	Paashto
ポルトガリア語	Poortugaalii
ブラジルポルトガル語	Afaan Poorchugaalii Biraaziil
ヨーロピアンポルトガル語	Afaan Poorchugaalii Awurooppaa
ケチュア語	Q'uchu
ルーマニア語	Raashiyaa
ロシア語	Raashiyaa
サンスクリット語	Afaan Giriikii Qulqulluu
スロバキア語	Silaavikii
スロベニア語	Afaan Islooveniyaa
セルビア語	Seerbee
南セソト語	Kibba Seshoo
スンダ語	Afaan Sunda
スウェーデン語	Iswiidish
スワヒリ語	Sawaahili
タミル語	Taamilii
テルグ語	Teeluguu
タジク語	Taajik
タイ語	Taayii
トルクメン語	Tarkmaan
タガログ語	Afaan Taagalaag
トルコ語	Tarkii
タタール語	Taataar
ウクライナ語	Yuukireeniyaa
ウルドゥー語	Afaan Urduu
ウズベク語	Uzbeki
ベトナム語	Viyetnaam
コサ語	Kosa
イディッシュ語	Afaan Yidish
簡体中国語	Chaayinaa Salphaa
繁体中国語	Afaan Chaayinaa Aadaa
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Biroowsariin amma fayyadamaa jirtu gosa moofaa kan deggaramaa hin jirre dha. Muuxannoo interneetii fayyadamuu nageenya qabuu fi mijaa'aa ta'e argachuuf, maaloo biroowsarii keessan gara gosa isa yeroo ammaa haaromsadhaa.
不正なリクエストです	Gaaffii sirrii hin taane
画像が見つかりません	Suuraan hin argamne
