ISISちゃん	ISIS chan
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Mazmunni to'liq himoya qilish imkonsiz. Biroq, imkon qadar ogohlantirishlar berib va agar biror voqea yuz bersa, hukumat belgilagan tartib-taomillarga muvofiq masalani hal eta olamiz.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Albatta, siz shartlar va qoidalar hamda sayt siyosatingizning to'liq bo'lishini ta'minlashingiz kerak. Garchi bu plagin shartlar va qoidalarni yaratish vositasi bo'lmasa-da, u ba'zi yo'riqnomalarni taqdim etishi mumkin.
開発者: 夜桜　なの	Rivojlantiruvchi: Nano Yozakura
バージョン	Versiya
ビルド	Qurish
サポートページ	Qo'llab-quvvatlash sahifasi
Miss. 裏まにら氏歌唱	Ura Manira xonim ijrosida
支援のお願い	Yordam so'rovi
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector'dan foydalanganingiz uchun rahmat!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Ushbu plaginni ishlab chiqish va saqlash ko'p vaqt va kuch talab qildi, va uni takomillashtirish hamda yangilashni davom ettirish uchun mablag' yig'ish maqsadida, imkoni bor har kim bizga xayriya qilishni ko'rib chiqsa, minnatdor bo'lardik.
寄付について	Xayriya haqida
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Xayriya qilish butunlay ixtiyoriy bo'lib, majburiy emas. Ushbu plagin hammaga bepul taqdim etiladi. Biroq, rivojlantirishni davom ettirishimizga yordam beradigan qo'llab-quvvatlashingizni katta minnatdorchilik bilan qadrlaymiz va imkon qadar hissa qo'sha olsangiz, juda xursand bo'lardik.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Quyidagi havola orqali xayriya qilishingiz mumkin. Agar siz Yaponiyada bo'lsangiz, bepul xayriya qilishingiz mumkin va Amazon sovg'a kuponlari yordamida ham osonlik bilan xayriya qilishingiz mumkin.
寄付先	Xayriya tashkilotlari
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Sizning yordamingiz bilan biz sizga ajoyib yangilanishlarni yetkazishda davom etish uchun qo'limizdan kelganicha harakat qilamiz!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Biz qo'llab-quvvatlaganingiz uchun minnatdormiz va kelajakda ham bizni qo'llab-quvvatlashingizni intiqlik bilan kutamiz.
ライセンス	Litsenziya
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Ushbu plagin ochiq manba dasturi sifatida ishlab chiqilgan va GPLv2.0 yoki undan keyingi litsenziya ostida taqdim etilgan.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Ushbu plagin tarkibidagi ba'zi texnologiyalar patentlar bilan himoyalangan.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Patentlangan texnologiyadan foydalanish faqat ushbu plagin ichida ruxsat etiladi.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Boshqa har qanday foydalanish uchun tijorat litsenziyasini olish maqsadida muallif bilan bog'laning.
本プラグインには以下のライブラリを同梱しています	Ushbu plagin quyidagi kutubxonalarni o'z ichiga oladi
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Ushbu plagin quyida yaratilgan ASCII san'at shriftlari va shrift fayllarini o'z ichiga oladi.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Ushbu plagin EJ Co., Ltd. tomonidan ishlab chiqilgan va plagin muallifi tomonidan bastalangan, rasmiy bo'lmagan Super Famicom o'yini 'SM Trainer Hitomi 3' musiqasini o'z ichiga oladi va rasmiy litsenziyaga ega.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Ushbu plagin Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Men shuningdek, ushbu plaginni ishlab chiqishda Raspberry Pi 5, ChatGPT va DeepL'dan foydalanganman.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Keshlash plagin aniqlandi. Agar keshlash plagin yoqilgan bo'lsa, bu plagin to'g'ri ishlamaydi.
無効なIPアドレス	Noto'g'ri IP manzili
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Ushbu veb-saytdan foydalanish uchun cookie-fayllarni va JavaScriptni yoqishingiz kerak.
利用規約	Foydalanish shartlari
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Ruxsatsiz foydalanishni oldini olish va xizmatlarimizning xavfsiz ishlashini ta'minlash maqsadida, ushbu veb-sayt IP-manzillar, brauzer tarixi va faoliyat jurnallari kabi ma'lumotlarni cookie-fayllarda va ma'lumotlar bazalarida saqlay oladi. Ushbu ma'lumotlar faqat veb-saytni boshqarish va qonuniy maqsadlarda ishlatiladi hamda uchinchi shaxslarga oshkor qilinmaydi.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Ushbu xizmatdan foydalanish uchun siz ushbu ishlov berish faoliyatlariga rozilik bildiring.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Siz roziligingizni bergan bo'lsangiz ham, bermagan bo'lsangiz ham Maxfiylik siyosati mazmunini ko'rishingiz mumkin.
同意する	Men roziman
同意しない	Men rozi emasman
確認	Tasdiqlash
プライバシーポリシー	Maxfiylik siyosati
通常とは異なる方法でのアクセスや操作が検出されました	Nodir kirish yoki faoliyat aniqlangan
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Ba'zi xususiyatlar xavfsizlik va kontentni himoya qilish maqsadida cheklangan.
デバッグモード、コンソールの起動は禁止されています	Xatolarni tuzatish rejimi va konsolga kirish o'chirilgan
以下の情報がサーバーに送信されました	Quyidagi ma'lumotlar serverga yuborildi
あなたのIPアドレス	Sizning IP manzilingiz
あなたの端末とブラウザ	Sizning qurilmangiz va brauzeringiz
あなたの押下したキー	Bosgan kalitingiz
リダイレクトをします	Siz yo'naltirilasiz
コンテンツ保護のため一部の機能を制限しています	Mazmunni himoya qilish maqsadida ba'zi xususiyatlar cheklangan.
右クリックは禁止されています	Ong'ichka tugmani bosishga ruxsat berilmaydi
あなたが押下したキー	Bosgan kalitingiz
印刷、PDFへの保存は禁止されています	Bosib chiqarish va PDF shaklida saqlash taqiqlanadi.
スクリーンショットは禁止されています	Ekran suratlarini olish taqiqlanadi.
スクリーンショット、デバッグモード等の起動は禁止されています	Ekran tasvirlarini olish va xatoliklarni tuzatish rejimini yoqish taqiqlanadi.
ページの保存は禁止されています	Ushbu sahifani saqlash taqiqlanadi
コピー、カットは禁止されています	Ko'chirish va kesish taqiqlanadi.
あなたが起こしたイベント	Siz tashkil qilgan tadbirlar
テキストの選択は禁止されています	Matnni tanlashga ruxsat berilmaydi
HTMLソース表示は禁止されています	HTML manba kodini ko'rsatish taqiqlanadi
不正アクセスは禁止されています	Ruxsatsiz kirish taqiqlanadi
アフリカーンス語	Afrikaans
アラゴン語	Aralon
アラビア語	Arabcha
アッサム語	Assamese
アゼルバイジャン語	Ozarbayjon
バシュキール語	Bashkir
ベラルーシ語	Belorusiyalik
ベンガル語	Bengalcha
ブルガリア語	Bolgarcha
ボスニア語	Bosniyalik
カタロニア語	Kataloniyalik
チェコ語	Chex
デンマーク語	Daniyalik
ドイツ語	Nemis
現代ギリシア語	Zamonaviy yunon
英語	Inglizcha
イギリス英語	Britaniyalik ingliz tili
アメリカ英語	Amerikalik ingliz tili
エスペラント語	Esperanto
スペイン語	Ispancha
エストニア語	Estoniyalik
バスク語	Basque
ペルシャ語	Forsiy
フィンランド語	Finncha
フランス語	Fransuzcha
アイルランド語	Irlandalik
ガリシア語	Galitsiyalik
グァラニ語	Yaguar
グジャラート語	Gujarat
ハウサ語	Uy
ヘブライ語	Ibroniy
ヒンディ語	Hindcha
クロアチア語	Xorvatcha
ハイチ・クレオール語	Geyitian kreol
ハンガリー語	Vengriyalik
インドネシア語	Indoneziyalik
イボ語	Ibo tili
アイスランド語	Islandcha
イタリア語	Italiyalik
日本語	Yaponcha
ジャワ語	Javansh
カザフ語	Qazax
朝鮮語	Koreyscha
クルド語	Kurdcha
キルギス語	Qirg'iz
ラテン語	Lotincha
ルクセンブルク語	Lyuksemburgcha
リンガラ語	Sogʻsalang
リトアニア語	Litvacha
ラトビア語	Latviyalik
マダガスカル語	Malagasy
マオリ語	Maori
マケドニア語	Makedonsko
マラヤーラム語	Malayalam
モンゴル語	Mo'g'ulcha
マラーティー語	Marathi
マレー語	Malay
マルタ語	Malti
ビルマ語	Birmachcha
ネパール語	Nepalcha
ノルウェー語	Norvegiyalik
オランダ語	Gollandcha
オック語	Oktsitan
オロモ語	Yoki
パンジャーブ語	Panjobiy
ポーランド語	Lak
パシュトー語	Oʻtkazish
ポルトガリア語	Portugaliya tili
ブラジルポルトガル語	Braziliyalik portugal tili
ヨーロピアンポルトガル語	Yevropa portugaliysi
ケチュア語	Inka
ルーマニア語	Ruminiyalik
ロシア語	Ruscha
サンスクリット語	Sanskrit
スロバキア語	Slovencha
スロベニア語	Sloveniyalik
セルビア語	Serbiyalik
南セソト語	Janubiy Sesho
スンダ語	Sundanese
スウェーデン語	Shvetsiya
スワヒリ語	Suvahili
タミル語	Tamilcha
テルグ語	Telugu
タジク語	Tojik
タイ語	Tay
トルクメン語	Turkmancha
タガログ語	Tagalog
トルコ語	Turkcha
タタール語	Tatar
ウクライナ語	Ukraincha
簡体中国語	Oddiylashtirilgan xitoy tili
繁体中国語	An'anaviy xitoy tili
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Hozirda foydalanayotgan brauzeringiz eski versiya bo'lib, endi qo'llab-quvvatlanmaydi. Xavfsizroq va qulayroq brauzer tajribasini ta'minlash uchun brauzeringizni so'nggi versiyasiga yangilang.
不正なリクエストです	Noto'g'ri so'rov
画像が見つかりません	Rasm topilmadi
ウェールズ語	Uelslik
ウルドゥー語	Urdu
ウズベク語	O'zbek
ベトナム語	Vyetnamlik
コサ語	Soch
イディッシュ語	Yidiş
ズールー語	Zulu
