設定	Socruithe
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Tá sé dodhéanta ábhar a chosaint go hiomlán. Mar sin féin, trí rabhaidh a eisiúint i ngach cás is féidir agus ullmhúcháin a dhéanamh i gcás go dtarlódh aon rud, ba cheart go mbeimis in ann an scéal a réiteach i gcomhréir leis na nósanna imeachta atá leagtha síos ag an rialtas.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Ar ndóigh, beidh ort a chinntiú go bhfuil do théarmaí agus coinníollacha agus polasaithe an tsuímh chuimsitheach. Cé nach uirlis é an breiseán seo chun téarmaí agus coinníollacha a ghiniúint, is féidir leis roinnt treorach a sholáthar.
開発者: 夜桜　なの	Forbróir: Nano Yozakura
バージョン	Leagan
ビルド	Tóg
サポートページ	Leathanach tacaíochta
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Léirithe ag Iníon Ura Manira
支援のお願い	Iarratas ar thacaíocht
Neo HTML Protectorをご利用いただき、ありがとうございます！	Go raibh maith agat as Neo HTML Protector a úsáid!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	D'éiligh forbairt agus cothabháil an bhreiseáin seo an-chuid ama agus iarrachta, agus chun cistí a bhailiú chun leanúint ar aghaidh lena fheabhsú agus lena nuashonrú, bheimis buíoch dá ndéanfadh aon duine atá in ann tacú linn machnamh ar dheontas a thabhairt.
寄付について	Maidir le hEiríonna
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Is deonach go hiomlán iad na síntiúis agus níl siad éigeantach. Tá an breiseán ar fáil do chách saor in aisce. Mar sin féin, táimid fíorbhuíoch as do thacaíocht chun cabhrú linn leanúint leis an bhforbairt, agus bheadh an-áthas orainn dá bhféadfá méid beag fiú a chur ar fáil.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Is féidir leat síntiús a thabhairt tríd an nasc thíos. Má tá tú lonnaithe sa tSeapáin, is féidir leat síntiús a thabhairt saor in aisce, agus is féidir leat síntiús a thabhairt go héasca freisin le vótéir bronntanais Amazon.
寄付先	Carthanachtaí
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Le bhur dtacaíocht, déanfaimid ár ndícheall leanúint orainn ag tabhairt nuashonruithe den scoth daoibh!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Táimid buíoch as do thacaíocht agus táimid ag tnúth le do thacaíocht leanúnach amach anseo.
ライセンス	Ceadúnas
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Forbraítear an breiseán seo mar bhogearra foinse oscailte agus tá sé ceadúnaithe faoin GPLv2.0 nó níos déanaí.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Tá roinnt de na teicneolaíochtaí atá san áireamh sa bhforlíonadh seo cosanta ag paitinní.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Ní cheadaítear úsáid na teicneolaíochta paitinnithe ach amháin laistigh den bhreiseán seo.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Le haghaidh aon úsáid eile, déan teagmháil leis an údar, le do thoil, chun ceadúnas tráchtála a fháil.
本プラグインには以下のライブラリを同梱しています	Cuimsíonn an breiseán seo na leabharlanna seo a leanas
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Cuimsíonn an breiseán seo na clónna ealaíne ASCII a ghintear thíos, mar aon leis na comhaid cló.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Cuimsíonn an breiseán seo ceol ón gcluiche neamhoifigiúil Super Famicom 'SM Trainer Hitomi 3', a d'fhorbair EJ Co., Ltd. agus a chum cruthaitheoir an bhreiseáin seo, agus tá sé ceadúnaithe go hoifigiúil.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Cuimsíonn an breiseán seo rianta a cruthaíodh le 'Keppy's YAMAHA C7', a d'fhorbair Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	D'úsáid mé freisin Raspberry Pi 5, ChatGPT agus DeepL i bhforbairt an bhreiseáin seo.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Brathadh breiseán taisce. Ní oibreoidh an breiseán seo i gceart má tá breiseán taisce cumasaithe.
無効なIPアドレス	Seoladh IP neamhbhailí
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Chun an suíomh gréasáin seo a úsáid, ní mór duit fianáin agus JavaScript a chumasú.
利用規約	Téarmaí Úsáide
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Chun úsáid neamhúdaraithe a chosc agus chun oibriú slán ár seirbhísí a chinntiú, féadfaidh an suíomh gréasáin seo faisnéis a stóráil i bhfianáin agus i mbunachair shonraí, amhail seoltaí IP, stair brabhsála agus logaí gníomhaíochta. Ní úsáidtear an fhaisnéis seo ach amháin d'oibriú an tsuímh ghréasáin agus chun críocha dlíthiúla, agus ní nochtfar do thríú páirtithe í.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Chun an tseirbhís seo a úsáid, ní mór duit toiliú a thabhairt do na gníomhaíochtaí próiseála seo.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Is féidir leat breathnú ar ábhar ár bPolasaí Príobháideachta, is cuma cé acu ar thug tú do thoiliú nó nár thug.
同意する	Aontaím
同意しない	Ní aontaím
確認	Dearbhú
プライバシーポリシー	Polasaí Príobháideachais
通常とは異なる方法でのアクセスや操作が検出されました	Brathadh rochtain nó gníomhaíocht neamhghnách.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Tá srianta curtha ar ghnéithe áirithe ar mhaithe le slándáil agus le cosaint ábhair.
デバッグモード、コンソールの起動は禁止されています	Mód dífhabhtaithe agus rochtain ar an gconsól díchumasaithe
以下の情報がサーバーに送信されました	Tá an fhaisnéis seo a leanas seolta chuig an bhfreastalaí
あなたのIPアドレス	Do sheoladh IP
あなたの端末とブラウザ	Do ghléas agus do bhrabhsálaí
あなたの押下したキー	An eochair a bhrúigh tú
リダイレクトをします	Déanfar tú a atreorú
コンテンツ保護のため一部の機能を制限しています	Tá srianta curtha ar ghnéithe áirithe chun an t-ábhar a chosaint.
右クリックは禁止されています	Ní cheadaítear deaschliceáil.
あなたが押下したキー	An eochair a bhrúigh tú
印刷、PDFへの保存は禁止されています	Tá cosc ar phriontáil agus ar shábháil mar PDF.
スクリーンショットは禁止されています	Tá cosc ar ghabhálacha scáileáin.
スクリーンショット、デバッグモード等の起動は禁止されています	Tá sé toirmiscthe scáileáin scáthlámh a ghlacadh agus mód díbhugtha a chumasú.
ページの保存は禁止されています	Tá cosc ar an leathanach seo a shábháil
コピー、カットは禁止されています	Tá cosc ar chóipeáil agus ar ghearradh.
あなたが起こしたイベント	Imeachtaí atá eagraithe agat
テキストの選択は禁止されています	Ní cheadaítear téacs a roghnú.
HTMLソース表示は禁止されています	Tá sé toirmiscthe cód foinseach HTML a thaispeáint.
不正アクセスは禁止されています	Tá rochtain neamhúdaraithe coiscthe.
アフリカーンス語	Afraicáinis
アラゴン語	Aragóineis
アラビア語	Arabais
アッサム語	Asamais
アゼルバイジャン語	Asarbaiseánach
バシュキール語	Bashkir
ベラルーシ語	Béarlais
ベンガル語	Beangáilis
ブルガリア語	Bulgáiris
ボスニア語	Bóisnéiseach
カタロニア語	Catalóinise
チェコ語	Seiceach
ウェールズ語	Breatnach
デンマーク語	Danmhairgis
ドイツ語	Gearmánach
現代ギリシア語	Nua-Ghréigis
英語	Béarla
イギリス英語	Breataineach
アメリカ英語	Béarla Mheiriceánach
エスペラント語	Esperanto
スペイン語	Spáinnis
エストニア語	Eastónach
バスク語	Bascais
ペルシャ語	Peirsea
フィンランド語	Fionlannach
フランス語	Fraincis
アイルランド語	Éireannach
ガリシア語	Gailíseach
グァラニ語	Guaraní
グジャラート語	Gúisearáitis
ハウサ語	Ahausa
ヘブライ語	Eabhraise
ヒンディ語	Hiondúis
クロアチア語	Cróitis
ハイチ・クレオール語	Créole Háítíoch
ハンガリー語	Ungárach
インドネシア語	Indinéiseach
イボ語	Teanga Ibo
アイスランド語	Íslandais
イタリア語	Iodálach
日本語	Seapáinis
ジャワ語	Javaisis
カザフ語	Caiséach
朝鮮語	Cóiréise
クルド語	Cúrdach
キルギス語	Ciorgaise
ラテン語	Laitinis
ルクセンブルク語	Liobáinis
リンガラ語	Mongolach
リトアニア語	Lituáinis
ラトビア語	Laitvis
マダガスカル語	Malagáise
マオリ語	Maori
マケドニア語	Miseach
マラヤーラム語	Maláileannais
モンゴル語	Miongóilise
マラーティー語	Máráiti
マレー語	Málaigh
マルタ語	Maltach
ビルマ語	Birmiseach
ネパール語	Neipealais
ノルウェー語	Ioruach
オランダ語	Ollannach
オック語	Ocaitneach
オロモ語	Nóiméad
パンジャーブ語	Piondábais
ポーランド語	Polaínís
パシュトー語	Pashto
ポルトガリア語	Portaingéilis
ブラジルポルトガル語	Portaingéilis Bhrasaíleach
ヨーロピアンポルトガル語	Portaingéilis Eorpach
ケチュア語	An tQuechua
ルーマニア語	Rómáinise
ロシア語	Rúiseach
サンスクリット語	Laitinis
スロバキア語	Slóvaicis
スロベニア語	Slóivéinis
セルビア語	Seirbeach
南セソト語	Sesotho Theas
スンダ語	Sundaise
スウェーデン語	Sualannais
スワヒリ語	Suaheilís
タミル語	Taimiléise
テルグ語	Tailgeach
タジク語	Tajice
タイ語	Téalannach
トルクメン語	Tuirceach
タガログ語	Tagálaigis
トルコ語	Tuirceach
タタール語	Tatair
ウクライナ語	Úcráineach
ウルドゥー語	Úrdu
ウズベク語	Úisbéiceach
ベトナム語	Vítneamach
コサ語	Cois
イディッシュ語	Gearmáinis Iúdach
簡体中国語	Sínis shimplithe
繁体中国語	Sínis thraidisiúnta
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Is leagan níos sine é an brabhsálaí atá á úsáid agat faoi láthair nach dtacaítear leis a thuilleadh. Chun eispéireas brabhsála níos sábháilte agus níos compordaí a chinntiú, déan an leagan is déanaí de do bhrabhsálaí a nuashonrú, le do thoil.
不正なリクエストです	Iarratas neamhbhailí
画像が見つかりません	Níor aimsíodh an íomhá
