設定	Allichaykuna
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Yanapata qallarichiy. Yuyariy, IP Log Reader willakuykunaqa manaraqmi kay pachapi pichasqachu kanqa.
Neo HTML Protectorについて	Neo HTML Amachaqmanta
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Kay pluginqa ruwasqa kachkan WordPress web p'anqaykiq paqarichisqan HTML nisqata, rikch'akunata, huk kaqkunatapas amachananpaq, mana saqillasqa apaykachaymanta hark'aspa.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Imaymana kaqkunata hunt'asqata amachayqa mana atinachu. Ichaqa, atikusqanman hina willakuykunata quspa, imapas kaptinpaq wakichikuspa ima, kamachikuqpa kamachisqanman hina kay sasachakuyta allichayta atisunman.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Chiqapmi, qhawarinayki tiyan servisiyupa kamachikuyninkuna chaymanta web p'anqapa kamachikuyninkuna hunt'asqa kanankupaq. Kay plugin mana servisiyupa kamachikuyninkunata paqarichinapaq llamk'anachu kaptinpas, huk pusayta qusunkimanmi.
開発者: 夜桜　なの	Ruraq: Nano Yozakura
バージョン	Lluqsimuynin
ビルド	Wasichay
サポートページ	Yanapay p'anqa
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Ura Manira sipaspa ruwasqan
支援のお願い	Yanapay mañakuy
Neo HTML Protectorをご利用いただき、ありがとうございます！	Añay Neo HTML Protector nisqata llamk'achisqaykimanta!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Kay pluginpa wiñachiyninpas allinlla kananpaq qhawariyninpas ancha achka pachatam, kallpatam mañakun. Chayrayku, aswan allinyachinapaq musuqyachinapaqpas qullqita huñunapaq, pipas yanapayta atiq yanapawaqninchikman qullqi qunaykita yuyaykunman chayqa, anchatam agradecekusunman.
寄付について	Quykuykunamanta
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Quykuykunaqa munayllamantam, manam kamachisqachu. Kay pluginqa llapa runapaqmi mana qullqiyuq. Ichaqa, yanapayniykichikta anchatam chaninchaniku kayta wiñachinallaykupaq, hinaspapas ancha kusisqam kanayku sichus pisi qullqillatapas quwaqchik.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Kay urapi kaq t'inkita ñit'ispa qullqi qunayki atinki. Japón suyupi tiyaq kaspaykiqa, mana qullqiyuqta qunayki atinki, hinallataq Amazonpa qoykuy valenkunawanpas hawalla qunayki atinki.
寄付先	Khuyapayay wasikuna
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Qamkunap yanapayniykichikwanqa, tukuy atisqaykuta ruwasun allin musuq willakuykunata qamkunaman apamushallanaykupaq.
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Yanapawasqaykichikmanta anchatam agradecekuyku, hamuq pachapipas yanapawanaykichiktataq suyakuyku.
ライセンス	Saqillay
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Kay pluginqa kichasqa pukyu software hina ruwasqa kachkan, hinaspataq GPLv2.0 utaq qhipa kaq kamachiywan lisinsiyachisqa kachkan.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Kay pluginpi churasqa wakin tecnologíakunaqa patentekunawan amachasqam kanku.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Kay patenteyuq tecnología nisqaqa kay plug-in ukhullapim llamk'achiy atikun.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Huk imapaqpas llamk'achinapaqqa, qillqaqwan rimanakuy qhatunapaq saqillayta chaskinaykipaq.
本プラグインには以下のライブラリを同梱しています	Kay pluginqa kay qatiq libreríaskunatam hap'in.
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Kay pluginqa urapi ruwasqa ASCII arte sanampakunata, sanampa willañiqikunawan kuskata hap'in.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Kay pluginqa EJ Co., Ltd. nisqap rurasqan mana oficial 'SM Trainer Hitomi 3' Super Famicom pukllaymanta takikunayuqmi, chay takikunataq kay pluginpa ruraqninpa qillqasqanmi, hinaspapas kamachisqa licenciayuqmi.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Kay pluginqa Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Kay pluginta wiñachinaypaqqa, Raspberry Pi 5, ChatGPT, DeepL nisqakunatapas llamk'achirqanim.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Huk cache-paq plugin tarisqa kachkan. Kay pluginqa manam allintachu llamk'anqa sichus huk cache-paq plugin llamk'achisqa kachkan chayqa.
無効なIPアドレス	Mana chanin IP tiyay
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Kay web p'anqata llamk'achinaykipaqqa, cookies nisqakunata JavaScript nisqatapas atichinaykim tiyan.
利用規約	Imayna apaykachana kamachikuykuna
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Mana saqillasqa llamk'achiyta hark'anapaq, hinallataq qarananchiskuna allin takyasqa puririnanpaq, kay web p'anqaqa willakuykunata waqaychayta atinman, kaykunata hina: IP tiyaykunata, llikapi purisqaykipa willayninta, ruwasqaykikunamanta qillqasqakunatapas, cookies nisqakunapi chaymanta willay taqikunapi. Kay willakuykunaqa web p'anqap puririyninpaq hinallataq kamachiypaqkunallam llamk'achikun, manataqmi huk runakunamanpas willasqachu kanqa.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Kay qaranata llamk'achinaykipaqqa, kay ruwaykunaman ari ninaykim tiyan.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Sapanchay Kamachikuypa ukhunpi kaqkunataqa qhawayta atinki, ari nisqaykiña kachun manaña kachunpas.
同意する	Arí nini
同意しない	Manan chaynallachu yuyani
確認	Kallpanchay
プライバシーポリシー	Sapanchasqa Willakuymanta Kamachikuy
通常とは異なる方法でのアクセスや操作が検出されました	Mana yachasqa yaykuy utaq ruray tarisqa kachkan.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Wakin imaymanakunaqa hark'asqa kachkan waqaychasqa kanapaq chaymanta imaymanakuna amachanapaq.
デバッグモード、コンソールの起動は禁止されています	Pantay allichana ñanpas consola yaykunapas wichq'asqam kachkan.
以下の情報がサーバーに送信されました	Kay qatiq willakuyqa sirwidurmanmi apachisqa.
あなたのIPアドレス	Qampa IP tiyayniyki
あなたの端末とブラウザ	Llamk'anaykiwan llik'a mask'aqniykiwan
あなたの押下したキー	Ñit'isqayki kichana
リダイレクトをします	Wakman apasqa kanki
コンテンツ保護のため一部の機能を制限しています	Wakin imaymanakunaqa hark'asqa kachkan ukhunpi kaqta amachanapaq.
右クリックは禁止されています	Paña ñit'iyqa manam saqillasqachu
あなたが押下したキー	Ñit'isqayki kichana
印刷、PDFへの保存は禁止されています	PDFpi ch'ipachiywan waqaychaypas hark'asqam kachkan.
スクリーンショットは禁止されています	Rikch'a hap'iykunaqa hark'asqam.
スクリーンショット、デバッグモード等の起動は禁止されています	Rikch'a hap'iykuna ruwaypas pantay rikuchina ñanta kichariypas hark'asqam kanku.
ページの保存は禁止されています	Kay p'anqata waqaychayqa hark'asqam.
コピー、カットは禁止されています	Kopiyaypas kuchuypas hark'asqam.
あなたが起こしたイベント	Qampa wakichisqayki ruwaykuna
テキストの選択は禁止されています	Qillqata akllayqa manam saqillasqachu.
HTMLソース表示は禁止されています	HTML pukyu qillqata rikuchiyqa hark'asqam.
不正アクセスは禁止されています	Mana saqillasqa yaykuyqa hark'asqam.
アフリカーンス語	Afrikans
アラゴン語	Aragonés
アラビア語	Arabe simi
アッサム語	Asamés simi
アゼルバイジャン語	Azerbaijan simi
バシュキール語	K'amiy
ベラルーシ語	Belaruso simi
ベンガル語	Bengali simi
ブルガリア語	Búlgaro simi
ボスニア語	Bosniya simi
カタロニア語	Katalán simi
チェコ語	Checo
ウェールズ語	Gales simi
デンマーク語	Danés simi
ドイツ語	Alemán
現代ギリシア語	Kunan pacha Griego simi
英語	Ingles simi
イギリス英語	Britain's
アメリカ英語	Americano Ingles
エスペラント語	Suyasqa simi
スペイン語	Ispañul simi
エストニア語	Estonio
バスク語	Vasco
ペルシャ語	Parsiyamanta
フィンランド語	Tukunanpaq
フランス語	Franses simi
アイルランド語	Irlandés
ガリシア語	Galiicia simi
グァラニ語	Ñuñu
グジャラート語	Gujarati simiqa huk Indiamanta simim, Indiamanta runakunap rimaynin.
ハウサ語	Allin
ヘブライ語	Hebreo simi
ヒンディ語	Mancha simi
クロアチア語	Croacia simi
ハイチ・クレオール語	Aytiyankumanta Kreyol simi
ハンガリー語	Ungur simi
インドネシア語	Indonesiamanta
イボ語	Ibo simi
アイスランド語	Chiri Rumi
イタリア語	Italiano
日本語	Nihun simi
ジャワ語	Javayuq
カザフ語	Kazakh simi
朝鮮語	Koreamanta simi
クルド語	Kurdiyamanta
キルギス語	Kirgista
ラテン語	Latín simi
ルクセンブルク語	Luxemburgués
リンガラ語	Kawsaq simi
リトアニア語	Lituania simi
ラトビア語	Latviyamanta
マダガスカル語	Malagasy
マオリ語	Māori runakuna
マケドニア語	Macedonio
マラヤーラム語	Malayalam simi
モンゴル語	Mongolian simi
マラーティー語	Marañi simi
マレー語	Malayo simi
マルタ語	Malta simi
ビルマ語	Birman
ネパール語	Nepal simi
ノルウェー語	Noruegamanta
オランダ語	Hulandés simi
オック語	Ocitan
オロモ語	Uywa
パンジャーブ語	Punjabi simi
ポーランド語	Llusk'achay
パシュトー語	Ch'ulla simi
ポルトガリア語	Purtuquy simi
ブラジルポルトガル語	Brasil simi
ヨーロピアンポルトガル語	Iwrupap purtuqes simin
ケチュア語	Karu simi
ルーマニア語	Rumán simi
ロシア語	Rusiya simi
サンスクリット語	Sanskrit
スロバキア語	Eslovaquio
スロベニア語	Islovenia simi
セルビア語	Sirbiyamanta
南セソト語	Urin Suesu
スンダ語	Sunda simi
スウェーデン語	Suecia simi
スワヒリ語	Suwahili simi
タミル語	Tamil simi
テルグ語	Teligu simi
タジク語	Sumaq
タイ語	Tailandés
トルクメン語	Turkmen
タガログ語	Taga-Tagalog
トルコ語	Turco simi
タタール語	Tata simi
ウクライナ語	Ucraniano
ウルドゥー語	Urdumanta
ウズベク語	Uzbeko
ベトナム語	Vietnamita
コサ語	Chaki
イディッシュ語	Yidi simi
簡体中国語	Ch'ullanchasqa Simi Chinu
繁体中国語	Ñawpaq China simi
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Kunan llamk'achisqayki llik'a mask'aqqa ñawpaq kaqmi, manañam yanapasqachu. Aswan allin waqaychasqa hinaspa hawkalla llik'api purinaykipaq, ama hina kaspa, llik'a mask'aqniykita qhipa kaqman musuqyachiy.
不正なリクエストです	Mana chanin mañakuy
画像が見つかりません	Rikch'a mana tarisqachu
