設定	Көйләүләр
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Бу плагинны үстерү һәм аны яңартып тоту күп вакыт һәм көч таләп итте, һәм аны камилләштерүне һәм яңартуны дәвам итү өчен акча җыю максатыннан безгә ярдәм итә алырлык һәркемнән иганә ясарга ризалык белдерүегезне сорар идек.
寄付について	Иганәләр турында
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Иганәләр тулысынча ихтыяри, мәҗбүри түгел. Пләгин һәркемгә бушлай тәкъдим ителә. Әмма безнең үсешне дәвам итү өчен сезнең ярдәмегезне бик югары бәялибез, һәм мөмкин булганча өлеш кертсәгез, без бик шат булыр идек.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Түбәндәге сылтама аша иганә калдыра аласыз. Әгәр сез Япониядә булсагыз, иганә калдыру бушлай, һәм Amazon бүләк сертификатлары белән дә җиңел генә иганә калдыра аласыз.
寄付先	Хәйрия оешмалары
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Сезнең ярдәмегез белән без сезгә фантастик яңартулар китерүне дәвам итү өчен бар көчебезне куячакбыз!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Без сезнең ярдәмегез өчен рәхмәтлебез һәм киләчәктә дә сезнең ярдәмегезне көтеп калабыз.
ライセンス	Лицензия
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Бу плагин ачык чыганаклы программа буларак эшләнгән һәм GPL v2.0 яки соңрак лицензиясе астында таратыла.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Бу плагинга кертелгән кайбер технологияләр патентлар белән якланган.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Патентланган технологияне куллану бары тик бу плагин эчендә генә рөхсәт ителә.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Башка теләсә нинди куллану өчен, зинһар, автор белән элемтәгә кереп коммерция лицензиясе алыгыз.
本プラグインには以下のライブラリを同梱しています	Бу плагин түбәндәге китапханәләрне үз эченә ала
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Бу плагин түбәндәгечә ясалган ASCII-арт шрифтларын һәм шрифт файлларын үз эченә ала.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Бу плагин EJ Co., Ltd. тарафыннан эшләнгән һәм бу плагинның авторы тарафыннан язылган, рәсми булмаган Super Famicom уены «SM Trainer Hitomi 3»тән музыканы үз эченә ала һәм рәсми рәвештә лицензияләнгән.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Бу плагин Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Мин шулай ук бу плагинны үстергәндә Raspberry Pi 5, ChatGPT һәм DeepL кулландым.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Кэшлау плагины ачыкланды. Әгәр кэшлау плагины актив булса, бу плагин дөрес эшләмәячәк.
無効なIPアドレス	Дөрес булмаган IP-адрес
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Бу сайтны куллану өчен сезгә cookie-файлларны һәм JavaScript-ны эшләтеп куярга кирәк.
利用規約	Куллану шартлары
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Рөхсәтсез куллануны булдырмау һәм безнең хезмәтләрнең ышанычлы эшләвен тәэмин итү өчен, бу веб-сайт IP-адреслар, браузер тарихы һәм активлык журналлары кебек мәгълүматны cookie-файлларда һәм мәгълүмат базаларында саклый ала. Бу мәгълүмат веб-сайтны эшләтү һәм законлы максатларда гына кулланыла һәм өченче затларга тапшырылмый.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Бу хезмәтне куллану өчен сез бу эшкәртү гамәлләренә ризалык бирергә тиешсез.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Сез шәхси мәгълүматларны яклау сәясәтенең эчтәлеген ризалыгыгыз булуга карамастан карый аласыз.
同意する	Мин риза
同意しない	Мин килешмим
確認	Раслау
プライバシーポリシー	Шәхси мәгълүматларны яклау сәясәте
通常とは異なる方法でのアクセスや操作が検出されました	Гадәттән тыш керү яки активлык ачыкланды
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Кайбер мөмкинлекләр куркынычсызлык һәм эчтәлекне яклау максатларында чикләнде.
デバッグモード、コンソールの起動は禁止されています	Хаталарны төзәтү режимы һәм консольгә керү сүндерелгән
以下の情報がサーバーに送信されました	Түбәндәге мәгълүмат серверга җибәрелде
あなたのIPアドレス	Сезнең IP-адресыгыз
あなたの端末とブラウザ	Сезнең җайланмагыз һәм браузерыгыз
あなたの押下したキー	Сез баскан төймә
リダイレクトをします	Сез юнәлтеләчәксез
コンテンツ保護のため一部の機能を制限しています	Эчтәлекне саклау өчен кайбер функцияләр чикләнде
右クリックは禁止されています	Уң төймә белән басу рөхсәт ителми
あなたが押下したキー	Сез баскан төймә
印刷、PDFへの保存は禁止されています	Бастыру һәм PDF форматында саклау тыела.
スクリーンショットは禁止されています	Экраннан фотога төшерү тыела.
スクリーンショット、デバッグモード等の起動は禁止されています	Скриншотлар ясау һәм отладка режимын кабызу тыела.
ページの保存は禁止されています	Бу битне саклау тыела
コピー、カットは禁止されています	Копияләү һәм кисү тыела.
あなたが起こしたイベント	Сез оештырган чаралар
テキストの選択は禁止されています	Текстны сайлау рөхсәт ителми
HTMLソース表示は禁止されています	HTML чыганак кодын күрсәтү тыела
不正アクセスは禁止されています	Рөхсәтсез керү тыела
アフリカーンス語	Африкаанс
アラゴン語	Арагонча
アラビア語	гарәпчә
アッサム語	Ассам телле
アゼルバイジャン語	Азәрбайҗан
バシュキール語	Башҡорт
ベラルーシ語	Белорусский
ベンガル語	Бенгаль
ブルガリア語	Болгарча
ボスニア語	Боснияле
カタロニア語	Каталон
チェコ語	Чех
ウェールズ語	Уэльскә
デンマーク語	Даниячә
ドイツ語	Герман
現代ギリシア語	Заманча грек
英語	Инглизчә
イギリス英語	Британиялеләр
アメリカ英語	Америка инглиз теле
エスペラント語	Эсперанто
スペイン語	Испан
エストニア語	Эстонияле
バスク語	Баск
ペルシャ語	фарсы
フィンランド語	Финн
フランス語	француз
アイルランド語	Ирланд
ガリシア語	Галисияле
グァラニ語	Гуарани
グジャラート語	Гужарати
ハウサ語	Һауса
ヘブライ語	Иврит
ヒンディ語	Һинд
クロアチア語	Хорватча
ハイチ・クレオール語	Гаития креолы
ハンガリー語	Венгр
インドネシア語	Индонезияле
イボ語	Ибо теле
アイスランド語	Исландча
イタリア語	Итальян
日本語	Япон
ジャワ語	Яван теле
カザフ語	Қазақ
朝鮮語	Корей
クルド語	Курдча
キルギス語	Кыргыз
ラテン語	Латин
ルクセンブルク語	Люксембургча
リンガラ語	Монгол
リトアニア語	Литвин
ラトビア語	Латвиячә
マダガスカル語	Малагаси
マオリ語	маори
マケドニア語	Македониячә
マラヤーラム語	Мәләялам
モンゴル語	Монгол
マラーティー語	Марати
マレー語	Малай
マルタ語	Мальтийә
ビルマ語	Бурма
ネパール語	Непаллы
ノルウェー語	Норвегияле
オランダ語	Голланд
オック語	Окситан
オロモ語	Яки
パンジャーブ語	Пәнҗаби
ポーランド語	Польша телендә
パシュトー語	Пашту
ポルトガリア語	Португалча
ブラジルポルトガル語	Бразилия португал теле
ヨーロピアンポルトガル語	Европа португал теле
ケチュア語	Кечуа
ルーマニア語	Румын
ロシア語	Русча
サンスクリット語	Санскрит
スロバキア語	Словак
スロベニア語	Словенечә
セルビア語	Сербча
南セソト語	Көньяк Сесото
スンダ語	Сандонг
スウェーデン語	Шведча
スワヒリ語	Суахили
タミル語	Тамил
テルグ語	Телугу
タジク語	Таҗик
タイ語	Тай
トルクメン語	Төркиләр
タガログ語	Тагалог
トルコ語	Төрөк
タタール語	Татар
ウクライナ語	Украинча
ウルドゥー語	урду
ウズベク語	Үзбәк
ベトナム語	Вьетнамча
コサ語	Коса
イディッシュ語	Идиш
簡体中国語	Гадиләштерелгән кытай теле
繁体中国語	Традицион кытай теле
ズールー語	Зулу
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Сез хәзер кулланган браузер – инде ярдәм ителми торган иске версия. Куркынычсызрак һәм уңайлырак браузер тәҗрибәсе өчен, зинһар, браузерыгызны соңгы версиягә яңартыгыз.
不正なリクエストです	Дөрес булмаган сорау
画像が見つかりません	Сүрәт табылмады
