設定	הגדרות
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	התרומות הן וולונטריות לחלוטין ואינן חובה. התוסף זמין לכולם ללא תשלום. עם זאת, אנו מעריכים מאוד את תמיכתכם, המסייעת לנו להמשיך בפיתוח, ונשמח מאוד אם תוכלו לתרום ככל שתוכלו.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	ניתן לתרום באמצעות הקישור שלמטה. אם אתם מתגוררים ביפן, תוכלו לתרום ללא עמלה, וניתן גם לתרום בקלות באמצעות שוברי מתנה של אמזון.
寄付先	ארגוני צדקה
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	בעזרת התמיכה שלכם, נעשה כמיטב יכולתנו כדי להמשיך ולהביא לכם עדכונים נהדרים!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	אנו מודים לכם על תמיכתכם ומצפים להמשיך ולקבל את תמיכתכם גם בעתיד.
ライセンス	רישיון
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	תוסף זה פותח כתוכנה בקוד פתוח והוא מורשה תחת רישיון GPLv2.0 או גרסה מאוחרת יותר.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	חלק מהטכנולוגיות הכלולות בתוסף זה מוגנות בפטנטים.
特許技術の使用は、このプラグイン内での使用に限って認められます。	השימוש בטכנולוגיה המוגנת בפטנט מותר אך ורק במסגרת תוסף זה.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	לכל שימוש אחר, אנא פנו למחבר כדי לקבל רישיון מסחרי.
本プラグインには以下のライブラリを同梱しています	תוסף זה כולל את הספריות הבאות
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	תוסף זה כולל את גופני ה-ASCII art שנוצרו להלן, יחד עם קבצי הגופנים
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	תוסף זה כולל מוזיקה מהמשחק הבלתי רשמי ל-Super Famicom בשם "SM Trainer Hitomi 3", שפותח על ידי EJ Co., Ltd. והולחן על ידי יוצר התוסף, והוא בעל רישיון רשמי.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	תוסף זה כולל רצועות שנוצרו באמצעות "Keppy’s YAMAHA C7", שפותח על ידי Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	בפיתוח התוסף הזה השתמשתי גם ב-Raspberry Pi 5, ב-ChatGPT וב-DeepL.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	זוהתה תוסף מטמון. תוסף זה לא יפעל כראוי אם תוסף מטמון מופעל.
無効なIPアドレス	כתובת IP לא חוקית
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	כדי להשתמש באתר זה, עליך להפעיל קובצי Cookie ו-JavaScript
利用規約	תנאי שימוש
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	כדי למנוע שימוש בלתי מורשה ולהבטיח את הפעלתם הבטוחה של השירותים שלנו, אתר זה עשוי לאחסן מידע כגון כתובות IP, היסטוריית גלישה ויומני פעילות בקובצי Cookie ובמאגרי מידע. מידע זה משמש אך ורק לצורך הפעלת האתר ולמטרות משפטיות, ולא יועבר לצדדים שלישיים.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	כדי להשתמש בשירות זה, עליך להסכים לפעולות עיבוד אלה.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	תוכל לעיין בתוכן מדיניות הפרטיות, בין אם נתת את הסכמתך ובין אם לאו.
同意する	אני מסכים
同意しない	אני לא מסכים
確認	אישור
プライバシーポリシー	מדיניות פרטיות
通常とは異なる方法でのアクセスや操作が検出されました	זוהתה גישה או פעילות חריגה
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	תכונות מסוימות הוגבלו מטעמי אבטחה והגנה על תוכן
デバッグモード、コンソールの起動は禁止されています	מצב האיתור והגישה לקונסולה מושבתים
以下の情報がサーバーに送信されました	המידע הבא נשלח לשרת
あなたのIPアドレス	כתובת ה-IP שלך
あなたの端末とブラウザ	המכשיר והדפדפן שלך
あなたの押下したキー	המקש שלחצת עליו
リダイレクトをします	תועבר לדף אחר
コンテンツ保護のため一部の機能を制限しています	תכונות מסוימות הוגבלו על מנת להגן על התוכן
右クリックは禁止されています	אין ללחוץ עם לחצן העכבר הימני
あなたが押下したキー	המקש שלחצת עליו
印刷、PDFへの保存は禁止されています	חל איסור על הדפסה ושמירה כקובץ PDF.
スクリーンショットは禁止されています	אסור לצלם את המסך
スクリーンショット、デバッグモード等の起動は禁止されています	אסור לצלם צילומי מסך ולהפעיל את מצב האיתור באגים
ページの保存は禁止されています	אסור לשמור דף זה
コピー、カットは禁止されています	חל איסור על העתקה וגזירה.
あなたが起こしたイベント	אירועים שארגנת
テキストの選択は禁止されています	אין אפשרות לבחור טקסט
HTMLソース表示は禁止されています	אסור להציג קוד מקור HTML
不正アクセスは禁止されています	הכניסה אסורה
アフリカーンス語	אפריקנס
アラゴン語	אראגוני
アラビア語	ערבית
アッサム語	אסאמית
アゼルバイジャン語	אזרבי
バシュキール語	באשקירית
ベラルーシ語	בלארוסי
ベンガル語	בנגלית
ブルガリア語	בולגרית
ボスニア語	בוסני
カタロニア語	קטלאנית
チェコ語	צ'כית
ウェールズ語	וולשית
デンマーク語	דנית
ドイツ語	גרמנית
現代ギリシア語	יוונית מודרנית
英語	אנגלית
イギリス英語	אנגלית בריטית
アメリカ英語	אנגלית אמריקאית
エスペラント語	אספרנטו
スペイン語	ספרדית
エストニア語	אסטונית
バスク語	באסקית
ペルシャ語	פרסית
フィンランド語	פינית
フランス語	צרפתית
アイルランド語	אירי
ガリシア語	גליציאני
グァラニ語	גוארני
グジャラート語	גוג'ראטית
ハウサ語	האוסה
ヘブライ語	עברית
ヒンディ語	הינדית
クロアチア語	קרואטית
ハイチ・クレオール語	קריאולית האיטית
ハンガリー語	הונגרית
インドネシア語	אינדונזית
イボ語	שפת האיבו
アイスランド語	איסלנדית
イタリア語	איטלקית
日本語	יפנית
ジャワ語	ג'אוונית
カザフ語	קזחי
朝鮮語	קוריאנית
クルド語	כורדית
キルギス語	קירגיזי
ラテン語	לטינית
ルクセンブルク語	לוקסמבורגית
リンガラ語	לינגלה
リトアニア語	ליטאית
ラトビア語	לטבית
マダガスカル語	מלגשי
マオリ語	מאורי
マケドニア語	מקדוני
マラヤーラム語	מלאילאם
モンゴル語	מונגולי
マラーティー語	מראתי
マレー語	מלאית
マルタ語	מלטזית
ビルマ語	בורמזי
ネパール語	נפאלית
ノルウェー語	נורווגית
オランダ語	הולנדית
オック語	אוקסיטנית
オロモ語	אורומו
パンジャーブ語	פנג'אבי
ポーランド語	פולנית
パシュトー語	פשטו
ポルトガリア語	פורטוגזית
ブラジルポルトガル語	פורטוגזית ברזילאית
ヨーロピアンポルトガル語	פורטוגזית אירופית
ケチュア語	קצ'ואה
ルーマニア語	רומנית
ロシア語	רוסית
サンスクリット語	סנסקריט
スロバキア語	סלובקית
スロベニア語	סלובנית
セルビア語	סרבית
南セソト語	ססוטו דרומית
スンダ語	סונדני
スウェーデン語	שוודית
スワヒリ語	סוואהילית
タミル語	טמילית
テルグ語	טלוגו
タジク語	טג'יקי
タイ語	תאית
トルクメン語	טורקמני
タガログ語	טאגלוג
トルコ語	טורקית
タタール語	טטרית
ウクライナ語	אוקראיני
ウルドゥー語	אורדו
ウズベク語	אוזבקי
ベトナム語	וייטנאמית
コサ語	קוסה
イディッシュ語	יידיש
簡体中国語	סינית מפושטת
繁体中国語	סינית מסורתית
ズールー語	זולו
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	הדפדפן שבו אתה משתמש כרגע הוא גרסה ישנה שכבר אינה נתמכת. כדי להבטיח חוויית גלישה בטוחה ונוחה יותר, אנא עדכן את הדפדפן לגרסה העדכנית ביותר.
不正なリクエストです	בקשה לא חוקית
画像が見つかりません	התמונה לא נמצאה
