設定	Setelan
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Kanggo panggunaan liya, mangga hubungi pangarang kanggo entuk lisensi komersial.
本プラグインには以下のライブラリを同梱しています	Plugin iki kalebu pustaka-pustaka ing ngisor iki
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Plugin iki kalebu font seni ASCII sing digawe ing ngisor iki, bebarengan karo file font.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Plugin iki ngemot musik saka game Super Famicom ora resmi 'SM Trainer Hitomi 3', sing dikembangaké déning EJ Co., Ltd. lan digubah déning pangripta plugin iki, lan wis dilisensi sacara resmi.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Plugin iki ngemot trek sing digawe nganggo 'Keppy's YAMAHA C7', sing dikembangaké déning Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Aku uga wis nggunakake Raspberry Pi 5, ChatGPT, lan DeepL ing pangembangan plugin iki.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Plugin caching wis dideteksi. Plugin iki ora bakal bisa digunakake kanthi bener yen plugin caching diaktifake.
無効なIPアドレス	Alamat IP ora sah
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Kanggo nggunakake situs web iki, sampeyan kudu ngaktifake cookie lan JavaScript.
利用規約	Syarat Panggunaan
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Kanggo nyegah panggunaan tanpa ijin lan njamin operasi layanan kita kanthi aman, situs web iki bisa nyimpen informasi kaya alamat IP, riwayat browsing, lan cathetan aktivitas ing cookie lan basis data. Informasi iki mung digunakake kanggo operasi situs web lan kanggo tujuan hukum, lan ora bakal diungkapake marang pihak katelu.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Kanggo nggunakake layanan iki, sampeyan kudu sarujuk marang kegiatan pangolahan iki.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Sampeyan bisa ndeleng isi Kebijakan Privasi tanpa nggatekake apa sampeyan wis maringi persetujuan utawa ora.
同意する	Aku sarujuk
同意しない	Aku ora sarujuk
確認	Konfirmasi
プライバシーポリシー	Kabijakan Privasi
通常とは異なる方法でのアクセスや操作が検出されました	Akses utawa aktivitas sing ora biasa wis dideteksi
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Sawetara fitur wis diwatesi kanggo tujuan keamanan lan perlindungan konten.
デバッグモード、コンソールの起動は禁止されています	Mode debug lan akses konsol wis dinonaktifake
以下の情報がサーバーに送信されました	Informasi ing ngisor iki wis dikirim menyang server
あなたのIPアドレス	Alamat IP sampeyan
あなたの端末とブラウザ	Piranti lan panyungsi sampeyan
あなたの押下したキー	Kunci sing sampeyan pencet
リダイレクトをします	Sampeyan bakal dialihaké
コンテンツ保護のため一部の機能を制限しています	Sawetara fitur wis diwatesi kanggo nglindhungi isi
右クリックは禁止されています	Klik tengen ora diijini
あなたが押下したキー	Kunci sing sampeyan pencet
印刷、PDFへの保存は禁止されています	Nyithak lan nyimpen minangka PDF dilarang.
スクリーンショットは禁止されています	Ngambil tangkapan layar dilarang
スクリーンショット、デバッグモード等の起動は禁止されています	Ngambil tangkapan layar lan ngaktifake mode debug dilarang.
ページの保存は禁止されています	Nyimpen kaca iki dilarang
コピー、カットは禁止されています	Nyalin lan motong dilarang.
あなたが起こしたイベント	Acara-acara sing wis sampeyan atur
テキストの選択は禁止されています	Milih teks ora diijini
HTMLソース表示は禁止されています	Nampilake kode sumber HTML dilarang
不正アクセスは禁止されています	Akses tanpa ijin dilarang
アフリカーンス語	Basa Afrikaans
アラゴン語	Aranon
アラビア語	Arab
アッサム語	Asamese
アゼルバイジャン語	Azerbaijani
バシュキール語	Bashkir
ベラルーシ語	Basa Belarusia
ベンガル語	Bengali
ブルガリア語	Bulgaria
ボスニア語	Bosnia
カタロニア語	Katalan
チェコ語	Ceko
ウェールズ語	Walesa
デンマーク語	Danés
ドイツ語	Jerman
現代ギリシア語	Yunani modhèrn
英語	Basa Inggris
イギリス英語	Inggris
アメリカ英語	Basa Inggris Amerika
エスペラント語	Bahasa Esperanto
スペイン語	Spanyol
エストニア語	Estonia
バスク語	Basque
ペルシャ語	Persia
フィンランド語	Basa Finlandia
フランス語	Prancis
アイルランド語	Wong Irlandia
ガリシア語	Galicia
グァラニ語	Tonggo
グジャラート語	Gujarati
ハウサ語	Wahausha
ヘブライ語	Ibrani
ヒンディ語	Basa Hindi
クロアチア語	Kroasia
ハイチ・クレオール語	Kréyòl Haiti
ハンガリー語	Wong Hongaria
インドネシア語	Indonesia
イボ語	Basa Ibo
アイスランド語	Eslandia
イタリア語	Italia
日本語	Jepang
ジャワ語	Jawa
カザフ語	Kazakh
朝鮮語	Koréa
クルド語	Kurdi
キルギス語	Kirgiz
ラテン語	Latin
ルクセンブルク語	Luksemburgis
リンガラ語	Basa
リトアニア語	Lituania
ラトビア語	Lituania
マダガスカル語	Malagasy
マオリ語	Maori
マケドニア語	Makedonia
マラヤーラム語	Malayalam
モンゴル語	Basa Mongolia
マラーティー語	Basa Marathi
マレー語	Melayu
マルタ語	Maltese
ビルマ語	Burmese
ネパール語	Wong Nepal
ノルウェー語	Norwegia
オランダ語	Walanda
オック語	Okitan
オロモ語	Umbul
パンジャーブ語	Punjabi
ポーランド語	Nggilap
パシュトー語	Pashto
ポルトガリア語	Portugis
ブラジルポルトガル語	Portugis Brasil
ヨーロピアンポルトガル語	Portugis Éropa
ケチュア語	Quechua
ルーマニア語	Basa Romania
ロシア語	Rusia
サンスクリット語	Basa Latin
スロバキア語	Slovak
スロベニア語	Slovénia
セルビア語	Sèrbia
南セソト語	Kidul Sesotho
スンダ語	Basajané
スウェーデン語	Swedia
スワヒリ語	Swahili
タミル語	Tamil
テルグ語	Telugu
タジク語	Mahkota
タイ語	Tèh
トルクメン語	Turki
タガログ語	Basa Tagalog
トルコ語	Turki
タタール語	Tatar
ウクライナ語	Ukraina
ウルドゥー語	Urdu
ウズベク語	Wong Uzbek
ベトナム語	Wong Vietnam
コサ語	Kosakata
イディッシュ語	Yiddish
簡体中国語	Basa Cina sing disederhanakake
繁体中国語	Basa Cina tradisional
ズールー語	Zuluku
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Panyungsi sing saiki sampeyan gunakake iku versi lawas sing wis ora didhukung maneh. Kanggo njamin pengalaman nyusuri sing luwih aman lan luwih nyaman, mangga nganyari menyang versi paling anyar saka panyungsi sampeyan.
不正なリクエストです	Panjaluk ora sah
画像が見つかりません	Gambar ora ditemokake
