設定	Жөндөөлөр
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Албетте, сизге шарттарыңыз жана эрежелериңиз, ошондой эле сайтыңыздын саясаты толук жана камтуусун камсыз кылуу керек. Бул плагин шарттарды жана эрежелерди түзүүчү курал болбосо да, ал кээ бир көрсөтмөлөрдү бере алат.
開発者: 夜桜　なの	Өндүрүүчү: Нано Ёзакура
バージョン	Нусха
ビルド	Куруу
サポートページ	Колдоо баракчасы
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Аткаруучусу Мисс Ура Манира
支援のお願い	Көмөк суранычы
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protectorду колдонгонуңуз үчүн рахмат!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Бул плагиндин иштеп чыгылышы жана тейлөөсү көп убакытты жана күч-аракетти талап кылды, аны мындан ары жакшыртуу жана жаңыртуу үчүн каражат топтоо максатында бизди колдоого мүмкүнчүлүгүңүз бар ар бир адамдан кайрымдуулук кылууну суранат элек.
寄付について	Салымдар жөнүндө
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Донордук жардам толугу менен ыктыярдуу болуп, милдеттүү эмес. Бул плагин ар бир адамга акысыз жеткиликтүү. Бирок биздин ишти улантууга көрсөткөн колдооңуз абдан баалуу, жана мүмкүнчүлүгүңүз болсо, кандай гана сумма болбосун салым кошууга кубанычтабыз.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Төмөнкү шилтеме аркылуу кайрымдуулук кыла аласыз. Эгерде сиз Японияда жайгашкан болсоңуз, акысыз кайрымдуулук кыла аласыз жана Amazon белек сертификаттарын колдонуп оңой эле кайрымдуулук кыла аласыз.
寄付先	Жардам уюмдары
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Сиздин колдооңуз менен биз сиздерге укмуштуу жаңыртууларды алып келүүнү улантуу үчүн колубуздан келгендин баарын жасайбыз!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Биз сиздин колдооңузга ыраазыбыз жана келечекте да сиздин колдооңузду күтүп турабыз.
ライセンス	Лицензия
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Бул плагин ачык булактуу программалык камсыздоо катары иштелип чыккан жана GPL v2.0 же андан кийинки лицензиясы менен таратылат.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Бул плагинде камтылган айрым технологиялар патенттер менен корголгон.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Патенттелген технологияны колдонуу ушул плагиндин ичинде гана уруксат берилет.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Башка максатта колдонуу үчүн коммерциялык лицензия алуу үчүн авторго кайрылыңыз.
本プラグインには以下のライブラリを同梱しています	Бул плагин төмөнкү китепканаларды камтыйт
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Бул плагин төмөндө түзүлгөн ASCII-арт шрифттерин жана шрифт файлдарын камтыйт.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Бул плагин EJ Co., Ltd. тарабынан иштелип чыккан жана бул плагиндин автору тарабынан жазылган, расмий эмес Super Famicom оюну «SM Trainer Hitomi 3» үчүн музыканы камтыйт жана расмий лицензияланган.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Бул плагин Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Мен бул плагиндин иштеп чыгуусунда Raspberry Pi 5, ChatGPT жана DeepLди да колдонгом.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Кэштөө плагини аныкталды. Эгерде кэштөө плагини күйгүзүлгөн болсо, бул плагин туура иштебейт.
無効なIPアドレス	Жараксыз IP дарек
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Бул веб-сайтты колдонуу үчүн cookie-файлдарды жана JavaScriptти иштетишиңиз керек.
利用規約	Колдонуу шарттары
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Уруксатсыз колдонууну алдын алуу жана кызматтарыбыздын коопсуз иштешин камсыз кылуу максатында бул веб-сайт IP-даректерди, браузердеги тарыхты жана иш-аракет журналдарын cookie-файлдарда жана маалымат базаларында сактап калышы мүмкүн. Бул маалыматтар веб-сайттын иштеши жана мыйзамдуу максаттар үчүн гана колдонулат жана үчүнчү жактарга ачыкталбайт.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Бул кызматты колдонуу үчүн сиз бул иштетүү иш-аракеттерине макул болушуңуз керек.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Сиз макулдук берген-бербегениңизге карабастан, Купуялык саясатынын мазмунун көрө аласыз.
同意する	Мен макулмун
同意しない	Мен макул эмесмин
確認	Тастыктоо
プライバシーポリシー	Жеке маалыматтарды коргоо саясаты
通常とは異なる方法でのアクセスや操作が検出されました	Кадимки эмес кирүү же активдүүлүк аныкталды
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Коопсуздукту камсыз кылуу жана мазмунду коргоо максатында айрым функциялар чектелди.
デバッグモード、コンソールの起動は禁止されています	Каталарды оңдоо режими жана консолго кирүү өчүрүлгөн
以下の情報がサーバーに送信されました	Төмөнкү маалымат серверге жөнөтүлдү
あなたのIPアドレス	Сиздин IP дарегиңиз
あなたの端末とブラウザ	Сиздин түзмөгүңүз жана браузериңиз
あなたの押下したキー	Сиз баскан ачкыч
リダイレクトをします	Сиз багытталмаксыз
コンテンツ保護のため一部の機能を制限しています	Мазмунду коргоо максатында айрым өзгөчөлүктөр чектелди.
右クリックは禁止されています	Оң чыкылдатууга уруксат берилбейт
あなたが押下したキー	Сиз баскан ачкыч
印刷、PDFへの保存は禁止されています	Басып чыгаруу жана PDF катары сактоо тыюу салынат.
スクリーンショットは禁止されています	Скриншотторго тыюу салынат.
スクリーンショット、デバッグモード等の起動は禁止されています	Скриншотторду алуу жана дебаг режимин күйгүзүү тыюу салынат.
ページの保存は禁止されています	Бул баракты сактоого тыюу салынат
コピー、カットは禁止されています	Көчүрүү жана кесүү тыюу салынат.
あなたが起こしたイベント	Сиз уюштурган иш-чаралар
テキストの選択は禁止されています	Текстти тандап алууга болбойт
HTMLソース表示は禁止されています	HTML булак кодун көрсөтүүгө тыюу салынат.
不正アクセスは禁止されています	Уруксатсыз кирүү тыюу салынат
アフリカーンス語	Африкаанс
アラゴン語	Арагонча
アラビア語	Араб тили
アッサム語	Ассам тили
アゼルバイジャン語	Азербайжан
バシュキール語	Башҡорт
ベラルーシ語	Беларус тили
ベンガル語	Бенгали
ブルガリア語	Болгарча
ボスニア語	Босниялык
カタロニア語	Каталондук
チェコ語	Чех
ウェールズ語	Уэльс
デンマーク語	Даниялык
ドイツ語	Немис
現代ギリシア語	Заманбап грекче
英語	Орусча
イギリス英語	Британиялык
アメリカ英語	Америкалык англисче
エスペラント語	Эсперанто
スペイン語	Испан тили
エストニア語	Эстондук
バスク語	Баск
ペルシャ語	Парсы
フィンランド語	Финнче
フランス語	Французча
アイルランド語	Ирландча
ガリシア語	Галисиялык
グァラニ語	Гуарани
グジャラート語	Гужарати
ハウサ語	хауса
ヘブライ語	Иврит
ヒンディ語	хинди
クロアチア語	Хорватча
ハイチ・クレオール語	Гаития креолу
ハンガリー語	Венгр тили
インドネシア語	Индонезиялык
イボ語	Ибо тили
アイスランド語	Исланд тили
イタリア語	Италиялык
日本語	Жапон
ジャワ語	Жава тили
カザフ語	Қазақ
朝鮮語	Корей
クルド語	Күрдчө
キルギス語	Кыргыз
ラテン語	Латын
ルクセンブルク語	Люксембургча
リンガラ語	Лингала
リトアニア語	Литвин
ラトビア語	Латвиялык
マダガスカル語	Малагаси
マオリ語	маори
マケドニア語	Македонец
マラヤーラム語	Малаялам
モンゴル語	Монгол
マラーティー語	Марати
マレー語	Малай
マルタ語	Мальтийский
ビルマ語	Бурма
ネパール語	Непалдык
ノルウェー語	Норвегиялык
オランダ語	Голландча
オック語	Окситан
オロモ語	Же
パンジャーブ語	Пенджаби
ポーランド語	Польша тили
パシュトー語	Пашту
ポルトガリア語	Португал тили
ブラジルポルトガル語	Бразилиялык португал тили
ヨーロピアンポルトガル語	Европа португал тили
ケチュア語	Кечуа
ルーマニア語	Румынча
ロシア語	Орусча
サンスクリット語	Санскрит
スロバキア語	Словакча
スロベニア語	Словенериялык
セルビア語	Сербче
南セソト語	Түштүк Сесото
スンダ語	Сунданче
スウェーデン語	Шведче
スワヒリ語	Суахили
タミル語	Тамил
テルグ語	Телугу
タジク語	Тожик
タイ語	тай
トルクメン語	Түркмөн
タガログ語	Тагалог
トルコ語	Түркчө
タタール語	Татар
ウクライナ語	Украиналык
ウルドゥー語	Урду
ウズベク語	Өзбек
ベトナム語	Вьетнамдык
コサ語	Коса
イディッシュ語	Идиш
簡体中国語	Жөнөкөйлөштүрүлгөн кытайча
繁体中国語	Салттуу кытайча
ズールー語	Зулу
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Учурда колдонуп жаткан браузериңиз эскирген версия болуп, колдоосу токтотулган. Коопсуз жана ыңгайлуу браузердик тажрыйба үчүн браузериңизди акыркы версияга жаңылаңыз.
不正なリクエストです	Жараксыз сурам
画像が見つかりません	Сүрөт табылган жок
