設定	सेटिङहरू
3分	३ मिनेट
4分	४ मिनेट
5分	५ मिनेट
6分	६ मिनेट
7分	७ मिनेट
8分	८ मिनेट
9分	९ मिनेट
10分	१० मिनेट
15分	१५ मिनेट
20分	बीस मिनेट
25分	२५ मिनेट
30分	३० मिनेट
35分	३५ मिनेट
40分	४० मिनेट
45分	४५ मिनेट
50分	५० मिनेट
55分	५५ मिनेट
1時間	१ घण्टा
画像URL情報の有効期限を設定します	छवि URL जानकारीको म्याद सकिने मिति सेट गर्नुहोस्
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	एकपटक लोड भएपछि, छवि URL र अस्थायी टोकन अमान्य हुनेछन्।
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	छविहरू मागअनुसार लोड गरिन्छन्, तर तिनीहरू निर्दिष्ट समयभन्दा ३० सेकेन्ड अगाडि स्वचालित रूपमा लोड हुनेछन्।
一時使用トークンのビット数	अस्थायी टोकनमा बिटहरूको संख्या
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	छवि URL जानकारीलाई इन्क्रिप्ट गर्न अस्थायी टोकनलाई पासवर्डको रूपमा प्रयोग गरिन्छ; यसले यसको शक्ति निर्दिष्ट गर्दछ।
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	यद्यपि ड्रपडाउन मेनुको तल देखाइएका विकल्पहरू क्रमशः विस्तृत हुँदै जान्छन्, यसले सर्भरमा बढी भार पार्न सक्छ र परिणामस्वरूप बढी मात्रामा HTML डेटा स्थानान्तरण हुन सक्छ।
ハッシュ化アルゴリズム	ह्यास एल्गोरिदम
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	छवि URL जानकारीलाई इन्क्रिप्ट गर्न अस्थायी टोकन पासवर्डको रूपमा प्रयोग गरिन्छ; यसका लागि ह्यासिङ आवश्यक पर्छ, र यो सेटिङले उक्त ह्यासिङको शक्ति निर्धारण गर्छ।
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	यद्यपि ड्रप-डाउन मेनुमा देखाइएका विकल्पहरूको सूचीमा तल जाँदा तीव्रता बढ्छ, यसले सर्भरमा बढी भार पार्छ।
基本設定	मूलभूत सेटिङहरू
高度な設定	उन्नत सेटिङहरू
初期設定に戻す	डिफल्ट सेटिङहरू पुनर्स्थापना गर्नुहोस्
デザイン・音の設定	डिजाइन र ध्वनि सेटिङहरू
イベントの設定	कार्यक्रम सेटिङहरू
初回訪問時のお知らせの設定	पहिलो पटकको भ्रमणका लागि सूचनाहरू सेटअप गर्दै
メッセージの設定	सन्देश सेटिङहरू
右クリックやソースコード表示時に転送する URL を設定します	दायाँ-क्लिक गर्दा वा स्रोत कोड हेर्दा खुल्ने URL सेट गर्नुहोस्
警告メッセージにはHTMLは使用できません	चेतावनी सन्देशहरूमा HTML प्रयोग गर्न सकिँदैन।
この画面で設定すると、高度な設定タブにある言語設定が無視されます	यदि तपाईंले यस स्क्रिनमा यसलाई कन्फिगर गर्नुभयो भने, एडभान्स्ड ट्याबका भाषा सेटिङहरू बेवास्ता गरिनेछन्।
以下の文字列が使用できます	निम्न स्ट्रिङहरू प्रयोग गर्न सकिन्छ।
改行	पङ्क्तिविराम
押下されたキー	कुञ्जी थिचियो
Neo HTML Protector 設定	नियो HTML प्रोटेक्टर सेटिङहरू
お知らせ	सूचना
メッセージ	सन्देश
デザイン・音	डिजाइन र ध्वनि
初期化	आरम्भिकीकरण
このプラグインについて	यस प्लगइनको बारेमा
設定が初期化されました	सेटिङहरू रिसेट गरिएका छन्।
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	प्लगइनलाई आरम्भ गर्नुहोस्। कृपया ध्यान दिनुहोस् कि यस चरणमा IP Log Reader को डेटा मेटाइने छैन।
Neo HTML Protectorについて	नियो एचटीएमएल प्रोटेक्टरको बारेमा
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	यो प्लगइन तपाईंको WordPress साइटले उत्पन्न गरेको HTML, छविहरू र अन्य सामग्रीलाई अनधिकृत प्रयोगबाट सुरक्षित राख्न डिजाइन गरिएको हो।
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	सामग्रीलाई पूर्ण रूपमा सुरक्षित गर्नु असम्भव छ। तथापि, जहाँसम्म सम्भव हुन्छ चेतावनी जारी गरेर र केही भएमा तयारी गरेर, हामीले सरकारले तोकेका प्रक्रियाहरूअनुसार यो विषय समाधान गर्न सक्षम हुनेछौं।
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	अवश्य पनि, तपाईंले आफ्नो नियम र सर्तहरू तथा साइट नीति व्यापक छन् भनी सुनिश्चित गर्नुपर्नेछ। यद्यपि यो प्लगइन नियम र सर्तहरू सिर्जना गर्ने उपकरण होइन, यसले केही मार्गदर्शन प्रदान गर्न सक्छ।
開発者: 夜桜　なの	विकासकर्ता: नानो योझकुरा
バージョン	संस्करण
ビルド	निर्माण गर्नुहोस्
サポートページ	समर्थन पृष्ठ
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	मिस उरा मनिराद्वारा प्रस्तुत
支援のお願い	मद्दतको लागि अनुरोध
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector प्रयोग गर्नुभएकोमा धन्यवाद!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	यस प्लगइनको विकास र मर्मतसम्भारमा धेरै समय र प्रयास लागेको छ, र यसलाई निरन्तर सुधार र अद्यावधिक गर्न कोष संकलनका लागि सक्षम जो कोहीले सहयोग गर्न विचार गर्नुभएमा हामी आभारी हुनेछौं।
寄付について	दानको बारेमा
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	दानहरू पूर्ण रूपमा स्वैच्छिक हुन् र अनिवार्य होइनन्। यो प्लगइन सबैका लागि निःशुल्क उपलब्ध छ। तथापि, विकास जारी राख्न तपाईंको सहयोग अत्यन्तै सराहनीय छ, र तपाईंले जे जति योगदान दिन सक्नुहुन्छ, त्यसले हामीलाई खुशी बनाउनेछ।
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	तपाईं तलको लिङ्क मार्फत दान गर्न सक्नुहुन्छ। यदि तपाईं जापानमा हुनुहुन्छ भने निःशुल्क दान गर्न सक्नुहुन्छ, र अमेजन उपहार भौचर प्रयोग गरेर पनि सजिलै दान गर्न सक्नुहुन्छ।
寄付先	दान संस्थाहरू
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	तपाईंको सहयोगले, हामी तपाईंलाई उत्कृष्ट अपडेटहरू निरन्तर उपलब्ध गराउन सक्दो प्रयास गर्नेछौं!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	हामी तपाईंको सहयोगका लागि आभारी छौं र भविष्यमा पनि तपाईंको निरन्तर सहयोगको अपेक्षा गर्दछौं।
ライセンス	इजाजतपत्र
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	यो प्लगइन खुला स्रोत सफ्टवेयरको रूपमा विकास गरिएको हो र GPLv2.0 वा त्यसपछि इजाजतपत्र प्राप्त छ।
このプラグインに含まれるいくつかの技術は特許保護の対象です。	यस प्लगइनमा समावेश केही प्रविधिहरू पेटेन्टद्वारा संरक्षित छन्।
特許技術の使用は、このプラグイン内での使用に限って認められます。	पेटेन्ट गरिएको प्रविधिको प्रयोग केवल यस प्लग-इन भित्र मात्र अनुमति छ।
その他の使用については、作者に連絡して商用ライセンスを取得してください。	अन्य कुनै पनि प्रयोगका लागि, कृपया व्यावसायिक इजाजतपत्र प्राप्त गर्न लेखकलाई सम्पर्क गर्नुहोस्।
本プラグインには以下のライブラリを同梱しています	यस प्लगइनमा निम्न पुस्तकालयहरू समावेश छन्।
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	यस प्लगइनमा तल उत्पन्न गरिएका ASCII कला फन्टहरू र फन्ट फाइलहरू समावेश छन्।
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	यो प्लगइनमा EJ Co., Ltd. द्वारा विकसित र यस प्लगइनका निर्माताद्वारा रचित अनौपचारिक सुपर फ्यामिकम खेल 'SM Trainer Hitomi 3' को संगीत समावेश गरिएको छ, र यसले आधिकारिक रूपमा अनुमति प्राप्त गरेको छ।
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	यो प्लगइनमा Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	मैले यो प्लगइनको विकासमा रास्पबेरी पाई ५, ChatGPT र DeepL पनि प्रयोग गरेको छु।
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	क्यासिङ प्लगइन पत्ता लागेको छ। यदि क्यासिङ प्लगइन सक्षम छ भने यो प्लगइन ठीकसँग काम गर्दैन।
無効なIPアドレス	अमान्य आईपी ठेगाना
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	यो वेबसाइट प्रयोग गर्न, तपाईंले कुकीहरू र जाभास्क्रिप्ट सक्षम गर्नुपर्छ।
利用規約	प्रयोगका सर्तहरू
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	अनधिकृत प्रयोग रोक्न र हाम्रा सेवाहरूको सुरक्षित सञ्चालन सुनिश्चित गर्न, यस वेबसाइटले आईपी ठेगानाहरू, ब्राउजिङ इतिहास र गतिविधि लगहरू जस्ता जानकारी कुकीहरू र डेटाबेसहरूमा भण्डारण गर्न सक्छ। यो जानकारी केवल वेबसाइट सञ्चालन र कानुनी प्रयोजनका लागि मात्र प्रयोग गरिन्छ र तेस्रो पक्षलाई खुलासा गरिने छैन।
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	यो सेवा प्रयोग गर्न, तपाईंले यी प्रशोधन गतिविधिहरूमा सहमति दिनुपर्छ।
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	तपाईंले आफ्नो सहमति दिनुभएको होस् वा नहोस्, गोपनीयता नीतिमा भएका सामग्रीहरू हेर्न सक्नुहुन्छ।
同意する	म सहमत छु
同意しない	म असहमत छु
確認	पुष्टि
プライバシーポリシー	गोपनीयता नीति
通常とは異なる方法でのアクセスや操作が検出されました	असामान्य पहुँच वा गतिविधि पत्ता लागेको छ।
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	केही सुविधाहरू सुरक्षा र सामग्री संरक्षणका उद्देश्यका लागि प्रतिबन्धित गरिएका छन्।
デバッグモード、コンソールの起動は禁止されています	डिबग मोड र कन्सोल पहुँच अक्षम गरिएको छ।
以下の情報がサーバーに送信されました	निम्न जानकारी सर्भरमा पठाइएको छ।
あなたのIPアドレス	तपाईंको आईपी ठेगाना
あなたの端末とブラウザ	तपाईंको उपकरण र ब्राउजर
あなたの押下したキー	तपाईंले थिच्नुभएको कुञ्जी
リダイレクトをします	तपाईंलाई पुनर्निर्देशित गरिनेछ
コンテンツ保護のため一部の機能を制限しています	सामग्रीको सुरक्षा गर्न केही सुविधाहरू प्रतिबन्धित गरिएका छन्।
右クリックは禁止されています	दायाँ-क्लिक गर्न अनुमति छैन
あなたが押下したキー	तपाईंले थिच्नुभएको कुञ्जी
印刷、PDFへの保存は禁止されています	PDF मा प्रिन्ट र सेभ गर्न निषेध गरिएको छ।
スクリーンショットは禁止されています	स्क्रिनसटहरू निषेधित छन्।
スクリーンショット、デバッグモード等の起動は禁止されています	स्क्रिनसट लिन र डिबग मोड सक्षम गर्न निषेध गरिएको छ।
ページの保存は禁止されています	यो पृष्ठ सुरक्षित गर्न निषेध गरिएको छ।
コピー、カットは禁止されています	प्रतिलिपि बनाउन र काट्न निषेध गरिएको छ।
あなたが起こしたイベント	तपाईंले आयोजना गर्नुभएका कार्यक्रमहरू
テキストの選択は禁止されています	टेक्स्ट चयन गर्न अनुमति छैन।
HTMLソース表示は禁止されています	HTML स्रोत कोड प्रदर्शन गर्न निषेध गरिएको छ।
不正アクセスは禁止されています	अनधिकृत पहुँच निषेध छ।
アフリカーンス語	अफ्रिकान्स
アラゴン語	अरागोनी
アラビア語	अरबी
アッサム語	असमिया
アゼルバイジャン語	अजरबैजानि
バシュキール語	बाँदर
ベラルーシ語	बेलारुसी
ベンガル語	बंगाली
ブルガリア語	बुल्गेरियाली
ボスニア語	बोस्नियाली
カタロニア語	क्याटालान
チェコ語	चेक
ウェールズ語	वेल्श
デンマーク語	डेनिश
ドイツ語	जर्मन
現代ギリシア語	आधुनिक ग्रीक
英語	अंग्रेजी
イギリス英語	ब्रिटिश अंग्रेजी
アメリカ英語	अमेरिकी अंग्रेजी
エスペラント語	एस्पेरान्तो
スペイン語	स्पेनी
エストニア語	एस्टोनियाली
バスク語	बास्क
ペルシャ語	फारसी
フィンランド語	फिनिश
フランス語	फ्रान्सेली
アイルランド語	आयरिश
ガリシア語	ग्यालिसियन
グァラニ語	ग्वाराणी
グジャラート語	गुजराटी
ハウサ語	हाउसा
ヘブライ語	हिब्रू
ヒンディ語	हिन्दी
クロアチア語	क्रोएसियाली
ハイチ・クレオール語	हैतीयन क्रियोल
ハンガリー語	हङ्गेरियन
インドネシア語	इन्डोनेसियाली
イボ語	इबो भाषा
アイスランド語	आइसल्यान्डिक
イタリア語	इटालियन
日本語	जापानी
ジャワ語	जाभाली
カザフ語	काजाख
朝鮮語	कोरियाली
クルド語	कुर्द
キルギス語	किर्गिज
ラテン語	लैटिन
ルクセンブルク語	लक्जमबर्गिश्
リンガラ語	लिङ्गाला
リトアニア語	लिथुआनियन
ラトビア語	लाटभियाली
マダガスカル語	मलागासी
マオリ語	माओरी
マケドニア語	म्यासेडोनियन
マラヤーラム語	मल्यालम
モンゴル語	मंगोलियन
マラーティー語	मराठी
マレー語	मले
マルタ語	माल्टीज
ビルマ語	बर्मी
ネパール語	नेपाली
ノルウェー語	नर्वेजियन
オランダ語	डच
オック語	ओक्सिटान
オロモ語	वा
パンジャーブ語	पंजाबी
ポーランド語	चम्काउने
パシュトー語	پसतो
ポルトガリア語	पोर्चुगिज
ブラジルポルトガル語	ब्राजिलियन पोर्तुगाली
ヨーロピアンポルトガル語	युरोपेली पोर्तुगाली
ケチュア語	केचुआ
ルーマニア語	रोमानियाली
ロシア語	रूसी
サンスクリット語	संस्कृत
スロバキア語	स्लोभाक
スロベニア語	स्लोभेनियाली
セルビア語	सेर्बियाली
南セソト語	दक्षिणी सेसोटो
スンダ語	सुन्डाली
スウェーデン語	स्वीडिश
スワヒリ語	स्वाहिली
タミル語	तमिल
テルグ語	तेलुगु
タジク語	ताजिक
タイ語	थाई
トルクメン語	तुर्कमेन
タガログ語	ट्यागलग
トルコ語	तुर्की
タタール語	ततार
ウクライナ語	युक्रेनी
ウルドゥー語	उर्दू
ウズベク語	उज्बेक
ベトナム語	भियतनामी
コサ語	कोसा
イディッシュ語	यिद्दिश
簡体中国語	सरलीकृत चिनियाँ
繁体中国語	परम्परागत चिनियाँ
ズールー語	जुल्लु
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	तपाईंले हाल प्रयोग गरिरहनुभएको ब्राउजर पुरानो संस्करण हो जुन अब समर्थन हुँदैन। सुरक्षित र अधिक सुविधाजनक ब्राउजिङ अनुभव सुनिश्चित गर्न कृपया आफ्नो ब्राउजरको नवीनतम संस्करणमा अपडेट गर्नुहोस्।
不正なリクエストです	अमान्य अनुरोध
画像が見つかりません	छवि फेला परेन
