設定	Litlhophiso
押下されたキー	Konopo e hatiloe
Neo HTML Protector 設定	Litlhophiso tsa Neo HTML Protector
お知らせ	Tsebiso
メッセージ	Molaetsa
デザイン・音	Moralo le Molumo
初期化	Qalo
このプラグインについて	Mabapi le plugin ena
設定が初期化されました	Litlhophiso li tsosolositsoe.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Qala plugin. Ka kopo hlokomela hore data ea IP Log Reader e ke ke ea hlakoloa mohatong ona.
Neo HTML Protectorについて	Mabapi le Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Plugin ena e etseditswe ho sireletsa HTML, ditshwantsho le dikahare tse ding tse hlahiswang ke sebaka sa hao sa WordPress, e e sireletsa kgahlanong le tshebediso e sa dumellwang.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Ho ke ke ha khoneha ho sireletsa dikahare ka botlalo. Leha ho le jwalo, ka ho fana ka ditemoso hohle moo ho kgonehang le ho etsa ditokisetso haeba ho ka etsahala letho, re lokela ho kgona ho rarolla taba ena ho ya ka mekgwa e behilweng ke mmuso.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Ehlile, o tla hloka ho netefatsa hore lipehelo tsa hau tsa tšebeletso le maano a sebaka sa marang-rang li akaretsa tsohle. Leha plugin ena e se sesebelisoa sa ho hlahisa lipehelo tsa tšebeletso, e ka fana ka tataiso e itseng.
開発者: 夜桜　なの	Mohlahisi: Nano Yozakura
バージョン	Mofuta
ビルド	Aha
サポートページ	Leqephe la tšehetso
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	E bapaliloe ke Mofumahatsana Ura Manira
支援のお願い	Kopo ea tšehetso
Neo HTML Protectorをご利用いただき、ありがとうございます！	Re a leboha ka ho sebedisa Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Ntshetsopele le tlhokomelo ya plugin ena e hloka nako le matsapa a mangata, mme e le hore re fumane tjhelete ya ho tswela pele ho e ntlafatsa le ho e ntjhafatsa, re ka thabela ha mang kapa mang ya ka kgonang ho re tshehetsa a ka nahanela ho fana ka monehelo.
寄付について	Mabapi le menehelo
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Menehelo ke ya boithaopo feela, ha e qobellehe. Plugin ena e fumaneha ho bohle mahala. Leha ho le jwalo, re ananela tshehetso ya lona haholo ho re thusa ho tswela pele ka ntshetsopele, mme re ka thaba haholo ha o ka fana ka monehelo, leha o le monnyane.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	U ka etsa monehelo ka sehokelo se ka tlase. Haeba u le Japane, u ka fana ka monehelo ntle le tefo, hape u ka fana habonolo ka li-voucher tsa limpho tsa Amazon.
寄付先	Mekhatlo ea liphallelo
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Ka tšehetso ea lona, re tla etsa sohle se matleng a rona ho tsoela pele ho le tlisetsa lintlafatso tse babatsehang!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Re leboha tšehetso ea lona 'me re lebeletse ho tsoela pele ho tšehetsoa ke lona nakong e tlang.
ライセンス	Laesense
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Plugin ena e entsoe e le software e pheluoeng ka bolokolohi, 'me e na le laesense tlas'a GPL v2.0 kapa e ncha ho feta moo.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Theknoloji tse ling tse kenyellelitsoeng ho plugin ena li sirelelitsoe ke li-patent.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Tšebeliso ea theknoloji e nang le laesense e lumelletsoe feela ka har'a plug-in ena.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Bakeng sa tšebeliso efe kapa efe e 'ngoe, ka kopo ikopanye le mongoli ho fumana laesense ea khoebo.
本プラグインには以下のライブラリを同梱しています	Plugin ena e kenyeletsa lilaebrari tse latelang
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Plugin ena e kenyeletsa lifonto tsa bonono ba ASCII tse hlahisitsoeng ka tlase, hammoho le lifaele tsa lifonto.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Plugin ena e kenyeletsa 'mino o tsoang papaling e seng ea semmuso ea Super Famicom 'SM Trainer Hitomi 3', e entsoeng ke EJ Co., Ltd. le ho qapeloa ke moqapi oa plugin ena, 'me e na le laesense ea semmuso.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Plugin ena e kenyeletsa melodi e entsweng ka 'Keppy's YAMAHA C7', e ntshitsweng ke Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Ke boetse ke sebelisitse Raspberry Pi 5, ChatGPT le DeepL nts'etsopele ea plugin ena.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Ho fumanoe plugin ea caching. Plugin ena e ke ke ea sebetsa hantle haeba plugin ea caching e kentsoe tšebetsong.
無効なIPアドレス	Aterese ea IP e fosahetseng
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Ho sebedisa websaete ena, o tlameha ho nolofatsa di-cookie le JavaScript.
利用規約	Melao ea Tšebeliso
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Ho thibela tšebeliso e sa lumelloang le ho netefatsa ts'ebetso e sireletsehileng ea litšebeletso tsa rona, sebaka sena sa marang-rang se ka boloka tlhahisoleseling e kang liaterese tsa IP, nalane ea ho sheba le lirekoto tsa mesebetsi ho li-cookie le li-database. Tlhahisoleseling ena e sebelisoa feela bakeng sa ts'ebetso ea sebaka sa marang-rang le merero e molaong, 'me e ke ke ea senoloa ho batho ba boraro.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Ho sebelisa tshebeletso ena, o tlameha ho dumela mesebetsing ena ya tshebetso.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	U ka sheba diteng tsa Leano la Lekunutu ho sa natswe hore na o fane ka tumello ya hao kapa tjhe.
同意する	Ke a dumela
同意しない	Ha ke dumellane
確認	Tiisetso
プライバシーポリシー	Leano la Lekunutu
通常とは異なる方法でのアクセスや操作が検出されました	Ho lemohilwe phihlello kapa ketso e sa tlwaelehang.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Dikarolo tse itseng di thibetswe ka sepheo sa tshireletso le tshireletso ya dikahare.
デバッグモード、コンソールの起動は禁止されています	Mokgwa wa ho lokisa diphoso le phihlello ya khonsolo di thibetswe
以下の情報がサーバーに送信されました	Tlhahisoleseding e latelang e rometswe ho seva.
あなたのIPアドレス	Aterese ea hau ea IP
あなたの端末とブラウザ	Sesebediswa sa hao le sebatli sa hao
あなたの押下したキー	Senotlolo seo u se tobetseng
リダイレクトをします	U tla fetisetsoa
コンテンツ保護のため一部の機能を制限しています	Likarolo tse itseng li thibetsoe ho sireletsa litaba.
右クリックは禁止されています	Ho tobetsa ka ho le letona ha ho dumellwe
あなたが押下したキー	Senotlolo seo u se tobetseng
印刷、PDFへの保存は禁止されています	Ho hatisa le ho boloka e le PDF ho thibetsoe.
スクリーンショットは禁止されています	Ho nka ditshwantsho tsa skrine ho thibetsoe.
スクリーンショット、デバッグモード等の起動は禁止されています	Ho nka ditshwantsho tsa skrine le ho kenya tshebetsong mokgwa wa debug ho thibetsoe.
ページの保存は禁止されています	Ho boloka leqephe lena ho thibetsoe.
コピー、カットは禁止されています	Ho kopitsa le ho seha ho thibetsoe.
あなたが起こしたイベント	Liketsahalo tseo u li hlophisitseng
テキストの選択は禁止されています	Ha ho dumellwe ho kgetha mongolo.
HTMLソース表示は禁止されています	Ho thibetsoe ho bonts'a khoutu ea mohloli ea HTML.
不正アクセスは禁止されています	Ho kena ntle le tumello hoa thibeloa.
アフリカーンス語	Seaforikana
アラゴン語	Aragonese
アラビア語	Searabia
アッサム語	Aseamese
アゼルバイジャン語	Azerbaijani
バシュキール語	Ho nyatsa
ベラルーシ語	Belaorusiana
ベンガル語	Bengali
ブルガリア語	Bulgaria
ボスニア語	Bo-Bosnia
カタロニア語	Katalana
チェコ語	Se-Czech
ウェールズ語	Se-Welsh
デンマーク語	Sadanish
ドイツ語	Sejeremane
現代ギリシア語	Seerika sa sejwalejwale
英語	Senyesemane
イギリス英語	Bofeshemane
アメリカ英語	Senyesemane sa Amerika
エスペラント語	Sefika
スペイン語	Sepanishe
エストニア語	Moestonia
バスク語	Basque
ペルシャ語	Perse
フィンランド語	Finnishe
フランス語	Sefora
アイルランド語	Mo-Irelande
ガリシア語	Gaeliki
グァラニ語	Guaraní
グジャラート語	Guajirathi
ハウサ語	Hausa
ヘブライ語	Seheberu
ヒンディ語	Se-Hindi
クロアチア語	Kroate
ハイチ・クレオール語	Kereole ya Haiti
ハンガリー語	Se-Hungary
インドネシア語	Indoneshua
イボ語	Puo ea Ibo
アイスランド語	Aislande
イタリア語	Setaliana
日本語	Sejapane
ジャワ語	Sajawane
カザフ語	Kazakh
朝鮮語	Korea
クルド語	Kurdish
キルギス語	Kyrgyz
ラテン語	Leleme la Selatine
ルクセンブルク語	Luxembourga
リンガラ語	Lingi
リトアニア語	Lithuania
ラトビア語	Laetvia
マダガスカル語	Malagasy
マオリ語	Maori
マケドニア語	Masedonea
マラヤーラム語	Malayalam
モンゴル語	Mongoloa
マラーティー語	Marathi
マレー語	Malay
マルタ語	Malta
ビルマ語	Burmese
ネパール語	Se-Nepali
ノルウェー語	Se-Norway
オランダ語	Se-Dutch
オック語	Occitan
オロモ語	Kamoo
パンジャーブ語	Punjabi
ポーランド語	Ho benya
パシュトー語	Pase
ポルトガリア語	Putukezi
ブラジルポルトガル語	Sepotokisi sa Brazil
ヨーロピアンポルトガル語	Sepotokisi sa Europe
ケチュア語	Puo ea Quechua
ルーマニア語	Seromania
ロシア語	Serussia
サンスクリット語	Senyesemane sa khale
スロバキア語	Slovaiki
スロベニア語	Slovenia
セルビア語	Serbe
南セソト語	Boroa ba Sesotho
スンダ語	Setšehunji
スウェーデン語	Se-Sweden
スワヒリ語	Swahili
タミル語	Tamil
テルグ語	Setelugu
タジク語	Tajiki
タイ語	Thai
トルクメン語	Moturkey
タガログ語	Se-Tagalog
トルコ語	Terekhe
タタール語	Tatar
ウクライナ語	Seukraine
ウルドゥー語	Urdu
ウズベク語	Uzbeiki
ベトナム語	Mavietiname
コサ語	Phoso
イディッシュ語	Se-Yiddish
簡体中国語	Sets'e-China se nolofalitsoeng
繁体中国語	Sets'oants'o sa Tšaina sa setso
ズールー語	Setulusi
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Sebatli seo u se sebelisang hona joale ke mofuta oa khale o seng o sa tšehetsoe. Ho netefatsa boiphihlelo ba ho batla bo bolokehileng le bo phutholohileng haholoanyane, ka kopo ntlafatsa ho mofuta oa morao-rao oa sebatli sa hau.
不正なリクエストです	Kopo e fosahetseng
画像が見つかりません	Setshwantsho ha se a fumanwa
