設定	Instellings
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Sommige van die tegnologieë wat in hierdie inprop ingesluit is, word deur patente beskerm.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Die gebruik van die gepatenteerde tegnologie is slegs binne hierdie inprop toegelaat.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Vir enige ander gebruik, kontak asseblief die outeur om 'n kommersiële lisensie te bekom.
本プラグインには以下のライブラリを同梱しています	Hierdie inprop sluit die volgende biblioteke in
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Hierdie inprop sluit die ASCII-kuns-lettertipes in wat hieronder gegenereer is, tesame met die lettertipe-lêers.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Hierdie inprop sluit musiek in van die onoffisiële Super Famicom-speletjie 'SM Trainer Hitomi 3', ontwikkel deur EJ Co., Ltd. en gekomponeer deur die skepper van hierdie inprop, en is amptelik gelisensieer.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Hierdie inprop sluit snitte in wat geskep is met 'Keppy's YAMAHA C7', ontwikkel deur Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Ek het ook 'n Raspberry Pi 5, ChatGPT en DeepL gebruik in die ontwikkeling van hierdie inprop.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	'n kas-inprop is opgespoor. Hierdie inprop sal nie korrek funksioneer as 'n kas-inprop geaktiveer is nie.
無効なIPアドレス	Ongeldige IP-adres
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Om hierdie webwerf te gebruik, moet jy koekies en JavaScript inskakel.
利用規約	Gebruiksvoorwaardes
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Om ongemagtigde gebruik te voorkom en die veilige werking van ons dienste te verseker, mag hierdie webwerf inligting soos IP-adresse, blaai­geskiedenis en aktiwiteitslogboeke in koekies en databasisse stoor. Hierdie inligting word slegs vir die werking van die webwerf en vir wettige doeleindes gebruik, en sal nie aan derde partye bekendgemaak word nie.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Om hierdie diens te gebruik, moet u toestemming gee vir hierdie verwerkingsaktiwiteite.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	U kan die inhoud van die Privaatheidsbeleid besigtig, ongeag of u u toestemming gegee het.
同意する	Ek stem saam
同意しない	Ek stem nie saam nie
確認	Bevestiging
プライバシーポリシー	Privaatheidsbeleid
通常とは異なる方法でのアクセスや操作が検出されました	Ongewone toegang of aktiwiteit is opgespoor.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Sekere funksies is vir sekuriteits- en inhoudbeskermingsdoeleindes beperk.
デバッグモード、コンソールの起動は禁止されています	Foutopsporingsmodus en konsoletoegang is gedeaktiveer
以下の情報がサーバーに送信されました	Die volgende inligting is na die bediener gestuur.
あなたのIPアドレス	Jou IP-adres
あなたの端末とブラウザ	Jou toestel en blaaier
あなたの押下したキー	Die sleutel wat jy gedruk het
リダイレクトをします	Jy sal herlei word
コンテンツ保護のため一部の機能を制限しています	Sekere funksies is beperk om die inhoud te beskerm.
右クリックは禁止されています	Regskliek word nie toegelaat nie
あなたが押下したキー	Die sleutel wat jy gedruk het
印刷、PDFへの保存は禁止されています	Drukwerk en stoor as PDF is verbode.
スクリーンショットは禁止されています	Skermkiekies is verbode
スクリーンショット、デバッグモード等の起動は禁止されています	Dit is verbode om skermkiekies te neem en die foutopsporingsmodus in te skakel.
ページの保存は禁止されています	Dit is verbode om hierdie bladsy te stoor.
コピー、カットは禁止されています	Kopieer en knip is verbode.
あなたが起こしたイベント	Geleenthede wat jy gereël het
テキストの選択は禁止されています	Dit is nie toegelaat om teks te selekteer nie.
HTMLソース表示は禁止されています	Dit is verbode om HTML-bron kode te vertoon.
不正アクセスは禁止されています	Ongemagtigde toegang is verbode
アラビア語	Arabies
ブルガリア語	Bulgaars
チェコ語	Tsjeggies
デンマーク語	Deens
ドイツ語	Duits
現代ギリシア語	Moderne Grieks
英語	Engels
イギリス英語	Britsies
アメリカ英語	Amerikaanse Engels
スペイン語	Spaans
エストニア語	Estnies
フィンランド語	Fyns
フランス語	Frans
ハンガリー語	Hongarys
インドネシア語	Indonesies
イタリア語	Italiaans
日本語	Japans
朝鮮語	Koreaans
リトアニア語	Litouws
ラトビア語	Latviaans
ノルウェー語	Noors
オランダ語	Nederlands
ポーランド語	Poolse
ポルトガリア語	Portugees
ブラジルポルトガル語	Braziliaanse Portugees
ヨーロピアンポルトガル語	Europese Portugees
ルーマニア語	Roemeens
ロシア語	Russies
スロバキア語	Slowaaks
スロベニア語	Sloweens
スウェーデン語	Sweedse
トルコ語	Turks
ウクライナ語	Oekraïens
中国語	Chinese
簡体中国語	Vereenvoudigde Chinees
繁体中国語	Tradisionele Chinees
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Die blaaier wat jy tans gebruik, is 'n ouer weergawe wat nie meer ondersteun word nie. Om 'n veiliger en meer gemaklike blaaiervaring te verseker, stel asseblief jou blaaier op die nuutste weergawe by.
不正なリクエストです	Ongeldige versoek
画像が見つかりません	Beeld nie gevind nie
アフリカーンス語	Afrikaans
アラゴン語	Aragonees
アッサム語	Assamees
アゼルバイジャン語	Aserbeidjaans
バシュキール語	Bashkir
ベラルーシ語	Wit-Rusies
ベンガル語	Bengaalse
ボスニア語	Bosnies
カタロニア語	Katalaans
ウェールズ語	Wels
エスペラント語	Esperanto
バスク語	Baskies
ペルシャ語	Persies
アイルランド語	Iers
ガリシア語	Galisies
グァラニ語	Guaraní
グジャラート語	Gujarati
ハウサ語	Hausa
ヘブライ語	Hebreeus
ヒンディ語	Hindi
クロアチア語	Kroaties
ハイチ・クレオール語	Haïtiaanse Kreool
イボ語	Ibo-taal
アイスランド語	Yslandsees
ジャワ語	Jawaans
カザフ語	Kazakh
クルド語	Koerdies
キルギス語	Kirgiz
ラテン語	Latyn
ルクセンブルク語	Luxemburgs
リンガラ語	Taal
マダガスカル語	Madagasikara
マオリ語	Māori
マケドニア語	Masedonies
マラヤーラム語	Malaajlam
モンゴル語	Mongools
マラーティー語	Marathi
マレー語	Malaysies
マルタ語	Maltese
ビルマ語	Birmees
ネパール語	Nepalees
オック語	Oksitaans
オロモ語	Of-een
パンジャーブ語	Punjabi
パシュトー語	Pashto
ケチュア語	Quechua
サンスクリット語	Sanskriet
セルビア語	Serbies
南セソト語	Suidelike Sesotho
スンダ語	Sundaans
スワヒリ語	Swaheli
タミル語	Tamil
テルグ語	Telugu
タジク語	Tajik
タイ語	Thai
トルクメン語	Turkmen
タガログ語	Tagalog
タタール語	Tatar
ウルドゥー語	Oerdoo
ウズベク語	Oezbeek
ベトナム語	Viëtnamese
コサ語	Kosa
イディッシュ語	Jiddisj
ズールー語	Zulu
