設定	Параметрлер
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Осы плагинді әзірлеу және қолдау көп уақыт пен күш-жігерді талап етті, оны одан әрі жетілдіру мен жаңартуды жалғастыру үшін қаражат жинау мақсатында қолдау көрсете алатын кез келген адамнан қайырымдылық жасауды қарастыруды өтінеміз.
寄付について	Қайырымдылық туралы
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Қайрымдылық жасау толықтай ерікті және міндетті емес. Бұл плагин барлығына тегін қолжетімді. Алайда, дамуды жалғастыруға көмектесетін сіздің қолдауыңыз біз үшін аса бағалы, және мүмкіндігінше үлес қоссаңыз біз өте қуанышты болар едік.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Төмендегі сілтеме арқылы қайырымдылық жасай аласыз. Егер сіз Жапонияда болсаңыз, ақысыз қайырымдылық жасай аласыз және Amazon сыйлық купондарын пайдаланып оңай қайырымдылық жасай аласыз.
寄付先	Қайырымдылық ұйымдары
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Сіздің қолдауыңызбен біз сіздерге керемет жаңартуларды жеткізуді жалғастыру үшін барынша тырысамыз!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Қолдауыңызға алғыс білдіреміз және болашақта да сіздің қолдауыңызды асыға күтеміз.
ライセンス	Лицензия
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Бұл плагин ашық бастапқы кодты бағдарламалық қамтамасыз ету ретінде әзірленген және GPL v2.0 немесе одан кейінгі лицензиясымен қорғалған.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Осы плагиндегі кейбір технологиялар патенттермен қорғалған.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Патенттелген технологияны пайдалану тек осы плагин шеңберінде ғана рұқсат етіледі.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Басқа кез келген мақсатта пайдалану үшін коммерциялық лицензия алу үшін авторға хабарласыңыз.
本プラグインには以下のライブラリを同梱しています	Бұл плагин мына кітапханаларды қамтиды
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Бұл плагин төменде жасалған ASCII өнер қаріндерін және қаріп файлдарын қамтиды.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Бұл плагин EJ Co., Ltd. компаниясы әзірлеген және осы плагиннің авторы жазған ресми емес Super Famicom ойыны «SM Trainer Hitomi 3»-тен алынған музыканы қамтиды және ол ресми түрде лицензияланған.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Бұл плагинге Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Мен сондай-ақ осы плагинді әзірлеу барысында Raspberry Pi 5, ChatGPT және DeepL-ді қолдандым.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Кэштеу плагині анықталды. Кэштеу плагині қосулы болса, бұл плагин дұрыс жұмыс істемейді.
無効なIPアドレス	Жарамсыз IP мекенжайы
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Осы веб-сайтты пайдалану үшін cookie-файлдар мен JavaScript-ті қосуыңыз керек.
利用規約	Пайдалану шарттары
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Рұқсатсыз пайдалануды болдырмау және қызметтеріміздің қауіпсіз жұмыс істеуін қамтамасыз ету үшін бұл веб-сайт IP-мекенжайлар, шолу тарихы және әрекет журналдары сияқты ақпаратты cookie-файлдарда және дерекқорларда сақтай алады. Бұл ақпарат тек веб-сайттың жұмыс істеуі және заңды мақсаттар үшін пайдаланылады және үшінші тұлғаларға берілмейді.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Осы қызметті пайдалану үшін сіз осы өңдеу әрекеттеріне келісім беруіңіз керек.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Сіз келісім бергеніңізге қарамастан, Құпиялылық саясатының мазмұнын көре аласыз.
同意する	Мен келісемін
同意しない	Мен келіспеймін
確認	Растау
プライバシーポリシー	Жеке деректерді қорғау саясаты
通常とは異なる方法でのアクセスや操作が検出されました	Ерекше кіру немесе белсенділік анықталды
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Қауіпсіздік пен мазмұнды қорғау мақсатында кейбір мүмкіндіктер шектелді.
デバッグモード、コンソールの起動は禁止されています	Қателерді түзету режимі мен консольге қол жеткізу өшірілген
以下の情報がサーバーに送信されました	Төмендегі ақпарат серверге жіберілді
あなたのIPアドレス	Сіздің IP мекенжайыңыз
あなたの端末とブラウザ	Сіздің құрылғыңыз бен браузеріңіз
あなたの押下したキー	Сіз басқан кілт
リダイレクトをします	Сіз басқа жерге бағытталасыз
コンテンツ保護のため一部の機能を制限しています	Мазмұнды қорғау мақсатында кейбір мүмкіндіктер шектелді.
右クリックは禁止されています	Оң жақ түймемен шертуге рұқсат етілмейді
あなたが押下したキー	Сіз басқан кілт
印刷、PDFへの保存は禁止されています	Басып шығару және PDF форматында сақтауға тыйым салынады.
スクリーンショットは禁止されています	Скриншоттарға тыйым салынады
スクリーンショット、デバッグモード等の起動は禁止されています	Экраннан суретке түсіру және debug режимін қосуға тыйым салынады.
ページの保存は禁止されています	Осы бетті сақтауға тыйым салынады
コピー、カットは禁止されています	Көшіру және кесуге тыйым салынады.
あなたが起こしたイベント	Сіз ұйымдастырған іс-шаралар
テキストの選択は禁止されています	Мәтінді таңдауға рұқсат етілмейді
HTMLソース表示は禁止されています	HTML бастапқы кодын көрсетуге тыйым салынады
不正アクセスは禁止されています	Рұқсат етілмеген қол жеткізуге тыйым салынады
アフリカーンス語	Африкаанс
アラゴン語	Арагонша
アラビア語	арабша
アッサム語	Ассамша
アゼルバイジャン語	Әзірбайжан
バシュキール語	Башҡорт
ベラルーシ語	Беларус тілі
ベンガル語	Бенгалия тілі
ブルガリア語	Болгар тілі
ボスニア語	Босниялық
カタロニア語	Каталондық
チェコ語	Чех
ウェールズ語	Уэльсше
デンマーク語	Даниялық
ドイツ語	Неміс
現代ギリシア語	Қазіргі грекше
英語	Ағылшынша
イギリス英語	Британдық ағылшын
アメリカ英語	Америкалық ағылшын тілі
エスペラント語	Есперанто
スペイン語	Испанша
エストニア語	Эстондық
バスク語	Баск
ペルシャ語	Парсы
フィンランド語	Финдік
フランス語	Французша
アイルランド語	Ирландтық
ガリシア語	Галисиялық
グァラニ語	Гуарани
グジャラート語	Гужарати
ハウサ語	хауса
ヘブライ語	Еврейше
ヒンディ語	хинди
クロアチア語	Хорватша
ハイチ・クレオール語	Гаитиялық креол тілі
ハンガリー語	Венгр тілі
インドネシア語	Индонезиялық
イボ語	Ибо тілі
アイスランド語	Исландша
イタリア語	Итальяндық
日本語	Жапонша
ジャワ語	Джава тілі
カザフ語	Қазақ
朝鮮語	Корейше
クルド語	Күрдше
キルギス語	Қырғыз
ラテン語	Латын
ルクセンブルク語	Люксембургше
リンガラ語	Мәңгі
リトアニア語	Литвалық
ラトビア語	Латвиялық
マダガスカル語	Малагаси
マオリ語	маори
マケドニア語	Македониялық
マラヤーラム語	Малаялам
モンゴル語	Монғолша
マラーティー語	Маратхи
マレー語	Малай
マルタ語	Мальтийлік
ビルマ語	Бурма тілі
ネパール語	Непалдық
ノルウェー語	Норвегиялық
オランダ語	Голландша
オック語	Окситан
オロモ語	Немесе
パンジャーブ語	Пенджаби
ポーランド語	Польша тілі
パシュトー語	پشتو
ポルトガリア語	Португалша
ブラジルポルトガル語	Бразилиялық португал тілі
ヨーロピアンポルトガル語	Еуропалық португал тілі
ケチュア語	Кечуа
ルーマニア語	Румынша
ロシア語	Ресейлік
サンスクリット語	Санскрит
スロバキア語	Словакша
スロベニア語	Словениялық
セルビア語	Серб тілі
南セソト語	Оңтүстік Сесото
スンダ語	Сундансе
スウェーデン語	Шведше
スワヒリ語	Суахили
タミル語	Тамил
テルグ語	Телугу
タジク語	Тажик
タイ語	тай
トルクメン語	Түрікмен
タガログ語	Тагалог
トルコ語	Түрікше
タタール語	Татар
ウクライナ語	Украин тілі
ウルドゥー語	урд
ウズベク語	Өзбек
ベトナム語	Вьетнамдық
コサ語	Коса
イディッシュ語	Идиш
簡体中国語	Жайланған қытайша
繁体中国語	Дәстүрлі қытайша
ズールー語	Зулу
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Сіз қазір қолданатын браузер ескірген және енді қолдау көрсетілмейді. Қауіпсіз әрі ыңғайлы шолу тәжірибесі үшін браузеріңізді соңғы нұсқаға жаңартыңыз.
不正なリクエストです	Дұрыс емес сұраныс
画像が見つかりません	Сурет табылмады
