設定	Ezarpenak
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Dohaintzak guztiz boluntarioak dira eta ez dira derrigorrezkoak. Plugin-a denontzat doan dago eskuragarri. Hala ere, zure laguntza oso eskertzen dugu garapena jarraitzeko, eta pozik egongo ginateke ahal duzuna ekar dezakezun.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Hurrengo estekaren bidez dohaintza bat egin dezakezu. Japonian bazaude, doan eman dezakezu, eta Amazon opari-txartelak erabilita erraz ere egin dezakezu.
寄付先	Gobelazino-elkarteak
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Zure laguntzarekin, ahalik eta onena egingo dugu eguneratze bikainak ekartzen jarraitzeko!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Zure laguntzagatik eskertuta gaude eta etorkizunean zure etengabeko laguntza espero dugu.
ライセンス	Lizentzia
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Plugin hau iturburu irekiko software gisa garatu da eta GPLv2.0 edo berandueneko lizentziaren pean dago.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Plugin honetan sartuta dauden teknologia batzuk patenteez babestuta daude.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Patentatutako teknologiaren erabilera soilik plug-in honetan baimenduta dago.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Beste edozein erabilerarako, mesedez jar zaitez harremanetan egilearekin lizentzia komertziala lortzeko.
本プラグインには以下のライブラリを同梱しています	Plugin honek honako liburutegi hauek barne hartzen ditu
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Plugin honek behean sortutako ASCII art letra-tipoak eta letra-tipo fitxategiak barne hartzen ditu.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Plugin honek EJ Co., Ltd.-k garatutako eta plugin honen sortzaileak konposatutako 'SM Trainer Hitomi 3' izeneko Super Famicom joko ofizialaz kanpokoaren musika barne hartzen du, eta lizentzia ofiziala du.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Plugin honek Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Plugin honen garapenean Raspberry Pi 5 bat, ChatGPT eta DeepL ere erabili ditut.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Cachaketa-plugin bat detektatu da. Cachaketa-plugin bat gaituta badago, plugin honek ez du behar bezala funtzionatuko.
無効なIPアドレス	IP helbide baliogabea
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Webgune hau erabiltzeko, cookieak eta JavaScript gaituta izan behar dituzu.
利用規約	Erabilera-baldintzak
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Gure zerbitzuen baimenik gabeko erabilera saihesteko eta haien funtzionamendu segurua bermatzeko, webgune honek cookieetan eta datu-baseetan gorde dezake IP helbideak, nabigazio-historia eta jarduera-erregistroak bezalako informazioa. Informazio hori webgunearen funtzionamendurako eta helburu legaletarako soilik erabiltzen da, eta ez da hirugarrenekin partekatuko.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Zerbitzu hau erabiltzeko, prozesamendu-jarduera hauei baiezkoa eman behar diezu.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Gure Pribatutasun Politikaren edukia ikusi dezakezu, zure baimena eman izan ala ez.
同意する	Ados nago
同意しない	Ez nator bat
確認	Konfirmazioa
プライバシーポリシー	Pribatutasun Politika
通常とは異なる方法でのアクセスや操作が検出されました	Sarbide edo jarduera arraroa antzeman da
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Segurtasun eta edukien babeserako zenbait ezaugarri mugatu dira.
デバッグモード、コンソールの起動は禁止されています	Debug modua eta kontsolara sarbidea desgaituta daude.
以下の情報がサーバーに送信されました	Hurrengo informazioa zerbitzariari bidali zaio.
あなたのIPアドレス	Zure IP helbidea
あなたの端末とブラウザ	Zure gailua eta nabigatzailea
あなたの押下したキー	Zuk sakatu zenuen gakoa
リダイレクトをします	Bideratua izango zara
コンテンツ保護のため一部の機能を制限しています	Edukia babesteko, zenbait ezaugarri mugatu dira.
右クリックは禁止されています	Eskumako klik egitea ez da baimenduta.
あなたが押下したキー	Zuk sakatu zenuen gakoa
印刷、PDFへの保存は禁止されています	Inprimatzea eta PDF gisa gordetzea debekatuta daude.
スクリーンショットは禁止されています	Pantaila-argazkiak debekatuta daude.
スクリーンショット、デバッグモード等の起動は禁止されています	Pantaila-argazkiak ateratzea eta debug modua aktibatzea debekatuta daude.
ページの保存は禁止されています	Orrialde hau gordetzea debekatuta dago.
コピー、カットは禁止されています	Kopiatzea eta moztea debekatuta daude.
あなたが起こしたイベント	Antolatu dituzun ekitaldiak
テキストの選択は禁止されています	Testua hautatzea ez da baimenduta.
HTMLソース表示は禁止されています	HTML iturburu-kodea erakustea debekatuta dago.
不正アクセスは禁止されています	Sarbide baimenik gabekoa debekatuta dago
アフリカーンス語	Haitiarra
アラゴン語	Aragoiar
アラビア語	Arabiera
アッサム語	Assamiera
アゼルバイジャン語	Azerbaijaniera
バシュキール語	Bashkir
ベラルーシ語	Bielorrusiarra
ベンガル語	Bengali
ブルガリア語	Bulgariar
ボスニア語	Bosniar
カタロニア語	Kataluniar
チェコ語	Txekiarra
ウェールズ語	Galesko
デンマーク語	Danimarkarra
ドイツ語	Alemaniarra
現代ギリシア語	Greziera moderno
英語	Ingelesa
イギリス英語	Britainiarra
アメリカ英語	Amerikar ingelesa
エスペラント語	Esperanto
スペイン語	Espainiarra
エストニア語	Estoniako
バスク語	Euskaraz
ペルシャ語	Persiarra
フィンランド語	Finlandiarra
フランス語	Frantsesa
アイルランド語	Irlandar
ガリシア語	Galiziako
グァラニ語	Guarani
グジャラート語	Gujarati
ハウサ語	Hausa
ヘブライ語	Hebreera
ヒンディ語	Hindi
クロアチア語	Kroaziarra
ハイチ・クレオール語	Kreyòl haitiar
ハンガリー語	Hungariar
インドネシア語	Indonesiarra
イボ語	Ibo hizkuntza
アイスランド語	Islandiera
イタリア語	Italiar
日本語	Japoniarra
ジャワ語	Javakoa
カザフ語	Kazakh
朝鮮語	Koreako
クルド語	Kurdiera
キルギス語	Kirgiz
ラテン語	Latinez
ルクセンブルク語	Luxemburgiera
リンガラ語	Lingala
リトアニア語	Lituaniar
ラトビア語	Lituaniar
マダガスカル語	Malagasiar
マオリ語	Maoriek
マケドニア語	Mazedoniar
マラヤーラム語	Malayalam
モンゴル語	Mongoliera
マラーティー語	Maratiko
マレー語	Malaiarra
マルタ語	Maltaer
ビルマ語	Birmano
ネパール語	Nepaldar
ノルウェー語	Norvegiar
オランダ語	Herbeherearrak
オック語	Okzitaniar
オロモ語	Edo
パンジャーブ語	Punjabi
ポーランド語	Poloniar
パシュトー語	Pashto
ポルトガリア語	Portugaldarra
ブラジルポルトガル語	Brasilgo portugesa
ヨーロピアンポルトガル語	Europako portugaldiera
ケチュア語	Inka
ルーマニア語	Errumaniar
ロシア語	Errusiako
サンスクリット語	Sanskrit
スロバキア語	Eslovakiera
スロベニア語	Esloveniarra
セルビア語	Serbiar
南セソト語	Hegoaldeko Sesotho
スンダ語	Sundaesera
スウェーデン語	Suediar
スワヒリ語	Suaheli
タミル語	Tamilera
テルグ語	Telugu
タジク語	Tajiko
タイ語	Tailandiar
トルクメン語	Turkmen
タガログ語	Tagalog
トルコ語	Turkiar
タタール語	Tatar
ウクライナ語	Ukrainiera
ウルドゥー語	Urdua
ウズベク語	Usbek
ベトナム語	Vietnamera
コサ語	Ile
イディッシュ語	Yidi
簡体中国語	Txinera sinplifikatua
繁体中国語	Txinako tradizionala
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Une honetan erabiltzen ari zaren nabigatzailea bertsio zaharragoa da eta ez da gehiago onartzen. Nabigazio esperientzia seguruago eta erosoago bat bermatzeko, mesedez, eguneratu zure nabigatzailearen azken bertsiora.
不正なリクエストです	Eskari baliogabea
画像が見つかりません	Irudia ez da aurkitu
