設定	การตั้งค่า
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	แม้ว่าตัวเลือกที่แสดงอยู่ใต้เมนูแบบดรอปดาวน์จะมีความเข้มข้นมากขึ้นตามลำดับ แต่จะเพิ่มภาระให้กับเซิร์ฟเวอร์และอาจทำให้ปริมาณการส่งผ่าน HTML เพิ่มขึ้น
ハッシュ化アルゴリズム	อัลกอริทึมการแฮช
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	ในการเข้ารหัสข้อมูล URL ของรูปภาพ จะใช้โทเค็นชั่วคราวเป็นรหัสผ่าน ซึ่งในขณะนั้นจำเป็นต้องทำการแฮช และจะตั้งค่าความแข็งแกร่งของมัน
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	แม้ว่าตัวเลือกที่แสดงอยู่ด้านล่างของเมนูแบบดรอปดาวน์จะมีความเข้มข้นมากขึ้น แต่จะเพิ่มภาระให้กับเซิร์ฟเวอร์
基本設定	การตั้งค่าพื้นฐาน
高度な設定	การตั้งค่าขั้นสูง
初期設定に戻す	กลับไปการตั้งค่าเริ่มต้น
デザイン・音の設定	การตั้งค่าการออกแบบและเสียง
イベントの設定	การตั้งค่าอีเวนต์
初回訪問時のお知らせの設定	การตั้งค่าการแจ้งเตือนเมื่อเยี่ยมชมครั้งแรก
メッセージの設定	การตั้งค่าข้อความ
右クリックやソースコード表示時に転送する URL を設定します	ตั้งค่า URL ที่จะส่งเมื่อคลิกขวาหรือแสดงโค้ดต้นฉบับ
警告メッセージにはHTMLは使用できません	ข้อความเตือนนี้ไม่สามารถใช้ HTML ได้
この画面で設定すると、高度な設定タブにある言語設定が無視されます	หากตั้งค่าในหน้าจอนี้ การตั้งค่าภาษาในแท็บการตั้งค่าขั้นสูงจะถูกเพิกเฉย
以下の文字列が使用できます	สามารถใช้สตริงตัวอักษรต่อไปนี้ได้
改行	ขึ้นบรรทัดใหม่
押下されたキー	ปุ่มที่ถูกกด
Neo HTML Protector 設定	Neo HTML Protector การตั้งค่า
お知らせ	ประกาศ
メッセージ	ข้อความ
デザイン・音	การออกแบบ・เสียง
初期化	การเริ่มต้น
このプラグインについて	เกี่ยวกับปลั๊กอินนี้
設定が初期化されました	การตั้งค่าถูกคืนค่าเป็นค่าเริ่มต้น
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	กำลังทำการเริ่มต้นปลั๊กอินใหม่ ข้อมูลของ IP Log Reader จะไม่ถูกลบในขั้นตอนนี้
Neo HTML Protectorについて	เกี่ยวกับ Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	ปลั๊กอินนี้มีวัตถุประสงค์เพื่อปกป้อง HTML และรูปภาพที่ส่งออกจาก Wordpress ของคุณจากการใช้งานเนื้อหาโดยไม่ได้รับอนุญาต
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	ไม่สามารถปกป้องเนื้อหาได้อย่างสมบูรณ์แบบ แต่สามารถเตือนในวิธีการที่เป็นไปได้มากที่สุด และเตรียมพร้อมหากมีสิ่งใดเกิดขึ้น โดยสามารถแก้ไขได้ตามวิธีการที่กำหนดไว้ในประเทศ
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	แน่นอน จำเป็นต้องปรับปรุงข้อกำหนดการใช้งานและนโยบายของเว็บไซต์ให้สมบูรณ์ ปลั๊กอินนี้ไม่ใช่แอปสร้างข้อกำหนดการใช้งาน แต่สามารถให้คำแนะนำได้
開発者: 夜桜　なの	นักพัฒนา: ซากุระกลางคืน นาโนะ
バージョン	เวอร์ชัน
ビルド	บิลด์
サポートページ	หน้าสนับสนุน
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	คุณมิส อุระมะนิลา ร้องเพลง
支援のお願い	ขอความกรุณาสนับสนุน
Neo HTML Protectorをご利用いただき、ありがとうございます！	ขอบคุณที่ใช้บริการ Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	การพัฒนาและการบำรุงรักษาปลั๊กอินนี้ต้องใช้เวลามากและต้องใช้ความคิดสร้างสรรค์อย่างมาก หากท่านใดสามารถสนับสนุนได้ เราขอความกรุณาบริจาคเพื่อช่วยในการปรับปรุงและอัปเดตต่อไป
寄付について	เกี่ยวกับการบริจาค
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	การบริจาคเป็นไปตามความสมัครใจและไม่บังคับ คุณสามารถใช้ปลั๊กอินได้ฟรีโดยไม่เสียค่าใช้จ่าย อย่างไรก็ตาม การสนับสนุนของคุณจะช่วยให้เราสามารถพัฒนาต่อไปได้ และเราจะขอบคุณอย่างยิ่งหากคุณสามารถให้ความช่วยเหลือได้แม้เพียงเล็กน้อย
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	ท่านสามารถบริจาคได้โดยคลิกที่ลิงก์ด้านล่างนี้ หากท่านอยู่ในประเทศญี่ปุ่น ท่านสามารถบริจาคได้ฟรี และยังสามารถบริจาคผ่านบัตรของขวัญ Amazon ได้อย่างง่ายดาย
寄付先	สถานที่รับบริจาค
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	หากได้รับการสนับสนุนจากทุกท่าน เราจะพยายามอย่างเต็มที่เพื่อส่งมอบการอัปเดตที่ยอดเยี่ยมต่อไปในอนาคต!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	ขอขอบคุณสำหรับการสนับสนุนของท่าน และหวังว่าจะได้รับความไว้วางใจจากท่านต่อไปในอนาคต
ライセンス	ใบอนุญาต
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	ปลั๊กอินนี้พัฒนาขึ้นโดยใช้โอเพนซอร์สและใช้ใบอนุญาต GPL2.0 หรือเวอร์ชันที่สูงกว่า
このプラグインに含まれるいくつかの技術は特許保護の対象です。	เทคโนโลยีบางอย่างที่รวมอยู่ในปลั๊กอินนี้อยู่ภายใต้การคุ้มครองสิทธิบัตร
特許技術の使用は、このプラグイン内での使用に限って認められます。	การใช้เทคโนโลยีสิทธิบัตรนี้อนุญาตให้ใช้เฉพาะภายในปลั๊กอินนี้เท่านั้น
その他の使用については、作者に連絡して商用ライセンスを取得してください。	สำหรับการใช้งานอื่นๆ โปรดติดต่อผู้เขียนเพื่อขอรับใบอนุญาตเชิงพาณิชย์
本プラグインには以下のライブラリを同梱しています	ปลั๊กอินนี้มีไลบรารีดังต่อไปนี้รวมอยู่ด้วย
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	ปลั๊กอินนี้มีฟอนต์อาร์ตแอสกีและไฟล์ฟอนต์ที่สร้างขึ้นด้านล่างนี้รวมอยู่ด้วย
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	ปลั๊กอินนี้ได้รับการพัฒนาโดยบริษัท อีเจ จำกัด และประกอบด้วยเพลงจากเกม "SM โค้ช ฮิโตมิ 3" ที่ไม่ได้รับการรับรองจากซูเปอร์แฟมิคอม ซึ่งแต่งโดยผู้สร้างปลั๊กอินนี้ และได้รับอนุญาตอย่างเป็นทางการแล้ว
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	ปลั๊กอินนี้ประกอบด้วยเพลงที่ใช้ "Keppy s YAMAHA C7" ซึ่งสร้างโดยคุณ Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	นอกจากนี้ในการพัฒนาปลั๊กอินนี้ เราใช้ Raspberry Pi5, ChatGPT และ deepl
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	ตรวจพบปลั๊กอินแคช ปลั๊กอินแคชถูกเปิดใช้งานอยู่ ปลั๊กอินนี้จะทำงานไม่ถูกต้อง
無効なIPアドレス	ที่อยู่ IP ไม่ถูกต้อง
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	ในการใช้งานเว็บไซต์นี้ คุณจำเป็นต้องเปิดใช้งานคุกกี้และ JavaScript
利用規約	ข้อกำหนดการใช้งาน
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	เว็บไซต์นี้อาจเก็บข้อมูลเช่น IP address, ประวัติการเข้าชม, และบันทึกการใช้งาน ผ่านคุกกี้และฐานข้อมูล เพื่อป้องกันการใช้บริการโดยไม่ได้รับอนุญาตและการดำเนินงานของบริการอย่างปลอดภัย ข้อมูลเหล่านี้จะถูกใช้เฉพาะในการดำเนินงานของเว็บไซต์และการตอบสนองทางกฎหมายเท่านั้น และจะไม่ถูกเปิดเผยต่อบุคคลที่สาม
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	ในการใช้บริการนี้ คุณจำเป็นต้องยอมรับการดำเนินการเหล่านี้
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	เนื้อหาของนโยบายความเป็นส่วนตัวสามารถตรวจสอบได้โดยไม่คำนึงถึงการยินยอมหรือไม่ยินยอม
同意する	ยินยอม
同意しない	ไม่เห็นด้วย
確認	ยืนยัน
プライバシーポリシー	นโยบายความเป็นส่วนตัว
通常とは異なる方法でのアクセスや操作が検出されました	ตรวจพบการเข้าถึงหรือการใช้งานที่แตกต่างจากปกติ
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	เพื่อความปลอดภัยและการปกป้องเนื้อหา เราจึงจำกัดการใช้งานบางฟังก์ชัน
デバッグモード、コンソールの起動は禁止されています	โหมดดีบักและการเปิดใช้งานคอนโซลถูกห้าม
以下の情報がサーバーに送信されました	ข้อมูลต่อไปนี้ถูกส่งไปยังเซิร์ฟเวอร์แล้ว
あなたのIPアドレス	ที่อยู่ IP ของคุณ
あなたの端末とブラウザ	อุปกรณ์และเบราว์เซอร์ของคุณ
あなたの押下したキー	ปุ่มที่คุณกด
リダイレクトをします	กำลังทำการเปลี่ยนเส้นทาง
コンテンツ保護のため一部の機能を制限しています	เพื่อปกป้องเนื้อหา เราจึงจำกัดการใช้งานบางฟังก์ชัน
右クリックは禁止されています	ห้ามคลิกขวา
あなたが押下したキー	ปุ่มที่คุณกด
印刷、PDFへの保存は禁止されています	ห้ามพิมพ์หรือบันทึกเป็น PDF
スクリーンショットは禁止されています	ห้ามถ่ายภาพหน้าจอ
スクリーンショット、デバッグモード等の起動は禁止されています	ห้ามเปิดใช้งานการจับภาพหน้าจอ โหมดดีบัก หรือฟังก์ชันอื่น ๆ ที่คล้ายกัน
ページの保存は禁止されています	ห้ามบันทึกหน้า
コピー、カットは禁止されています	ห้ามคัดลอกหรือตัด
あなたが起こしたイベント	เหตุการณ์ที่คุณสร้างขึ้น
テキストの選択は禁止されています	ห้ามเลือกข้อความ
HTMLソース表示は禁止されています	การแสดงผล HTML แหล่งที่มาถูกห้าม
不正アクセスは禁止されています	การเข้าถึงโดยไม่ได้รับอนุญาตเป็นสิ่งต้องห้าม
アフリカーンス語	แอฟริคานส์
アラゴン語	ภาษาอารากอน
アラビア語	ภาษาอาหรับ
アッサム語	ภาษาอัสสัม
アゼルバイジャン語	ภาษาอาเซอร์ไบจาน
バシュキール語	ภาษาบัชกีร์
ベラルーシ語	ภาษาเบลารุส
ベンガル語	ภาษาเบงกาลี
ブルガリア語	ภาษาบัลแกเรีย
ボスニア語	ภาษาบอสเนีย
カタロニア語	คาตาลัน
チェコ語	ภาษาเช็ก
ウェールズ語	ภาษาเวลส์
デンマーク語	ภาษาเดนมาร์ก
ドイツ語	ภาษาเยอรมัน
現代ギリシア語	ภาษากรีกสมัยใหม่
英語	ภาษาอังกฤษ
イギリス英語	ภาษาอังกฤษอังกฤษ
アメリカ英語	ภาษาอังกฤษแบบอเมริกัน
エスペラント語	ภาษาเอสเปรันโต
スペイン語	ภาษาสเปน
エストニア語	ภาษาเอสโตเนีย
バスク語	ภาษาบาสก์
ペルシャ語	ภาษาเปอร์เซีย
フィンランド語	ภาษาฟินแลนด์
フランス語	ภาษาฝรั่งเศส
アイルランド語	ภาษาไอริช
ガリシア語	ภาษาแกลิเซีย
グァラニ語	ภาษา กัวรานี
グジャラート語	ภาษาคุชราต
ハウサ語	ภาษาฮูซา
ヘブライ語	ภาษาฮีบรู
ヒンディ語	ภาษาฮินดี
クロアチア語	โครเอเชีย
ハイチ・クレオール語	ภาษาครีโอลเฮติ
ハンガリー語	ภาษาฮังการี
インドネシア語	ภาษาอินโดนีเซีย
イボ語	ภาษาอีโบ
アイスランド語	ภาษาไอซ์แลนด์
イタリア語	ภาษาอิตาลี
日本語	ภาษาญี่ปุ่น
ジャワ語	ภาษาชวา
カザフ語	ภาษาคาซัค
朝鮮語	ภาษาเกาหลี
クルド語	ภาษาเคิร์ด
キルギス語	ภาษาคีร์กีซ
ラテン語	ภาษาละติน
ルクセンブルク語	ภาษาลักเซมเบิร์ก
リンガラ語	ภาษาลิงการา
リトアニア語	ภาษาลิทัวเนีย
ラトビア語	ภาษาลัตเวีย
マダガスカル語	ภาษามาดากัสการ์
マオリ語	ภาษามอรี
マケドニア語	ภาษามักซีโดเนีย
マラヤーラム語	ภาษามาลายาลัม
モンゴル語	ภาษา 몽골
マラーティー語	ภาษามราฐี
マレー語	ภาษามลายู
マルタ語	ภาษามอลตา
ビルマ語	ภาษาพม่า
ネパール語	ภาษาเนปาล
ノルウェー語	ภาษานอร์เวย์
オランダ語	ภาษาดัตช์
オック語	ภาษาโอ๊ก
オロモ語	โอโรโม
パンジャーブ語	ภาษาปัญจาบ
ポーランド語	ภาษาโปแลนด์
パシュトー語	ภาษาปัชโต
ポルトガリア語	ภาษาโปรตุเกส
ブラジルポルトガル語	ภาษาโปรตุเกสบราซิล
ヨーロピアンポルトガル語	ภาษาโปรตุเกสแบบยุโรป
ケチュア語	ภาษาควาชู
ルーマニア語	ภาษาโรมาเนีย
ロシア語	ภาษารัสเซีย
サンスクリット語	ภาษาสันสกฤต
スロバキア語	ภาษาสโลวัก
スロベニア語	ภาษาสโลวีเนีย
セルビア語	ภาษาเซอร์เบีย
南セソト語	ภาษามินามิเซโซโต
スンダ語	ภาษาซุนดา
スウェーデン語	ภาษาสวีเดน
スワヒリ語	ภาษาสวาฮีลี
タミル語	ภาษาทมิฬ
テルグ語	ภาษาเตลูกู
タジク語	ภาษาทาจิก
タイ語	ภาษาไทย
トルクメン語	ภาษาเติร์กเมน
タガログ語	ภาษาตากาล็อก
トルコ語	ภาษาตุรกี
タタール語	ภาษาตาตาร์
ウクライナ語	ภาษายูเครน
ウルドゥー語	ภาษาอูรดู
ウズベク語	ภาษาอุซเบก
ベトナム語	ภาษาเวียดนาม
コサ語	ภาษากอซา
イディッシュ語	ภาษาอิดิช
簡体中国語	ภาษาจีนตัวย่อ
繁体中国語	ภาษาจีนตัวเต็ม
ズールー語	ภาษาซูลู
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	ขณะนี้คุณกำลังใช้เบราว์เซอร์เวอร์ชันเก่าที่ไม่รองรับ กรุณาอัปเดตเป็นเบราว์เซอร์เวอร์ชันล่าสุดเพื่อความปลอดภัยและประสบการณ์การใช้งานที่ดีขึ้น
不正なリクエストです	คำขอไม่ถูกต้อง
画像が見つかりません	ไม่พบรูปภาพ
