設定	Configuració
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Per utilitzar aquest lloc web, heu d'activar les galetes i el JavaScript.
利用規約	Condicions d'ús
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Per evitar usos no autoritzats i garantir el funcionament segur dels nostres serveis, aquest lloc web pot emmagatzemar informació com ara adreces IP, historial de navegació i registres d'activitat en galetes i bases de dades. Aquesta informació s'utilitza exclusivament per al funcionament del lloc web i amb finalitats legals, i no es divulgarà a tercers.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Per utilitzar aquest servei, heu de consentir aquestes activitats de tractament.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Podeu consultar el contingut de la Política de privadesa independentment de si heu donat el vostre consentiment.
同意する	Estic d'acord
同意しない	No hi estic d'acord
確認	Confirmació
プライバシーポリシー	Política de privacitat
通常とは異なる方法でのアクセスや操作が検出されました	S'ha detectat un accés o una activitat inusual.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Certes funcions han estat restringides amb finalitats de seguretat i protecció de contingut.
デバッグモード、コンソールの起動は禁止されています	El mode de depuració i l'accés a la consola estan desactivats.
以下の情報がサーバーに送信されました	La informació següent s'ha enviat al servidor
あなたのIPアドレス	La teva adreça IP
あなたの端末とブラウザ	El teu dispositiu i navegador
あなたの押下したキー	La tecla que vas prémer
リダイレクトをします	Seràs redirigit
コンテンツ保護のため一部の機能を制限しています	Certes funcions han estat restringides per protegir el contingut.
右クリックは禁止されています	No es permet fer clic amb el botó dret.
あなたが押下したキー	La tecla que vas prémer
印刷、PDFへの保存は禁止されています	Queda prohibit imprimir i desar com a PDF.
スクリーンショットは禁止されています	Les captures de pantalla estan prohibides.
スクリーンショット、デバッグモード等の起動は禁止されています	Està prohibit fer captures de pantalla i activar el mode de depuració.
ページの保存は禁止されています	Està prohibit desar aquesta pàgina
コピー、カットは禁止されています	Queda prohibit copiar i retallar.
あなたが起こしたイベント	Esdeveniments que heu organitzat
テキストの選択は禁止されています	No es permet seleccionar text.
HTMLソース表示は禁止されています	Està prohibit mostrar el codi font d'HTML.
不正アクセスは禁止されています	L'accés no autoritzat està prohibit
アフリカーンス語	Afrikaans
アラゴン語	Aragonés
アラビア語	àrab
アッサム語	Assamès
アゼルバイジャン語	Azerbaidjanès
バシュキール語	Bashkir
ベラルーシ語	Belarús
ベンガル語	Bengalí
ブルガリア語	Búlgar
ボスニア語	Bosnià
カタロニア語	Català
チェコ語	Txec
ウェールズ語	Gal·lès
デンマーク語	Danès
ドイツ語	Alemany
現代ギリシア語	Grec modern
英語	Anglès
イギリス英語	Anglès britànic
アメリカ英語	Anglès americà
エスペラント語	Espèrançol
スペイン語	Espanyol
エストニア語	Estonià
バスク語	Basc
ペルシャ語	Pèrsic
フィンランド語	Finlandès
フランス語	Francès
アイルランド語	Irlandès
ガリシア語	Gallec
グァラニ語	Guaraní
グジャラート語	Gujaratià
ハウサ語	Hausa
ヘブライ語	Hebreu
ヒンディ語	Hindi
クロアチア語	Croat
ハイチ・クレオール語	Creole Haití
ハンガリー語	Hongarès
インドネシア語	Indonesi
イボ語	Llengua ibo
アイスランド語	Islandès
イタリア語	Italià
日本語	Japonès
ジャワ語	Javanès
カザフ語	Càzach
朝鮮語	Coreà
クルド語	Curd
キルギス語	Kirguís
ラテン語	Llatí
ルクセンブルク語	Luxemburguès
リンガラ語	Língua
リトアニア語	Lituà
ラトビア語	Letó
マダガスカル語	Malagasy
マオリ語	Maori
マケドニア語	Macedoni
マラヤーラム語	Malaiàl
モンゴル語	Mongol
マラーティー語	Maratí
マレー語	Malai
マルタ語	Maltès
ビルマ語	Birmà
ネパール語	Nepalès
ノルウェー語	Noruec
オランダ語	Neerlandès
オック語	Occità
オロモ語	Orellut
パンジャーブ語	Panjabi
ポーランド語	Polonès
パシュトー語	پشتو
ポルトガリア語	Portuguès
ブラジルポルトガル語	Portuguès brasiler
ヨーロピアンポルトガル語	Portuguès europeu
ケチュア語	Quechua
ルーマニア語	Romanès
ロシア語	Rús
サンスクリット語	Sànscrit
スロバキア語	Eslovac
スロベニア語	Eslovè
セルビア語	Sèrbi
南セソト語	Sesotho del Sud
スンダ語	Sundanés
スウェーデン語	Suec
スワヒリ語	Swahili
タミル語	Tàmil
テルグ語	Telugu
タジク語	Tajik
タイ語	Tailandès
トルクメン語	Turc
タガログ語	Tagalog
トルコ語	Turc
タタール語	Tatà
ウクライナ語	Ucraïnès
ウルドゥー語	Urdu
ウズベク語	Uzbek
ベトナム語	Vietnamita
コサ語	Cabellera
イディッシュ語	Iídish
簡体中国語	Xinès simplificat
繁体中国語	Xinès tradicional
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	El navegador que estàs utilitzant actualment és una versió antiga que ja no està suportada. Per garantir una experiència de navegació més segura i còmoda, actualitza el teu navegador a l'última versió.
不正なリクエストです	Sol·licitud invàlida
画像が見つかりません	Imatge no trobada
