設定	Agordoj
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Vi povas fari donacon per la suba ligilo. Se vi loĝas en Japanio, vi povas donaci senpage, kaj vi ankaŭ povas facile donaci per Amazon-donkartoj.
寄付先	Bonfaraj organizoj
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Kun via subteno, ni faros nian plejeblon por daŭre alporti al vi mirindajn ĝisdatigojn!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Ni estas dankemaj pro via subteno kaj antaŭĝojas pri via daŭra subteno en la estonteco.
ライセンス	Licenco
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Ĉi tiu kromprogramo estas evoluigita kiel malfermfonta programaro kaj estas licencita sub la GPL v2.0 aŭ pli nova.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Kelkaj el la teknologioj inkluzivitaj en ĉi tiu kromprogramo estas protektitaj per patentoj.
特許技術の使用は、このプラグイン内での使用に限って認められます。	La uzo de la patentita teknologio estas permesita nur ene de ĉi tiu kromaĵo.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Por ajna alia uzo, bonvolu kontakti la aŭtoron por akiri komercan licencon.
本プラグインには以下のライブラリを同梱しています	Ĉi tiu kromaĵo inkluzivas la jenajn bibliotekojn
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Ĉi tiu kromaĵo inkluzivas la ASCII-artajn tiparojn generitajn sube, kune kun la tiparfajloj.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Ĉi tiu kromprogramo enhavas muzikon el la neoficiala Super Famicom-ludo 'SM Trainer Hitomi 3', disvolvita de EJ Co., Ltd. kaj komponita de la kreinto de ĉi tiu kromprogramo, kaj estas oficiale licencita.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Ĉi tiu kromprogramo enhavas trakojn kreitajn per 'Keppy's YAMAHA C7', evoluigitan de Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Mi ankaŭ uzis Raspberry Pi 5, ChatGPT kaj DeepL en la disvolvado de ĉi tiu kromaĵo.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Detektita estis kaŝmemora kromprogramo. Ĉi tiu kromprogramo ne funkcios ĝuste se kaŝmemora kromprogramo estas aktivigita.
無効なIPアドレス	Malvalida IP-adreso
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Por uzi ĉi tiun retejon, vi devas ebligi kuketojn kaj JavaScript.
利用規約	Uzkondiĉoj
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Por malhelpi neaŭtorizitan uzon kaj certigi la sekuran funkciadon de niaj servoj, ĉi tiu retejo povas stoki informojn kiel IP-adresojn, retumadhistorion kaj aktivecajn protokolojn en kuketoj kaj datumbazoj. Ĉi tiuj informoj estas uzataj nur por la funkciado de la retejo kaj por juraj celoj, kaj ne estos malkaŝitaj al triaj partioj.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Por uzi ĉi tiun servon, vi devas konsenti pri ĉi tiuj prilaboraj agadoj.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Vi povas vidi la enhavon de la Privateca Politiko sendepende de tio, ĉu vi donis vian konsenton.
同意する	Mi konsentas
同意しない	Mi malkonsentas
確認	Konfirmacio
プライバシーポリシー	Privateca Politiko
通常とは異なる方法でのアクセスや操作が検出されました	Nekutima aliro aŭ agado estis detektita.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Certaj funkcioj estis limigitaj por sekurecaj kaj enhavoprotektaj celoj.
デバッグモード、コンソールの起動は禁止されています	Malŝaltitaj estas la reĝimo de depanado kaj la aliro al la konzolo.
以下の情報がサーバーに送信されました	La jenaj informoj estis senditaj al la servilo.
あなたのIPアドレス	Via IP-adreso
あなたの端末とブラウザ	Via aparato kaj retumilo
あなたの押下したキー	La ŝlosilo, kiun vi premis
リダイレクトをします	Vi estos redirektita
コンテンツ保護のため一部の機能を制限しています	Certaj funkcioj estis limigitaj por protekti la enhavon.
右クリックは禁止されています	Dekstre klaki ne estas permesite.
あなたが押下したキー	La ŝlosilo, kiun vi premis
印刷、PDFへの保存は禁止されています	Presado kaj konservado kiel PDF estas malpermesitaj.
スクリーンショットは禁止されています	Ekrankopioj estas malpermesitaj.
スクリーンショット、デバッグモード等の起動は禁止されています	Kaptado de ekranshotoj kaj aktivigo de debug-reĝimo estas malpermesitaj.
ページの保存は禁止されています	Estas malpermesite konservi ĉi tiun paĝon.
コピー、カットは禁止されています	Kopiado kaj tranĉado estas malpermesitaj.
あなたが起こしたイベント	Okazaĵoj, kiujn vi organizis
テキストの選択は禁止されています	Elekti tekston ne estas permesite.
HTMLソース表示は禁止されています	Montri HTML-fontkodon estas malpermesite.
不正アクセスは禁止されています	Neaŭtorizita aliro estas malpermesita.
アフリカーンス語	Afrikaans
アラゴン語	Aragonesa
アラビア語	Araba
アッサム語	Asama
アゼルバイジャン語	Azerbaĝana
バシュキール語	Bashkir
ベラルーシ語	Belorusa
ベンガル語	Bengala
ブルガリア語	Bulgara
ボスニア語	Bosnako
カタロニア語	Kataluna
チェコ語	ĉeĥa
ウェールズ語	Kimra
デンマーク語	Dana
ドイツ語	Germana
現代ギリシア語	Moderna greka
英語	Angla
イギリス英語	Brita angla
アメリカ英語	Usona angla
エスペラント語	Esperanto
スペイン語	Hispana
エストニア語	Estona
バスク語	Baska
ペルシャ語	Persa
フィンランド語	Fina
フランス語	Franca
アイルランド語	Irlanda
ガリシア語	Galicia
グァラニ語	Paraguaja
グジャラート語	Gujarata
ハウサ語	Hausa
ヘブライ語	Hebrea
ヒンディ語	Hinda
クロアチア語	Kroata
ハイチ・クレオール語	Haitia kreola
ハンガリー語	Hungara
インドネシア語	Indonezia
イボ語	Ibo-lingvo
アイスランド語	Islanda
イタリア語	Itala
日本語	Japana
ジャワ語	Ĝavane
カザフ語	Kazaĥa
朝鮮語	Korea
クルド語	Kurdia
キルギス語	Kirgiza
ラテン語	Latine
ルクセンブルク語	Luksemburga
リンガラ語	Lingala
リトアニア語	Litova
ラトビア語	Latva
マダガスカル語	Malagasa
マオリ語	Maorio
マケドニア語	Macedona
マラヤーラム語	Malajala
モンゴル語	Mongola
マラーティー語	Maraĉa
マレー語	Malaja
マルタ語	Malta
ビルマ語	Birma
ネパール語	Nepala
ノルウェー語	Norvega
オランダ語	Nederlanda
オック語	Okcitana
オロモ語	Aŭromo
パンジャーブ語	Punjaba
ポーランド語	Pola
パシュトー語	Pasa
ポルトガリア語	Portugala
ブラジルポルトガル語	Brazila portugala
ヨーロピアンポルトガル語	Eŭropa portugala
ケチュア語	Kecua
ルーマニア語	Rumaneca
ロシア語	Rusa
サンスクリット語	Sanskrito
スロバキア語	Slovaka
スロベニア語	Slovena
セルビア語	Serba
南セソト語	Suda Sesho
スンダ語	Sunda
スウェーデン語	Sveda
スワヒリ語	Suaĥila
タミル語	Tamilano
テルグ語	Telugua
タジク語	Таджик
タイ語	Tajlanda
トルクメン語	Turko
タガログ語	Filipina
トルコ語	Turka
タタール語	Tatar
ウクライナ語	Ukraina
ウルドゥー語	Urdua
ウズベク語	Uzbeko
ベトナム語	Vjetnamano
コサ語	Hararo
イディッシュ語	Jida
簡体中国語	Simpligita ĉino
繁体中国語	Tradicia ĉina
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	La retumilo, kiun vi nuntempe uzas, estas pli malnova versio, kiu ne plu estas subtenata. Por certigi pli sekuran kaj pli komfortan retumadsperton, bonvolu ĝisdatigi al la plej nova versio de via retumilo.
不正なリクエストです	Nevalida peto
画像が見つかりません	Bildo ne trovita
