設定	Танзимот
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Агар шумо инро дар ин экран танзим кунед, танзимоти забон дар таби Пешрафта нодида гирифта мешаванд.
以下の文字列が使用できます	Қатраҳои зерин метавонанд истифода шаванд
改行	Хатшиканӣ
押下されたキー	Тугма пахш шуд
Neo HTML Protector 設定	Танзимоти Neo HTML Protector
お知らせ	Эълон
メッセージ	Паём
デザイン・音	Тарҳ ва Садо
初期化	Ибтидосозӣ
このプラグインについて	Дар бораи ин плагин
設定が初期化されました	Танзимотҳо барқарор карда шуданд
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Плагинро ибтидо кунед. Лутфан таваҷҷӯҳ намоед, ки дар ин марҳила маълумоти IP Log Reader ҳазф карда намешавад.
Neo HTML Protectorについて	Дар бораи Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Ин плагин барои ҳифзи HTML, тасвирҳо ва дигар мундариҷаи тавлидшуда дар сайти WordPress-и шумо тарҳрезӣ шудааст ва онро аз истифодаи ғайриқонунӣ муҳофизат мекунад.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Мундариҷаро пурра ҳифз кардан ғайриимкон аст. Аммо бо додани огоҳиномаҳо дар ҳар ҷое ки имконпазир аст ва бо андешидани чораҳои омодагӣ барои ҳолате, ки чизе рӯй диҳад, мо бояд тавонем масъаларо мувофиқи тартиботи муқаррарнамудаи ҳукумат ҳал намоем.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Албатта, шумо бояд боварӣ ҳосил кунед, ки шартҳои хизматрасонии шумо ва сиёсати сайти шумо ҳамаҷонибаанд. Гарчанде ки ин плагин воситаи тавлиди шартҳои хизматрасонӣ нест, он метавонад баъзе роҳнамоӣ пешниҳод кунад.
開発者: 夜桜　なの	Таҳиягар: Нано Ёзакура
バージョン	Нусха
ビルド	Сохт
サポートページ	Саҳифаи дастгирӣ
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Иҷро аз ҷониби Мисс Ура Манира
支援のお願い	Дархости дастгирӣ
Neo HTML Protectorをご利用いただき、ありがとうございます！	Ташаккур барои истифодаи Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Таҳия ва нигоҳдории ин плагин вақти зиёд ва кӯшиши бузургро талаб кардааст, ва барои ҷамъоварии маблағҳо ба мақсади идома додани такмил ва навсозии он, мо шукргузор хоҳем буд, агар ҳар касе, ки метавонад моро дастгирӣ кунад, ба фикри хайрия кардан бошад.
寄付について	Дар бораи хайрияҳо
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Саҳмгузориҳо комилан ихтиёрӣ буда, ҳатмӣ нестанд. Ин плагин барои ҳама ройгон дастрас аст. Аммо дастгирии шумо барои идома додани рушди он хеле қадр карда мешавад ва мо хурсанд мешавем, агар шумо ҳар қадаре ки метавонед, саҳм гузоред.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Шумо метавонед тавассути истиноди зер хайрия кунед. Агар шумо дар Ҷопон қарор дошта бошед, метавонед бепул хайрия кунед ва инчунин бо истифода аз ваучерҳои тӯҳфавии Amazon ба осонӣ хайрия кунед.
寄付先	Хайрияҳо
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Бо дастгирии шумо, мо тамоми кӯшишамонро мекунем, то ҳамеша навсозиҳои аъло пешкаш кунем!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Мо барои дастгирии шумо миннатдорем ва умедворем, ки дар оянда низ дастгирии шумо идома хоҳад ёфт.
ライセンス	Иҷозатнома
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Ин плагин ҳамчун нармафзори манбаи кушод таҳия шудааст ва таҳти иҷозатномаи GPLv2.0 ё навтар иҷозат дода шудааст.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Баъзе аз технологияҳое, ки дар ин плагин дохил шудаанд, бо патентҳо ҳифз шудаанд.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Истифодаи технологияи патентшуда танҳо дар доираи ин плагин иҷозат дода шудааст.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Барои ҳар гуна истифодаи дигар, лутфан бо муаллиф тамос гиред, то иҷозатномаи тиҷоратиро ба даст оред.
本プラグインには以下のライブラリを同梱しています	Ин плагин китобхонаҳои зеринро дар бар мегирад
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Ин плагин шрифтҳои санъати ASCII-ро, ки дар поён эҷод шудаанд, ҳамроҳ бо файлҳои шрифт дар бар мегирад.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Ин плагин мусиқиро аз бозии ғайрирасмии Super Famicom «SM Trainer Hitomi 3», ки аз ҷониби EJ Co., Ltd. таҳия шудааст ва аз ҷониби эҷодгари ин плагин композиция шудааст, дар бар мегирад ва расман иҷозатномадор аст.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Ин плагин трекҳоро дар бар мегирад, ки бо «Keppy's YAMAHA C7», таҳиякардаи Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Ман инчунин дар таҳияи ин плагин аз Raspberry Pi 5, ChatGPT ва DeepL истифода кардаам.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Плагини кэшёбӣ ошкор шуд. Агар плагини кэшёбӣ фаъол бошад, ин плагин дуруст кор намекунад.
無効なIPアドレス	Суроғаи IP нодуруст
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Барои истифодаи ин вебсайт, шумо бояд кукиҳо ва JavaScript-ро фаъол созед.
利用規約	Шартҳои истифода
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Барои пешгирӣ кардани истифодаи ғайриқонунӣ ва таъмин намудани кори бехатарии хизматрасониҳои мо, ин вебсайт метавонад маълумотеро, ба монанди суроғаҳои IP, таърихи браузер ва сабтҳои фаъолият, дар кукиҳо ва пойгоҳи додаҳо нигоҳ дорад. Ин маълумот танҳо барои идоракунии вебсайт ва мақсадҳои қонунӣ истифода мешавад ва ба шахсони сеюм ошкор намешавад.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Барои истифодаи ин хидмат, шумо бояд бо ин фаъолиятҳои коркард розӣ шавед.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Шумо метавонед мундариҷаи Сиёсати махфияти моро бинед, новобаста аз он ки шумо розӣ шудаед ё не.
同意する	Ман розӣ ҳастам
同意しない	Ман розӣ нестам
確認	Тасдиқ
プライバシーポリシー	Сиёсати махфият
通常とは異なる方法でのアクセスや操作が検出されました	Дастрасӣ ё фаъолияти ғайриоддӣ ошкор шудааст
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Барои мақсадҳои амниятӣ ва ҳифзи мундариҷа, баъзе хусусиятҳо маҳдуд карда шудаанд.
デバッグモード、コンソールの起動は禁止されています	Режими ислоҳсозӣ ва дастрасӣ ба консол ғайрифаъол карда шудаанд.
以下の情報がサーバーに送信されました	Маълумоти зерин ба сервер фиристода шуд.
あなたのIPアドレス	Суроғаи IP-и шумо
あなたの端末とブラウザ	Дастгоҳ ва браузери шумо
あなたの押下したキー	Калиде, ки шумо пахш кардед
リダイレクトをします	Шумо ба саҳифаи дигар равона карда мешавед
コンテンツ保護のため一部の機能を制限しています	Барои ҳифзи мундариҷа баъзе хусусиятҳо маҳдуд карда шудаанд.
右クリックは禁止されています	Клик кардани тугмаи рост иҷозат дода намешавад.
あなたが押下したキー	Калиде, ки шумо пахш кардед
印刷、PDFへの保存は禁止されています	Чоп кардан ва ҳамчун PDF захира кардан манъ аст.
スクリーンショットは禁止されています	Аксбардории экран манъ аст.
スクリーンショット、デバッグモード等の起動は禁止されています	Гирифтани скриншотҳо ва фаъол кардани режими дебаг манъ аст.
ページの保存は禁止されています	Нигоҳ доштани ин саҳифа манъ аст
コピー、カットは禁止されています	Нусхабардорӣ ва буридан манъ аст.
あなたが起こしたイベント	Чорабиниҳое, ки шумо ташкил кардаед
テキストの選択は禁止されています	Интихоби матн иҷозат дода нашудааст
HTMLソース表示は禁止されています	Намоиши коди манбаии HTML манъ аст.
不正アクセスは禁止されています	Дастрасии ғайриқонунӣ манъ аст
アフリカーンス語	Африкаанс
アラゴン語	арагонӣ
アラビア語	Арабӣ
アッサム語	Ассамӣ
アゼルバイジャン語	Озарбойҷонӣ
バシュキール語	Бас­қир
ベラルーシ語	Белорусӣ
ベンガル語	Бенгалӣ
ブルガリア語	Болгарӣ
ボスニア語	Босниягӣ
カタロニア語	каталонӣ
チェコ語	Чехӣ
ウェールズ語	Уэлсӣ
デンマーク語	Данишӣ
ドイツ語	Олмонӣ
現代ギリシア語	Юнони муосир
英語	Англисӣ
イギリス英語	Бритониёӣ
アメリカ英語	Англиси амрикоӣ
エスペラント語	Эсперанто
スペイン語	Испанӣ
エストニア語	Эстонӣ
バスク語	Баскӣ
ペルシャ語	форсӣ
フィンランド語	Финнӣ
フランス語	Фаронсавӣ
アイルランド語	Ирландӣ
ガリシア語	Галисиянӣ
グァラニ語	Гуарани
グジャラート語	Гуджарати
ハウサ語	Ҳауса
ヘブライ語	Ибронӣ
ヒンディ語	Ҳинди
クロアチア語	Хорватӣ
ハイチ・クレオール語	Креоли гаити
ハンガリー語	Маҷористонӣ
インドネシア語	Индонезӣ
イボ語	Забони ибо
アイスランド語	Исландӣ
イタリア語	Италиявӣ
日本語	Японӣ
ジャワ語	Ҷавани
カザフ語	Қазақ
朝鮮語	Корейӣ
クルド語	Курдӣ
キルギス語	Қирғиз
ラテン語	Латинӣ
ルクセンブルク語	Люксембургӣ
リンガラ語	Лингала
リトアニア語	Литванӣ
ラトビア語	Латвиявӣ
マダガスカル語	Малагаси
マオリ語	Маори
マケドニア語	Македонии
マラヤーラム語	Малаялам
モンゴル語	Монголӣ
マラーティー語	Маҳарӣ
マレー語	Малайӣ
マルタ語	Мальтийӣ
ビルマ語	Бирманӣ
ネパール語	Непалӣ
ノルウェー語	Норвегӣ
オランダ語	Голландӣ
オック語	Окситанӣ
オロモ語	Ёрӯм
パンジャーブ語	Панҷобӣ
ポーランド語	Польшӣ
パシュトー語	Поштно
ポルトガリア語	Португалӣ
ブラジルポルトガル語	Португалӣ-бразилӣ
ヨーロピアンポルトガル語	Португалии аврупоӣ
ケチュア語	Кечуа
ルーマニア語	Руминӣ
ロシア語	Русӣ
サンスクリット語	санскрит
スロバキア語	Словакӣ
スロベニア語	Словенезӣ
セルビア語	Сербӣ
南セソト語	Ҷануби Сешуто
スンダ語	сунданезӣ
スウェーデン語	Шведӣ
スワヒリ語	Суахили
タミル語	Тамилӣ
テルグ語	Телугу
タジク語	Тоҷикӣ
タイ語	Тайӣ
トルクメン語	Туркманӣ
タガログ語	Тагалог
トルコ語	Туркӣ
タタール語	Татар
ウクライナ語	Украинӣ
ウルドゥー語	урду
ウズベク語	ӯзбек
ベトナム語	Ветнамӣ
コサ語	Коса
イディッシュ語	Идиш
簡体中国語	Чинӣи содашуда
繁体中国語	Чинӣ анъанавӣ
ズールー語	Зулу
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Браузери, ки шумо ҳоло истифода мебаред, версияи кӯҳна аст ва дигар дастгирӣ намешавад. Барои таъмини таҷрибаи бехатар ва бароҳаттар дар брауз кардан, лутфан браузери худро ба версияи навтаринаш навсозӣ кунед.
不正なリクエストです	Дархости нодуруст
画像が見つかりません	Тасвир ёфт нашуд
