設定	Caktimet
Miss. 裏まにら氏歌唱	Kënduar nga znj. Ura Manira
支援のお願い	Një kërkesë për mbështetje
Neo HTML Protectorをご利用いただき、ありがとうございます！	Faleminderit që po përdorni Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Zhvillimi dhe mirëmbajtja e këtij shtojce ka kërkuar shumë kohë dhe përpjekje, dhe për të mbledhur fonde për të vazhduar përmirësimin dhe përditësimin e saj, do të ishim mirënjohës nëse dikush që mund të na mbështesë do të konsideronte të bënte një donacion.
寄付について	Rreth dhurimeve
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Dhurimet janë krejtësisht vullnetare dhe jo të detyrueshme. Ky shtojcë është në dispozicion të të gjithëve pa pagesë. Megjithatë, mbështetja juaj vlerësohet shumë për të na ndihmuar të vazhdojmë zhvillimin, dhe do të ishim të kënaqur nëse mund të kontribuonit me çfarëdo që mundni.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Mund të bëni një donacion përmes lidhjes më poshtë. Nëse jeni të vendosur në Japoni, mund të dhuroni pa pagesë, dhe gjithashtu mund të dhuroni lehtësisht duke përdorur kartela dhuratë të Amazon.
寄付先	Organizatat bamirëse
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Me mbështetjen tuaj, do të bëjmë çmos për t'ju sjellë vazhdimisht përditësime fantastike!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Jemi mirënjohës për mbështetjen tuaj dhe presim me padurim mbështetjen tuaj të vazhdueshme në të ardhmen.
ライセンス	Leje
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Ky shtojcë është zhvilluar si softuer me burim të hapur dhe është licencuar nën GPLv2.0 ose më të reja.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Disa nga teknologjitë e përfshira në këtë shtojcë janë të mbrojtura nga patentat.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Përdorimi i teknologjisë së patentuar lejohet vetëm brenda këtij shtojce.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Për çdo përdorim tjetër, ju lutemi kontaktoni autorin për të marrë një licencë komerciale.
本プラグインには以下のライブラリを同梱しています	Ky shtojcë përfshin bibliotekat e mëposhtme
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Ky shtojcë përfshin fontet e artit ASCII të gjeneruara më poshtë, së bashku me skedarët e fonteve.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Ky shtojcë përfshin muzikë nga loja jozyrtare për Super Famicom 'SM Trainer Hitomi 3', e zhvilluar nga EJ Co., Ltd. dhe kompozuar nga krijuesi i këtij shtojce, dhe është me licencë zyrtare.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Ky shtojcë përfshin pista të krijuara me 'Keppy's YAMAHA C7', të zhvilluara nga Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Kam përdorur gjithashtu një Raspberry Pi 5, ChatGPT dhe DeepL në zhvillimin e këtij shtojce.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Është zbuluar një shtojcë caching. Kjo shtojcë nuk do të funksionojë si duhet nëse një shtojcë caching është e aktivizuar.
無効なIPアドレス	Adresë IP e pavlefshme
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Për të përdorur këtë faqe interneti, duhet të aktivizoni cookies dhe JavaScript.
利用規約	Kushtet e Përdorimit
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Për të parandaluar përdorimin e paautorizuar dhe për të siguruar funksionimin e sigurt të shërbimeve tona, ky uebsajt mund të ruajë informacione të tilla si adresat IP, historikun e shfletimit dhe regjistrat e aktivitetit në cookie-t dhe bazat e të dhënave. Këto informacione përdoren vetëm për funksionimin e uebsajtit dhe për qëllime ligjore, dhe nuk do të zbulohen tek palët e treta.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Për të përdorur këtë shërbim, duhet të jepni pëlqimin për këto aktivitete përpunimi.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Ju mund të shikoni përmbajtjen e Politikës së Privatësisë pavarësisht nëse keni dhënë pëlqimin tuaj.
同意する	Unë pajtohem
同意しない	Nuk pajtohem
確認	Konfirmimi
プライバシーポリシー	Politika e Privatësisë
通常とは異なる方法でのアクセスや操作が検出されました	Është vërejtur qasje ose aktivitet i pazakontë.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Disa veçori janë kufizuar për qëllime sigurie dhe mbrojtjeje të përmbajtjes.
デバッグモード、コンソールの起動は禁止されています	Modi i debugimit dhe qasja në konsolë janë ç'aktivizuar.
以下の情報がサーバーに送信されました	Informacioni i mëposhtëm është dërguar në server.
あなたのIPアドレス	Adresa juaj IP
あなたの端末とブラウザ	Pajisja dhe shfletuesi juaj
あなたの押下したキー	Çelësi që e shtypët
リダイレクトをします	Do të ridrejtoheni
コンテンツ保護のため一部の機能を制限しています	Disa veçori janë kufizuar për të mbrojtur përmbajtjen
右クリックは禁止されています	Klikimi i djathtë nuk lejohet
あなたが押下したキー	Çelësi që e shtypët
印刷、PDFへの保存は禁止されています	Shtypja dhe ruajtja si PDF janë të ndaluara.
スクリーンショットは禁止されています	Fotografitë e ekranit janë të ndaluara.
スクリーンショット、デバッグモード等の起動は禁止されています	Bërja e pamjeve të ekranit dhe aktivizimi i modalitetit të debugimit janë të ndaluara.
ページの保存は禁止されています	Ruajtja e kësaj faqeje është e ndaluar
コピー、カットは禁止されています	Kopjimi dhe prerja janë të ndaluara.
あなたが起こしたイベント	Ngjarjet që keni organizuar
テキストの選択は禁止されています	Zgjedhja e tekstit nuk lejohet
HTMLソース表示は禁止されています	Shfaqja e kodit burimor HTML është e ndaluar.
不正アクセスは禁止されています	Qasja e paautorizuar është e ndaluar
アラビア語	Arabisht
ブルガリア語	Bullgarisht
チェコ語	Çek
デンマーク語	Danisht
ドイツ語	Gjermanisht
現代ギリシア語	Greqishtja moderne
英語	Anglisht
イギリス英語	Britanike
アメリカ英語	Anglisht amerikane
スペイン語	Spanjisht
エストニア語	Estonez
フィンランド語	Fenlandisht
フランス語	Frëngjisht
ハンガリー語	Hungarez
インドネシア語	Indonezisht
イタリア語	Italian
日本語	Japonez
朝鮮語	Korean
リトアニア語	Lituaneze
ラトビア語	Lituanez
ノルウェー語	Norvegjez
オランダ語	Holandez
ポーランド語	Polak
ポルトガリア語	Portugezisht
ブラジルポルトガル語	Portugeze braziliane
ヨーロピアンポルトガル語	Portugezja evropiane
ルーマニア語	Rumunisht
ロシア語	Rusisht
スロバキア語	Sllovak
スロベニア語	Sllovenisht
スウェーデン語	Suedez
トルコ語	Turke
ウクライナ語	Ukrainisht
中国語	Kinezë
簡体中国語	Kinezisht e thjeshtëzuar
繁体中国語	Kineze tradicionale
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Shfletuesi që po përdorni aktualisht është një version më i vjetër që nuk mbështetet më. Për të siguruar një përvojë shfletimi më të sigurt dhe më të rehatshme, ju lutemi përditësoni shfletuesin tuaj në versionin më të fundit.
不正なリクエストです	Kërkesë e pavlefshme
画像が見つかりません	Imazhi nuk u gjet
アフリカーンス語	Afrikanse
アラゴン語	Aragonezë
アッサム語	Asamezë
アゼルバイジャン語	Azerbajxhanisht
バシュキール語	Bashkir
ベラルーシ語	Bjellorus
ベンガル語	Bengali
ボスニア語	Boshnjak
カタロニア語	Katalanisht
ウェールズ語	Uellsisht
エスペラント語	Esperanto
バスク語	Baske
ペルシャ語	Persisht
アイルランド語	Irlandez
ガリシア語	Galician
グァラニ語	Guaraní
グジャラート語	Gujarati
ハウサ語	Hausa
ヘブライ語	Hebrenisht
ヒンディ語	Hindi
クロアチア語	Kroatisht
ハイチ・クレオール語	Krijole Haitiane
イボ語	Gjuha Ibo
アイスランド語	Islandisht
ジャワ語	Java
カザフ語	Kazakisht
クルド語	Kurdisht
キルギス語	Kirgiz
ラテン語	Latine
ルクセンブルク語	Luksemburgisht
リンガラ語	Gjuha
マダガスカル語	Malagasi
マオリ語	Maori
マケドニア語	Maqedonisht
マラヤーラム語	Malajalisht
モンゴル語	Mongolisht
マラーティー語	Marathi
マレー語	Malaj
マルタ語	Maltez
ビルマ語	Birmanisht
ネパール語	Nepalez
オック語	Okcitane
オロモ語	Oborrë
パンジャーブ語	Punjabi
パシュトー語	Pas
ケチュア語	Puka
サンスクリット語	Sanskrit
セルビア語	Serbisht
南セソト語	Sesho i Jugut
スンダ語	Sundanez
スワヒリ語	Swahili
タミル語	Tamili
テルグ語	Telugu
タジク語	Tajik
タイ語	Tajlandez
トルクメン語	Turkmen
タガログ語	Filipinisht
タタール語	Tatar
ウルドゥー語	Urdu
ウズベク語	Uzbek
ベトナム語	Vietnamez
コサ語	Flokët
イディッシュ語	Jidish
ズールー語	Zulu
