設定	Fikirana
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Ampandehano ny plugin. Mariho fa tsy hofafana amin'ity dingana ity ny angon-drakitra IP Log Reader.
Neo HTML Protectorについて	Momba ny Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Ity plugin ity dia natao hiarovana ny HTML, ny sary ary ny votoaty hafa vokarin'ny tranokalanao WordPress, mba hisorohana ny fampiasana tsy nahazoana alalana.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Tsy azo atao ny miaro tanteraka ny votoaty. Na izany aza, amin'ny fampitandremana isaky ny azo atao sy ny fanomanana raha misy zavatra mitranga, dia tokony ho afaka hamaha ny olana araka ny fomba fanao napetraky ny governemanta isika.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Mazava ho azy fa mila miantoka ianao fa feno sy feno tanteraka ny fepetra fampiasana sy ny politika ao amin'ny tranonkalanao. Na dia tsy fitaovana hamoronana fepetra fampiasana aza ity plugin ity, dia afaka manome torohevitra izy.
開発者: 夜桜　なの	Mpamorona: Nano Yozakura
バージョン	Dikan-teny
ビルド	Manangana
サポートページ	Pejy fanohanana
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Notanterahin'i Ramatoa Ura Manira
支援のお願い	Fangatahana fanohanana
Neo HTML Protectorをご利用いただき、ありがとうございます！	Misaotra anao nampiasa ny Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Ny fampandrosoana sy ny fikojakojana ity plugin ity dia nitaky fotoana sy ezaka be, ary mba hanangonam-bola hanohizana ny fanatsarana sy ny fanavaozana azy dia ho feno fankasitrahana izahay raha misy afaka manohana anay ka handinika ny hanome fanomezana.
寄付について	Momba ny fanomezana
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Ny fanomezana dia tanteraka an-tsitrapo ary tsy voatery. Azo ampiasaina maimaim-poana ho an'ny rehetra ity plugin ity. Na izany aza, tena ankasitrahana ny fanohananao mba hahafahanay manohy ny fampandrosoana, ary ho faly izahay raha afaka manome izay azonao atao.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Afaka manao fanomezana ianao amin'ny alalan'ny rohy etsy ambany. Raha monina any Japana ianao dia afaka manome maimaim-poana, ary afaka manome mora foana koa ianao amin'ny fampiasana tapakila fanomezana Amazon.
寄付先	Fikambanana mpanao asa soa
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Miaraka amin'ny fanohananareo, hanao izay tsara indrindra vitanay izahay mba hanohizana mitondra vaovao mahafinaritra ho anareo!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Misaotra anao amin'ny fanohananao izahay ary manantena ny fanohananao mitohy amin'ny ho avy.
ライセンス	Fahazoan-dàlana
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Ity plugin ity dia novolavolaina ho rindrambaiko loharano misokatra ary nahazo fahazoan-dàlana GPLv2.0 na vao haingana kokoa.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Ny sasany amin'ireo teknolojia ao anatin'ity plugin ity dia arovan'ny patanty.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Ny fampiasana ny teknolojia patanty dia azo atao ao anatin'ity plug-in ity ihany.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Ho an'ny fampiasana hafa rehetra, miangavy anao hifandray amin'ny mpanoratra mba hahazoana fahazoan-dàlana ara-barotra.
本プラグインには以下のライブラリを同梱しています	Ity plugin ity dia ahitana ireto tranomboky manaraka ireto
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Ity plugin ity dia ahitana ireo endritsoratra ASCII art novokarina etsy ambany, miaraka amin'ireo rakitra endritsoratra.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Ity plugin ity dia ahitana mozika avy amin'ny lalao Super Famicom tsy ofisialy 'SM Trainer Hitomi 3', novolavolain'ny EJ Co., Ltd. ary noforonin'ny mpamorona ity plugin ity, ary nahazo fahazoan-dàlana ofisialy.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Ity plugin ity dia ahitana hira noforonina tamin'ny fampiasana 'Keppy's YAMAHA C7', novolavolain'i Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Nampiasa Raspberry Pi 5, ChatGPT ary DeepL ihany koa aho tamin'ny famolavolana ity plugin ity.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Hita fa misy plugin fitahirizana vonjimaika. Tsy hiasa araka ny tokony ho izy ity plugin ity raha toa ka mavitrika ny plugin fitahirizana vonjimaika.
無効なIPアドレス	Adiresy IP tsy manankery
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Mba hampiasana ity tranonkala ity dia tsy maintsy alefanao ny cookies sy ny JavaScript.
利用規約	Fepetran'ny fampiasana
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Mba hisorohana ny fampiasana tsy nahazoana alalana sy hiantohana ny fampandehanana azo antoka ny tolotra omenay, dia mety hitahiry fampahalalana toy ny adiresy IP, ny tantaran'ny fitetezana ary ny rakitra momba ny hetsika ao anaty cookies sy tahiry angona ity tranonkala ity. Ireo fampahalalana ireo dia ampiasaina fotsiny amin'ny fampandehanana ny tranonkala sy amin'ny tanjona ara-dalàna, ary tsy havoaka amin'ny antoko fahatelo.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Mba hampiasana ity tolotra ity, dia tsy maintsy manaiky ireto asa fanodinana ireto ianao.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Azonao jerena ny votoatin'ny Politikan'ny Tsiambaratelo na efa nanome ny fanekenao ianao na tsia.
同意する	Manaiky aho
同意しない	Tsy manaiky aho
確認	Fanamafisana
プライバシーポリシー	Politikan'ny Tsiambaratelo
通常とは異なる方法でのアクセスや操作が検出されました	Nisy fidirana na hetsika tsy mahazatra hita
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Nisy endri-javatra sasany noferana noho ny antony fiarovana sy fiarovana ny votoaty.
デバッグモード、コンソールの起動は禁止されています	Voasakana ny maody debug sy ny fidirana amin'ny console
以下の情報がサーバーに送信されました	Nalefa tany amin'ny mpizara ny fampahalalana manaraka ireto
あなたのIPアドレス	Ny adiresy IP-nao
あなたの端末とブラウザ	Ny fitaovanao sy ny mpitety tranonkala
あなたの押下したキー	Ny fanalahidy nosindrinao
リダイレクトをします	Halefa any amin'ny toerana hafa ianao
コンテンツ保護のため一部の機能を制限しています	Nisy endri-javatra sasany voafetra mba hiarovana ny votoaty.
右クリックは禁止されています	Tsy azo atao ny manindry-kavanana.
あなたが押下したキー	Ny fanalahidy nosindrinao
印刷、PDFへの保存は禁止されています	Voarara ny mampitonta sy mitahiry ho PDF.
スクリーンショットは禁止されています	Voarara ny fakana sary efijery.
スクリーンショット、デバッグモード等の起動は禁止されています	Voarara ny maka pikantsary sy mampavitrika ny maody debug.
ページの保存は禁止されています	Voarara ny mitahiry ity pejy ity
コピー、カットは禁止されています	Voarara ny maka tahaka sy ny manapaka.
あなたが起こしたイベント	Hetsika efa nokarakarao
テキストの選択は禁止されています	Tsy azo atao ny misafidy lahatsoratra.
HTMLソース表示は禁止されています	Voarara ny mampiseho ny kaody loharano HTML.
不正アクセスは禁止されています	Voarara ny fidirana tsy nahazoana alalana.
アフリカーンス語	Afrikanis
アラゴン語	Aragonés
アラビア語	Arabo
アッサム語	Asamiana
アゼルバイジャン語	Azerbaijani
バシュキール語	Mpikatroka
ベラルーシ語	Belarosiana
ベンガル語	Bengaly
ブルガリア語	Bolgara
ボスニア語	Bosniaka
カタロニア語	Katalana
チェコ語	Tseky
ウェールズ語	Kymraeg
デンマーク語	Danemarka
ドイツ語	Alemàna
現代ギリシア語	Grika maoderina
英語	Anglisy
イギリス英語	Anglisy
アメリカ英語	Anglisy Amerikana
エスペラント語	Esperanto
スペイン語	Espaniola
エストニア語	Estoniana
バスク語	Basque
ペルシャ語	Persiana
フィンランド語	Finoa
フランス語	Frantsay
アイルランド語	Irisy
ガリシア語	Galicianina
グァラニ語	Guarani
グジャラート語	Gujaraty
ハウサ語	Fonjo
ヘブライ語	Hebreo
ヒンディ語	Sanskrit
クロアチア語	Kroaty
ハイチ・クレオール語	Kreyôla Haïtiana
ハンガリー語	Hongroà
インドネシア語	Indoneziana
イボ語	Fiteny Ibo
アイスランド語	Islandey
イタリア語	 Italiana
日本語	Japoney
ジャワ語	Javaney
カザフ語	Kazakh
朝鮮語	Koreana
クルド語	Kôrdô
キルギス語	Kyrgyz
ラテン語	Latina
ルクセンブルク語	Loksemborgiana
リンガラ語	Mpanao
リトアニア語	Litoanianina
ラトビア語	Latvia
マダガスカル語	Malagasy
マオリ語	Māori
マケドニア語	Masedônianina
マラヤーラム語	Malayalam
モンゴル語	Mongôlia
マラーティー語	Marathi
マレー語	Malay
マルタ語	Malteàna
ビルマ語	Birmania
ネパール語	Nepaliana
ノルウェー語	Norveziana
オランダ語	Holandey
オック語	Okisitan
オロモ語	Naorôma
パンジャーブ語	Panjabi
ポーランド語	Fandravana
パシュトー語	Pashto
ポルトガリア語	Portiogey
ブラジルポルトガル語	Portiogey Breziliana
ヨーロピアンポルトガル語	Portiogey Eoropeana
ケチュア語	Kechua
ルーマニア語	Romaniana
ロシア語	Rosiana
サンスクリット語	Sanskrit
スロバキア語	Slôvaka
スロベニア語	Sloveniana
セルビア語	Serba
南セソト語	Atsimon'i Sesotho
スンダ語	Sunda
スウェーデン語	Soedoà
スワヒリ語	Swahili
タミル語	Tamil
テルグ語	Telôgô
タジク語	Tajika
タイ語	Tailandey
トルクメン語	Tiorka
タガログ語	Tagalog
トルコ語	Tiorka
タタール語	Tatàra
ウクライナ語	Okrainiana
ウルドゥー語	Urdu
ウズベク語	Ozbeky
ベトナム語	Vietnamiana
コサ語	Kosa
イディッシュ語	Yiddish
簡体中国語	Sinoa tsotra
繁体中国語	Sinoa nentim-paharazana
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Ny mpitety tranonkala ampiasainao amin'izao fotoana izao dia kinova taloha izay tsy tohanana intsony. Mba hahazoana traikefa fitetezana tranonkala azo antoka kokoa sy mahazo aina kokoa, azafady havaozy ho amin'ny kinova farany ny mpitety tranonkalanao.
不正なリクエストです	Fangatahana tsy manankery
画像が見つかりません	Tsy hita ny sary
