設定	Iisetingi
デザイン・音の設定	Uyilo nezicwangciso zesandi
イベントの設定	Izicwangciso zomsitho
初回訪問時のお知らせの設定	Ukuseta izaziso zokutyelela okokuqala
メッセージの設定	Iisetingi zemiyalezo
右クリックやソースコード表示時に転送する URL を設定します	Misa i-URL eza kuvulwa xa ucofa-ekunene okanye xa ujonga ikhowudi yomthombo.
警告メッセージにはHTMLは使用できません	I-HTML ayinakusetyenziswa kwimiyalezo yesilumkiso.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Ukuba uyilungisa le nto kweli phepha, izicwangciso zolwimi kwi-tab ye-Advanced aziyi kuqwalaselwa.
以下の文字列が使用できます	La magqabi alandelayo anokusetyenziswa
改行	Ukuphuka komgca
押下されたキー	Kucofwe iqhosha
Neo HTML Protector 設定	Iisetingi zoMkhuseli weNeo HTML
お知らせ	Isaziso
メッセージ	Umyalezo
デザイン・音	Uyilo neSandi
初期化	Ukuqaliswa
このプラグインについて	Malunga nale plugin
設定が初期化されました	Izicwangciso zibuyiselwe esimeni sazo sokuqala.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Qalisa iplagin. Nceda uqaphele ukuba idatha ye-IP Log Reader ayisayi kucinywa kweli nqanaba.
Neo HTML Protectorについて	Malunga neNeo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Le plugin yenzelwe ukukhusela i-HTML, imifanekiso kunye nezinye izinto ezikwi-site yakho ye-WordPress, iyikhusela ekusetyenzisweni okungagunyaziswanga.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Akunakwenzeka ukukhusela umxholo ngokupheleleyo. Nangona kunjalo, ngokunika izilumkiso naphi na apho kunokwenzeka khona nokwenza amalungiselelo xa kukho into enokwenzeka, kufanele sikwazi ukusombulula lo mcimbi ngokwemigaqo ebekwe ngurhulumente.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Kakade ke, kuza kufuneka uqinisekise ukuba imigaqo nemiqathango yakho kunye nomgaqo-nkqubo wesiza zibanzi. Nangona le plugin ingesosixhobo sokwenza imigaqo nemiqathango, inokunika isikhokelo esithile.
開発者: 夜桜　なの	Umphuhlisi: Nano Yozakura
バージョン	Inguqulelo
ビルド	Yakha
サポートページ	Iphepha lenkxaso
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Iculiwe nguNkosazana Ura Manira
支援のお願い	Isicelo senkxaso
Neo HTML Protectorをご利用いただき、ありがとうございます！	Enkosi ngokusebenzisa i-Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Uphuhliso nokugcinwa kwale plugin kufuneke ixesha elininzi nomgudu omkhulu, kwaye ukuze siqokelele imali yokuqhubeka nokuyiphucula nokuyihlaziya, singavuya kakhulu ukuba nabani na onakho ukusixhasa angacinga ngokwenza umnikelo.
寄付について	Malunga neMinikelo
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Iminikelo yenza ngokuzithandela ngokupheleleyo, ayinyanzelekanga. Le plugin ifumaneka kumntu wonke simahla. Nangona kunjalo, inkxaso yakho siyayixabisa kakhulu ukuze isincede siqhubeke nophuhliso, kwaye singavuya kakhulu ukuba ungalipha nantoni na onokukwazi.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Ungenza umnikelo ngokusebenzisa ikhonkco elingezantsi. Ukuba useJapan, unganikela simahla, kwaye unganikela ngokulula usebenzisa iivawutsha zesipho zeAmazon.
寄付先	Imibutho yesisa
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Ngenkxaso yenu, siza kwenza konke okusemandleni ethu ukuqhubeka sikuzisela uhlaziyo olumangalisayo!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Siyabulela ngenkxaso yenu kwaye sijonge phambili kwinkxaso yenu eqhubekayo kwixesha elizayo.
ライセンス	Ilayisensi
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Le plugin iphuhliswe njenge-software evulekileyo kwaye inelayisensi phantsi kwe-GPLv2.0 okanye kamva.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Ezinye zeeteknoloji ezikule plugin zikhuselwe ziipatenti.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Ukusetyenziswa kobuchwepheshe obunelungelo elilodwa lomenzi kuvunyelwe kuphela ngaphakathi kwale plug-in.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Ngalo naluphi na olunye usetyenziso, nceda uqhagamshelane nombhali ukuze ufumane ilayisensi yorhwebo.
本プラグインには以下のライブラリを同梱しています	Le plugin iquka ezi library zilandelayo
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Le plugin iquka iifonti zobugcisa be-ASCII ezenziwe ngezantsi, kunye neefayile zefonti.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Le plugin iquka umculo ovela kumdlalo weSuper Famicom ongengowasemthethweni othi 'SM Trainer Hitomi 3', owenziwe yi-EJ Co., Ltd. waza wacwangciswa ngumdali wale plugin, kwaye unelayisensi esemthethweni.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Le plugin iquka iitraki ezenziwe kusetyenziswa 'Keppy's YAMAHA C7', eyaphuhliswa nguKeppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Ndikwase ndisebenzisa iRaspberry Pi 5, iChatGPT kunye neDeepL kuphuhliso lwale plugin.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Kufunyenwe iplagini yokugcina idatha. Le plagini ayizukusebenza kakuhle ukuba iplagini yokugcina idatha ivuliwe.
無効なIPアドレス	Idilesi ye-IP engeyiyo
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Ukuze usebenzise le webhusayithi, kufuneka uvule ii-cookies kunye neJavaScript.
利用規約	Imigaqo yokusebenzisa
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Ukuze kuthintelwe ukusetyenziswa okungagunyaziswanga kuze kuqinisekiswe ukusebenza okukhuselekileyo kweenkonzo zethu, le webhusayithi isenokugcina iinkcukacha ezifana needilesi ze-IP, imbali yokukhangela kunye neelogi zemisebenzi kwii-cookies nakwiidathabheyisi. Ezi nkcukacha zisetyenziselwa ukusebenza kwale webhusayithi kuphela kunye neenjongo ezisemthethweni, kwaye azisayi kutyhilwa kumaqela esithathu.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Ukuze usebenzise le nkonzo, kufuneka uvume ezi zenzo zokucubungula.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Ungajonga umxholo woMgaqo-nkqubo waBucala nokuba awunika imvume yakho na.
同意する	Ndiyavuma
同意しない	Andivumelani
確認	Isiqinisekiso
プライバシーポリシー	Umgaqo-nkqubo Wokugcinwa Kwemfihlo
通常とは異なる方法でのアクセスや操作が検出されました	Kufunyaniswe ukufikelela okungaqhelekanga okanye umsebenzi.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Ezinye iimpawu zithintelwe ngeenjongo zokhuseleko nokukhusela umxholo.
デバッグモード、コンソールの起動は禁止されています	Imowudi yokulungisa iimpazamo kunye nokufikelela kwi-console zivaliwe.
以下の情報がサーバーに送信されました	Ulwazi olulandelayo luthunyelwe kwi-server.
あなたのIPアドレス	Idilesi yakho ye-IP
あなたの端末とブラウザ	Isixhobo sakho nesikhangeli sakho
あなたの押下したキー	Isitshixo osicinezileyo
リダイレクトをします	Uza kudluliselwa kwenye ikhasi.
コンテンツ保護のため一部の機能を制限しています	Ezinye iimpawu zithintelwe ukukhusela umxholo.
右クリックは禁止されています	Akukho kuvunyelwa ukucofa ekunene.
あなたが押下したキー	Isitshixo osicinezileyo
印刷、PDFへの保存は禁止されています	Ukuprinta nokugcina njenge-PDF akuvumelekanga.
スクリーンショットは禁止されています	Ukuthatha i-screenshot akuvumelekanga.
スクリーンショット、デバッグモード等の起動は禁止されています	Ukuthatha iiskrinishoti nokwenza umsebenzi wokulungisa iimpazamo kuvinjiwe.
ページの保存は禁止されています	Akukho kuvunyelwa ukugcina eli phepha.
コピー、カットは禁止されています	Ukukopa nokusika akuvumelekanga.
あなたが起こしたイベント	Imisitho oyilungiseleleyo
テキストの選択は禁止されています	Akukho kuvunyelwa ukukhetha isicatshulwa.
HTMLソース表示は禁止されています	Akuvumelekanga ukubonisa ikhowudi yomthombo ye-HTML.
不正アクセスは禁止されています	Ukungena okungagunyaziswanga akuvumelekanga.
アフリカーンス語	IsiAfrikansi
アラゴン語	Isi-Aragonese
アラビア語	I-Arabhu
アッサム語	Asamese
アゼルバイジャン語	Isi-Azerbaijani
バシュキール語	Ukushenxisa
ベラルーシ語	IsiBelarusi
ベンガル語	Bengali
ブルガリア語	Ibolgari
ボスニア語	UmBosni
カタロニア語	Isikatalani
チェコ語	Czech
デンマーク語	Isidanish
ドイツ語	Jamani
現代ギリシア語	IGrike yanamhlanje
英語	Isingesi
イギリス英語	YiNgesi yaseBritane
アメリカ英語	IsiNgesi saseMelika
エスペラント語	I-Esperanto
スペイン語	Isipanyolo
エストニア語	UmEstoni
バスク語	IsiBasque
ペルシャ語	IsiPersi
フィンランド語	Fini
フランス語	IsiFrentshi
アイルランド語	I-Irish
ガリシア語	Yigalishiya
グァラニ語	Iguaraní
グジャラート語	Igujarati
ハウサ語	Hausa
ヘブライ語	IsiHebhere
ヒンディ語	Isisiyane
クロアチア語	IsiCroatia
ハイチ・クレオール語	Isikreoli saseHaiti
ハンガリー語	NgesiHungary
インドネシア語	Wase-Indonesia
イボ語	Ulwimi lwamaIbo
アイスランド語	Isi-Icelandic
イタリア語	Elitaliyane
日本語	Ijapani
ジャワ語	Isijava
カザフ語	Kazakh
朝鮮語	Koreya
クルド語	Kurdish
キルギス語	Kyrgyz
ラテン語	Isilatini
ルクセンブルク語	Iluxemburga
リンガラ語	Litaliyane
リトアニア語	Ilithuwaniya
ラトビア語	Lelatvia
マダガスカル語	Malagasy
マオリ語	Abantu bomthonyama baseNyuze
マケドニア語	Imakedoniya
マラヤーラム語	Malayalam
モンゴル語	Mongolian
マラーティー語	Marathi
マレー語	Malay
マルタ語	Malta
ビルマ語	Ibhurmese
ネパール語	UmNepali
ノルウェー語	UmNorwegian
オランダ語	NgesiDatshi
オック語	Okwase-Okitani
オロモ語	Okunye
パンジャーブ語	Punjabi
ポーランド語	Gqibezela
パシュトー語	Pashto
ポルトガリア語	Iphuthukezi
ブラジルポルトガル語	Iphuthukezi yaseBrazil
ヨーロピアンポルトガル語	Iphuthukezi yaseYurophu
ケチュア語	Kichwa
ルーマニア語	Romani
ロシア語	Urhasi
サンスクリット語	Isanskrithi
スロバキア語	Islovakhi
スロベニア語	Islovheniya
セルビア語	WaseSerbia
南セソト語	Mzantsi wa Sesotho
スンダ語	Isundanese
スウェーデン語	Iswidi
スワヒリ語	Iswahili
タミル語	Tamil
テルグ語	Telejhu
タジク語	Tajiki
タイ語	I-Thai
トルクメン語	UmTurk
タガログ語	Isithethi sesiTagaalog
トルコ語	NgesiTurkish
タタール語	Tatar
ウクライナ語	Owase-Ukraine
簡体中国語	IsiTshayina esilula
繁体中国語	Isitshayina sendabuko
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Isikhangeli osisebenzisayo ngoku yinguqulelo endala engasaxhaswanga. Ukuqinisekisa amava okukhangela akhuselekileyo nawonwabisayo, nceda uhlaziye isikhangeli sakho sibe kweyona nguqulelo yamva.
不正なリクエストです	Isicelo esingasebenziyo
画像が見つかりません	Umfanekiso awufunyanwanga
ウェールズ語	Isiswedi
ウルドゥー語	Urdu
ウズベク語	Owase-Uzbekistan
ベトナム語	Vietnamese
コサ語	Ukusola
イディッシュ語	Yidi
ズールー語	Isintu
