設定	सेटिंग्ज
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	प्रतिमा URL माहिती एन्क्रिप्ट करण्यासाठी तात्पुरता टोकन पासवर्ड म्हणून वापरला जातो; ही सेटिंग त्याची ताकद निर्दिष्ट करते.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	जरी ड्रॉप-डाउन मेन्यूखालील पर्याय अधिक तपशीलवार होत गेले तरी, यामुळे सर्व्हरवर अधिक भार पडू शकतो आणि HTML डेटाचे प्रमाण वाढू शकते.
ハッシュ化アルゴリズム	हॅश अल्गोरिदम
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	प्रतिमा URL माहिती एन्क्रिप्ट करण्यासाठी तात्पुरता टोकन पासवर्ड म्हणून वापरला जातो; यासाठी हॅशिंग आवश्यक असते, आणि ही सेटिंग त्या हॅशिंगची ताकद ठरवते.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	जरी ड्रॉप-डाउन मेनूमध्ये दाखवलेल्या पर्यायांच्या यादीत खाली जाताना तीव्रता वाढत जाते, तरी यामुळे सर्व्हरवर अधिक भार पडतो.
基本設定	मूलभूत सेटिंग्ज
高度な設定	प्रगत सेटिंग्ज
初期設定に戻す	डीफॉल्ट सेटिंग्ज पुनर्संचयित करा
デザイン・音の設定	डिझाइन आणि ध्वनी सेटिंग्ज
イベントの設定	कार्यक्रम सेटिंग्ज
初回訪問時のお知らせの設定	पहिल्यांदा भेट दिल्यावर सूचना सेट करणे
メッセージの設定	संदेश सेटिंग्ज
右クリックやソースコード表示時に転送する URL を設定します	उजव्या क्लिक केल्यावर किंवा स्रोत कोड पाहताना उघडण्यासाठी URL सेट करा
警告メッセージにはHTMLは使用できません	चेतावणी संदेशांमध्ये HTML वापरता येत नाही.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	जर आपण या स्क्रीनवर हे कॉन्फिगर केले, तर Advanced टॅबमधील भाषा सेटिंग्ज दुर्लक्षित केल्या जातील.
以下の文字列が使用できます	खालील स्ट्रिंग्ज वापरता येऊ शकतात
改行	ओळीचा तुटकाव
押下されたキー	की दाबली गेली
Neo HTML Protector 設定	नियो HTML संरक्षक सेटिंग्ज
お知らせ	सूचना
メッセージ	संदेश
デザイン・音	डिझाइन आणि ध्वनी
初期化	प्रारंभिकीकरण
このプラグインについて	या प्लगइनबद्दल
設定が初期化されました	सेटिंग्ज रीसेट करण्यात आल्या आहेत
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	प्लगइन सुरू करा. कृपया लक्षात घ्या की या टप्प्यावर IP लॉग रीडर डेटा हटवला जाणार नाही.
Neo HTML Protectorについて	Neo HTML संरक्षक विषयी
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	हा प्लगइन तुमच्या वर्डप्रेस साइटद्वारे तयार केलेले HTML, प्रतिमा आणि इतर सामग्री अनधिकृत वापरापासून सुरक्षित ठेवण्यासाठी डिझाइन केलेले आहे.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	सामग्रीचे पूर्णपणे संरक्षण करणे अशक्य आहे. तथापि, शक्य तितक्या ठिकाणी इशारे देऊन आणि काहीही घडल्यास त्यासाठी तयारी करून, आपण सरकारने ठरवलेल्या प्रक्रियेनुसार हा प्रश्न सोडवू शकू.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	नक्कीच, तुम्हाला तुमच्या सेवा अटी आणि साइट धोरणे सर्वसमावेशक असल्याची खात्री करावी लागेल. जरी हा प्लगइन सेवा अटी तयार करण्यासाठीचे साधन नसले तरीही, तो काही मार्गदर्शन देऊ शकतो.
開発者: 夜桜　なの	विकसक: नानो योझकुरा
バージョン	आवृत्ती
ビルド	बांधा
サポートページ	समर्थन पृष्ठ
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	मिस् उरा मनिरा यांनी सादर केले
支援のお願い	आधारासाठी विनंती
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector वापरल्याबद्दल धन्यवाद!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	या प्लगइनचा विकास आणि देखभाल करण्यासाठी खूप वेळ आणि मेहनत लागली आहे, आणि त्यात सुधारणा व अद्ययावत करणे सुरू ठेवण्यासाठी निधी उभारण्यासाठी, ज्यांना आमचे समर्थन करता येईल, त्यांनी देणगी देण्याचा विचार केल्यास आम्ही आभारी राहू.
寄付について	दान विषयी
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	दान पूर्णपणे ऐच्छिक असून अनिवार्य नाही. हा प्लगइन सर्वांसाठी मोफत उपलब्ध आहे. तथापि, विकास सुरू ठेवण्यासाठी आपल्या पाठिंब्याची आम्हाला मोठी कदर आहे, आणि आपण शक्य तेवढे योगदान दिल्यास आम्हाला आनंद होईल.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	तुम्ही खालील लिंकद्वारे देणगी देऊ शकता. जर तुम्ही जपानमध्ये असाल, तर तुम्ही मोफत देणगी देऊ शकता, तसेच Amazon गिफ्ट वॉचरचा वापर करूनही सहजपणे देणगी देऊ शकता.
寄付先	धर्मादाय संस्था
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	तुमच्या पाठिंब्याने, आम्ही तुम्हाला उत्कृष्ट अपडेट्स देत राहण्यासाठी सर्वोत्तम प्रयत्न करू!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	आपल्या पाठिंब्याबद्दल आम्ही आभारी आहोत आणि भविष्यातही आपल्या सततच्या पाठिंब्याची आम्ही अपेक्षा करतो.
ライセンス	परवाना
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	हा प्लगइन मुक्त स्रोत सॉफ्टवेअर म्हणून विकसित केला गेला आहे आणि तो GPL v2.0 किंवा त्यानंतरच्या आवृत्तीअंतर्गत परवाना प्राप्त आहे.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	या प्लगइनमध्ये समाविष्ट काही तंत्रज्ञान पेटंटद्वारे संरक्षित आहेत.
特許技術の使用は、このプラグイン内での使用に限って認められます。	या पेटंट तंत्रज्ञानाचा वापर फक्त या प्लग-इनमध्येच परवानगी आहे.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	इतर कोणत्याही वापरासाठी, कृपया व्यावसायिक परवाना मिळविण्यासाठी लेखकाशी संपर्क साधा.
本プラグインには以下のライブラリを同梱しています	या प्लगइनमध्ये खालील लायब्ररी समाविष्ट आहेत
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	या प्लगइनमध्ये खाली तयार केलेले ASCII कला फॉन्ट्स आणि फॉन्ट फाइल्स यांचा समावेश आहे.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	या प्लगइनमध्ये EJ Co., Ltd. यांनी विकसित केलेल्या आणि या प्लगइनच्या निर्मात्याने रचलेल्या अनधिकृत Super Famicom गेम 'SM Trainer Hitomi 3' मधील संगीत समाविष्ट आहे, आणि त्याला अधिकृत परवाना प्राप्त आहे.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	या प्लगइनमध्ये Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	मी या प्लगइनच्या विकासात रास्पबेरी पाई 5, ChatGPT आणि DeepL देखील वापरले आहेत.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	एक कॅशिंग प्लगइन आढळले आहे. जर कॅशिंग प्लगइन सक्षम असेल तर हा प्लगइन योग्यरित्या कार्य करणार नाही.
無効なIPアドレス	अमान्य आयपी पत्ता
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	या वेबसाइटचा वापर करण्यासाठी, तुम्हाला कुकीज आणि जावास्क्रिप्ट सक्षम करावे लागतील.
利用規約	वापर अटी
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	अनधिकृत वापरापासून प्रतिबंध करण्यासाठी आणि आमच्या सेवांचे सुरक्षित संचालन सुनिश्चित करण्यासाठी, ही वेबसाइट आयपी पत्ते, ब्राउझिंग इतिहास आणि क्रियाकलाप नोंदी यांसारखी माहिती कुकीज आणि डेटाबेसमध्ये संग्रहित करू शकते. ही माहिती फक्त वेबसाइटच्या संचालनासाठी आणि कायदेशीर हेतूंसाठी वापरली जाते आणि तृतीय पक्षांना उघड केली जाणार नाही.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	ही सेवा वापरण्यासाठी, तुम्हाला या प्रक्रिया क्रियाकलापांसाठी संमती द्यावी लागेल.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	तुम्ही तुमची संमती दिली असो वा नसो, तुम्ही गोपनीयता धोरणाच्या सामग्रीला पाहू शकता.
同意する	मी सहमत आहे
同意しない	मी असहमत आहे
確認	पुष्टी
プライバシーポリシー	गोपनीयता धोरण
通常とは異なる方法でのアクセスや操作が検出されました	असामान्य प्रवेश किंवा क्रियाकलाप आढळला आहे
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	काही वैशिष्ट्ये सुरक्षा आणि सामग्री संरक्षणाच्या हेतूने प्रतिबंधित केली गेली आहेत.
デバッグモード、コンソールの起動は禁止されています	डिबग मोड आणि कन्सोल प्रवेश अक्षम केले आहेत
以下の情報がサーバーに送信されました	खालील माहिती सर्व्हरवर पाठवली गेली आहे
あなたのIPアドレス	तुमचा आयपी पत्ता
あなたの端末とブラウザ	तुमचे उपकरण आणि ब्राउझर
あなたの押下したキー	तुम्ही दाबलेली की
リダイレクトをします	तुम्हाला पुनर्निर्देशित केले जाईल
コンテンツ保護のため一部の機能を制限しています	सामग्रीचे संरक्षण करण्यासाठी काही वैशिष्ट्ये प्रतिबंधित केली गेली आहेत.
右クリックは禁止されています	उजवे-क्लिक करण्यास परवानगी नाही
あなたが押下したキー	तुम्ही दाबलेली की
印刷、PDFへの保存は禁止されています	प्रिंट करणे आणि PDF म्हणून जतन करणे निषिद्ध आहे.
スクリーンショットは禁止されています	स्क्रीनशॉट घेणे निषिद्ध आहे.
スクリーンショット、デバッグモード等の起動は禁止されています	स्क्रीनशॉट घेणे आणि डिबग मोड सक्षम करणे निषिद्ध आहे.
ページの保存は禁止されています	या पृष्ठाचे जतन करण्यास मनाई आहे
コピー、カットは禁止されています	प्रतिलिपी बनवणे आणि कापणे निषिद्ध आहे.
あなたが起こしたイベント	तुम्ही आयोजित केलेले कार्यक्रम
テキストの選択は禁止されています	मजकूर निवडण्यास परवानगी नाही
HTMLソース表示は禁止されています	HTML स्त्रोत कोड प्रदर्शित करणे निषिद्ध आहे
不正アクセスは禁止されています	अनधिकृत प्रवेश निषिद्ध आहे
アフリカーンス語	अफ्रिकान्स
アラゴン語	अरागोनीस
アラビア語	अरबी
アッサム語	असमिया
アゼルバイジャン語	अझरबैजानियन
バシュキール語	बशkir
ベラルーシ語	बेलारूसी
ベンガル語	बंगाली
ブルガリア語	बुल्गेरियन
ボスニア語	बोस्नियाई
カタロニア語	कॅटलान
チェコ語	चेक
ウェールズ語	वेल्श
デンマーク語	डॅनिश
ドイツ語	जर्मन
現代ギリシア語	आधुनिक ग्रीक
英語	इंग्रजी
イギリス英語	ब्रिटिश इंग्रजी
アメリカ英語	अमेरिकन इंग्रजी
エスペラント語	एस्पेरान्तो
スペイン語	स्पॅनिश
エストニア語	एस्टोनियन
バスク語	बास्क
ペルシャ語	फारसी
フィンランド語	फिनिश
フランス語	फ्रेंच
アイルランド語	आयरिश
ガリシア語	गॅलिशियन
グァラニ語	ग्वाराणी
グジャラート語	गुजराती
ハウサ語	हाउसा
ヘブライ語	हिब्रू
ヒンディ語	हिंदी
クロアチア語	क्रोएशियाई
ハイチ・クレオール語	हैतीयन क्रेओल
ハンガリー語	हंगेरीयन
インドネシア語	इंडोनेशियाई
イボ語	इबो भाषा
アイスランド語	आइसलँडिक
イタリア語	इटालियन
日本語	जपानी
ジャワ語	जावानी
カザフ語	कझाख
朝鮮語	कोरियन
クルド語	कुर्दिश
キルギス語	किर्गिझ
ラテン語	लॅटिन
ルクセンブルク語	लक्झेंबर्गिश
リンガラ語	लिन्गाला
リトアニア語	लिथुआनियन
ラトビア語	लाटवियन
マダガスカル語	मलागासी
マオリ語	माओरी
マケドニア語	मॅसेडोनियन
マラヤーラム語	मल्याळम
モンゴル語	मंगोलियन
マラーティー語	मराठी
マレー語	मलय
マルタ語	मॉल्टीज
ビルマ語	बर्माई
ネパール語	नेपाली
ノルウェー語	नॉर्वेजियन
オランダ語	डच
オック語	ओक्सिटन
オロモ語	किंवा
パンジャーブ語	पंजाबी
ポーランド語	पॉलिश
パシュトー語	پشتو
ポルトガリア語	पुर्तगाली
ブラジルポルトガル語	ब्राझीलियन पोर्तुगीज
ヨーロピアンポルトガル語	युरोपियन पोर्तुगीज
ケチュア語	क्वेचुआ
ルーマニア語	रोमानियन
ロシア語	रशियन
サンスクリット語	संस्कृत
スロバキア語	स्लोव्हाक
スロベニア語	स्लोव्हेनियन
セルビア語	सर्बियन
南セソト語	दक्षिणी सेसोतो
スンダ語	सुंडानीस
スウェーデン語	स्वीडिश
スワヒリ語	स्वाहिली
タミル語	तमिळ
テルグ語	तेलुगु
タジク語	ताजिक
タイ語	थाय
トルクメン語	तुर्कमेन
タガログ語	टॅगलाग
トルコ語	तुर्की
タタール語	तटस्थ
ウクライナ語	युक्रेनी
ウルドゥー語	उर्दू
ウズベク語	उज़्बेक
ベトナム語	व्हिएतनामी
コサ語	कोसा
イディッシュ語	यिद्दिश
簡体中国語	सरलीकृत चीनी
繁体中国語	परंपरागत चीनी
ズールー語	झुलू
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	आपण सध्या वापरत असलेला ब्राउझर जुना असून आता त्याला समर्थन नाही. सुरक्षित आणि अधिक आरामदायक ब्राउझिंग अनुभव सुनिश्चित करण्यासाठी, कृपया आपल्या ब्राउझरची नवीनतम आवृत्ती डाउनलोड करा.
不正なリクエストです	अमान्य विनंती
画像が見つかりません	प्रतिमा सापडली नाही
