設定	Bongiseli
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Kobongisa mpe kobatela plugin oyo esɛngaki ntango mpe milende mingi, mpe mpo na koluka mbongo ya kokoba kobongisa mpe ko-mis à jour yango, tokosepela mingi soki moto nyonso oyo akoki kosunga akanisi kopesa likabo.
寄付について	Mpo na makabo
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Makabo ezali ya bolingo mpamba, ezali likambo ya kotosa te. Plugin oyo ezali ofele mpo na moto nyonso. Kasi, lisungi na bino ezali na motuya mingi mpo na kosalisa biso tokoba na bokeli, mpe tokosepela mingi soki bokoki kopesa ata moke.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Okoki kopesa likabo na nzela ya lien oyo ezali na nse. Soki ofandi na Japon, okoki kopesa likabo ofele, mpe lisusu okoki kopesa yango na pɛtɛɛ na kosaleláká ba bons ya likabo ya Amazon.
寄付先	Misala ya bolamu
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Na lisungi na bino, tokosala nyonso mpo na kokoba kopesa bino basango ya kitoko!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Totondi bino mpo na lisungi na bino mpe tozali kozela ete bokokoba kosunga biso na mikolo mizali koya.
ライセンス	Lisansi
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Plugin oyo esalemi lokola logiciel open source mpe eza na licence ya GPLv2.0 to oyo ekoya sima.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Bitéknolojí mosusu oyo ezali na kati ya plugin oyo ebatelami na ba brevet.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Bosaleli ya tekiniki oyo ezali na brevet endimami kaka na kati ya plug-in oyo.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Mpo na bosaleli mosusu nyonso, soki okosepela, benga mokomi mpo na kozwa ndingisa ya mombongo.
本プラグインには以下のライブラリを同梱しています	Plugin oyo ezali na ba bibliothèques oyo elandi
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Plugin oyo ezali na ba polices ya art ASCII oyo esalemi na nse, elongo na ba fichiers na yango.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Plugin oyo ezali na miziki ya lisano ya Super Famicom oyo endimami na ofisiele te, 'SM Trainer Hitomi 3', oyo esalemaki na EJ Co., Ltd. mpe ebongisamaki na mokeli ya plugin oyo, mpe ezali na ndingisa ya ofisiele.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Plugin oyo ezali na ba pistes oyo esalemi na 'Keppy's YAMAHA C7', oyo ebongisami na Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Nasálelaki mpe Raspberry Pi 5, ChatGPT ná DeepL mpo na bokeli ya plugin oyo.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Plugin ya caching emonani. Plugin oyo ekosala malamu te soki plugin ya caching efungwami.
無効なIPアドレス	Adresi ya IP ebongi te
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Mpo na kosalela site internet oyo, esengeli ofungola ba cookies mpe JavaScript.
利用規約	Mibeko ya bosaleli
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Mpo na kopekisa bosaleli ya kozanga ndingisa mpe mpo misala na biso etambola na kimya, site internet oyo ekoki kobomba bansango lokola ba adrɛsi IP, lisolo ya botamboli na internet mpe bilembo ya misala na kati ya ba cookies mpe ba bases de données. Bansango oyo esalelamaka kaka mpo na botamboli ya site internet mpe mpo na makambo ya mibeko, mpe ekopesama te na bato to bibongiseli mosusu.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Mpo na kosalela service oyo, esengeli ondima misala oyo ya traitement.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Okoki kotala makambo oyo ezali na kati ya Politiki ya Confidentialité, ata soki ondimaki to te.
同意する	Nandimi
同意しない	Nandimi te
確認	Kondimama
プライバシーポリシー	Mibeko ya kobatela makambo ya moto ye moko
通常とは異なる方法でのアクセスや操作が検出されました	Bakutani na bokoti to misala oyo emesana te.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Makambo mosusu bakangi yango mpo na ntina ya bokengi mpe mpo na kobatela makambo oyo ezali na kati.
デバッグモード、コンソールの起動は禁止されています	Mode ya debug mpe accès na console bakangami.
以下の情報がサーバーに送信されました	Bansango oyo elandi etindami na serveur.
あなたのIPアドレス	Adresi na yo ya IP
あなたの端末とブラウザ	Esaleli na yo mpe navigateur na yo
あなたの押下したキー	Fungu oyo ofinaki
リダイレクトをします	Bokozongisama
コンテンツ保護のため一部の機能を制限しています	Makambo mosusu epekisami mpo na kobatela biloko ya kati.
右クリックは禁止されています	Kofina na butɔ ya mobali epekisami.
あなたが押下したキー	Fungu oyo ofinaki
印刷、PDFへの保存は禁止されています	Kopɛsa na papíɛ́ mpe kobomba lokola PDF epekisami.
スクリーンショットは禁止されています	Kokanga bilili ya écran epekisami.
スクリーンショット、デバッグモード等の起動は禁止されています	Kozwa ba captures d'écran mpe kofungola mode ya debug epekisami.
ページの保存は禁止されています	Kobomba lokasa oyo epekisami
コピー、カットは禁止されています	Kokopola mpe kokata epekisami.
あなたが起こしたイベント	Makambo oyo obongisaki
テキストの選択は禁止されています	Kopona makomi epekisami.
HTMLソース表示は禁止されています	Kolakisa code source ya HTML epekisami.
不正アクセスは禁止されています	Kokɔta kozanga ndingisa epekisami.
アフリカーンス語	Lifalanse
アラゴン語	Liloba ya Aragon
アラビア語	Arabe
アッサム語	Assamese
アゼルバイジャン語	Azéri
バシュキール語	Kobɛta
ベラルーシ語	Moto ya Biélorussie
ベンガル語	Bengali
ブルガリア語	Bulgare
ボスニア語	Moto ya Bosnie
カタロニア語	Catalan
チェコ語	Tchéque
ウェールズ語	Moto ya Pays de Galles
デンマーク語	Danemarkais
ドイツ語	Alɛ́mã
現代ギリシア語	Gɛ́rɛ́kɛ ya mikolo oyo
英語	Lolenge ya Lingelesi
イギリス英語	Anglais Britannique
アメリカ英語	Anglais ya Amerika
エスペラント語	Lolenge ya elikya
スペイン語	Espagnol
エストニア語	Moto ya Estonie
バスク語	Basque
ペルシャ語	Perse
フィンランド語	Finlandɛ́ɛ
フランス語	Molɔ́kɔ́lɔ́
アイルランド語	Irlandais
ガリシア語	Ya Galice
グァラニ語	Mboka ya Guarani
グジャラート語	Gujarati
ハウサ語	Mokili
ヘブライ語	Ebre
ヒンディ語	Na monɔkɔ ya Hindi
クロアチア語	Kroat
ハイチ・クレオール語	Kreyòl Ayisyen
ハンガリー語	Moto ya Hongrie
インドネシア語	Indonésien
イボ語	Lolobé ya Ibo
アイスランド語	Mokili ya glace
イタリア語	Motaliano
日本語	Ya Japon
ジャワ語	Ya Java
カザフ語	Kazakh
朝鮮語	Koréya
クルド語	Kurdí
キルギス語	Kyrgyz
ラテン語	Latin
ルクセンブルク語	Lokseburguá
リンガラ語	Lokola
リトアニア語	Litoani
ラトビア語	Leta
マダガスカル語	Mala-gasy
マオリ語	Ba-Māori
マケドニア語	Masedonɛ́
マラヤーラム語	Malayalam
モンゴル語	Mongolien
マラーティー語	Mpɛmbɛ
マレー語	Molayi
マルタ語	Malté
ビルマ語	Birmana
ネパール語	Népalais
ノルウェー語	Moto ya Norvège
オランダ語	Ya Hollande
オック語	Okitani
オロモ語	Mpunda
パンジャーブ語	Panjabi
ポーランド語	Kopangusa
パシュトー語	Pɔ́sɔ
ポルトガリア語	Portugais
ブラジルポルトガル語	Portugais ya Brésil
ヨーロピアンポルトガル語	Portugais ya Mpoto
ケチュア語	Ndenge
ルーマニア語	Moto ya Roumanie
ロシア語	Lolenge ya Russe
サンスクリット語	Liloba ya Latin
スロバキア語	Slovaiki
スロベニア語	Slovéne
セルビア語	Serbe
南セソト語	Sudi ya Sesotho
スンダ語	Basanzí ya Sunda
スウェーデン語	Suédois
スワヒリ語	Sualia
タミル語	Tamil
テルグ語	Télougou
タジク語	Tajiki
タイ語	Tɛ́ɛ́lɛ́
トルクメン語	Turkmen
タガログ語	Lokota ya Tagalog
トルコ語	Turc
タタール語	Mbɛbu
ウクライナ語	Moto ya Ukraine
ウルドゥー語	Urdu
ウズベク語	Ouzbeki
ベトナム語	Vietnamɛ́
コサ語	Libunga
イディッシュ語	Yidi
簡体中国語	Chinois simplifié
繁体中国語	Limonɔkɔ ya bonkɔ́kɔ ya Chine
ズールー語	Mbote
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Navigatɛrɛ oyo ozali kosalela ezali version ya kala oyo lisusu esungami te. Mpo na kozala na expérience ya kotambola na internet ya libateli mpe ya malamu koleka, tosengi yo osala mise à jour ya navigatɛrɛ na yo na version na yango ya sika.
不正なリクエストです	Esɛngi ya libela te
画像が見つかりません	Elilingi emonani te
