設定	Подешавања
以下の情報がサーバーに送信されました	Следеће информације су послате на сервер
あなたのIPアドレス	Ваша ИП адреса
あなたの端末とブラウザ	Ваш уређај и прегледач
あなたの押下したキー	Кључ који сте притиснули
リダイレクトをします	Бићете преусмерени
コンテンツ保護のため一部の機能を制限しています	Одређене функције су ограничене ради заштите садржаја.
右クリックは禁止されています	Десни клик није дозвољен
あなたが押下したキー	Кључ који сте притиснули
印刷、PDFへの保存は禁止されています	Штампање и сачување као PDF су забрањени.
スクリーンショットは禁止されています	Скриншотови су забрањени
スクリーンショット、デバッグモード等の起動は禁止されています	Прављење снимака екрана и омогућавање режима отклањања грешака су забрањени.
ページの保存は禁止されています	Сачување ове странице је забрањено
コピー、カットは禁止されています	Копирање и сечење су забрањени.
あなたが起こしたイベント	Догађаји које сте организовали
テキストの選択は禁止されています	Одабир текста није дозвољен
HTMLソース表示は禁止されています	Приказивање изворног HTML кода је забрањено.
不正アクセスは禁止されています	Неовлашћен приступ је забрањен
アフリカーンス語	Африканс
アラゴン語	Арагонско
アラビア語	арапски
アッサム語	Ассамски
アゼルバイジャン語	Азербејџански
バシュキール語	Башҡорт
ベラルーシ語	Беларускі
ベンガル語	Бенгалски
ブルガリア語	Бугарски
ボスニア語	Бошњачки
カタロニア語	Каталонски
チェコ語	Чешки
ウェールズ語	Велшки
デンマーク語	дански
ドイツ語	Немачки
現代ギリシア語	Модерни грчки
英語	Енглески
イギリス英語	Британски енглески
アメリカ英語	Амерички енглески
エスペラント語	Есперанто
スペイン語	Шпански
エストニア語	Естонски
バスク語	Баскијски
ペルシャ語	Персијски
フィンランド語	Фински
フランス語	Француски
アイルランド語	Ирски
ガリシア語	Галицијански
グァラニ語	Гуарани
グジャラート語	Гуджарати
ハウサ語	Хауса
ヘブライ語	Еврејски
ヒンディ語	Хинди
クロアチア語	Хрватски
ハイチ・クレオール語	Хаићански креолски
ハンガリー語	Мађарски
インドネシア語	Индонезијски
イボ語	Јибојски језик
アイスランド語	Исландски
イタリア語	Италијански
日本語	Јапански
ジャワ語	Џаванесе
カザフ語	Казах
朝鮮語	Корејски
クルド語	Курдски
キルギス語	Киргиз
ラテン語	Латински
ルクセンブルク語	Луксембургски
リンガラ語	Лингала
リトアニア語	Литвански
ラトビア語	Латвијски
マダガスカル語	Малагаси
マオリ語	Маори
マケドニア語	Македонски
マラヤーラム語	Малајалам
モンゴル語	Монгол
マラーティー語	Марати
マレー語	Малај
マルタ語	Малтешки
ビルマ語	Бурмански
ネパール語	Непалски
ノルウェー語	Норвешки
オランダ語	Холандски
オック語	Окситан
オロモ語	Или
パンジャーブ語	Пенџаби
ポーランド語	Пољски
パシュトー語	Пашту
ポルトガリア語	Португалски
ブラジルポルトガル語	Бразилски португалски
ヨーロピアンポルトガル語	Европски португалски
ケチュア語	Кечуа
ルーマニア語	Румунски
ロシア語	Руски
サンスクリット語	Санскрит
スロバキア語	Словачки
スロベニア語	Словеначки
セルビア語	Српски
南セソト語	Јужни Сесото
スンダ語	Сундански
スウェーデン語	Шведски
スワヒリ語	Свахили
タミル語	Тамил
テルグ語	Телугу
タジク語	Таџик
タイ語	Тајландски
トルクメン語	Туркмен
タガログ語	Тагалог
トルコ語	Турски
タタール語	Татар
ウクライナ語	Украјински
ウルドゥー語	урду
ウズベク語	Узбек
ベトナム語	Вијетнамски
コサ語	Коса
イディッシュ語	јидиш
簡体中国語	Поједностављени кинески
繁体中国語	Традиционални кинески
ズールー語	Зулу
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Прегледач који тренутно користите је старија верзија која више није подржана. Да бисте осигурали безбедније и удобније прегледање, ажурирајте прегледач на најновију верзију.
不正なリクエストです	Неважећи захтев
画像が見つかりません	Слика није пронађена
