設定	Täze sazlamalar
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Sadakalar doly erkin we hökmany däl. Bu goşundyny hemmeler mugt ulanyp biler. Emma ösüşi dowam etdirmegimize goldawyňyz üçin uly minnetdarlyk bildirýäris we mümkinçiligiňizçe goşant goşsaňyz begenýäris.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Aşakdaky baglanyşyk arkaly sadaka berip bilersiňiz. Eger Ýaponiýada ýaşaýan bolsaňyz, mugt sadaka berip bilersiňiz we Amazon sowgat kuponlaryny ulanyp aňsatlyk bilen hem sadaka berip bilersiňiz.
寄付先	Hayyr-sahawat guramalary
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Siziň goldawyňyz bilen size ajaýyp täzelikleri getirmäge elimizden gelenini ederis!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Biz goldawyňyz üçin minnetdar we geljekde hem goldawyňyza garaşýarys.
ライセンス	Litsenziýa
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Bu goşundy açyk çeşme programma üpjünçiligi hökmünde işlenip düzüldi we GPLv2.0 ýa-da soňrak wersiýa esasynda lisenziýalaşdyryldy.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Bu plagin içine girizilen käbir tehnologiýalar patentler bilen goralan.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Patentlenen tehnologiýanyň ulanylmagy diňe şu goşundada rugsat berilýär.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Başga islendik ulanyş üçin, söwda lisenziýasyny almak üçin awtor bilen habarlaşyň.
本プラグインには以下のライブラリを同梱しています	Bu plagin aşakdaky kitaphanalary öz içine alýar
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Bu goşundada aşakda döredilen ASCII surat şriftleri we şrift faýllary bar.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Bu goşundada EJ Co., Ltd. tarapyndan işlenip düzülen we bu goşundanyň döredijisi tarapyndan kompozisiýa edilen resmi däl Super Famicom oýny 'SM Trainer Hitomi 3'-den alnan sazlar bar we ol resmi taýdan ygtyýarlandyrylan.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Bu plagin Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Men bu goşundyny işläp düzmekde Raspberry Pi 5-i, ChatGPT-i we DeepL-i hem ulandym.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Käşleme plaginini anyklandy. Eger käşleme plaginini işjeňleşdirilse, bu plagin dogry işlemez.
無効なIPアドレス	Nädogry IP salgysy
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Bu web sahypasyny ulanmak üçin kukileri we JavaScript-i işjeňleşdirmeli.
利用規約	Ulanyş şertleri
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Ruhsatsyz ulanylyşyň öňüni almak we hyzmatlarymyzyň howpsuz işlemegini üpjün etmek üçin, bu web sahypasy IP salgylary, gözleg taryhy we işjeňlik ýazgylary ýaly maglumatlary kukilerde we maglumatlar bazalarynda saklap biler. Bu maglumatlar diňe web sahypasynyň işlemegi we kanuny maksatlar üçin ulanylýar we üçünji taraplara berilmez.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Bu hyzmaty ulanmak üçin, bu işleme işjeňliklerine razy bolmaly.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Siz razylyk berendigiňizden ýa-da bermänligiňizden garaşsyz, Gizlinlik syýasatynyň mazmunyny görüp bilersiňiz.
同意する	Men razy
同意しない	Men razy däl.
確認	Tassyklama
プライバシーポリシー	Gizlinlik syýasaty
通常とは異なる方法でのアクセスや操作が検出されました	Adaty däl giriş ýa-da işjeňlik anyklandy
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Käbir aýratynlyklar howpsuzlyk we mazmuny goramak maksady bilen çäklendirildi.
デバッグモード、コンソールの起動は禁止されています	Debug režimi we konsol girmegi öçürilipdir.
以下の情報がサーバーに送信されました	Aşakdaky maglumatlar serweriňize iberildi.
あなたのIPアドレス	Siziň IP salgysyňyz
あなたの端末とブラウザ	Enjamingiz we brauzeriňiz
あなたの押下したキー	Siz basýan açar
リダイレクトをします	Siz başga sahypaya ugrukdyrylarsynyz
コンテンツ保護のため一部の機能を制限しています	Mazmuny goramak üçin käbir aýratynlyklar çäklendirildi.
右クリックは禁止されています	Ong düwmä basmak rugsat berilmeýär
あなたが押下したキー	Siz basýan açar
印刷、PDFへの保存は禁止されています	Basyş we PDF görnüşinde ýazga saklamak gadagan.
スクリーンショットは禁止されています	Ekran suratlary gadagan.
スクリーンショット、デバッグモード等の起動は禁止されています	Ekran suratlaryny almak we debug režimini ýakmak gadagan.
ページの保存は禁止されています	Bu sahypany ýatda saklamak gadagan.
コピー、カットは禁止されています	Köpeltmek we kesip almak gadagan.
あなたが起こしたイベント	Siz guramaçylyk eden wakalar
テキストの選択は禁止されています	Teksti saýlamak rugsat berilmeýär
HTMLソース表示は禁止されています	HTML çeşme koduny görkezmek gadagan.
不正アクセスは禁止されています	Rugsatsyz girmäge gadagan
アフリカーンス語	Afrikanca
アラゴン語	Aralygy
アラビア語	Arapça
アッサム語	Assamça
アゼルバイジャン語	Azərbaycanca
バシュキール語	Başky
ベラルーシ語	Belarusça
ベンガル語	Bengal dili
ブルガリア語	Bulgar
ボスニア語	Bosniýa
カタロニア語	Katalon
チェコ語	Çeh
ウェールズ語	Uelsli
デンマーク語	Daniýaça
ドイツ語	Alman
現代ギリシア語	Häzirki zaman grek
英語	Iňlisçe
イギリス英語	Britaniyaly iňlis
アメリカ英語	Amerikan iňlis dili
エスペラント語	Umidlenen dil
スペイン語	Ispanca
エストニア語	Estoniýaly
バスク語	Basklý
ペルシャ語	Farsça
フィンランド語	Finlandiyaly
フランス語	Fransuz
アイルランド語	Irland
ガリシア語	Galişiyaly
グァラニ語	Guarani
グジャラート語	Gujarati
ハウサ語	Hausa
ヘブライ語	Ibraniý
ヒンディ語	Hindçe
クロアチア語	Horwaty
ハイチ・クレオール語	Gaiti kreol
ハンガリー語	Wengerçe
インドネシア語	Indoneziýaly
イボ語	Ibo dili
アイスランド語	Islandça
イタリア語	Italiýaly
日本語	Ýaponça
ジャワ語	Jawalı
カザフ語	Gazak
朝鮮語	Koreýaly
クルド語	Kürdçe
キルギス語	Kirgiz
ラテン語	Latyn
ルクセンブルク語	Lüksemburgça
リンガラ語	Dil
リトアニア語	Litwaly
ラトビア語	Latwiýaça
マダガスカル語	Malagasy
マオリ語	Maori
マケドニア語	Makedonça
マラヤーラム語	Malayalam
モンゴル語	Moğolça
マラーティー語	Marathi
マレー語	Malay
マルタ語	Malta dili
ビルマ語	Birmanci
ネパール語	Nepal dili
ノルウェー語	Norwejiýaly
オランダ語	Gollandiýa
オック語	Oksitan
オロモ語	Ýeri
パンジャーブ語	Pendjapça
ポーランド語	Polşa dili
パシュトー語	Pashto
ポルトガリア語	Portugaliýa dilinde
ブラジルポルトガル語	Braziliýa portugaly
ヨーロピアンポルトガル語	Ýewropa portugaly
ケチュア語	Iňlisçe
ルーマニア語	Rumyn dilinde
ロシア語	Rusça
サンスクリット語	Sanskrit
スロバキア語	Slovak
スロベニア語	Sloveniýa dilinde
セルビア語	Serbçe
南セソト語	Günorta Sesuto
スンダ語	Sunda dili
スウェーデン語	Şwedçe
スワヒリ語	Suwahili
タミル語	Tamil
テルグ語	Telugu
タジク語	Tajik
タイ語	Tajik
トルクメン語	Türkiýe
タガログ語	Tagalog
トルコ語	Türkiýe
タタール語	Tatar
ウクライナ語	Ukrainça
ウルドゥー語	Urdu
ウズベク語	Özbek
ベトナム語	Wýetnamly
コサ語	Saç
イディッシュ語	Ýidiş
簡体中国語	Gysgaldylan hytaý dili
繁体中国語	Däp bolan hytaý dili
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Häzir ulanýan brauzeriňiz köne wersiýa bolup, goldaw berilmeýär. Has howpsuz we amatly brauzing tejribesini üpjün etmek üçin brauzeriňizi iň soňky wersiýasyna täzeläň.
不正なリクエストです	Nädogry haýyş
画像が見つかりません	Surat tapylmady
