設定	Tetapan
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Untuk sebarang penggunaan lain, sila hubungi penulis untuk mendapatkan lesen komersial.
本プラグインには以下のライブラリを同梱しています	Plugin ini merangkumi pustaka-pustaka berikut
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Plugin ini merangkumi fon seni ASCII yang dijana di bawah, serta fail fon.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Plugin ini merangkumi muzik daripada permainan Super Famicom tidak rasmi 'SM Trainer Hitomi 3', dibangunkan oleh EJ Co., Ltd. dan digubah oleh pencipta plugin ini, serta dilisensikan secara rasmi.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Plugin ini merangkumi trek yang dihasilkan menggunakan 'Keppy's YAMAHA C7', dibangunkan oleh Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Saya juga telah menggunakan Raspberry Pi 5, ChatGPT dan DeepL dalam pembangunan pemalam ini.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Plugin penimbalan telah dikesan. Plugin ini tidak akan berfungsi dengan betul jika plugin penimbalan diaktifkan.
無効なIPアドレス	Alamat IP tidak sah
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Untuk menggunakan laman web ini, anda mesti mengaktifkan kuki dan JavaScript.
利用規約	Syarat Penggunaan
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Untuk mengelakkan penggunaan tanpa kebenaran dan memastikan operasi perkhidmatan kami selamat, laman web ini mungkin menyimpan maklumat seperti alamat IP, sejarah pelayaran dan log aktiviti dalam kuki dan pangkalan data. Maklumat ini digunakan semata-mata untuk operasi laman web dan untuk tujuan undang-undang, dan tidak akan didedahkan kepada pihak ketiga.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Untuk menggunakan perkhidmatan ini, anda mesti memberi persetujuan terhadap aktiviti pemprosesan ini.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Anda boleh melihat kandungan Polisi Privasi tanpa mengira sama ada anda telah memberikan persetujuan anda.
同意する	Saya bersetuju
同意しない	Saya tidak bersetuju
確認	Pengesahan
プライバシーポリシー	Dasar Privasi
通常とは異なる方法でのアクセスや操作が検出されました	Akses atau aktiviti luar biasa telah dikesan
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Sesetengah ciri telah dihadkan untuk tujuan keselamatan dan perlindungan kandungan.
デバッグモード、コンソールの起動は禁止されています	Mod penyahpepijat dan akses konsol telah dilumpuhkan.
以下の情報がサーバーに送信されました	Maklumat berikut telah dihantar ke pelayan
あなたのIPアドレス	Alamat IP anda
あなたの端末とブラウザ	Peranti dan pelayar anda
あなたの押下したキー	Kunci yang anda tekan
リダイレクトをします	Anda akan dialihkan
コンテンツ保護のため一部の機能を制限しています	Sesetengah ciri telah dihadkan untuk melindungi kandungan.
右クリックは禁止されています	Klik kanan tidak dibenarkan
あなたが押下したキー	Kunci yang anda tekan
印刷、PDFへの保存は禁止されています	Mencetak dan menyimpan sebagai PDF adalah dilarang.
スクリーンショットは禁止されています	Skrinshot dilarang.
スクリーンショット、デバッグモード等の起動は禁止されています	Mengambil tangkapan skrin dan mengaktifkan mod debug adalah dilarang.
ページの保存は禁止されています	Menyimpan halaman ini dilarang
コピー、カットは禁止されています	Menyalin dan memotong adalah dilarang.
あなたが起こしたイベント	Acara yang telah anda atur
テキストの選択は禁止されています	Memilih teks tidak dibenarkan
HTMLソース表示は禁止されています	Menampilkan kod sumber HTML adalah dilarang.
不正アクセスは禁止されています	Akses tanpa kebenaran adalah dilarang.
アフリカーンス語	Afrikaans
アラゴン語	Aranés
アラビア語	Arab
アッサム語	Assamী
アゼルバイジャン語	Azerbaijani
バシュキール語	Bashkir
ベラルーシ語	Belarusia
ベンガル語	Bengali
ブルガリア語	Bulgaria
ボスニア語	Bosnia
カタロニア語	Katalon
チェコ語	Ceko
ウェールズ語	Wales
デンマーク語	Denmark
ドイツ語	Jerman
現代ギリシア語	Bahasa Yunani moden
英語	Inggeris
イギリス英語	British English
アメリカ英語	Bahasa Inggeris Amerika
エスペラント語	Bahasa Esperanto
スペイン語	Sepanyol
エストニア語	Estonia
バスク語	Basque
ペルシャ語	Parsi
フィンランド語	Finnis
フランス語	Perancis
アイルランド語	Irlandis
ガリシア語	Galicia
グァラニ語	Guarani
グジャラート語	Gujarati
ハウサ語	Hausa
ヘブライ語	Ibrani
ヒンディ語	Hindi
クロアチア語	Kroasia
ハイチ・クレオール語	Kreyòl Haiti
ハンガリー語	Hungaria
インドネシア語	Indonesia
イボ語	Bahasa Ibo
アイスランド語	Islandic
イタリア語	Itali
日本語	Jepun
ジャワ語	Jawa
カザフ語	Kazakh
朝鮮語	Korea
クルド語	Kurdish
キルギス語	Kyrgyz
ラテン語	Latin
ルクセンブルク語	Luxemburgis
リンガラ語	Molimo
リトアニア語	Lithuania
ラトビア語	Latvia
マダガスカル語	Malagasy
マオリ語	Maori
マケドニア語	Macedonia
マラヤーラム語	Bahasa Malayalam
モンゴル語	Bahasa Mongolia
マラーティー語	Bahasa Marathi
マレー語	Melayu
マルタ語	Maltese
ビルマ語	Burmese
ネパール語	Nepali
ノルウェー語	Norwegia
オランダ語	Belanda
オック語	Okitan
オロモ語	Atau
パンジャーブ語	Punjabi
ポーランド語	Mengilat
パシュトー語	پشتو
ポルトガリア語	Portugis
ブラジルポルトガル語	Portugis Brazil
ヨーロピアンポルトガル語	Portugis Eropah
ケチュア語	Tukang
ルーマニア語	Rumania
ロシア語	Rusia
サンスクリット語	Bahasa Sansekerta
スロバキア語	Slovak
スロベニア語	Slovenia
セルビア語	Serbia
南セソト語	Selesea ea Sehlohlolo
スンダ語	Sunda
スウェーデン語	Swedia
スワヒリ語	Swahili
タミル語	Tamil
テルグ語	Telugu
タジク語	Tajik
タイ語	Thai
トルクメン語	Turkmen
タガログ語	Bahasa Tagalog
トルコ語	Turki
タタール語	Tatar
ウクライナ語	Ukraine
ウルドゥー語	Bahasa Urdu
ウズベク語	Uzbek
ベトナム語	Vietnamese
コサ語	Kosa
イディッシュ語	Yiddish
簡体中国語	Bahasa Cina Ringkas
繁体中国語	Bahasa Cina tradisional
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Pelayar yang anda gunakan kini adalah versi lama yang tidak lagi disokong. Untuk memastikan pengalaman melayari yang lebih selamat dan selesa, sila kemas kini pelayar anda ke versi terkini.
不正なリクエストです	Permintaan tidak sah
画像が見つかりません	Imej tidak ditemui
