設定	सेटिंग्स
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	हालाँकि ड्रॉप-डाउन मेनू में प्रदर्शित विकल्पों की सूची में नीचे जाने पर तीव्रता बढ़ती है, इससे सर्वर पर अधिक भार पड़ता है।
基本設定	मूल सेटिंग्स
高度な設定	उन्नत सेटिंग्स
初期設定に戻す	डिफ़ॉल्ट सेटिंग्स पुनर्स्थापित करें
デザイン・音の設定	डिज़ाइन और ध्वनि सेटिंग्स
イベントの設定	इवेंट सेटिंग्स
初回訪問時のお知らせの設定	पहली बार आने पर सूचनाएँ सेट करना
メッセージの設定	संदेश सेटिंग्स
右クリックやソースコード表示時に転送する URL を設定します	दाहिने-क्लिक करने या स्रोत कोड देखने पर खुलने वाला URL सेट करें
警告メッセージにはHTMLは使用できません	चेतावनी संदेशों में HTML का उपयोग नहीं किया जा सकता।
この画面で設定すると、高度な設定タブにある言語設定が無視されます	यदि आप इस स्क्रीन पर इसे कॉन्फ़िगर करते हैं, तो एडवांस्ड टैब में भाषा सेटिंग्स को अनदेखा कर दिया जाएगा।
以下の文字列が使用できます	निम्नलिखित स्ट्रिंग्स का उपयोग किया जा सकता है।
改行	पंक्ति विराम
押下されたキー	कुंजी दबाई गई
Neo HTML Protector 設定	नियो एचटीएमएल प्रोटेक्टर सेटिंग्स
お知らせ	सूचना
メッセージ	संदेश
デザイン・音	डिज़ाइन और ध्वनि
初期化	आरंभिकीकरण
このプラグインについて	इस प्लगइन के बारे में
設定が初期化されました	सेटिंग्स रीसेट कर दी गई हैं।
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	प्लगइन को प्रारंभ करें। कृपया ध्यान दें कि इस चरण में आईपी लॉग रीडर का डेटा हटाया नहीं जाएगा।
Neo HTML Protectorについて	नियो एचटीएमएल प्रोटेक्टर के बारे में
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	यह प्लगइन आपकी वर्डप्रेस साइट द्वारा उत्पन्न HTML, छवियों और अन्य सामग्री की सुरक्षा करने के लिए डिज़ाइन किया गया है, और इसे अनधिकृत उपयोग से बचाता है।
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	सामग्री की पूरी तरह से रक्षा करना असंभव है। हालांकि, जहाँ भी संभव हो चेतावनियाँ जारी करके और यदि कुछ भी होता है तो उसके लिए तैयारी करके, हम सरकार द्वारा निर्धारित प्रक्रियाओं के अनुसार इस मामले को सुलझा सकेंगे।
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	बेशक, आपको यह सुनिश्चित करना होगा कि आपके नियम और शर्तें तथा साइट नीति व्यापक हों। हालांकि यह प्लगइन नियम और शर्तें तैयार करने का उपकरण नहीं है, यह कुछ मार्गदर्शन प्रदान कर सकता है।
開発者: 夜桜　なの	डेवलपर: नैनो योज़ाकुरा
バージョン	संस्करण
ビルド	निर्माण करें
サポートページ	समर्थन पृष्ठ
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	प्रस्तुतकर्ता मिस उरा मनीरा
支援のお願い	समर्थन के लिए अनुरोध
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector का उपयोग करने के लिए धन्यवाद!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	इस प्लगइन के विकास और रखरखाव में बहुत समय और प्रयास लगा है, और इसे बेहतर बनाने तथा अपडेट करने के लिए धन जुटाने हेतु, यदि कोई समर्थ व्यक्ति हमारा समर्थन करने पर विचार कर दान दे, तो हम आभारी होंगे।
寄付について	दान के बारे में
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	दान पूरी तरह से स्वैच्छिक हैं और अनिवार्य नहीं हैं। यह प्लगइन सभी के लिए नि:शुल्क उपलब्ध है। हालांकि, विकास जारी रखने में हमारी मदद के लिए आपका समर्थन अत्यंत सराहनीय है, और यदि आप थोड़ी सी राशि भी दान कर सकें तो हमें खुशी होगी।
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	आप नीचे दिए गए लिंक के माध्यम से दान कर सकते हैं। यदि आप जापान में स्थित हैं, तो आप नि:शुल्क दान कर सकते हैं, और आप अमेज़न गिफ्ट वाउचर का उपयोग करके भी आसानी से दान कर सकते हैं।
寄付先	दान-संस्थाएँ
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	आपके समर्थन से, हम आपको शानदार अपडेट्स लाते रहने की पूरी कोशिश करेंगे!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	हम आपके समर्थन के लिए आभारी हैं और भविष्य में भी आपके निरंतर समर्थन की प्रतीक्षा कर रहे हैं।
ライセンス	लाइसेंस
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	यह प्लगइन ओपन सोर्स सॉफ़्टवेयर के रूप में विकसित किया गया है और GPLv2.0 या उसके बाद के अंतर्गत लाइसेंस प्राप्त है।
このプラグインに含まれるいくつかの技術は特許保護の対象です。	इस प्लगइन में शामिल कुछ तकनीकें पेटेंट द्वारा संरक्षित हैं।
特許技術の使用は、このプラグイン内での使用に限って認められます。	पेटेंट की गई तकनीक का उपयोग केवल इस प्लग-इन के भीतर ही अनुमत है।
その他の使用については、作者に連絡して商用ライセンスを取得してください。	किसी अन्य उपयोग के लिए, कृपया वाणिज्यिक लाइसेंस प्राप्त करने हेतु लेखक से संपर्क करें।
本プラグインには以下のライブラリを同梱しています	इस प्लगइन में निम्नलिखित लाइब्रेरीज़ शामिल हैं।
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	इस प्लगइन में नीचे उत्पन्न ASCII कला फ़ॉन्ट्स के साथ-साथ फ़ॉन्ट फ़ाइलें भी शामिल हैं।
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	यह प्लगइन अनौपचारिक सुपर फैमिकॉम गेम 'SM ट्रेनर हिटोमी 3' से संगीत शामिल करता है, जिसे EJ Co., Ltd. ने विकसित किया है और इस प्लगइन के निर्माता ने रचित किया है, और यह आधिकारिक रूप से लाइसेंस प्राप्त है।
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	इस प्लगइन में 'Keppy's YAMAHA C7' का उपयोग करके बनाए गए ट्रैक शामिल हैं, जिसे Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	मैंने इस प्लगइन के विकास में रास्पबेरी पाई 5, ChatGPT और DeepL का भी उपयोग किया है।
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	एक कैशिंग प्लगइन का पता चला है। यदि कोई कैशिंग प्लगइन सक्षम है तो यह प्लगइन सही ढंग से काम नहीं करेगा।
無効なIPアドレス	अमान्य आईपी पता
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	इस वेबसाइट का उपयोग करने के लिए, आपको कुकीज़ और जावास्क्रिप्ट सक्षम करना होगा।
利用規約	उपयोग की शर्तें
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	अनधिकृत उपयोग को रोकने और हमारी सेवाओं के सुरक्षित संचालन को सुनिश्चित करने के लिए, यह वेबसाइट कुकीज़ और डेटाबेस में आईपी पते, ब्राउज़िंग इतिहास और गतिविधि लॉग जैसी जानकारी संग्रहीत कर सकती है। यह जानकारी केवल वेबसाइट के संचालन और कानूनी उद्देश्यों के लिए उपयोग की जाती है, और इसे तीसरे पक्षों के साथ साझा नहीं किया जाएगा।
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	इस सेवा का उपयोग करने के लिए, आपको इन प्रसंस्करण गतिविधियों के लिए सहमति देनी होगी।
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	आपने अपनी सहमति दी हो या न दी हो, आप गोपनीयता नीति की सामग्री देख सकते हैं।
同意する	मैं सहमत हूँ
同意しない	मैं असहमत हूँ
確認	पुष्टि
プライバシーポリシー	गोपनीयता नीति
通常とは異なる方法でのアクセスや操作が検出されました	असामान्य पहुँच या गतिविधि का पता चला है।
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	कुछ सुविधाओं को सुरक्षा और सामग्री संरक्षण के उद्देश्यों के लिए प्रतिबंधित किया गया है।
デバッグモード、コンソールの起動は禁止されています	डिबग मोड और कंसोल एक्सेस अक्षम हैं।
以下の情報がサーバーに送信されました	निम्नलिखित जानकारी सर्वर को भेज दी गई है।
あなたのIPアドレス	आपका आईपी पता
あなたの端末とブラウザ	आपका डिवाइस और ब्राउज़र
あなたの押下したキー	आपने जो कुंजी दबाई
リダイレクトをします	आपको पुनर्निर्देशित किया जाएगा
コンテンツ保護のため一部の機能を制限しています	सामग्री की सुरक्षा के लिए कुछ सुविधाओं को प्रतिबंधित किया गया है।
右クリックは禁止されています	राइट-क्लिक करने की अनुमति नहीं है।
あなたが押下したキー	आपने जो कुंजी दबाई
印刷、PDFへの保存は禁止されています	प्रिंट करना और पीडीएफ के रूप में सहेजना निषिद्ध है।
スクリーンショットは禁止されています	स्क्रीनशॉट लेना निषिद्ध है।
スクリーンショット、デバッグモード等の起動は禁止されています	स्क्रीनशॉट लेना और डिबग मोड सक्षम करना निषिद्ध है।
ページの保存は禁止されています	इस पृष्ठ को सहेजना निषिद्ध है।
コピー、カットは禁止されています	नकल करना और काटना निषिद्ध है।
あなたが起こしたイベント	आपके द्वारा आयोजित कार्यक्रम
テキストの選択は禁止されています	टेक्स्ट का चयन करने की अनुमति नहीं है।
HTMLソース表示は禁止されています	HTML स्रोत कोड प्रदर्शित करना निषिद्ध है।
不正アクセスは禁止されています	अनधिकृत पहुँच निषिद्ध है।
アフリカーンス語	अफ्रीकीज़
アラゴン語	अरागोनी
アラビア語	अरबी
アッサム語	असमिया
アゼルバイジャン語	अज़रबैजानी
バシュキール語	बाशकिर
ベラルーシ語	बेलारूसी
ベンガル語	बंगाली
ブルガリア語	बुल्गेरियाई
ボスニア語	बोस्नियाई
カタロニア語	कैटलन
チェコ語	चेक
ウェールズ語	वेल्श
デンマーク語	डेनिश
ドイツ語	जर्मन
現代ギリシア語	आधुनिक ग्रीक
英語	अंग्रेज़ी
イギリス英語	ब्रिटिश अंग्रेज़ी
アメリカ英語	अमेरिकी अंग्रेज़ी
エスペラント語	आशावादी
スペイン語	स्पेनिश
エストニア語	एस्टोनियाई
バスク語	बास्क
ペルシャ語	फ़ारसी
フィンランド語	फ़िनिश
フランス語	फ्रांसीसी
アイルランド語	आयरिश
ガリシア語	गैलीशियन
グァラニ語	ग्वाराणी
グジャラート語	गुजराती
ハウサ語	हाउसा
ヘブライ語	हिब्रू
ヒンディ語	हिंदी
クロアチア語	क्रोएशियाई
ハイチ・クレオール語	हैती का क्रेओल
ハンガリー語	हंगेरियन
インドネシア語	इंडोनेशियाई
イボ語	इबो भाषा
アイスランド語	आइसलैंडिक
イタリア語	इटालियन
日本語	जापानी
ジャワ語	जावानाई
カザフ語	कज़ाख
朝鮮語	कोरियाई
クルド語	कुर्द
キルギス語	किर्गिज़
ラテン語	लैटिन
ルクセンブルク語	लक्ज़मबर्गिश
リンガラ語	लिंगाला
リトアニア語	लिथुआनियाई
ラトビア語	लातवियाई
マダガスカル語	मलागासी
マオリ語	माओरी
マケドニア語	मैसेडोनियन
マラヤーラム語	मलयलम
モンゴル語	मंगोलियाई
マラーティー語	मराठी
マレー語	मलय
マルタ語	माल्टीज़
ビルマ語	बर्माई
ネパール語	नेपाली
ノルウェー語	नॉर्वेजियन
オランダ語	डच
オック語	ओक्सिटन
オロモ語	या
パンジャーブ語	पंजाबी
ポーランド語	पॉलिश
パシュトー語	पश्तो
ポルトガリア語	पुर्तगाली
ブラジルポルトガル語	ब्राज़ीलियाई पुर्तगाली
ヨーロピアンポルトガル語	यूरोपीय पुर्तगाली
ケチュア語	केचुआ
ルーマニア語	रोमानियाई
ロシア語	रूसी
サンスクリット語	संस्कृत
スロバキア語	स्लोवाक
スロベニア語	स्लोवेनियाई
セルビア語	सर्बियाई
南セソト語	दक्षिणी सेसोटो
スンダ語	सुंडानी
スウェーデン語	स्वीडिश
スワヒリ語	स्वाहिली
タミル語	तमिल
テルグ語	तेलुगु
タジク語	ताजिक
タイ語	थाई
トルクメン語	तुर्कमेन
タガログ語	टैग्लॉग
トルコ語	तुर्की
タタール語	ततार
ウクライナ語	यूक्रेनी
ウルドゥー語	उर्दू
ウズベク語	उज़्बेक
ベトナム語	वियतनामी
コサ語	कोसा
イディッシュ語	यिद्दिश
簡体中国語	सरलीकृत चीनी
繁体中国語	पारंपरिक चीनी
ズールー語	ज़ुलु
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	आप वर्तमान में जिस ब्राउज़र का उपयोग कर रहे हैं, वह एक पुराना संस्करण है जिसे अब समर्थित नहीं किया जाता। एक सुरक्षित और अधिक सुविधाजनक ब्राउज़िंग अनुभव सुनिश्चित करने के लिए, कृपया अपने ब्राउज़र को नवीनतम संस्करण में अपडेट करें।
不正なリクエストです	अमान्य अनुरोध
画像が見つかりません	छवि नहीं मिली
