設定	Issettjarijiet
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Naturalment, għandek tiżgura li t-termini tas-servizz u l-politiki tas-sit tiegħek huma komprensivi. Filwaqt li dan il-plugin mhux għodda għall-ġenerazzjoni tat-termini tas-servizz, jista' jipprovdi xi gwida.
開発者: 夜桜　なの	Żviluppatur: Nano Yozakura
バージョン	Verżjoni
ビルド	Ibni
サポートページ	Paġna ta' appoġġ
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Eżegwita minn Miss Ura Manira
支援のお願い	Talba għall-appoġġ
Neo HTML Protectorをご利用いただき、ありがとうございます！	Grazzi talli qed tuża Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	L-iżvilupp u l-manutenzjoni ta' dan il-plugin ħadu ħafna ħin u sforz, u biex niġbru fondi biex inkomplu ntejbu u naġġornawh, inkunu grati jekk xi ħadd li jista' jappoġġjana jikkunsidra li jagħti donazzjoni.
寄付について	Dwar id-donazzjonijiet
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Id-donazzjonijiet huma kompletament volontarji u mhux obbligatorji. Il-plugin huwa disponibbli għal kulħadd b'xejn. Madankollu, l-appoġġ tiegħek huwa ferm apprezzat biex jgħinna nkomplu l-iżvilupp, u nkunu kuntenti ħafna jekk tista' tikkontribwixxi anke ammont żgħir.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Tista' tagħmel donazzjoni permezz tal-link hawn taħt. Jekk tinsab fil-Ġappun, tista' tagħmel donazzjoni mingħajr ħlas, u tista' wkoll tagħmel donazzjoni faċilment billi tuża vawċers ta' rigal ta' Amazon.
寄付先	Karitajiet
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Bil-appoġġ tiegħek, nagħmlu l-almu tagħna biex inkomplu nġibulek aġġornamenti fantastici!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Ninsabu grati għall-appoġġ tiegħek u nistennew bil-ħerqa għall-appoġġ kontinwu tiegħek fil-futur.
ライセンス	Liċenzja
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Dan il-plugin ġie żviluppat bħala softwer open source u huwa liċenzjat taħt il-GPLv2.0 jew verżjoni aktar ġdida.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Xi wħud mit-teknoloġiji inklużi f'dan il-plugin huma protetti minn patenti.
特許技術の使用は、このプラグイン内での使用に限って認められます。	L-użu tat-teknoloġija brevettata huwa permess biss f'dan il-plug-in.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Għal kull użu ieħor, jekk jogħġbok ikkuntattja lill-awtur biex tikseb liċenzja kummerċjali.
本プラグインには以下のライブラリを同梱しています	Dan il-plugin jinkludi l-libreriji li ġejjin
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Dan il-plugin jinkludi l-fonts tal-arti ASCII ġġenerati hawn taħt, flimkien mal-fajls tal-fonts.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Dan il-plugin jinkludi mużika mill-logħba mhux uffiċjali Super Famicom 'SM Trainer Hitomi 3', żviluppata minn EJ Co., Ltd. u komposta mill-kreatur ta' dan il-plugin, u għandha liċenzja uffiċjali.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Dan il-plugin jinkludi trakkijiet maħluqa bl-użu ta' 'Keppy's YAMAHA C7', żviluppat minn Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Użajt ukoll Raspberry Pi 5, ChatGPT u DeepL fl-iżvilupp ta' dan il-plugin.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Instab plugin tal-kaxxa. Dan il-plugin ma jaħdimx b'mod korrett jekk plugin tal-kaxxa jkun attivat.
無効なIPアドレス	Indirizz IP invalidu
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Biex tuża dan is-sit web, trid tattiva l-cookies u l-JavaScript.
利用規約	Kundizzjonijiet ta' Użu
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Biex tipprevjeni l-użu mhux awtorizzat u tiżgura l-operazzjoni sigura tas-servizzi tagħna, dan is-sit jista' jaħżen informazzjoni bħal indirizzi IP, storja tal-browsing u logijiet tal-attività f'cookies u f'bażijiet ta' data. Din l-informazzjoni tintuża biss għall-operazzjoni tas-sit u għal skopijiet legali, u mhux se tiġi żvelata lil terzi.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Biex tuża dan is-servizz, trid tagħti l-kunsens tiegħek għal dawn l-attivitajiet ta' proċessar.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Tista' tara l-kontenut tal-Politika tal-Privatezza irrispettivament minn jekk tajt il-kunsens tiegħek.
同意する	Naqbel
同意しない	Ma naqbilx
確認	Konferma
プライバシーポリシー	Politika tal-privatezza
通常とは異なる方法でのアクセスや操作が検出されました	Ġie skopert aċċess jew attività mhux tas-soltu.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Ċerti karatteristiċi ġew ristretti għal skopijiet ta' sigurtà u protezzjoni tal-kontenut.
デバッグモード、コンソールの起動は禁止されています	Il-modalità tad-debugging u l-aċċess għall-konsola huma diżattivati.
以下の情報がサーバーに送信されました	L-informazzjoni li ġejja ġiet mibgħuta lis-server
あなたのIPアドレス	L-indirizz IP tiegħek
あなたの端末とブラウザ	It-tagħmir u l-browser tiegħek
あなたの押下したキー	Il-buttuna li għafast
リダイレクトをします	Int se tiġi ridirezzjonat
コンテンツ保護のため一部の機能を制限しています	Ċerti karatteristiċi ġew ristretti biex jipproteġu l-kontenut
右クリックは禁止されています	Il-klik tal-lemin mhux permess
あなたが押下したキー	Il-buttuna li għafast
印刷、PDFへの保存は禁止されています	Il-istampar u s-salvjar bħala PDF huma pprojbiti.
スクリーンショットは禁止されています	Il-captures tal-iskrin huma pprojbiti.
スクリーンショット、デバッグモード等の起動は禁止されています	Huwa pprojbit li tieħu screenshots u tixgħel il-modalità tad-debugging.
ページの保存は禁止されています	Il-ħażna ta' din il-paġna hija pprojbita.
コピー、カットは禁止されています	Il-kopja u l-qtugħ huma pprojbiti.
あなたが起こしたイベント	L-avvenimenti li organizzajt
テキストの選択は禁止されています	Il-għażla tat-test mhix permessa
HTMLソース表示は禁止されています	Il-wiri tal-kodiċi sors tal-HTML huwa pprojbit.
不正アクセスは禁止されています	L-aċċess mhux awtorizzat huwa pprojbit
アフリカーンス語	Afrikanis
アラゴン語	Aranġes
アラビア語	Għarbi
アッサム語	Assamiż
アゼルバイジャン語	Ażerbajġani
バシュキール語	Bashkir
ベラルーシ語	Belarussjan
ベンガル語	Bengali
ブルガリア語	Bulgaru
ボスニア語	Bożnjan
カタロニア語	Katalanu
チェコ語	Ċek
ウェールズ語	Galles
デンマーク語	Daniż
ドイツ語	Ġermaniż
現代ギリシア語	Grieg modern
英語	Ingliż
イギリス英語	Ingliż
アメリカ英語	Ingliż Amerikan
エスペラント語	Esperanto
スペイン語	Spanjol
エストニア語	Estonjan
バスク語	Basku
ペルシャ語	Persjan
フィンランド語	Finlandiż
フランス語	Franċiż
アイルランド語	Irlandiż
ガリシア語	Għallizjan
グァラニ語	Guarani
グジャラート語	Gujarati
ハウサ語	Għawsi
ヘブライ語	Ebrajk
ヒンディ語	Hindi
クロアチア語	Kroat
ハイチ・クレオール語	Kriolu Haitjan
ハンガリー語	Ungeriz
インドネシア語	Indoneżjan
イボ語	Lingwa Ibo
アイスランド語	Iżlandiż
イタリア語	Taljan
日本語	Ġappuniż
ジャワ語	Ġavaniż
カザフ語	Kazakh
朝鮮語	Korejan
クルド語	Kurdija
キルギス語	Kirgiż
ラテン語	Latin
ルクセンブルク語	Lussemburġiż
リンガラ語	Lingala
リトアニア語	Litwanu
ラトビア語	Latvjan
マダガスカル語	Malagasi
マオリ語	Maori
マケドニア語	Maċedonjan
マラヤーラム語	Malajalam
モンゴル語	Mongoljan
マラーティー語	Marathi
マレー語	Malaj
マルタ語	Malti
ビルマ語	Birmaniż
ネパール語	Nepaliż
ノルウェー語	Norveġiż
オランダ語	Olandiż
オック語	Oċċitan
オロモ語	Jew
パンジャーブ語	Punjabi
ポーランド語	Polakk
パシュトー語	Pashto
ポルトガリア語	Portugiż
ブラジルポルトガル語	Portugiż Brażiljan
ヨーロピアンポルトガル語	Portugiż Ewropew
ケチュア語	Qhichwa
ルーマニア語	Rumen
ロシア語	Russu
サンスクリット語	Ils-ilsien
スロバキア語	Slovakk
スロベニア語	Slovenu
セルビア語	Serbu
南セソト語	Sesotho tanimix
スンダ語	Sundanese
スウェーデン語	Żvediż
スワヒリ語	Swahili
タミル語	Tamil
テルグ語	Telugu
タジク語	Tajiki
タイ語	Tajlandiż
トルクメン語	Torkmen
タガログ語	Tagalog
トルコ語	Tork
タタール語	Tatar
ウクライナ語	Ukren
ウルドゥー語	Għarbi
ウズベク語	Użbek
ベトナム語	Vjetnamiż
コサ語	Kosa
イディッシュ語	Jiddis
簡体中国語	Ċiniż semplifikat
繁体中国語	Ċiniż tradizzjonali
ズールー語	Żulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Il-browser li qed tuża bħalissa huwa verżjoni antika li m'għadhiex appoġġjata. Biex tiżgura esperjenza ta' navigazzjoni aktar sigura u komda, jekk jogħġbok aġġorna għall-aħħar verżjoni tal-browser tiegħek.
不正なリクエストです	Talba mhux valida
画像が見つかりません	L-immaġni ma nstabx
