設定	Saituna
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Ci gaba da kula da wannan plugin ɗin ya ɗauki lokaci mai yawa da ƙoƙari, kuma domin tara kuɗi don ci gaba da inganta shi da sabunta shi, za mu yi godiya idan duk wanda zai iya tallafa mana zai yi la'akari da bayar da gudummawa.
寄付について	Game da gudummawa
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Gudummawa gaba ɗaya suna da son rai kuma ba dole ba ne. Ana samun wannan plugin ga kowa kyauta. Duk da haka, muna matuƙar godiya da goyon bayanku don taimaka mana ci gaba da haɓakawa, kuma za mu yi farin ciki idan za ku iya bayar da ƙaramin gudummawa.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Za ku iya bayar da gudummawa ta hanyar mahaɗin da ke ƙasa. Idan kuna zaune a Japan, za ku iya bayar da gudummawa kyauta, kuma za ku iya yin hakan cikin sauƙi ta amfani da katunan kyautar Amazon.
寄付先	Kungiyoyin agaji
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Da goyon bayanku, za mu yi iyakar ƙoƙarinmu don ci gaba da kawo muku sabbin bayanai masu ban mamaki!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Muna godiya da goyon bayanku kuma muna fatan za ku ci gaba da goyon baya a nan gaba.
ライセンス	Lasisi
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	An haɓaka wannan plugin a matsayin software mai buɗe tushe kuma an ba shi lasisi ƙarƙashin GPLv2.0 ko daga baya.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Wasu daga cikin fasahohin da ke cikin wannan plugin an kare su da haƙƙin mallaka.
特許技術の使用は、このプラグイン内での使用に限って認められます。	An ba da izinin amfani da fasahar da aka ba haƙƙin mallaka ne kawai a cikin wannan ƙarin shigarwa.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Don kowace irin amfani daban, da fatan za a tuntuɓi marubucin don samun lasisin kasuwanci.
本プラグインには以下のライブラリを同梱しています	Wannan plugin ɗin ya ƙunshi waɗannan ɗakunan karatu
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Wannan plugin ɗin ya haɗa da font ɗin zane-zanen ASCII da aka ƙirƙira a ƙasa, tare da fayilolin font.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Wannan plugin ɗin ya ƙunshi kiɗa daga wasan Super Famicom marar hukuma mai suna 'SM Trainer Hitomi 3', wanda EJ Co., Ltd. ta haɓaka kuma wanda mahaliccin wannan plugin ɗin ya tsara, kuma an ba shi lasisi na hukuma.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Wannan plugin ɗin ya ƙunshi waƙoƙin da aka ƙirƙira ta amfani da 'Keppy's YAMAHA C7', wanda Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Na kuma yi amfani da Raspberry Pi 5, ChatGPT da DeepL wajen haɓaka wannan plugin.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	An gano plugin ɗin ajiyar bayanai. Wannan plugin ba zai yi aiki yadda ya kamata ba idan an kunna plugin ɗin ajiyar bayanai.
無効なIPアドレス	Adireshin IP ba daidai ba
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Don amfani da wannan gidan yanar gizo, dole ne ku kunna kukis da JavaScript.
利用規約	Sharuɗɗan Amfani
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Don hana amfani ba tare da izini ba da tabbatar da amintaccen gudanarwar ayyukanmu, wannan gidan yanar gizo na iya adana bayanai kamar adireshin IP, tarihin lilo da rajistar ayyuka a cikin kukis da ma'ajiyar bayanai. Ana amfani da waɗannan bayanan ne kawai don gudanar da gidan yanar gizon da don dalilai na doka, kuma ba za a bayyana su ga wasu ba.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Don amfani da wannan sabis, dole ne ku yarda da waɗannan ayyukan sarrafawa.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Kuna iya duba abubuwan da ke cikin Manufofin Sirri ko da ba ku ba da amincewarku ba.
同意する	Na yarda
同意しない	Ban yarda ba
確認	Tabbaci
プライバシーポリシー	Manufofin Sirri
通常とは異なる方法でのアクセスや操作が検出されました	An gano wani ba daidai ba na samun dama ko aiki
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	An takaita wasu fasaloli don dalilan tsaro da kariyar abun ciki.
デバッグモード、コンソールの起動は禁止されています	An kashe yanayin gyaran kuskure da damar shiga konsol
以下の情報がサーバーに送信されました	An tura bayanan da ke ƙasa zuwa sabar.
あなたのIPアドレス	Adireshin IP ɗinka
あなたの端末とブラウザ	Na'urarka da burauzarka
あなたの押下したキー	Maballin da ka danna
リダイレクトをします	Za a tura ku zuwa wani wuri
コンテンツ保護のため一部の機能を制限しています	An takaita wasu fasaloli don kare abun ciki
右クリックは禁止されています	Ba a yarda a danna maɓallin dama ba
あなたが押下したキー	Maballin da ka danna
印刷、PDFへの保存は禁止されています	An hana buga da ajiye a matsayin PDF.
スクリーンショットは禁止されています	An hana ɗaukar hoton allo.
スクリーンショット、デバッグモード等の起動は禁止されています	An hana ɗaukar hotunan allo da kuma kunna yanayin gyara kuskure.
ページの保存は禁止されています	An hana ajiye wannan shafin
コピー、カットは禁止されています	An hana kwafi da yanke.
あなたが起こしたイベント	Abubuwan da ka shirya
テキストの選択は禁止されています	Ba a yarda a zaɓi rubutu ba.
HTMLソース表示は禁止されています	An hana nuna lambar tushe ta HTML.
不正アクセスは禁止されています	Ba a yarda da samun shiga ba
アフリカーンス語	Afikaans
アラゴン語	Na Aragon
アラビア語	Larabci
アッサム語	Asamawa
アゼルバイジャン語	Azarbayjananci
バシュキール語	Bashkir
ベラルーシ語	Faranshiyawa
ベンガル語	Bengali
ブルガリア語	Bulgariya
ボスニア語	Bosniya
カタロニア語	Katalananci
チェコ語	Czech
ウェールズ語	Welsh
デンマーク語	Danmaka
ドイツ語	Jamusanci
現代ギリシア語	Girkanci na zamani
英語	Turanci
イギリス英語	Birtaniya
アメリカ英語	Turanci na Amurka
エスペラント語	Harshen da ake sa ran zai kasance
スペイン語	Sifaniyanci
エストニア語	Na Estonia
バスク語	Basque
ペルシャ語	Farisanci
フィンランド語	Fininci
フランス語	Faransanci
アイルランド語	Na'Iri
ガリシア語	Galician
グァラニ語	Guarani
グジャラート語	Gujarati
ハウサ語	Hausa
ヘブライ語	Ibrananci
ヒンディ語	Hindi
クロアチア語	Kroatiya
ハイチ・クレオール語	Krik-karan Haiti
ハンガリー語	Na Habasha
インドネシア語	Indonesiyawa
イボ語	Harshen Ibo
アイスランド語	Ƙasar kankara
イタリア語	Italiyanci
日本語	Jafananci
ジャワ語	Jawur
カザフ語	Kazakh
朝鮮語	Koreya
クルド語	Kurdanci
キルギス語	Kirgizi
ラテン語	Latinanci
ルクセンブルク語	Faransancin Luxembourg
リンガラ語	Yare
リトアニア語	Lithuania
ラトビア語	Latviyanci
マダガスカル語	Malagasy
マオリ語	Na Māori
マケドニア語	Masedoniyanci
マラヤーラム語	Malayalam
モンゴル語	Mongoliyanci
マラーティー語	Marathi
マレー語	Mutanen Malay
マルタ語	Na Malta
ビルマ語	Burma
ネパール語	Nepali
ノルウェー語	Na Norway
オランダ語	Hollandiyanci
オック語	Okcitani
オロモ語	Ko da yake
パンジャーブ語	Punjabi
ポーランド語	Mai sheƙawa
パシュトー語	Fitarwa
ポルトガリア語	Turanci
ブラジルポルトガル語	Turancin Brazil
ヨーロピアンポルトガル語	Turancin Portugal na Turai
ケチュア語	Sakamako
ルーマニア語	Rumani
ロシア語	Rashanci
サンスクリット語	Latinanci
スロバキア語	Silikaf
スロベニア語	Sifeniya
セルビア語	Serbiyawa
南セソト語	Kudu na Sesotho
スンダ語	Sundanese
スウェーデン語	Sifaniyanci
スワヒリ語	Swahili
タミル語	Taamilanci
テルグ語	Telugu
タジク語	Tajiki
タイ語	Taɪ
トルクメン語	Turkiyawa
タガログ語	Harshen Tagalog
トルコ語	Turki
タタール語	Tatar
ウクライナ語	Ukrainiya
ウルドゥー語	Turanci
ウズベク語	Uzbeƙi
ベトナム語	Vietnamawa
コサ語	Kosa
イディッシュ語	Yiddish
簡体中国語	Sinanci mai sauƙi
繁体中国語	Sinanci na gargajiya
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Wannan burauza da kake amfani da ita a halin yanzu tsohuwar sigar ce wadda ba a tallafawa. Don tabbatar da kwarewar lilo mai aminci da jin daɗi, don Allah ka sabunta burauzarka zuwa sabuwar sigar.
不正なリクエストです	Bukatun ba daidai ba
画像が見つかりません	Ba a sami hoto ba
