設定	Setélan
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Plugin ieu dimekarkeun salaku parangkat lunak sumber kabuka sarta dilisénsikeun dina GPLv2.0 atawa nu leuwih anyar.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Sababaraha téknologi anu kaasup dina plugin ieu dilindungi ku patén.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Pamakéan téknologi anu dipaténkeun diidinan ngan ukur dina plug-in ieu.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Pikeun sagala pamakean séjén, mangga ngahubungi pangarang pikeun meunangkeun lisénsi komérsial.
本プラグインには以下のライブラリを同梱しています	Plugin ieu ngawengku perpustakaan-perpustakaan di handap ieu
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Plugin ieu ngawengku font seni ASCII anu dijieun di handap, sasarengan jeung file font-na.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Plugin ieu ngawengku musik tina gim Super Famicom teu resmi 'SM Trainer Hitomi 3', dikembangkeun ku EJ Co., Ltd. jeung dikomposisikeun ku pangripta plugin ieu, sarta geus dilisensikeun sacara resmi.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Plugin ieu ngawengku trek anu dijieun maké 'Keppy's YAMAHA C7', dikembangkeun ku Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Kuring ogé geus ngagunakeun Raspberry Pi 5, ChatGPT, jeung DeepL dina pamekaran plugin ieu.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Plugin caching geus dideteksi. Plugin ieu moal jalan leres lamun plugin caching diaktipkeun.
無効なIPアドレス	Alamat IP teu sah
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Pikeun ngagunakeun situs wéb ieu, anjeun kedah ngaktipkeun cookie sareng JavaScript.
利用規約	Katangtuan Pamakéan
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Pikeun nyegah pamakéan tanpa idin jeung ngajamin operasi layanan kami anu aman, situs wéb ieu tiasa nyimpen inpormasi sapertos alamat IP, sajarah browsing, jeung catetan kagiatan dina cookie jeung basis data. Inpormasi ieu dianggo ngan ukur pikeun operasi situs wéb jeung pikeun tujuan hukum, sarta moal diungkabkeun ka pihak katilu.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Pikeun ngagunakeun layanan ieu, anjeun kedah satuju kana kagiatan pangolahan ieu.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Anjeun tiasa ningali eusi Kabijakan Privasi, naha anjeun parantos masihan idin atanapi henteu.
同意する	Abdi satuju
同意しない	Abdi henteu satuju
確認	Konfirmasi
プライバシーポリシー	Kabijakan Privasi
通常とは異なる方法でのアクセスや操作が検出されました	Aksés atawa kagiatan anu teu biasa geus dideteksi
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Sababaraha fitur geus diwatesan pikeun tujuan kaamanan jeung perlindungan eusi.
デバッグモード、コンソールの起動は禁止されています	Mode debug jeung aksés konsol geus dinonaktipkeun
以下の情報がサーバーに送信されました	Informasi di handap ieu parantos dikirimkeun ka sérver.
あなたのIPアドレス	Alamat IP anjeun
あなたの端末とブラウザ	Paranti jeung panyungsi anjeun
あなたの押下したキー	Konci anu anjeun pencét
リダイレクトをします	Anjeun bakal dialihkeun
コンテンツ保護のため一部の機能を制限しています	Sababaraha fitur geus diwatesan pikeun ngajaga eusi
右クリックは禁止されています	Klik katuhu teu diidinan
あなたが押下したキー	Konci anu anjeun pencét
印刷、PDFへの保存は禁止されています	Nyitak jeung nyimpen salaku PDF dilarang.
スクリーンショットは禁止されています	Nyandak tangkapan layar dilarang
スクリーンショット、デバッグモード等の起動は禁止されています	Nyandak tangkapan layar jeung ngaktipkeun mode debug dilarang.
ページの保存は禁止されています	Nyimpen kaca ieu dilarang
コピー、カットは禁止されています	Nyalin jeung motong dilarang.
あなたが起こしたイベント	Kagiatan anu parantos anjeun atur
テキストの選択は禁止されています	Milih téks teu diidinan
HTMLソース表示は禁止されています	Nembongkeun kode sumber HTML dilarang
不正アクセスは禁止されています	Akses tanpa idin dilarang
アフリカーンス語	Basa Afrikaans
アラゴン語	Basajan
アラビア語	Arab
アッサム語	Asamese
アゼルバイジャン語	Azerbaijani
バシュキール語	Bashkir
ベラルーシ語	Basa Bélarus
ベンガル語	Bengali
ブルガリア語	Bulgaria
ボスニア語	Bosnia
カタロニア語	Katalan
チェコ語	Ceko
ウェールズ語	Walesa
デンマーク語	Danimarka
ドイツ語	Jerman
現代ギリシア語	Yunani modéren
英語	Basa Inggris
イギリス英語	Inggris
アメリカ英語	Basa Inggris Amérika
エスペラント語	Bahasa Esperanto
スペイン語	Spanyol
エストニア語	Éstonia
バスク語	Basque
ペルシャ語	Persia
フィンランド語	Basa Finlandia
フランス語	Perancis
アイルランド語	Irlandés
ガリシア語	Galicia
グァラニ語	Guarani
グジャラート語	Gujarati
ハウサ語	Urumi
ヘブライ語	Ibrani
ヒンディ語	Basa Hindi
クロアチア語	Kroasia
ハイチ・クレオール語	Kréol Haiti
ハンガリー語	Hungaria
インドネシア語	Indonesian
イボ語	Basa Ibo
アイスランド語	Islandia
イタリア語	Italia
日本語	Jepang
ジャワ語	Jawa
カザフ語	Kazakh
朝鮮語	Koréa
クルド語	Kurdi
キルギス語	Kirgiz
ラテン語	Latin
ルクセンブルク語	Basa Luksemburg
リンガラ語	Basa Lingala
リトアニア語	Lituania
ラトビア語	Lituania
マダガスカル語	Malagasy
マオリ語	Maori
マケドニア語	Makedonia
マラヤーラム語	Malayalam
モンゴル語	Mongolian
マラーティー語	Basa Marathi
マレー語	Melayu
マルタ語	Ti Malta
ビルマ語	Burmésa
ネパール語	Nepali
ノルウェー語	Norwegia
オランダ語	Basa Walanda
オック語	Okitan
オロモ語	Atawa
パンジャーブ語	Punjabi
ポーランド語	Ngahias
パシュトー語	Pashto
ポルトガリア語	Portugis
ブラジルポルトガル語	Portugis Brasil
ヨーロピアンポルトガル語	Portugis Éropa
ケチュア語	Quechua
ルーマニア語	Romania
ロシア語	Rusia
サンスクリット語	Basa Latin
スロバキア語	Slovakia
スロベニア語	Slovenia
セルビア語	Sérbia
南セソト語	Kidul Sesotho
スンダ語	Basa Sunda
スウェーデン語	Swédia
スワヒリ語	Swahili
タミル語	Tamil
テルグ語	Telugu
タジク語	Maharaja
タイ語	Tah
トルクメン語	Turkmen
タガログ語	Basa Tagalog
トルコ語	Turki
タタール語	Tatar
ウクライナ語	Ukraina
ウルドゥー語	Urdu
ウズベク語	Urang Uzbekistan
ベトナム語	Vietnam
コサ語	Kosa
イディッシュ語	Yiddish
簡体中国語	Basa Cina nyederhanakeun
繁体中国語	Basa Cina tradisional
ズールー語	Jawa
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Panyungsi wéb anu ayeuna anjeun anggo mangrupa vérsi lami anu henteu disokong deui. Pikeun mastikeun pangalaman ngotektak anu langkung aman sareng langkung merenah, mangga apdet panyungsi wéb anjeun ka vérsi panganyarna.
不正なリクエストです	Pamundut anu teu sah
画像が見つかりません	Gambar teu kapanggih
