設定	настройка
このウェブサイトでは、利用規約違反や不正アクセスの検知・防止を目的として、ユーザーのIPアドレス、閲覧履歴、一部操作ログをCookieおよびデータベースに保存し、必要に応じて警告を行う場合があります。これらの情報は、サイトの健全な運営および法的トラブル対策以外には一切使用いたしません。\n同意されない場合は、これらの目的を達成するためにサービスの提供が困難となるため、閲覧をご遠慮いただく場合があります。	Данный сайт может сохранять IP-адрес пользователя, историю просмотров и некоторые журналы операций в файлах cookie и базах данных с целью обнаружения и предотвращения нарушений условий использования и несанкционированного доступа, а также при необходимости выдавать предупреждения. Эта информация не будет использоваться ни для каких других целей, кроме как для обеспечения нормальной работы сайта и предотвращения юридических проблем. \Если вы не согласны, мы можем попросить вас воздержаться от просмотра сайта, так как это затруднит предоставление нами услуг для достижения этих целей.
同意する	Согласитесь.
同意しない	Не соглашайтесь.
確認	подтверждение
このウェブサイトでは、利用規約違反や不正アクセスの検知・防止を目的として、ユーザーのIPアドレス、閲覧履歴、一部操作ログをCookieおよびデータベースに保存し、必要に応じて警告を行う場合があります。これらの情報は、サイトの健全な運営および法的トラブル対策以外には一切使用いたしません。同意されない場合は、これらの目的を達成するためにサービスの提供が困難となるため、閲覧をご遠慮いただく場合があります。	Данный сайт может сохранять IP-адрес пользователя, историю просмотров и некоторые журналы операций в файлах cookie и базах данных с целью обнаружения и предотвращения нарушений условий использования и несанкционированного доступа, а также при необходимости выдавать предупреждения. Эта информация не будет использоваться ни для каких других целей, кроме как для обеспечения нормальной работы сайта и предотвращения юридических проблем. Если вы не согласны, мы можем попросить вас воздержаться от просмотра сайта, так как это затруднит предоставление нами услуг для достижения этих целей.
このウェブサイトでは、不正アクセスの防止や利用規約違反の検知を目的に、IPアドレス、閲覧履歴、操作ログをCookieおよびデータベースに保存することがあります。これらの情報は、サイト運営および法的対応以外では使用せず、第三者には提供しません。	Данный сайт может сохранять IP-адреса, историю просмотров и журналы операций в файлах cookie и базах данных с целью предотвращения несанкционированного доступа и выявления нарушений Условий использования. Эта информация не будет использоваться ни для каких других целей, кроме работы сайта и юридической переписки, и не будет передаваться третьим лицам.
サービスの利用には、これらのデータ処理に同意する必要があります。不同意の場合、サービスの利用が制限されます。ご同意いただくことで、プライバシーポリシーを確認できます。	Чтобы пользоваться услугами, вы должны дать согласие на обработку этих данных. Если вы не дадите согласия, использование услуг будет ограничено. Давая согласие, вы можете ознакомиться с политикой конфиденциальности.
プライバシーポリシー	Политика конфиденциальности.
EU GDPR対応	Соответствие требованиям GDPR ЕС
EU圏内でWordpressを使用するには必ず有効にしてください	Должно быть разрешено использовать Wordpress в ЕС
確認のボタンが同意する、同意しないのボタンになります	Кнопка подтверждения становится кнопкой "Согласен" или "Не согласен".
お知らせの1行目	Строка 1 уведомления.
お知らせの2行目	Строка 2 уведомления.
非EU向け確認の文字列	Строка подтверждения для стран, не входящих в ЕС
EU GDPR向け同意するの文字列	Строка согласия для GDPR ЕС
EU GDPR向け同意しないの文字列	Разногласия в отношении GDPR ЕС
プライバシーポリシーの文字列	Строка политики конфиденциальности
プライバシーポリシーのURLはこちらから設定して下さい	Пожалуйста, установите URL-адрес вашей политики конфиденциальности здесь
利用規約を設定する場合、必ずプライバシーポリシーに利用規約のリンクを設置して下さい	Если вы установили Условия использования, не забудьте разместить ссылку на них в Политике конфиденциальности.
検索エンジン等のURL	URL-адреса поисковых систем и т.д.
同意しなかった時に画面遷移する検索エンジンなどのURLを設定します	Задайте URL-адреса поисковых систем и других поисковых систем, на которые переходит экран, когда пользователь не соглашается.
初回訪問時のお知らせの設定	Настройка уведомлений для первого визита.
お知らせ	Уведомление.
プライバシーポリシーには不正操作を検知するためにCookieとデータベースに保存されることを追加して下さい	Добавьте в политику конфиденциальности информацию о том, что файлы cookie и базы данных хранятся для обнаружения несанкционированных операций.
プライバシーポリシーには以下の内容を追加して下さい	Пожалуйста, добавьте следующее в вашу политику конфиденциальности
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	Для обнаружения несанкционированных операций в базе данных хранятся файлы cookie и идентификаторы, такие как IP-адреса. Сохраненные данные могут быть удалены администратором в любое время.
画像保護が有効な場合のみ、画像を正常に保存するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Только если включена защита изображения, хэш IP-адреса и имени файла изображения хранится в базе данных до 60 минут, чтобы успешно сохранить изображение.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Только если включена защита изображения, хэшированные данные IP-адреса и имени файла изображения хранятся в базе данных до 60 минут, чтобы успешно доставить изображение.
このサイトでは、不正防止や規約順守のため、IPアドレス、閲覧履歴、操作ログをCookieおよびデータベースに保存することがあります。これらはサイト運営および法的対応以外では使用せず、第三者には提供しません。	Данный сайт может сохранять IP-адреса, историю просмотров и журналы операций в файлах cookie и базах данных для предотвращения мошенничества и соблюдения правил и условий. Они будут использоваться только для работы сайта и юридической переписки и не будут передаваться третьим лицам.
サービスの利用には、これらのデータ処理に同意する必要があります。不同意の場合、サービスの利用が制限されます。	Чтобы пользоваться услугами, вы должны дать согласие на обработку этих данных. В случае несогласия использование услуг будет ограничено.
このサイトでは、不正利用の防止や規約の順守を目的に、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Данный сайт может сохранять в файлах cookie и базах данных такую информацию, как IP-адреса, историю посещений и журналы операций, чтобы предотвратить несанкционированное использование и соблюдать условия и положения. Эта информация используется только для работы сайта и юридической переписки и не передается третьим лицам.
サービスの利用には、これらのデータ処理への同意が必要です。不同意の場合、サービスのご利用ができません。	Для использования сервиса необходимо согласие на обработку этих данных. В случае отсутствия согласия использование сервиса невозможно.
初回表示で必ず表示されるメッセージです	Это сообщение всегда отображается на первом дисплее.
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	Это сообщение всегда отображается на первом экране, только если включена функция EU GDPR.
お知らせの3行目	Строка 3 уведомления.
プライバシーポリシーのリンクの右側に表示されます	Он отображается справа от ссылки на политику конфиденциальности
ご同意いただくことで、プライバシーポリシーを確認できます。	Соглашаясь, вы можете ознакомиться с политикой конфиденциальности.
同意画面の色	Цвет экрана согласия.
自動	автоматический
ライトモード	режим освещения
ダークモード	тёмный режим
同意画面表示中の配色を設定します	Установите цветовую схему, пока отображается экран согласия.
同意画面中のコンテンツのぼかし	Размытие содержимого во время экранов согласия.
なし	без
同意画面表示中のコンテンツのぼかし具合を設定します	Устанавливает уровень размытия содержимого во время отображения экрана согласия.
同意画面の透過	Прозрачность экрана согласия.
透過なし	без прозрачности
同意画面の透過具合を設定します	Установите прозрачность экрана согласия.
EU圏内でWordpressを使用する場合、並びにEU圏内を対象とするには必ず有効にしてください	Должно быть разрешено использовать Wordpress в ЕС и ориентироваться на страны ЕС.
同意画面の言語	Язык экрана согласия.
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Данный сайт может хранить в файлах cookie и базах данных такую информацию, как IP-адреса, историю просмотров и журналы операций, чтобы предотвратить несанкционированное использование и обеспечить безопасную работу сервиса. Эта информация используется только для работы сайта и для юридической переписки и не передается третьим лицам.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Для того чтобы пользоваться сервисом, вы должны дать согласие на эти процессы.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	С содержанием политики конфиденциальности можно ознакомиться как с согласия, так и без него.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Некоторые технологии, включенные в этот плагин, являются предметом патентной защиты.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Использование запатентованной технологии разрешено только в этом плагине.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Для других видов использования свяжитесь с автором, чтобы получить коммерческую лицензию.
ウェブアーカイブ、魚拓をアクセス禁止にする	Веб-архивы, запрещающие доступ к аквариумам.
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	Запрещает доступ к автоматически собранным веб-архивам, а также к рыбным ловушкам, полученным по усмотрению пользователя, но не в полной мере решает эту проблему
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	Запрет доступа к веб-архивам и веб-фиштангам.
デバッガー起動ログ、デバッガー妨害	Журнал запуска отладчика, нарушение работы отладчика
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	Делает режим отладки немного менее удобным для пользователя, сообщает о запуске отладчика, некоторые браузеры останавливают это поведение
EU圏内でWordpressを使用する場合、並びにEU圏内も対象とするには必ず有効にしてください	Если вы хотите использовать Wordpress в ЕС, а также на территории ЕС, вы должны включить эту функцию.
確認のボタンが同意する、同意しないのボタンになり、少し動作が変わります	Кнопка подтверждения становится кнопкой "Согласен" или "Не согласен", что несколько меняет поведение.
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	Лист Суперупражнение № 4, Мазепа, печатная версия, быстрая короткая версия - 1 мин 51,6 сек - 687,586 байт - 48 кбит/с - Лицензия: CC BY-ND 4.0 или более поздняя
画像のウォーターマーク	Нанесение водяных знаков на изображения
右下	правый нижний
ランダム位置	случайная позиция
動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Динамический водяной знак делает авторские права явными, создавая у зрителя впечатление, что за ним следят, и усиливая сдерживание.
JPG形式、PNG形式、webP形式のみ対応します	Поддерживаются только форматы JPG, PNG и webP.
JPG形式、PNG形式、WebP形式のみ対応します	Поддерживаются только форматы JPG, PNG и WebP.
画像の保護と組み合わせて使用します、動的な透かしで著作権を明示しつつ、閲覧者に監視されている印象を与え抑止力を高めます	Динамический водяной знак, используемый в сочетании с защитой изображений, делает авторские права явными и одновременно создает у зрителя впечатление, что за ним следят, что усиливает сдерживание.
有効にするとサーバーの負荷が高くなります	Включение увеличит нагрузку на сервер.
利用規約の文字列	Строка условий использования
利用規約のページ	Страница с условиями использования
ページ選択なし	Нет выбора страницы
利用規約	правила и условия
