設定	సెట్టింగ్‌లు
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	కార్పొరేట్-వినియోగ సభ్యుల-మాత్రమే పేజీలు మరియు అంతర్గత పేజీల కోసం, 'Do not output' లేదా 'TITLE tag only' ఎంచుకోవడం సరిపోతుంది.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	మీరు వర్డ్‌ప్రెస్ HEAD ట్యాగ్ నుండి సమాచారాన్ని తిరిగి పొందకపోతే, సోషల్ మీడియాలో షేర్ చేసినప్పుడు OGP చిత్రం కనిపించదు.
画像botをアクセス禁止にする	చిత్ర బోట్‌ను నిరోధించండి
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	ఇమేజ్ బాట్‌లు HTMLను యాక్సెస్ చేయకుండా నిరోధించడం ద్వారా, ఇమేజ్ సెర్చ్ ద్వారా డైరెక్ట్ లింకింగ్‌కు వ్యతిరేకంగా కాపాడలేని కంటెంట్‌ను మీరు రక్షించవచ్చు; అయితే, ఇది పూర్తి పరిష్కారాన్ని అందించదు.
AI学習用botをアクセス禁止にする	AI శిక్షణా బాట్‌కు యాక్సెస్‌ను నిరోధించండి
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML పై AI శిక్షణ కోసం రూపొందించిన బాట్‌ల వాడకాన్ని నివారించడం ద్వారా, కంటెంట్‌ను AI ఉపయోగించకుండా మేము నిర్ధారిస్తాము; అయినప్పటికీ, దీనిని పూర్తిగా నివారించడం సాధ్యం కాదు.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	వెబ్ ఆర్కైవ్‌లు మరియు వెబ్ స్నాప్‌షాట్‌లకు యాక్సెస్‌ను నిరోధించండి
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	ఆటోమేటిక్‌గా సేకరించిన వెబ్ ఆర్కైవ్‌లు మరియు వినియోగదారుడి విచక్షణ మేరకు తీసిన స్క్రీన్‌షాట్‌లకు యాక్సెస్‌ను మేము నిషేధిస్తున్నాము; అయినప్పటికీ, మేము దీనిని పూర్తిగా నిరోధించలేము.
無効なUAをアクセス禁止にする	అమాన్యమైన యూజర్ ఏజెంట్లను నిరోధించండి
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	యూజర్ ఏజెంట్ స్ట్రింగ్‌లో చెల్లని అక్షరాలు ఉంటే యాక్సెస్‌ను నిరోధిస్తుంది
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	ఇంటర్నెట్ ఎక్స్‌ప్లోరర్ మరియు పాత మైక్రోసాఫ్ట్ ఎడ్జ్‌ను
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	ఇంటర్నెట్ ఎక్స్‌ప్లోరర్ మరియు పాత మైక్రోసాఫ్ట్ ఎడ్జ్ ద్వారా యాక్సెస్‌ను నిరోధిస్తుంది
alertメッセージを表示する言語	అలర్ట్ సందేశాలు ప్రదర్శించబడే భాష
Wordpressの言語	వర్డ్‌ప్రెస్ భాషలు
ブラウザの設定言語	బ్రౌజర్ భాషా సెట్టింగ్‌లు
メッセージをカスタム設定されている場合は言語を変更できません	సందేశాలు అనుకూలీకరించబడితే మీరు భాషను మార్చలేరు.
同意画面の言語	సమ్మతి స్క్రీన్ భాష
view-sourceメッセージを表示する言語	'వ్యూ-సోర్స్' సందేశాన్ని ప్రదర్శించవలసిన భాష
一時使用トークンの有効期限	తాత్కాలిక టోకెన్‌ల గడువు తేదీ
3分	3 నిమిషాలు
4分	నాలుగు నిమిషాలు
5分	5 నిమిషాలు
6分	6 నిమిషాలు
7分	ఏడు నిమిషాలు
8分	8 నిమిషాలు
9分	9 నిమిషాలు
10分	పది నిమిషాలు
15分	పదిహేను నిమిషాలు
20分	ఇరవై నిమిషాలు
25分	ఇరవై ఐదు నిమిషాలు
30分	ముప్పై నిమిషాలు
35分	35 నిమిషాలు
40分	నాలుగు పదుల నిమిషాలు
45分	పేనవ నిమిషాలు
50分	50 నిమిషాలు
55分	నలభై ఐదు నిమిషాలు
1時間	ఒక గంట
画像URL情報の有効期限を設定します	చిత్ర URL సమాచారం కోసం గడువు తేదీని సెట్ చేయండి
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	లోడ్ అయిన తర్వాత, ఇమేజ్ URL మరియు తాత్కాలిక టోకెన్ చెల్లకుండా పోతాయి.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	చిత్రాలు అవసరమైనప్పుడు లోడ్ చేయబడతాయి, కానీ నిర్దేశించిన సమయానికి 30 సెకన్ల ముందే అవి స్వయంచాలకంగా లోడ్ చేయబడతాయి.
一時使用トークンのビット数	తాత్కాలిక టోకెన్‌లోని బిట్‌ల సంఖ్య
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	చిత్ర URL సమాచారాన్ని ఎన్‌క్రిప్ట్ చేయడానికి తాత్కాలిక టోకెన్ పాస్‌వర్డ్‌గా ఉపయోగించబడుతుంది; ఈ సెట్టింగ్ దాని బలాన్ని నిర్దేశిస్తుంది.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	డ్రాప్-డౌన్ మెనూ కింద ప్రదర్శించబడిన ఎంపికలు మరింత వివరంగా మారినప్పటికీ, ఇది సర్వర్‌పై అధిక భారాన్ని కలిగిస్తుంది మరియు పెద్ద పరిమాణంలో HTML డేటా బదిలీకి దారితీస్తుంది.
ハッシュ化アルゴリズム	హాష్ అల్గారిథం
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	చిత్ర URL సమాచారాన్ని ఎన్‌క్రిప్ట్ చేయడానికి తాత్కాలిక టోకెన్‌ను పాస్‌వర్డ్‌గా ఉపయోగిస్తారు; దీనికి హాషింగ్ అవసరం, మరియు ఈ సెట్టింగ్ ఆ హాషింగ్ యొక్క బలాన్ని నిర్ణయిస్తుంది.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	డ్రాప్-డౌన్ మెనూలో ప్రదర్శించబడిన ఎంపికల ద్వారా మీరు క్రిందికి స్క్రోల్ చేసినప్పుడు తీవ్రత పెరిగినప్పటికీ, ఇది సర్వర్‌పై అధిక భారాన్ని మోపుతుంది.
基本設定	ప్రాథమిక సెట్టింగ్‌లు
高度な設定	అధునాతన సెట్టింగ్‌లు
初期設定に戻す	డిఫాల్ట్ సెట్టింగ్‌లను పునరుద్ధరించండి
デザイン・音の設定	డిజైన్ మరియు ధ్వని సెట్టింగ్‌లు
イベントの設定	ఈవెంట్ సెట్టింగ్‌లు
初回訪問時のお知らせの設定	మొదటిసారి సందర్శనల కోసం నోటిఫికేషన్‌లను సెటప్ చేయడం
メッセージの設定	సందేశం సెట్టింగ్‌లు
右クリックやソースコード表示時に転送する URL を設定します	రైట్-క్లిక్ చేసినప్పుడు లేదా సోర్స్ కోడ్ చూసినప్పుడు తెరవబడే URLను సెట్ చేయండి
警告メッセージにはHTMLは使用できません	హెచ్చరిక సందేశాలలో HTMLని ఉపయోగించలేరు
この画面で設定すると、高度な設定タブにある言語設定が無視されます	మీరు ఈ స్క్రీన్‌పై దీన్ని కాన్ఫిగర్ చేస్తే, అడ్వాన్స్‌డ్ ట్యాబ్‌లోని భాషా సెట్టింగ్‌లు విస్మరించబడతాయి.
以下の文字列が使用できます	కింది స్ట్రింగ్‌లను ఉపయోగించవచ్చు
改行	వరుస విరమణ
押下されたキー	కీ నొక్కబడింది
Neo HTML Protector 設定	నియో HTML రక్షకుడు సెట్టింగ్‌లు
お知らせ	గమనిక
メッセージ	సందేశం
デザイン・音	రూపకల్పన మరియు ధ్వని
初期化	ప్రారంభీకరణ
このプラグインについて	ఈ ప్లగిన్ గురించి
設定が初期化されました	సెట్టింగ్‌లు రీసెట్ చేయబడ్డాయి
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	ప్లగిన్‌ను ప్రారంభించండి. దయచేసి గమనించండి, ఈ దశలో IP లాగ్ రీడర్ డేటా తొలగించబడదు.
Neo HTML Protectorについて	నియో HTML ప్రొటెక్టర్ గురించి
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	ఈ ప్లగిన్ మీ వర్డ్‌ప్రెస్ సైట్ ద్వారా రూపొందించబడిన HTML, చిత్రాలు మరియు ఇతర కంటెంట్‌ను అనధికారిక ఉపయోగం నుండి కాపాడటానికి రూపొందించబడింది.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	కంటెంట్‌ను పూర్తిగా రక్షించడం అసాధ్యం. అయితే, సాధ్యమైన చోటల్లా హెచ్చరికలు జారీ చేయడం ద్వారా మరియు ఏదైనా జరిగినప్పుడు ముందుజాగ్రత్తలు తీసుకోవడం ద్వారా, ప్రభుత్వం నిర్దేశించిన విధానాలకు అనుగుణంగా మేము ఈ విషయాన్ని పరిష్కరించగలుగుతాము.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	అయితే, మీ సేవా నిబంధనలు మరియు సైట్ విధానాలు సమగ్రంగా ఉన్నాయని మీరు నిర్ధారించుకోవాలి. ఈ ప్లగిన్ సేవా నిబంధనలను రూపొందించడానికి ఒక సాధనం కానప్పటికీ, ఇది కొంత మార్గదర్శకత్వాన్ని అందిస్తుంది.
開発者: 夜桜　なの	డెవలపర్: నానో యోజాకురా
バージョン	ఆవృత్తి
ビルド	నిర్మించు
サポートページ	మద్దతు పేజీ
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	మిస్ ఉరా మనిరా చే ప్రదర్శించబడింది
支援のお願い	మద్దతు కోసం ఒక అభ్యర్థన
Neo HTML Protectorをご利用いただき、ありがとうございます！	నియో HTML ప్రొటెక్టర్ ను ఉపయోగించినందుకు ధన్యవాదాలు!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	ఈ ప్లగిన్ అభివృద్ధి మరియు నిర్వహణకు చాలా సమయం మరియు శ్రమ పట్టింది, మరియు దానిని మెరుగుపరచడం మరియు నవీకరించడం కొనసాగించడానికి నిధులు సేకరించేందుకు, మాకు మద్దతు ఇవ్వగల ఎవరైనా విరాళం ఇస్తే మేము కృతజ్ఞులమై ఉంటాము.
寄付について	విరాళాల గురించి
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	విరాళాలు పూర్తిగా స్వచ్ఛందం, తప్పనిసరి కాదు. ఈ ప్లగిన్ అందరికీ ఉచితంగా అందుబాటులో ఉంది. అయితే, మా అభివృద్ధిని కొనసాగించడంలో మాకు సహాయపడటానికి మీ మద్దతును మేము ఎంతగానో అభినందిస్తున్నాము, మరియు మీరు మీకు సాధ్యమైనంత సహాయం అందించినట్లయితే మేము చాలా సంతోషిస్తాము.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	మీరు కింద ఉన్న లింక్ ద్వారా విరాళం ఇవ్వవచ్చు. మీరు జపాన్‌లో నివసిస్తుంటే, ఉచితంగా విరాళం ఇవ్వవచ్చు, మరియు అమెజాన్ గిఫ్ట్ వోచర్‌లను ఉపయోగించి కూడా సులభంగా విరాళం ఇవ్వవచ్చు.
寄付先	ధార్మిక సంస్థలు
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	మీ మద్దతుతో, మీకు అద్భుతమైన అప్‌డేట్‌లను అందిస్తూనే ఉండటానికి మేము మా వంతు కృషి చేస్తాము!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	మీ మద్దతుకు మేము కృతజ్ఞులమై ఉన్నాము మరియు భవిష్యత్తులో కూడా మీ మద్దతు కొనసాగుతుందని ఆశిస్తున్నాము.
ライセンス	లైసెన్స్
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	ఈ ప్లగిన్ ఓపెన్ సోర్స్ సాఫ్ట్‌వేర్‌గా అభివృద్ధి చేయబడింది మరియు GPLv2.0 లేదా ఆ తర్వాత లైసెన్స్ కింద ఇవ్వబడింది.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	ఈ ప్లగిన్‌లో చేర్చబడిన కొన్ని సాంకేతికతలు పేటెంట్ల ద్వారా రక్షించబడ్డాయి.
特許技術の使用は、このプラグイン内での使用に限って認められます。	పేటెంట్ పొందిన సాంకేతికతను కేవలం ఈ ప్లగ్-ఇన్‌లో మాత్రమే ఉపయోగించడానికి అనుమతి ఉంది.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	మరే ఇతర ఉపయోగం కోసం, వాణిజ్య లైసెన్స్ పొందడానికి దయచేసి రచయితను సంప్రదించండి.
本プラグインには以下のライブラリを同梱しています	ఈ ప్లగిన్ ఈ క్రింది లైబ్రరీలను కలిగి ఉంది
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	ఈ ప్లగిన్‌లో, కింద రూపొందించిన ASCII ఆర్ట్ ఫాంట్‌లతో పాటు ఫాంట్ ఫైల్స్ కూడా ఉన్నాయి.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	ఈ ప్లగిన్‌లో, EJ Co., Ltd. వారు అభివృద్ధి చేసిన మరియు ఈ ప్లగిన్ సృష్టికర్త స్వరపరిచిన, అనధికారిక సూపర్ ఫామికమ్ గేమ్ 'SM ట్రైనర్ హిటోమి 3' నుండి సంగీతం ఉంది, మరియు దీనికి అధికారికంగా లైసెన్స్ ఉంది.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	ఈ ప్లగిన్‌లో, Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	ఈ ప్లగిన్ అభివృద్ధిలో నేను రాస్ప్‌బెర్రీ పై 5, ChatGPT మరియు DeepLలను కూడా ఉపయోగించాను.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	ఒక క్యాచింగ్ ప్లగిన్ గుర్తించబడింది. క్యాచింగ్ ప్లగిన్ ప్రారంభించబడితే ఈ ప్లగిన్ సరిగ్గా పనిచేయదు.
無効なIPアドレス	అమాన్యమైన IP చిరునామా
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	ఈ వెబ్‌సైట్‌ను ఉపయోగించడానికి, మీరు కుక్కీలను మరియు జావాస్క్రిప్ట్‌ను ప్రారంభించాలి.
利用規約	వినియోగ నిబంధనలు
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	అనధికారిక వినియోగాన్ని నివారించడానికి మరియు మా సేవల సురక్షితమైన పనితీరును నిర్ధారించడానికి, ఈ వెబ్‌సైట్ IP చిరునామాలు, బ్రౌజింగ్ చరిత్ర మరియు యాక్టివిటీ లాగ్‌ల వంటి సమాచారాన్ని కుకీలు మరియు డేటాబేస్‌లలో నిల్వ చేయవచ్చు. ఈ సమాచారం కేవలం వెబ్‌సైట్ పనితీరు కోసం మరియు చట్టపరమైన ప్రయోజనాల కోసం మాత్రమే ఉపయోగించబడుతుంది, మరియు మూడవ పక్షాలకు వెల్లడించబడదు.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	ఈ సేవను ఉపయోగించడానికి, మీరు ఈ ప్రాసెసింగ్ కార్యకలాపాలకు సమ్మతించాలి.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	మీరు మీ సమ్మతిని ఇచ్చినా, ఇవ్వకపోయినా, గోప్యతా విధానంలోని విషయాలను చూడవచ్చు.
同意する	నేను అంగీకరిస్తున్నాను
同意しない	నేను విభేదిస్తున్నాను
確認	ధృవీకరణ
プライバシーポリシー	గోప్యతా విధానం
通常とは異なる方法でのアクセスや操作が検出されました	అసాధారణ యాక్సెస్ లేదా యాక్టివిటీ గుర్తించబడింది
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	భద్రత మరియు కంటెంట్ రక్షణ ప్రయోజనాల కోసం కొన్ని ఫీచర్లు పరిమితం చేయబడ్డాయి.
デバッグモード、コンソールの起動は禁止されています	డీబగ్ మోడ్ మరియు కన్సోల్ యాక్సెస్ నిలిపివేయబడ్డాయి
以下の情報がサーバーに送信されました	కింది సమాచారం సర్వర్‌కు పంపబడింది
あなたのIPアドレス	మీ IP చిరునామా
あなたの端末とブラウザ	మీ పరికరం మరియు బ్రౌజర్
あなたの押下したキー	మీరు నొక్కిన కీ
リダイレクトをします	మీరు మళ్ళించబడతారు
コンテンツ保護のため一部の機能を制限しています	కంటెంట్‌ను రక్షించడానికి కొన్ని ఫీచర్లు పరిమితం చేయబడ్డాయి.
右クリックは禁止されています	రైట్-క్లిక్ చేయడం అనుమతించబడదు
あなたが押下したキー	మీరు నొక్కిన కీ
印刷、PDFへの保存は禁止されています	PDFగా ప్రింట్ చేయడం మరియు సేవ్ చేయడం నిషేధించబడింది.
スクリーンショットは禁止されています	స్క్రీన్‌షాట్‌లు నిషేధించబడ్డాయి
スクリーンショット、デバッグモード等の起動は禁止されています	స్క్రీన్‌షాట్‌లు తీయడం మరియు డీబగ్ మోడ్‌ను ప్రారంభించడం నిషేధించబడ్డాయి.
ページの保存は禁止されています	ఈ పేజీని సేవ్ చేయడం నిషేధించబడింది
コピー、カットは禁止されています	నకలు చేయడం మరియు కత్తిరించడం నిషేధించబడ్డాయి.
あなたが起こしたイベント	మీరు నిర్వహించిన కార్యక్రమాలు
テキストの選択は禁止されています	టెక్స్ట్‌ను ఎంచుకోవడానికి అనుమతి లేదు
HTMLソース表示は禁止されています	HTML సోర్స్ కోడ్‌ను ప్రదర్శించడం నిషేధించబడింది
不正アクセスは禁止されています	అనధికారిక ప్రవేశం నిషేధించబడింది
アフリカーンス語	ఆఫ్రికాన్స్
アラゴン語	అరగోనీస్
アラビア語	అరబిక్
アッサム語	అస్సామీ
アゼルバイジャン語	అజర్‌బైజానీ
バシュキール語	బష్కిర్
ベラルーシ語	బెలారూసియన్
ベンガル語	బెంగాలీ
ブルガリア語	బుల్గేరియన్
ボスニア語	బోస్నియన్
カタロニア語	కాటలాన్
チェコ語	జెక్
ウェールズ語	వెల్ష్
デンマーク語	డానిష్
ドイツ語	జర్మన్
現代ギリシア語	ఆధునిక గ్రీకు
英語	ఇంగ్లీష్
イギリス英語	బ్రిటిష్ ఇంగ్లీష్
アメリカ英語	అమెరికన్ ఇంగ్లీష్
エスペラント語	ఆశావాది
スペイン語	స్పానిష్
エストニア語	ఎస్టోనియన్
バスク語	బాస్క్
ペルシャ語	పారశీక
フィンランド語	ఫిన్నిష్
フランス語	ఫ్రెంచ్
アイルランド語	ఐరిష్
ガリシア語	గలిసియాన్
グァラニ語	గ్వారानी
グジャラート語	గుజరాతీ
ハウサ語	హౌసా
ヘブライ語	హీబ్రూ
ヒンディ語	హిందీ
クロアチア語	క్రొయేషియన్
ハイチ・クレオール語	హైతీయ క్రియోల్
ハンガリー語	హంగేరియన్
インドネシア語	ఇండోనేషియా
イボ語	ఇబో
アイスランド語	ఐస్‌లాండిక్
イタリア語	ఇటాలియన్
日本語	జపనీస్
ジャワ語	జావనీస్
カザフ語	కాజఖ్
朝鮮語	కొరియన్
クルド語	కుర్దిష్
キルギス語	కిర్గిజ్
ラテン語	లాటిన్
ルクセンブルク語	లక్సెంబర్గీస్
リンガラ語	లింగాల
リトアニア語	లిథువేనియన్
ラトビア語	లాట్వియన్
マダガスカル語	మలగాసి
マオリ語	మావోరి
マケドニア語	మాసిడోనియన్
マラヤーラム語	మలయాళం
モンゴル語	మంగోలియన్
マラーティー語	మరాఠీ
マレー語	మలయ
マルタ語	మాలటీస్
ビルマ語	బర్మీస్
ネパール語	నేపాలీ
ノルウェー語	నార్వేజియన్
オランダ語	డచ్
オック語	ఓసిటన్
オロモ語	లేదా
パンジャーブ語	పంజాబీ
ポーランド語	పాలిష్
パシュトー語	پشتو
ポルトガリア語	పోర్చుగీస్
ブラジルポルトガル語	బ్రెజిలియన్ పోర్చుగీస్
ヨーロピアンポルトガル語	యూరోపియన్ పోర్చుగీస్
ケチュア語	క్వెచువా
ルーマニア語	రోమేనియన్
ロシア語	రష్యన్
サンスクリット語	సంస్కృతం
スロバキア語	స్లోవాక్
スロベニア語	స్లోవేనియన్
セルビア語	సెర్బియన్
南セソト語	దక్షిణ సెసోటో
スンダ語	సుందనెసే
スウェーデン語	స్వీడిష్
スワヒリ語	స్వాహిలి
タミル語	తమిళం
テルグ語	తెలుగు
タジク語	తజిక్
タイ語	థాయ్
トルクメン語	టర్క్మెన్
タガログ語	తగలాగ్
トルコ語	టర్కిష్
タタール語	తటస్థ
ウクライナ語	ఉక్రేనియన్
ウルドゥー語	اردو
ウズベク語	ఉజ్బెక్
ベトナム語	వెటనామీస్
コサ語	కోసా
イディッシュ語	యీడిష్
簡体中国語	లలిత చైనీస్
繁体中国語	సాంప్రదాయ చైనీస్
ズールー語	జులు
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	మీరు ప్రస్తుతం ఉపయోగిస్తున్న బ్రౌజర్ పాత వెర్షన్, ఇకపై మద్దతు లేదు. సురక్షితమైన మరియు మరింత సౌకర్యవంతమైన బ్రౌజింగ్ అనుభవం కోసం, దయచేసి మీ బ్రౌజర్‌ను తాజా వెర్షన్‌కు అప్‌డేట్ చేయండి.
不正なリクエストです	అమాన్యమైన అభ్యర్థన
画像が見つかりません	చిత్రం కనుగొనబడలేదు
