設定	Mipangilio
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Imetendwa na Bibi Ura Manira
支援のお願い	Ombi la msaada
Neo HTML Protectorをご利用いただき、ありがとうございます！	Asante kwa kutumia Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Uendelezaji na matengenezo ya programu-jalizi hii yamehitaji muda na juhudi nyingi, na ili kukusanya fedha za kuendelea kuiboresha na kuisasisha, tungefurahi ikiwa yeyote anayeweza kutusaidia atafikiria kutoa mchango.
寄付について	Kuhusu Michango
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Michango ni hiari kabisa na si lazima. Programu-jalizi hii inapatikana kwa kila mtu bila malipo. Hata hivyo, tunathamini sana msaada wako kutusaidia kuendelea na maendeleo, na tutafurahi ikiwa utaweza kuchangia chochote unachoweza.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Unaweza kutoa mchango kupitia kiungo kilicho hapa chini. Ikiwa uko Japani, unaweza kutoa mchango bila malipo, na pia unaweza kutoa mchango kwa urahisi kwa kutumia vocha za zawadi za Amazon.
寄付先	Misaada
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Kwa msaada wako, tutafanya kila tuwezalo kuendelea kukuletea masasisho ya ajabu!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Tunashukuru kwa msaada wenu na tunatarajia kuendelea kupata msaada wenu katika siku zijazo.
ライセンス	Leseni
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Plugini hii imeundwa kama programu chanzo huria na ina leseni chini ya GPLv2.0 au toleo jipya zaidi.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Baadhi ya teknolojia zilizojumuishwa katika programu-jalizi hii zinalindwa na hati miliki.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Matumizi ya teknolojia iliyopewa hati miliki yanaruhusiwa tu ndani ya programu-jalizi hii.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Kwa matumizi mengine yoyote, tafadhali wasiliana na mwandishi ili kupata leseni ya kibiashara.
本プラグインには以下のライブラリを同梱しています	Plugini hii inajumuisha maktaba zifuatazo
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Plugini hii inajumuisha fonti za sanaa za ASCII zilizotengenezwa hapa chini, pamoja na faili za fonti.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Plugini hii inajumuisha muziki kutoka kwenye mchezo usio rasmi wa Super Famicom 'SM Trainer Hitomi 3', uliotengenezwa na EJ Co., Ltd. na uliotungwa na muumba wa plugini hii, na una leseni rasmi.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Plugini hii inajumuisha nyimbo zilizotengenezwa kwa kutumia 'Keppy's YAMAHA C7', iliyotengenezwa na Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Pia nimetumia Raspberry Pi 5, ChatGPT na DeepL katika uundaji wa programu-jalizi hii.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Plugini ya kuhifadhi kache imegunduliwa. Plugini hii haitafanya kazi ipasavyo ikiwa plugini ya kuhifadhi kache imewezeshwa.
無効なIPアドレス	Anwani ya IP si halali
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Ili kutumia tovuti hii, lazima uwezeshe vidakuzi na JavaScript.
利用規約	Masharti ya Matumizi
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Ili kuzuia matumizi yasiyoidhinishwa na kuhakikisha uendeshaji salama wa huduma zetu, tovuti hii inaweza kuhifadhi taarifa kama anwani za IP, historia ya kuvinjari na kumbukumbu za shughuli katika vidakuzi na hifadhidata. Taarifa hizi zinatumika tu kwa uendeshaji wa tovuti na kwa madhumuni ya kisheria, na hazitatolewa kwa wahusika wengine.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Ili kutumia huduma hii, lazima ukubali shughuli hizi za uchakataji.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Unaweza kuona yaliyomo katika Sera ya Faragha bila kujali kama umetoa idhini yako.
同意する	Nakubaliana
同意しない	Sikubaliani
確認	Uthibitisho
プライバシーポリシー	Sera ya Faragha
通常とは異なる方法でのアクセスや操作が検出されました	Upatikanaji usio wa kawaida au shughuli imegunduliwa
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Baadhi ya vipengele vimezuiliwa kwa madhumuni ya usalama na ulinzi wa maudhui.
デバッグモード、コンソールの起動は禁止されています	Hali ya kusahihisha hitilafu na ufikiaji wa konsole vimezimwa
以下の情報がサーバーに送信されました	Taarifa zifuatazo zimetumwa kwa seva
あなたのIPアドレス	Anwani yako ya IP
あなたの端末とブラウザ	Kifaa chako na kivinjari chako
あなたの押下したキー	Ufunguo ulioubonyeza
リダイレクトをします	Utarudishwa
コンテンツ保護のため一部の機能を制限しています	Baadhi ya vipengele vimezuiliwa ili kulinda yaliyomo.
右クリックは禁止されています	Kubofya kulia hakuruhusiwi
あなたが押下したキー	Ufunguo ulioubonyeza
印刷、PDFへの保存は禁止されています	Kuchapisha na kuhifadhi kama PDF imepigwa marufuku.
スクリーンショットは禁止されています	Kupiga picha za skrini kumezuiwa.
スクリーンショット、デバッグモード等の起動は禁止されています	Kupiga picha za skrini na kuwasha hali ya uchunguzi wa makosa vimezuiwa.
ページの保存は禁止されています	Kuhifadhi ukurasa huu kumezuiliwa
コピー、カットは禁止されています	Kunakili na kukata vimepigwa marufuku.
あなたが起こしたイベント	Matukio uliyoyapanga
テキストの選択は禁止されています	Kuchagua maandishi hakuruhusiwi
HTMLソース表示は禁止されています	Kuonyesha msimbo chanzo wa HTML kumezuiwa.
不正アクセスは禁止されています	Upatikanaji usioidhinishwa umepigwa marufuku
アフリカーンス語	Kiafrikaans
アラゴン語	Kiaragoni
アラビア語	Kiarabu
アッサム語	Kiasamani
アゼルバイジャン語	Azerbaijani
バシュキール語	Kibashkir
ベラルーシ語	Mbelarusi
ベンガル語	KiBengali
ブルガリア語	Bulgaria
ボスニア語	Mbosnia
カタロニア語	Kikatalaani
チェコ語	Kicheki
ウェールズ語	WaUelisi
デンマーク語	Kidanish
ドイツ語	Kijerumani
現代ギリシア語	Kigiriki cha kisasa
英語	Kiingereza
イギリス英語	Kiingereza cha Uingereza
アメリカ英語	Kiingereza cha Marekani
エスペラント語	Esperanto
スペイン語	Kihispania
エストニア語	Mwestaoni
バスク語	Baskia
ペルシャ語	Kifarisi
フィンランド語	Fini
フランス語	Kifaransa
アイルランド語	Waailandi
ガリシア語	Mgalicia
グァラニ語	Guarani
グジャラート語	Gujarati
ハウサ語	Kihausa
ヘブライ語	Kiebrania
ヒンディ語	Kihindi
クロアチア語	Kihispania
ハイチ・クレオール語	Kifaransa cha Haiti
ハンガリー語	Kihungaria
インドネシア語	Mw-Indonesia
イボ語	Lugha ya Ibo
アイスランド語	Kiaislandi
イタリア語	Mwitaliano
日本語	Kijapani
ジャワ語	Kijavani
カザフ語	Kazakh
朝鮮語	Kikorea
クルド語	Kurdish
キルギス語	Kyrgyz
ラテン語	Latini
ルクセンブルク語	Kiluksemburgi
リンガラ語	Kiswahili
リトアニア語	Kilithuania
ラトビア語	Laatvia
マダガスカル語	Malgasi
マオリ語	Wa-Māori
マケドニア語	Kimasikoni
マラヤーラム語	Kimalayalam
モンゴル語	Mongolia
マラーティー語	Kiarabu
マレー語	Mwalaya
マルタ語	Kimalti
ビルマ語	Burmesi
ネパール語	Kinepali
ノルウェー語	Wa-Norweiji
オランダ語	Uholanzi
オック語	Okisitan
オロモ語	Au
パンジャーブ語	Punjabi
ポーランド語	Kupolisha
パシュトー語	Pashto
ポルトガリア語	Kireno
ブラジルポルトガル語	Kireno cha Kibrazili
ヨーロピアンポルトガル語	Kireno cha Ulaya
ケチュア語	Kichu
ルーマニア語	Mwaromani
ロシア語	Kirusi
サンスクリット語	Kisanskrit
スロバキア語	Slovaki
スロベニア語	Kislofeni
セルビア語	Serbia
南セソト語	Kusini mwa Sesotho
スンダ語	Kisundanese
スウェーデン語	Suwidi
スワヒリ語	Kiswahili
タミル語	Tamil
テルグ語	Telugu
タジク語	Taji
タイ語	Thai
トルクメン語	Mturuki
タガログ語	Kifaransa
トルコ語	Kituruki
タタール語	Tatar
ウクライナ語	Mukraini
ウルドゥー語	Urdu
ウズベク語	Muzib
ベトナム語	Kivietinamu
コサ語	Kosa
イディッシュ語	Yidi
簡体中国語	Kichina kilichorahisishwa
繁体中国語	Kichina cha jadi
ズールー語	Kiswahili
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Kivinjari unachotumia sasa ni toleo la zamani ambalo haliaungwi mkono tena. Ili kuhakikisha uzoefu salama na wa starehe zaidi wa kuvinjari, tafadhali sasisha kivinjari chako hadi toleo jipya kabisa.
不正なリクエストです	Ombi batili
画像が見つかりません	Picha haijapatikana
