設定	تنظیمات
イベントの設定	تنظیمات رویداد
初回訪問時のお知らせの設定	تنظیم اعلان‌ها برای اولین بازدیدها
メッセージの設定	تنظیمات پیام
右クリックやソースコード表示時に転送する URL を設定します	URL را برای باز شدن هنگام کلیک راست یا مشاهده کد منبع تنظیم کنید
警告メッセージにはHTMLは使用できません	HTML در پیام‌های هشدار قابل استفاده نیست.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	اگر این را در این صفحه پیکربندی کنید، تنظیمات زبان در زبانهٔ پیشرفته نادیده گرفته خواهند شد.
以下の文字列が使用できます	می‌توان از رشته‌های زیر استفاده کرد
改行	شکست خط
押下されたキー	کلید فشرده شد
Neo HTML Protector 設定	تنظیمات محافظت از HTML نئو
お知らせ	اطلاعیه
メッセージ	پیام
デザイン・音	طراحی و صدا
初期化	ابتدایی‌سازی
このプラグインについて	درباره این افزونه
設定が初期化されました	تنظیمات بازنشانی شده‌اند
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	پلاگین را راه‌اندازی کنید. لطفاً توجه داشته باشید که داده‌های IP Log Reader در این مرحله حذف نخواهند شد.
Neo HTML Protectorについて	دربارهٔ محافظ HTML نئو
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	این افزونه برای محافظت از HTML، تصاویر و سایر محتوایی که توسط سایت وردپرس شما تولید می‌شود طراحی شده است و از آن در برابر استفادهٔ غیرمجاز محافظت می‌کند.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	حفاظت کامل از محتوا غیرممکن است. با این حال، با صدور هشدار در هر جا که ممکن باشد و انجام آمادگی‌ها در صورت وقوع هرگونه اتفاق، باید بتوانیم موضوع را مطابق با رویه‌های تعیین‌شده توسط دولت حل کنیم.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	البته باید مطمئن شوید که شرایط و ضوابط و سیاست سایت شما جامع هستند. اگرچه این افزونه ابزاری برای تولید شرایط و ضوابط نیست، اما می‌تواند راهنمایی‌هایی ارائه دهد.
開発者: 夜桜　なの	توسعه‌دهنده: نانو یوزاکورا
バージョン	نسخه
ビルド	ساخت
サポートページ	صفحهٔ پشتیبانی
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	اجرا توسط خانم اورا منیرا
支援のお願い	درخواست حمایت
Neo HTML Protectorをご利用いただき、ありがとうございます！	از اینکه از Neo HTML Protector استفاده می‌کنید، سپاسگزاریم!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	توسعه و نگهداری این افزونه مستلزم صرف زمان و تلاش زیادی بوده است و برای تأمین بودجه جهت ادامه بهبود و به‌روزرسانی آن، از هر کسی که توانایی حمایت دارد، سپاسگزاریم اگر لطف کرده و کمک مالی نماید.
寄付について	درباره کمک‌های مالی
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	اهداها کاملاً داوطلبانه است و اجباری نیست. این افزونه برای همه به‌صورت رایگان در دسترس است. با این حال، از حمایت شما بسیار سپاسگزاریم تا بتوانیم توسعه را ادامه دهیم و خوشحال می‌شویم اگر حتی مبلغ اندکی اهدا کنید.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	می‌توانید از طریق لینک زیر کمک مالی کنید. اگر در ژاپن مستقر هستید، می‌توانید به‌صورت رایگان کمک کنید و همچنین به‌راحتی با استفاده از کارت‌های هدیه آمازون اهدا کنید.
寄付先	خیریه‌ها
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	با حمایت شما، تمام تلاش خود را خواهیم کرد تا همچنان به‌روزرسانی‌های فوق‌العاده‌ای را برایتان فراهم کنیم!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	از حمایت شما سپاسگزاریم و مشتاقانه منتظر حمایت مستمر شما در آینده هستیم.
ライセンス	مجوز
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	این افزونه به‌عنوان نرم‌افزار متن‌باز توسعه یافته و تحت مجوز GPLv2.0 یا نسخه‌های جدیدتر منتشر شده است.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	برخی از فناوری‌های گنجانده‌شده در این افزونه تحت پوشش پتنت هستند.
特許技術の使用は、このプラグイン内での使用に限って認められます。	استفاده از فناوری ثبت‌شده صرفاً در این افزونه مجاز است.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	برای هرگونه استفادهٔ دیگر، لطفاً برای دریافت مجوز تجاری با نویسنده تماس بگیرید.
本プラグインには以下のライブラリを同梱しています	این افزونه شامل کتابخانه‌های زیر است
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	این افزونه شامل فونت‌های هنر ASCII تولیدشده در زیر، به همراه فایل‌های فونت است.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	این افزونه شامل موسیقی از بازی غیررسمی سوپر فامیکام «SM Trainer Hitomi 3» است که توسط شرکت EJ Co., Ltd. توسعه یافته و توسط خالق این افزونه ساخته شده و دارای مجوز رسمی است.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	این افزونه شامل ترک‌هایی است که با استفاده از «Keppy's YAMAHA C7» که توسط Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	من همچنین از رزبری پای ۵، چت‌جی‌پی‌تی و دیپل در توسعه این افزونه استفاده کرده‌ام.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	یک افزونهٔ کش‌گیری شناسایی شده است. اگر افزونهٔ کش‌گیری فعال باشد، این افزونه به‌درستی کار نخواهد کرد.
無効なIPアドレス	آدرس IP نامعتبر
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	برای استفاده از این وب‌سایت، باید کوکی‌ها و جاوااسکریپت را فعال کنید.
利用規約	شرایط استفاده
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	برای جلوگیری از استفادهٔ غیرمجاز و تضمین عملکرد امن خدمات ما، این وب‌سایت ممکن است اطلاعاتی مانند آدرس‌های IP، تاریخچهٔ مرور و گزارش‌های فعالیت را در کوکی‌ها و پایگاه‌های داده ذخیره کند. این اطلاعات صرفاً برای بهره‌برداری از وب‌سایت و اهداف قانونی استفاده می‌شوند و در اختیار اشخاص ثالث قرار نخواهند گرفت.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	برای استفاده از این سرویس، شما باید با این فعالیت‌های پردازش موافقت کنید.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	شما می‌توانید محتوای سیاست حفظ حریم خصوصی ما را مشاهده کنید، صرف‌نظر از اینکه آیا رضایت خود را داده‌اید یا خیر.
同意する	موافقم
同意しない	من مخالفم
確認	تأیید
プライバシーポリシー	سیاست حفظ حریم خصوصی
通常とは異なる方法でのアクセスや操作が検出されました	دسترسی یا فعالیت غیرعادی شناسایی شده است
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	برخی ویژگی‌ها به منظور امنیت و حفاظت از محتوا محدود شده‌اند.
デバッグモード、コンソールの起動は禁止されています	حالت اشکال‌زدایی و دسترسی به کنسول غیرفعال هستند.
以下の情報がサーバーに送信されました	اطلاعات زیر به سرور ارسال شده است
あなたのIPアドレス	آدرس آی‌پی شما
あなたの端末とブラウザ	دستگاه و مرورگر شما
あなたの押下したキー	کلیدی که فشردید
リダイレクトをします	شما به صفحهٔ دیگر هدایت خواهید شد.
コンテンツ保護のため一部の機能を制限しています	برخی ویژگی‌ها برای محافظت از محتوا محدود شده‌اند.
右クリックは禁止されています	کلیک راست مجاز نیست
あなたが押下したキー	کلیدی که فشردید
印刷、PDFへの保存は禁止されています	چاپ و ذخیره به صورت PDF ممنوع است.
スクリーンショットは禁止されています	گرفتن اسکرین‌شات ممنوع است.
スクリーンショット、デバッグモード等の起動は禁止されています	گرفتن اسکرین‌شات و فعال‌سازی حالت اشکال‌زدایی ممنوع است.
ページの保存は禁止されています	ذخیره این صفحه ممنوع است
コピー、カットは禁止されています	کپی و برش ممنوع است.
あなたが起こしたイベント	رویدادهایی که شما سازماندهی کرده‌اید
テキストの選択は禁止されています	انتخاب متن مجاز نیست
HTMLソース表示は禁止されています	نمایش کد منبع HTML ممنوع است.
不正アクセスは禁止されています	دسترسی غیرمجاز ممنوع است
アフリカーンス語	آفریکانس
アラゴン語	آراگونی
アラビア語	عربی
アッサム語	آسامِی
アゼルバイジャン語	آذربایجانی
バシュキール語	بشیر
ベラルーシ語	بلاروسی
ベンガル語	بنگالی
ブルガリア語	بلغاری
ボスニア語	بوسنیایی
カタロニア語	کاتالان
チェコ語	چکی
ウェールズ語	ولزی
デンマーク語	دانمارکی
ドイツ語	آلمانی
現代ギリシア語	یونانی مدرن
英語	انگلیسی
イギリス英語	انگلیسی بریتانیایی
アメリカ英語	انگلیسی آمریکایی
エスペラント語	اسپارانتو
スペイン語	اسپانیایی
エストニア語	استونیایی
バスク語	باسک
ペルシャ語	فارسی
フィンランド語	فنلاندی
フランス語	فرانسوی
アイルランド語	ایرلندی
ガリシア語	گالیسیایی
グァラニ語	گوارانی
グジャラート語	گجراتی
ハウサ語	هاوسا
ヘブライ語	عبرانی
ヒンディ語	هندی
クロアチア語	کرواسیایی
ハイチ・クレオール語	کریول هائیتی
ハンガリー語	مجارستانی
インドネシア語	اندونزیایی
イボ語	زبان ایبُو
アイスランド語	آیسلندی
イタリア語	ایتالیایی
日本語	ژاپنی
ジャワ語	جاوایی
カザフ語	قزاقی
朝鮮語	کُره‌ای
クルド語	کردی
キルギス語	قرقیزی
ラテン語	لاتین
ルクセンブルク語	لوکزامبورگی
リンガラ語	سوآحلی
リトアニア語	لیتوانیایی
ラトビア語	لتونی
マダガスカル語	ماداگاسکار
マオリ語	مائوری
マケドニア語	مقدونی
マラヤーラム語	مالایالام
モンゴル語	مغولستانی
マラーティー語	ماراتی
マレー語	مالایی
マルタ語	مالتی
ビルマ語	برمه‌ای
ネパール語	نپالی
ノルウェー語	نروژی
オランダ語	هلندی
オック語	اُکسیتان
オロモ語	یا
パンジャーブ語	پنجابی
ポーランド語	پولیش
パシュトー語	پشتو
ポルトガリア語	پرتغالی
ブラジルポルトガル語	پرتغالی برزیلی
ヨーロピアンポルトガル語	پرتغالی اروپایی
ケチュア語	توییچوا
ルーマニア語	رومانیایی
ロシア語	روسی
サンスクリット語	زبان سانسکریت
スロバキア語	اسلواکی
スロベニア語	اسلونیایی
セルビア語	صرب
南セソト語	سسوتو جنوبی
スンダ語	سوندانسی
スウェーデン語	سوئدی
スワヒリ語	سواحلی
タミル語	تامیل
テルグ語	تلوگو
タジク語	تاجیک
タイ語	تایلندی
トルクメン語	ترکمن
タガログ語	تگالاگ
トルコ語	ترکی
タタール語	تاتار
ウクライナ語	اوکراینی
ウルドゥー語	اردو
ウズベク語	ازبک
ベトナム語	ویتنامی
コサ語	کوسا
イディッシュ語	یدیش
簡体中国語	چینی ساده‌شده
繁体中国語	چینی سنتی
ズールー語	زولو
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	مرورگری که در حال حاضر استفاده می‌کنید نسخهٔ قدیمی‌تری است که دیگر پشتیبانی نمی‌شود. برای داشتن تجربه‌ای امن‌تر و راحت‌تر، لطفاً مرورگر خود را به آخرین نسخهٔ موجود به‌روزرسانی کنید.
不正なリクエストです	درخواست نامعتبر
画像が見つかりません	تصویر یافت نشد
