ISISちゃん	ISIS chan
一時使用トークンの有効期限	عارضی ٹوکنز کی میعاد ختم ہونے کی تاریخ
3分	تین منٹ
4分	چار منٹ
5分	پانچ منٹ
6分	چھ منٹ
7分	سات منٹ
8分	آٹھ منٹ
9分	نو منٹ
10分	دس منٹ
15分	پندرہ منٹ
20分	بیس منٹ
25分	پچیس منٹ
30分	30 منٹ
35分	پینتالیس منٹ
40分	چالیس منٹ
45分	پینتالیس منٹ
50分	پچاس منٹ
55分	پینتالیس منٹ
1時間	ایک گھنٹہ
画像URL情報の有効期限を設定します	تصویری یو آر ایل کی معلومات کی میعاد ختم ہونے کی تاریخ مقرر کریں۔
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	ایک بار لوڈ ہونے کے بعد، تصویر کا یو آر ایل اور عارضی ٹوکن کالعدم کر دیے جائیں گے۔
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	تصاویر ضرورت پڑنے پر لوڈ ہوتی ہیں، لیکن وہ متعین وقت سے 30 سیکنڈ قبل خود بخود لوڈ ہو جائیں گی۔
一時使用トークンのビット数	عارضی ٹوکن میں بٹس کی تعداد
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	عارضی ٹوکن کو تصویر کے یو آر ایل کی معلومات کو خفیہ کرنے کے لیے پاس ورڈ کے طور پر استعمال کیا جاتا ہے؛ یہ سیٹنگ اس کی مضبوطی متعین کرتی ہے۔
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	اگرچہ ڈراپ ڈاؤن مینو کے نیچے دکھائے گئے اختیارات بتدریج زیادہ تفصیلی ہوتے جاتے ہیں، اس سے سرور پر بھاری بوجھ پڑ سکتا ہے اور بڑی مقدار میں HTML ڈیٹا منتقل ہو سکتا ہے۔
ハッシュ化アルゴリズム	ہیش الگورتھم
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	عارضی ٹوکن کو تصویر کے یو آر ایل کی معلومات کو خفیہ کرنے کے لیے پاس ورڈ کے طور پر استعمال کیا جاتا ہے؛ اس کے لیے ہیشنگ درکار ہوتی ہے، اور یہ سیٹنگ اس ہیشنگ کی مضبوطی کا تعین کرتی ہے۔
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	اگرچہ ڈراپ ڈاؤن مینو میں دکھائے گئے اختیارات کی فہرست میں نیچے جانے کے ساتھ شدت بڑھتی ہے، اس سے سرور پر زیادہ بوجھ پڑتا ہے۔
基本設定	بنیادی ترتیبات
高度な設定	جدید ترتیبات
初期設定に戻す	ڈیفالٹ ترتیبات بحال کریں
デザイン・音の設定	ڈیزائن اور آواز کی ترتیبات
イベントの設定	ایونٹ کی ترتیبات
初回訪問時のお知らせの設定	پہلی بار دوروں کے لیے نوٹیفیکیشنز ترتیب دینا
メッセージの設定	پیغام کی ترتیبات
右クリックやソースコード表示時に転送する URL を設定します	جب دائیں کلک کیا جائے یا سورس کوڈ دیکھا جائے تو کھلنے والا یو آر ایل سیٹ کریں۔
警告メッセージにはHTMLは使用できません	HTML کو انتباہی پیغامات میں استعمال نہیں کیا جا سکتا۔
この画面で設定すると、高度な設定タブにある言語設定が無視されます	اگر آپ اس اسکرین پر اسے ترتیب دیتے ہیں تو ایڈوانسڈ ٹیب میں زبان کی ترتیبات کو نظر انداز کر دیا جائے گا۔
以下の文字列が使用できます	مندرجہ ذیل سٹرنگز استعمال کی جا سکتی ہیں۔
改行	لائن بریک
押下されたキー	کلے کا دباؤ
Neo HTML Protector 設定	نیو ایچ ٹی ایم ایل پروٹیکٹر کی ترتیبات
お知らせ	نوٹس
メッセージ	پیغام
デザイン・音	ڈیزائن اور آواز
初期化	ابتدائی ترتیب
このプラグインについて	اس پلگ ان کے بارے میں
設定が初期化されました	سیٹنگز ری سیٹ کر دی گئی ہیں۔
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	پلگ ان کو شروع کریں۔ براہ کرم نوٹ کریں کہ اس مرحلے پر آئی پی لاگ ریڈر کا ڈیٹا حذف نہیں کیا جائے گا۔
Neo HTML Protectorについて	نیو ایچ ٹی ایم ایل پروٹیکٹر کے بارے میں
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	یہ پلگ ان آپ کی ورڈپریس سائٹ کے ذریعے تیار کردہ HTML، تصاویر اور دیگر مواد کو غیر مجاز استعمال سے محفوظ رکھنے کے لیے ڈیزائن کیا گیا ہے۔
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	مواد کو مکمل طور پر محفوظ کرنا ناممکن ہے۔ تاہم، جہاں بھی ممکن ہو انتباہات جاری کرکے اور کسی بھی صورت میں پیش بندی کی تیاریاں کرکے، ہم حکومت کی جانب سے وضع کردہ طریقہ کار کے مطابق اس معاملے کو حل کرسکیں گے۔
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	ظاہر ہے، آپ کو یہ یقینی بنانا ہوگا کہ آپ کی شرائط و ضوابط اور سائٹ کی پالیسی جامع ہوں۔ اگرچہ یہ پلگ ان شرائط و ضوابط تیار کرنے کا آلہ نہیں ہے، یہ کچھ رہنمائی فراہم کر سکتا ہے۔
開発者: 夜桜　なの	ڈویلپر: نینو یوزاکورا
バージョン	نسخہ
ビルド	تعمیر کریں
サポートページ	مدد صفحہ
Miss. 裏まにら氏歌唱	پیشکش: مس یورا منیرا
支援のお願い	مدد کی درخواست
Neo HTML Protectorをご利用いただき、ありがとうございます！	نیو ایچ ٹی ایم ایل پروٹیکٹر استعمال کرنے کا شکریہ!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	اس پلگ ان کی ترقی اور دیکھ بھال میں بہت زیادہ وقت اور محنت درکار ہوئی ہے، اور اسے بہتر بنانے اور اپ ڈیٹ کرنے کے عمل کو جاری رکھنے کے لیے فنڈز اکٹھا کرنے میں ہم آپ کے شکر گزار ہوں گے اگر کوئی بھی ہماری مدد کرنے کے قابل ہو تو عطیہ دینے پر غور کرے۔
寄付について	چندے کے بارے میں
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	چندہ دینا بالکل رضاکارانہ ہے اور لازمی نہیں۔ یہ پلگ ان ہر کسی کے لیے بلا معاوضہ دستیاب ہے۔ تاہم، ترقی جاری رکھنے میں آپ کی حمایت بے حد قابلِ قدر ہے، اور ہمیں خوشی ہوگی اگر آپ اپنی استطاعت کے مطابق چندہ دے سکیں۔
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	آپ نیچے دیے گئے لنک کے ذریعے عطیہ کر سکتے ہیں۔ اگر آپ جاپان میں مقیم ہیں تو آپ بلا معاوضہ عطیہ کر سکتے ہیں، اور آپ آسانی سے ایمیزون گفٹ واؤچرز کے ذریعے بھی عطیہ کر سکتے ہیں۔
寄付先	خیراتی ادارے
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	آپ کی حمایت کے ساتھ، ہم آپ کو شاندار اپ ڈیٹس فراہم کرتے رہنے کی پوری کوشش کریں گے!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	ہم آپ کی حمایت کے لیے شکر گزار ہیں اور مستقبل میں آپ کی مسلسل حمایت کے منتظر ہیں۔
ライセンス	لائسنس
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	یہ پلگ ان اوپن سورس سافٹ ویئر کے طور پر تیار کیا گیا ہے اور اسے GPLv2.0 یا اس کے بعد کے تحت لائسنس دیا گیا ہے۔
このプラグインに含まれるいくつかの技術は特許保護の対象です。	اس پلگ ان میں شامل کچھ ٹیکنالوجیز پیٹنٹس کے تحت محفوظ ہیں۔
特許技術の使用は、このプラグイン内での使用に限って認められます。	پیٹنٹ شدہ ٹیکنالوجی کا استعمال صرف اس پلگ ان کے اندر ہی اجازت ہے۔
その他の使用については、作者に連絡して商用ライセンスを取得してください。	کسی بھی دیگر استعمال کے لیے براہِ کرم مصنف سے رابطہ کریں تاکہ تجارتی لائسنس حاصل کیا جا سکے۔
本プラグインには以下のライブラリを同梱しています	یہ پلگ ان درج ذیل لائبریریاں شامل کرتا ہے
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	یہ پلگ ان نیچے تیار کیے گئے ASCII آرٹ فونٹس اور فونٹ فائلوں کو شامل کرتا ہے۔
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	یہ پلگ ان غیر سرکاری سپر فیمیکوم گیم 'SM ٹرینر ہیتومی 3' کی موسیقی شامل کرتا ہے، جسے EJ Co., Ltd. نے تیار کیا اور اس پلگ ان کے خالق نے ترتیب دیا ہے، اور یہ باضابطہ طور پر لائسنس یافتہ ہے۔
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	اس پلگ ان میں 'کیپی کے YAMAHA C7' کے ذریعے تیار کردہ ٹریکس شامل ہیں، جو کیپی
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	میں نے اس پلگ ان کی ترقی میں راسبیری پائی 5، ChatGPT اور DeepL کا بھی استعمال کیا ہے۔
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	ایک کیشنگ پلگ ان کا پتہ چلا ہے۔ اگر کیشنگ پلگ ان فعال ہو تو یہ پلگ ان درست طور پر کام نہیں کرے گا۔
無効なIPアドレス	غلط آئی پی پتہ
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	اس ویب سائٹ کو استعمال کرنے کے لیے آپ کو کوکیز اور جاوا اسکرپٹ فعال کرنا ہوگا۔
利用規約	شرائطِ استعمال
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	غیر مجاز استعمال کو روکنے اور ہماری خدمات کے محفوظ آپریشن کو یقینی بنانے کے لیے، یہ ویب سائٹ کوکیز اور ڈیٹا بیس میں آئی پی پتے، براؤزنگ ہسٹری اور سرگرمی لاگز جیسی معلومات محفوظ کر سکتی ہے۔ یہ معلومات صرف ویب سائٹ کے آپریشن اور قانونی مقاصد کے لیے استعمال کی جاتی ہیں اور تیسری فریقوں کو افشا نہیں کی جائیں گی۔
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	اس سروس کو استعمال کرنے کے لیے، آپ کو ان پراسیسنگ سرگرمیوں کی رضامندی دینا ضروری ہے۔
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	آپ رازداری کی پالیسی کا مواد دیکھ سکتے ہیں، چاہے آپ نے رضامندی دی ہو یا نہ ہو۔
同意する	میں متفق ہوں
同意しない	میں اختلاف کرتا ہوں
確認	تصدیق
プライバシーポリシー	رازداری کی پالیسی
通常とは異なる方法でのアクセスや操作が検出されました	غیر معمولی رسائی یا سرگرمی کا پتہ چلا ہے۔
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	سیکیورٹی اور مواد کے تحفظ کے مقاصد کے لیے کچھ خصوصیات محدود کر دی گئی ہیں۔
デバッグモード、コンソールの起動は禁止されています	ڈی بیگ موڈ اور کنسول تک رسائی غیر فعال ہیں۔
以下の情報がサーバーに送信されました	مندرجہ ذیل معلومات سرور کو بھیجی جا چکی ہیں۔
あなたのIPアドレス	آپ کا آئی پی پتہ
あなたの端末とブラウザ	آپ کا آلہ اور براؤزر
あなたの押下したキー	وہ کلید جو آپ نے دبائی
リダイレクトをします	آپ کو منتقل کر دیا جائے گا
コンテンツ保護のため一部の機能を制限しています	مواد کے تحفظ کے لیے بعض خصوصیات محدود کر دی گئی ہیں۔
右クリックは禁止されています	رائٹ کلک کرنے کی اجازت نہیں ہے۔
あなたが押下したキー	وہ کلید جو آپ نے دبائی
印刷、PDFへの保存は禁止されています	پرنٹ کرنا اور پی ڈی ایف کے طور پر محفوظ کرنا ممنوع ہے۔
スクリーンショットは禁止されています	اسکرین شاٹس ممنوع ہیں۔
スクリーンショット、デバッグモード等の起動は禁止されています	اسکرین شاٹس لینا اور ڈیبگ موڈ کو فعال کرنا ممنوع ہے۔
ページの保存は禁止されています	اس صفحے کو محفوظ کرنا ممنوع ہے۔
コピー、カットは禁止されています	کاپی کرنا اور کاٹنا ممنوع ہیں۔
あなたが起こしたイベント	وہ تقریبات جو آپ نے منعقد کی ہیں
テキストの選択は禁止されています	متن کا انتخاب کرنے کی اجازت نہیں ہے۔
HTMLソース表示は禁止されています	ایچ ٹی ایم ایل ماخذ کوڈ دکھانا ممنوع ہے۔
不正アクセスは禁止されています	غیر مجاز رسائی ممنوع ہے۔
アフリカーンス語	افریکانس
アラゴン語	آراگونسی
アラビア語	عربی
アッサム語	آسامیا
アゼルバイジャン語	آذربائیجانی
バシュキール語	بشکیرد
ベラルーシ語	بیلاروسی
ベンガル語	بنگالی
ブルガリア語	بلغاریائی
ボスニア語	بوسنیائی
カタロニア語	کیٹالان
チェコ語	چیک
デンマーク語	ڈنمارکی
ドイツ語	جرمن
現代ギリシア語	جدید یونانی
英語	انگریزی
イギリス英語	برطانوی انگریزی
アメリカ英語	امریکی انگریزی
エスペラント語	امید کی زبان
スペイン語	سپینش
エストニア語	ایسٹونیائی
バスク語	باسک
ペルシャ語	فارسی
フィンランド語	فننش
フランス語	فرانسیسی
アイルランド語	آئرش
ガリシア語	گیلیشین
グァラニ語	گوارانی
グジャラート語	گجراتی
ハウサ語	ہاؤسا
ヘブライ語	عبرانی
ヒンディ語	ہندی
クロアチア語	کروشین
ハイチ・クレオール語	ہیٹیئن کریول
ハンガリー語	ہنگریائی
インドネシア語	انڈونیشیائی
イボ語	ایبو زبان
アイスランド語	آئس لینڈک
イタリア語	اطالوی
日本語	جاپانی
ジャワ語	جاوانی
カザフ語	قزاق
朝鮮語	کوریائی
クルド語	کرد
キルギス語	کِرگِز
ラテン語	لاطینی
ルクセンブルク語	لکسمبرگی
リンガラ語	لِنگالا
リトアニア語	لٹویینی
ラトビア語	لیٹوین
マダガスカル語	ملاگاسی
マオリ語	ماوری
マケドニア語	میسیڈونین
マラヤーラム語	مالایالم
モンゴル語	منگولین
マラーティー語	مراٹھی
マレー語	ملائیشیائی
マルタ語	مالٹیزی
ビルマ語	برمی
ネパール語	نیپالی
ノルウェー語	نارویجی
オランダ語	ڈچ
オック語	اُکسیتان
オロモ語	یا
パンジャーブ語	پنجابی
ポーランド語	پالش
パシュトー語	پشتو
ポルトガリア語	پرتگالی
ブラジルポルトガル語	برازیلی پرتگالی
ヨーロピアンポルトガル語	یورپی پرتگالی
ケチュア語	کیچوا
ルーマニア語	رومانیائی
ロシア語	روسی
サンスクリット語	سنسکرت
スロバキア語	سلوواکیائی
スロベニア語	سلووینیا کا
セルビア語	سربی
南セソト語	جنوبی سیسوتو
スンダ語	سُندانی
スウェーデン語	سویڈش
スワヒリ語	سواحلی
タミル語	تمل
テルグ語	تیلگو
タジク語	تاجیک
タイ語	تھائی
トルクメン語	ترکمن
タガログ語	تگالاگ
トルコ語	ترکی
タタール語	تاتار
ウクライナ語	یوکرینی
簡体中国語	سادہ چینی
繁体中国語	روایتی چینی
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	آپ اس وقت جو براؤزر استعمال کر رہے ہیں وہ ایک پرانا ورژن ہے جس کی مزید حمایت نہیں کی جاتی۔ ایک محفوظ اور زیادہ آرام دہ براؤزنگ کے تجربے کے لیے براہِ کرم اپنے براؤزر کو تازہ ترین ورژن میں اپ ڈیٹ کریں۔
不正なリクエストです	غلط درخواست
画像が見つかりません	تصویر نہیں ملی
ウェールズ語	ویلش
ウルドゥー語	اردو
ウズベク語	ازبک
ベトナム語	ویتنامی
コサ語	کوسا
イディッシュ語	یِڈِش
ズールー語	زولو
