設定	Mbohekorã
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Rehekombo'éramo kóva ko tendápe, umi ñe'ẽ ñemohenda oĩva vore 'Avanzado'-pe noñemoañetemo'ãi.
以下の文字列が使用できます	Ikatu ojeporu ko'ã ñe'ẽnguéra oúva
改行	Ñe'ẽ jehaipyre ñemboja'o
押下されたキー	Oñembopyrũ pe lláve
Neo HTML Protector 設定	Neo HTML Mo'ãha Mbohekorã
お知らせ	Jesarekorã
メッセージ	Marandu
デザイン・音	Ta'anga ha Pu
初期化	Ñepyrũmby
このプラグインについて	Ko plugin rehegua
設定が初期化されました	Umi ñemboheko oñemoñepyrũjeyma.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Emoñepyrũ pe plugin. Tereikuaa porã umi dato IP Log Reader pegua ndojepe'amo'ãiha ko'ápe.
Neo HTML Protectorについて	Neo HTML Protector rehegua
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Ko plugin ojejapo oñangareko hag̃ua pe HTML, ta'anga ha ambue mba'e ne sitio WordPress-pegua ojapóvare, oñangarekóvo hese ani hag̃ua ojeporu nderehegui.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Ndaikatúi oñeñangareko porãite umi mba'e oĩvare. Upéicharõ jepe, oñemoñe'ẽvo ikatuhápe ha oñembosako'ívo oiméramo g̃uarã oiko mba'eve, ikatúta ñamyatyrõ ko mba'e umi tekorã tetã sãmbyhyha omoĩva'ekue he'iháicha.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Katuete, tekotevẽta rejesareko ne ñe'ẽme'ẽ ha tekorãnguéra ha avei ne ñanduti renda rembiapoukapy ipype oĩmbapaite haguã opa mba'e. Jepémo ko plugin ndaha'éi peteĩ tembiporu omoheñóiva ñe'ẽme'ẽ ha tekorãnguéra, ikatu katu ome'ẽ ndéve sãmbyhyrã.
開発者: 夜桜　なの	Apohára: Nano Yozakura
バージョン	Mbohasapy
ビルド	Mopu'ã
サポートページ	Pytyvõrã kuatiarogue
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Omba'apóva Kuñakarai Ura Manira
支援のお願い	Peteĩ jerure pytyvõrã
Neo HTML Protectorをご利用いただき、ありがとうございます！	Aguyje reipuruhaguére Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Ko plugin ñemoheñói ha ñeñangareko ojerure heta ára ha mbarete, ha ikatu hag̃uáicha roñembyaty viru romoporãve ha rombohekopyahu meme hag̃ua, roaguyjevéta oimeraẽ ikatúva orepytyvõ ohecháramo ome'ẽ viru'imi.
寄付について	Jopói rehegua
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Pytyvõrã ñeme'ẽ ningo ojeipotárõguánte, ndaha'éi tekovo. Ko plugin ningo opavavépe g̃uarã ndojehepyme'ẽi. Upéicharõ jepe, roagradesetereíta ne pytyvõre orepytyvõ hag̃ua roñemotenonde hag̃ua, ha rovy'aitereíta ikatúramo reme'ẽ mba'e ikatúva.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Ikatu reme'ẽ ne pytyvõ pe joajuha oĩva iguýpe rupi. Reikóramo Japón-pe, ikatu reme'ẽ mba'eve'ỹre, ha avei ikatu reme'ẽ ndahasýi'ỹre reipurúvo Amazon jopói vávla.
寄付先	Pytyvõrã aty
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Pende pytyvõ rupive, rojapóta ikatúva guive roguenohẽ meme hag̃ua peẽme marandu pyahu iporãitereíva!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Roaguyjevete ndéve ne pytyvõre ha roha'arõ ne pytyvõ meme tenonderã.
ライセンス	Permiso
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Ko plugin ojejapo software código abierto-ramo ha oguereko lisénsia GPL v2.0 térã ipyahuvéva guýpe.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Ko plugin-pe oĩva aporeko pyahu apytégui oĩ oñeñangarekóva patente rupive.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Ko tecnología patentada jeporu oñepermite ko plug-in ryepýpente.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Oimeraẽ ambue jeporurã, eñe'ẽ pe apoháre rehupyty hag̃ua peteĩ kuatia'atã ñemuha.
本プラグインには以下のライブラリを同梱しています	Ko plugin oguereko ko'ã librería
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Ko plugin ogueru umi tai ta'anga ASCII ojejapóva iguýpe, umi tai vore'a kuatiándi.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Ko plugin oguereko purahéi pe ñembosarái Super Famicom ndaha'éiva ofisiál 'SM Trainer Hitomi 3'-gui, ojapova'ekue EJ Co., Ltd. ha omopu'ãva'ekue ko plugin apohare, ha oguereko lisénsia ofisiál.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Ko plugin oguereko purahéi ojejapóva 'Keppy's YAMAHA C7' rupive, Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Aipuru avei peteĩ Raspberry Pi 5, ChatGPT ha DeepL ko plugin apópe.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Ojejuhu peteĩ plugin ñongatuharã. Ko plugin ndoikomo'ãi porã oñemoĩramo ambue plugin ñongatuharã.
無効なIPアドレス	IP moñe'ẽha ndoikóiva
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Reipuru hag̃ua ko ñanduti renda, remoĩ porã va'erã cookies ha JavaScript.
利用規約	Jepuru Rekorã
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Ojejoko hag̃ua jeporu ndojeheja'ỹiva ha oñemboaje hag̃ua ore rembiapokuéra ñemba'apo porã, ko ñanduti renda ikatu oñongatu marandu cookies ha marandu ñongatuhápe, techapyrãrõ IP moñe'ẽha, ñanduti jeguata rembiasakue ha tembiapo kuatiakuéra. Ko marandu ojeporu pe ñanduti renda ñemba'aporãnte ha tembiaporã tekojojápe g̃uarã, ha ndojekuaaukamo'ãi avave ambuépe.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Reipuru hag̃ua ko tembiporu, reme'ẽva'erã ne ñe'ẽ ko'ã tembiapo ñembosako'ípe.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Ikatu rehecha Mbojerovia Ñeñangarekorã rembiapokue, remoneĩ térã remoneĩ'ỹ ramo jepe.
同意する	Aime porã
同意しない	Nda'éi
確認	Moañete
プライバシーポリシー	Ñemiguáva Ñangarekorã
通常とは異なる方法でのアクセスや操作が検出されました	Ojejuhu jeike térã tembiapo ndahepyiguáva.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Oĩ mba'e ojejokóva oñeñangareko hag̃ua ha ani hag̃ua oñembyai imba'ekuaa.
デバッグモード、コンソールの起動は禁止されています	Mba'evai jeheka ha konsóla jeike oñembogue.
以下の情報がサーバーに送信されました	Marandu oúva oñemondo'éma servidórpe.
あなたのIPアドレス	Ne dirección IP
あなたの端末とブラウザ	Ne tembiporu ha ne kundahára
あなたの押下したキー	Pe lláve rembopyréva
リダイレクトをします	Nde reraha jeýta
コンテンツ保護のため一部の機能を制限しています	Oñembotove oĩ mba'e oñeñangareko hag̃ua imba'e rehe.
右クリックは禁止されています	Ndojehejái ojejopy akatúa gotyo.
あなたが押下したキー	Pe lláve rembopyréva
印刷、PDFへの保存は禁止されています	Ndaikatúi oñembokuatia térã oñeñongatu PDF-pe.
スクリーンショットは禁止されています	Ndaikatúi oñenohẽ ta'anga pantalla-gui.
スクリーンショット、デバッグモード等の起動は禁止されています	Ndojehejái oñenohẽ ta'anga pantalla-gui ha oñemoñepyrũ modo de depuración.
ページの保存は禁止されています	Ndaikatúi oñeñongatu ko kuatiarogue.
コピー、カットは禁止されています	Ndaikatúi oñembohasa térã oñeikytĩ.
あなたが起こしたイベント	Umi tembiapo nde remohendava'ekue
テキストの選択は禁止されています	Ndaikatúi oñeporavo jehaipyre.
HTMLソース表示は禁止されています	Ojejoko ojehechauka hag̃ua HTML código fuente.
不正アクセスは禁止されています	Ojejoko oike hag̃ua permiso'ỹre.
アフリカーンス語	Afrikáans
アラゴン語	Aragonés
アラビア語	Sári
アッサム語	Asamésa
アゼルバイジャン語	Azerbaijaniñe'ẽ
バシュキール語	Ñembosarái
ベラルーシ語	Belarusoñe'ẽ
ベンガル語	Bengalí
ブルガリア語	Búlgaro
ボスニア語	Bosníako
カタロニア語	Katálan
チェコ語	Chekio
ウェールズ語	Gales-gua
デンマーク語	Danés
ドイツ語	Alemáña-gua
現代ギリシア語	Griégo ko'ág̃agua
英語	Inglés
イギリス英語	Británico
アメリカ英語	Inglés Americano
エスペラント語	Ñe'ẽ oñeha'arõva
スペイン語	Pahagueñe'ẽ
エストニア語	Estonio
バスク語	Vasco
ペルシャ語	Pérsape
フィンランド語	Fínlandigua
フランス語	Haitĩñe'ẽ
アイルランド語	Irlándagua
ガリシア語	Galés
グァラニ語	Ñe'ẽ
グジャラート語	Gujaratiñe'ẽ
ハウサ語	Óga guasu
ヘブライ語	Hebreoñe'ẽ
ヒンディ語	Iñindícha
クロアチア語	Króatañe'ẽ
ハイチ・クレオール語	Kreyol Ayisiana
ハンガリー語	Húngaro
インドネシア語	Indonesio-gua
イボ語	Ibo ñe'ẽ
アイスランド語	Islandés
イタリア語	Italiano
日本語	Hapõñe'ẽ
ジャワ語	Yvapyguáicha
カザフ語	Kazajo
朝鮮語	Koreagua
クルド語	Kurdía-gua
キルギス語	Kirgistán-gua
ラテン語	Látino
ルクセンブルク語	Luxemburgués
リンガラ語	Kóla
リトアニア語	Lituáno
ラトビア語	Letón
マダガスカル語	Malagasy
マオリ語	Maorí
マケドニア語	Masedonio
マラヤーラム語	Malayo
モンゴル語	Mongolía-gua
マラーティー語	Maratíñe'ẽ
マレー語	Malayo
マルタ語	Malta-gua
ビルマ語	Birmania-gua
ネパール語	Nepalés
ノルウェー語	Noruegués
オランダ語	Hollandés
オック語	Oksitan
オロモ語	Tetã
パンジャーブ語	Punjabiñe'ẽ
ポーランド語	Ñemopotĩ
パシュトー語	Pahstó
ポルトガリア語	Purtugués
ブラジルポルトガル語	Purtugues Brasil-pegua
ヨーロピアンポルトガル語	Portugués Europeo
ケチュア語	Kuarahyresẽ
ルーマニア語	Rumán-gua
ロシア語	Rrúsia-gua
サンスクリット語	Sánscrito
スロバキア語	Eslovaquiañe'ẽ
スロベニア語	Eslovenio-gua
セルビア語	Sirviaguigua
南セソト語	Sesotho Ñembyegua
スンダ語	Sunda-gua
スウェーデン語	Sueco
スワヒリ語	Suaíli
タミル語	Támil ñe'ẽ
テルグ語	Téligu
タジク語	Pukúva
タイ語	Tailandés
トルクメン語	Turco
タガログ語	Taguápe
トルコ語	Túرکo
タタール語	Tatápe
ウクライナ語	Ucraniano
ウルドゥー語	Hendýi
ウズベク語	Uzbeko
ベトナム語	Vietnamita
コサ語	Hesarái
イディッシュ語	Yidiñe'ẽ
簡体中国語	Chino oñemombykyva
繁体中国語	Chinagua yma guare
ズールー語	Pytagua
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Pe ñanduti jehekahára reiporúva ko'ág̃a ha'e peteĩ versión tuja ndojejokovéimava. Reiporu hag̃ua py'aguapyve ha ndahasýi hag̃ua, emyanyhẽmína nde ñanduti jehekahára versión pyahuvépe.
不正なリクエストです	Jerure ndoikóiva
画像が見つかりません	Ta'anga ndojuhúi
