設定	Configuración
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Para previr usos non autorizados e garantir a operación segura dos nosos servizos, este sitio web pode almacenar información como enderezos IP, historial de navegación e rexistros de actividade en cookies e bases de datos. Esta información utilízase exclusivamente para a operación do sitio web e para fins legais, e non se revelará a terceiros.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Para usar este servizo, debe consentir estas actividades de tratamento.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Podes consultar o contido da Política de privacidade independentemente de que acepteches ou non.
同意する	Estou de acordo
同意しない	Non estou de acordo
確認	Confirmación
プライバシーポリシー	Política de privacidade
通常とは異なる方法でのアクセスや操作が検出されました	Detectouse acceso ou actividade inusual.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Certas funcións foron restrinxidas con fins de seguridade e protección de contidos.
デバッグモード、コンソールの起動は禁止されています	O modo de depuración e o acceso á consola están desactivados.
以下の情報がサーバーに送信されました	A seguinte información foi enviada ao servidor
あなたのIPアドレス	A túa dirección IP
あなたの端末とブラウザ	O teu dispositivo e navegador
あなたの押下したキー	A tecla que premiches
リダイレクトをします	Serás redirixido
コンテンツ保護のため一部の機能を制限しています	Certas funcións foron restrinxidas para protexer o contido
右クリックは禁止されています	Non se permite facer clic co botón dereito.
あなたが押下したキー	A tecla que premiches
印刷、PDFへの保存は禁止されています	Está prohibido imprimir e gardar como PDF.
スクリーンショットは禁止されています	As capturas de pantalla están prohibidas.
スクリーンショット、デバッグモード等の起動は禁止されています	Está prohibido facer capturas de pantalla e habilitar o modo de depuración.
ページの保存は禁止されています	Está prohibido gardar esta páxina
コピー、カットは禁止されています	Prohíbese copiar e cortar.
あなたが起こしたイベント	Eventos que organizaches
テキストの選択は禁止されています	Non está permitido seleccionar texto.
HTMLソース表示は禁止されています	Está prohibido amosar o código fonte HTML.
不正アクセスは禁止されています	O acceso non autorizado está prohibido
アフリカーンス語	Africáans
アラゴン語	Aragonés
アラビア語	Árabe
アッサム語	Asamés
アゼルバイジャン語	Azerbaiyan
バシュキール語	Bashkir
ベラルーシ語	Belaruso
ベンガル語	Bengalí
ブルガリア語	Búlgaro
ボスニア語	Bosnio
カタロニア語	Catalán
チェコ語	Checo
ウェールズ語	Gales
デンマーク語	Dinamarqués
ドイツ語	Alemán
現代ギリシア語	Grego moderno
英語	Inglés
イギリス英語	Británico
アメリカ英語	Inglés americano
エスペラント語	Espéranto
スペイン語	Español
エストニア語	Estoniano
バスク語	Vasco
ペルシャ語	Persa
フィンランド語	Finlandés
フランス語	Francés
アイルランド語	Irlandés
ガリシア語	Galego
グァラニ語	Guaraní
グジャラート語	Gujarati
ハウサ語	Hausa
ヘブライ語	Hebreo
ヒンディ語	Hindi
クロアチア語	Croata
ハイチ・クレオール語	Creole haitiano
ハンガリー語	Húngaro
インドネシア語	Indonesio
イボ語	Ibo, lingua
アイスランド語	Islandés
イタリア語	Italiano
日本語	Xaponés
ジャワ語	Xavanés
カザフ語	Cazaque
朝鮮語	Coreano
クルド語	Curdistán
キルギス語	Kirguís
ラテン語	Latino
ルクセンブルク語	Luxemburgués
リンガラ語	Lingala
リトアニア語	Lituano
ラトビア語	Letón
マダガスカル語	Malagasy
マオリ語	Maorí
マケドニア語	Macedonio
マラヤーラム語	Malaialam
モンゴル語	Mongoliano
マラーティー語	Maratí
マレー語	Malayo
マルタ語	Maltés
ビルマ語	Birmano
ネパール語	Nepalí
ノルウェー語	Noruegués
オランダ語	Holandés
オック語	Occitan
オロモ語	Ouroo
パンジャーブ語	Punjabi
ポーランド語	Polaco
パシュトー語	Pashto
ポルトガリア語	Portugués
ブラジルポルトガル語	Portugués brasileiro
ヨーロピアンポルトガル語	Portugués europeo
ケチュア語	Quechua
ルーマニア語	Romeno
ロシア語	Ruso
サンスクリット語	Sánscrito
スロバキア語	Eslovaco
スロベニア語	Esloveno
セルビア語	Serbio
南セソト語	Sesotho do Sul
スンダ語	Sundaés
スウェーデン語	Sueco
スワヒリ語	Suaíli
タミル語	Tamil
テルグ語	Telugu
タジク語	Tajik
タイ語	Tailandés
トルクメン語	Turco
タガログ語	Tagalog
トルコ語	Turco
タタール語	Tatar
ウクライナ語	Ucraíno
ウルドゥー語	Urdu
ウズベク語	Uzbeque
ベトナム語	Vietnamita
コサ語	Pé
イディッシュ語	Yidish
簡体中国語	Chino simplificado
繁体中国語	Chinés tradicional
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	O navegador que está a usar actualmente é unha versión antiga que xa non está soportada. Para unha experiencia de navegación máis segura e cómoda, actualice o seu navegador á última versión.
不正なリクエストです	Solicitude inválida
画像が見つかりません	Imaxe non atopada
