設定	Aranjman
本プラグインには以下のライブラリを同梱しています	Plugin sa a gen ladan l bibliyotèk sa yo
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Plugin sa a gen ladan l polis atizay ASCII yo ki te jenere anba a, ansanm ak fichye polis yo.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Plugin sa a gen ladan mizik ki soti nan jwèt Super Famicom ki pa ofisyèl 'SM Trainer Hitomi 3', devlope pa EJ Co., Ltd. epi konpoze pa kreyatè plugin sa a, e li gen yon lisans ofisyèl.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Plugin sa a gen ladan tras ki kreye ak 'Keppy's YAMAHA C7', devlope pa Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Mwen te itilize tou yon Raspberry Pi 5, ChatGPT ak DeepL nan devlopman plugin sa a.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Yo detekte yon plugin kach. Plugin sa a p ap fonksyone kòrèkteman si yon plugin kach aktive.
無効なIPアドレス	Adrès IP pa valab
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Pou w itilize sitwèb sa a, ou dwe aktive cookies ak JavaScript.
利用規約	Kondisyon Itilizasyon
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Pou anpeche itilizasyon san otorizasyon epi asire operasyon sekirize sèvis nou yo, sit entènèt sa a ka estoke enfòmasyon tankou adrès IP, istwa navigasyon ak jounal aktivite nan cookies ak baz done. Enfòmasyon sa yo itilize sèlman pou fonksyònman sit entènèt la ak pou rezon legal, epi yo pap divilge bay twazyèm pati.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Pou itilize sèvis sa a, ou dwe bay konsantman pou aktivite tretman sa yo.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Ou ka wè kontni Règleman sou Konfidansyalite a kèlkeswa si ou te bay konsantman ou oswa ou pa.
同意する	Mwen dakò
同意しない	Mwen pa dakò
確認	Konfimasyon
プライバシーポリシー	Règleman sou Konfidansyalite
通常とは異なる方法でのアクセスや操作が検出されました	Yo detekte yon aksè oswa yon aktivite ki pa nòmal.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Gen sèten karakteristik ki limite pou rezon sekirite ak pwoteksyon kontni.
デバッグモード、コンソールの起動は禁止されています	Mòd debogaj ak aksè nan konsòl la dezaktive
以下の情報がサーバーに送信されました	Enfòmasyon sa a te voye bay sèvè a.
あなたのIPアドレス	Adrès IP ou
あなたの端末とブラウザ	Aparèy ou ak navigatè w
あなたの押下したキー	Kle ou te peze a
リダイレクトをします	W ap redirije
コンテンツ保護のため一部の機能を制限しています	Sèten karakteristik yo te limite pou pwoteje kontni an.
右クリックは禁止されています	Klike dwat pa pèmèt
あなたが押下したキー	Kle ou te peze a
印刷、PDFへの保存は禁止されています	Enprime ak anrejistre kòm PDF entèdi.
スクリーンショットは禁止されています	Fè foto ekran entèdi.
スクリーンショット、デバッグモード等の起動は禁止されています	Fè kapti ekran ak aktive mòd debogaj entèdi.
ページの保存は禁止されています	Sove paj sa a entèdi
コピー、カットは禁止されています	Kopi ak koupe entèdi.
あなたが起こしたイベント	Evènman ou te òganize
テキストの選択は禁止されています	Ou pa gen dwa seleksyone tèks la.
HTMLソース表示は禁止されています	Li entèdi pou montre kòd sous HTML.
不正アクセスは禁止されています	Aksè san otorizasyon entèdi
アフリカーンス語	Afrikanse
アラゴン語	Aranway
アラビア語	Arawb
アッサム語	Asamè
アゼルバイジャン語	Azèbayidjan
バシュキール語	Bashkir
ベラルーシ語	Belarisi
ベンガル語	Benгал
ブルガリア語	Bulgaryen
ボスニア語	Bòsnyen
カタロニア語	Katalan
チェコ語	Tchèk
ウェールズ語	Wèlzè
デンマーク語	Danwa
ドイツ語	Alman
現代ギリシア語	Gwèk modèn
英語	Anglè
イギリス英語	Britanik
アメリカ英語	Anglè Ameriken
エスペラント語	Espèrant
スペイン語	Espanyòl
エストニア語	Estonyen
バスク語	Basque
ペルシャ語	Pès
フィンランド語	Fenlandè
フランス語	Fransè
アイルランド語	Ilandè
ガリシア語	Galisyèn
グァラニ語	Guarani
グジャラート語	Gujarati
ハウサ語	Hausa
ヘブライ語	Ebre
ヒンディ語	Endou
クロアチア語	Kwoat
ハイチ・クレオール語	Kreyòl Ayisyen
ハンガリー語	Ongwa
インドネシア語	Endonezyen
イボ語	Lang Ibo
アイスランド語	Islandè
イタリア語	Italyen
日本語	Japonè
ジャワ語	Javanèz
カザフ語	Kazakh
朝鮮語	Korèyen
クルド語	Kouèd
キルギス語	Kyrgyz
ラテン語	Laten
ルクセンブルク語	Liksembourgè
リンガラ語	Lang
リトアニア語	Litwanyen
ラトビア語	Latvyen
マダガスカル語	Malagasy
マオリ語	Mawori
マケドニア語	Masedwan
マラヤーラム語	Malayalam
モンゴル語	Mongolyen
マラーティー語	Marathi
マレー語	Malay
マルタ語	Malte
ビルマ語	Birmàn
ネパール語	Nepalè
ノルウェー語	Nòvejyen
オランダ語	Olandè
オック語	Oksitan
オロモ語	Oswaa
パンジャーブ語	Panjabi
ポーランド語	Polisaj
パシュトー語	Pasyan
ポルトガリア語	Pòtigè
ブラジルポルトガル語	Pòtigè Brezilyen
ヨーロピアンポルトガル語	Pòtigè Ewopeyen
ケチュア語	Kechwa
ルーマニア語	Romen
ロシア語	Ris
サンスクリット語	Lang Sanskrit
スロバキア語	Slovak
スロベニア語	Slovenyen
セルビア語	Sèb
南セソト語	Sesho Sid
スンダ語	Sundanese
スウェーデン語	Syedwa
スワヒリ語	Swahili
タミル語	Tamoul
テルグ語	Telougou
タジク語	Tajik
タイ語	Tay
トルクメン語	Tirkmen
タガログ語	Tagalog
トルコ語	Tiki
タタール語	Tatar
ウクライナ語	Ikrèn
ウルドゥー語	Oudou
ウズベク語	Ouzbek
ベトナム語	Vyetnamyen
コサ語	Kòs
イディッシュ語	Yidi
簡体中国語	Chinwa senplifye
繁体中国語	Tradisyonèl Chinwa
ズールー語	Zoulou
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Navigatè w ap itilize kounye a se yon vèsyon ki pi ansyen e ki pa sipòte ankò. Pou asire yon eksperyans navigasyon ki pi an sekirite ak pi konfòtab, tanpri mete ajou navigatè w la nan dènye vèsyon li.
不正なリクエストです	Demann pa valab
画像が見つかりません	Imaj pa jwenn
