設定	Tənzimləmələr
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Əlbəttə ki, şərt və qaydalarınızın və sayt siyasətinizin hərtərəfli olmasını təmin etməlisiniz. Bu plagin şərt və qaydalar yaratmaq üçün vasitə olmasa da, müəyyən göstərişlər verə bilər.
開発者: 夜桜　なの	İnkişaf etdirici: Nano Yozakura
バージョン	Versiya
ビルド	Qurmaq
サポートページ	Dəstək səhifəsi
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Miss Ura Manira tərəfindən ifa olunub
支援のお願い	Dəstək üçün müraciət
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector-dan istifadə etdiyiniz üçün təşəkkür edirik!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Bu plaginın hazırlanmasına və saxlanılmasına çox vaxt və zəhmət sərf olunub. Onu təkmilləşdirməyə və yeniləməyə davam etmək üçün vəsait toplamaq məqsədilə bizə dəstək ola biləcək hər kəsin ianə etməyi düşünməsindən məmnun olarıq.
寄付について	Hədiyyələr haqqında
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	İanələr tamamilə könüllüdür və məcburi deyil. Bu plagin hər kəs üçün pulsuzdur. Lakin inkişafı davam etdirməyimizə kömək etmək üçün dəstəyinizə görə çox minnətdarıq və bacardığınız qədər ianə etməyiniz bizi çox sevindirər.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Aşağıdakı link vasitəsilə ianə edə bilərsiniz. Yaponiyada yaşayırsınızsa, pulsuz ianə edə bilərsiniz və Amazon hədiyyə kuponlarından istifadə edərək asanlıqla ianə edə bilərsiniz.
寄付先	Xeyriyyə təşkilatları
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Sizin dəstəyinizlə sizə möhtəşəm yeniləmələr təqdim etməyə davam etmək üçün əlimizdən gələni edəcəyik!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Dəstəyiniz üçün minnətdarıq və gələcəkdə dəstəyinizin davamını səbirsizliklə gözləyirik.
ライセンス	Lisenziya
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Bu plagin açıq mənbə proqramı kimi hazırlanıb və GPLv2.0 və ya daha sonrakı lisenziya altında yayımlanır.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Bu plagində yer alan bəzi texnologiyalar patentlərlə qorunur.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Patentləşdirilmiş texnologiyanın istifadəsi yalnız bu əlavə proqramda icazə verilir.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Digər hər hansı istifadə üçün kommersiya lisenziyası əldə etmək məqsədilə müəlliflə əlaqə saxlayın.
本プラグインには以下のライブラリを同梱しています	Bu plagin aşağıdakı kitabxanaları ehtiva edir
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Bu plagin aşağıda yaradılan ASCII sənət şriftlərini və şrift fayllarını əhatə edir.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Bu plagin EJ Co., Ltd. tərəfindən hazırlanmış və bu plagin yaradıcısı tərəfindən bəstələnmiş qeyri-rəsmi Super Famicom oyunu "SM Trainer Hitomi 3"dən musiqini ehtiva edir və rəsmi lisenziyalıdır.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Bu plagin Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Mən bu plaginin hazırlanmasında Raspberry Pi 5, ChatGPT və DeepL-dən də istifadə etmişəm.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Kəşləmə plaginini aşkarlanmışdır. Kəşləmə plagin aktiv olduqda bu plagin düzgün işləməyəcək.
無効なIPアドレス	Etibarsız IP ünvanı
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Bu veb saytdan istifadə etmək üçün kukiləri və JavaScript-i aktivləşdirməlisiniz.
利用規約	İstifadə şərtləri
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	İcazəsiz istifadənin qarşısını almaq və xidmətlərimizin təhlükəsiz işləməsini təmin etmək üçün bu veb sayt IP ünvanları, brauzer tarixçəsi və fəaliyyət qeydləri kimi məlumatları kukilərdə və verilənlər bazalarında saxlaya bilər. Bu məlumatlar yalnız veb saytı işlətmək və hüquqi məqsədlər üçün istifadə olunur və üçüncü tərəflərə açıqlanmayacaq.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Bu xidmətdən istifadə etmək üçün bu emal fəaliyyətlərinə razılıq verməlisiniz.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Məxfilik Siyasətinin məzmununu razılığınızı verib-verməməyinizdən asılı olmayaraq görə bilərsiniz.
同意する	Mən razıyam
同意しない	Mən razı deyiləm
確認	Təsdiq
プライバシーポリシー	Məxfilik Siyasəti
通常とは異なる方法でのアクセスや操作が検出されました	Qeyri-adi giriş və ya fəaliyyət aşkarlanmışdır
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Təhlükəsizlik və məzmun qorunması məqsədilə bəzi xüsusiyyətlər məhdudlaşdırılıb.
デバッグモード、コンソールの起動は禁止されています	Səhvləri aşkar etmə rejimi və konsol girişi söndürülüb
以下の情報がサーバーに送信されました	Aşağıdakı məlumat serverə göndərilib
あなたのIPアドレス	Sizin IP ünvanınız
あなたの端末とブラウザ	Cihazınız və brauzeriniz
あなたの押下したキー	Siz basdığınız düymə
リダイレクトをします	Siz yönləndiriləcəksiniz
コンテンツ保護のため一部の機能を制限しています	Məzmunun qorunması üçün bəzi xüsusiyyətlər məhdudlaşdırılıb.
右クリックは禁止されています	Sağ klikləmək icazə verilmir
あなたが押下したキー	Siz basdığınız düymə
印刷、PDFへの保存は禁止されています	Çap etmək və PDF kimi yadda saxlamaq qadağandır.
スクリーンショットは禁止されています	Ekran görüntüləri qadağandır.
スクリーンショット、デバッグモード等の起動は禁止されています	Ekran görüntüləri almaq və səhvləri aşkar etmə rejimini aktivləşdirmək qadağandır.
ページの保存は禁止されています	Bu səhifəni yadda saxlamaq qadağandır
コピー、カットは禁止されています	Köçürmək və kəsmək qadağandır.
あなたが起こしたイベント	Təşkil etdiyiniz tədbirlər
テキストの選択は禁止されています	Mətnin seçilməsi icazə verilmir
HTMLソース表示は禁止されています	HTML mənbə kodunun nümayiş etdirilməsi qadağandır.
不正アクセスは禁止されています	İcazəsiz giriş qadağandır
アフリカーンス語	Afrikaans
アラゴン語	Araqonca
アラビア語	Ərəbcə
アッサム語	Assamca
アゼルバイジャン語	Azərbaycanca
バシュキール語	Bashkir
ベラルーシ語	Belarus dili
ベンガル語	Bengal dili
ブルガリア語	Bolqar
ボスニア語	Boşnak
カタロニア語	Kataloniyalı
チェコ語	Çex
ウェールズ語	Uelsli
デンマーク語	Danimarka dili
ドイツ語	Alman
現代ギリシア語	Müasir yunan
英語	İngiliscə
イギリス英語	Britaniyalı ingiliscə
アメリカ英語	Amerika ingiliscəsi
エスペラント語	Ümidvar
スペイン語	İspan
エストニア語	Estoniyalı
バスク語	Baqsk
ペルシャ語	Fars
フィンランド語	Finlandiyalı
フランス語	Fransız
アイルランド語	İrland
ガリシア語	Qalişiyalı
グァラニ語	Quarani
グジャラート語	Qucaratlı
ハウサ語	Yoruba
ヘブライ語	İvrit
ヒンディ語	Hindi
クロアチア語	Xorvat
ハイチ・クレオール語	Haiti kreol
ハンガリー語	Macarıstanlı
インドネシア語	İndoneziyalı
イボ語	İbo dili
アイスランド語	İslandca
イタリア語	İtalyan
日本語	Yapon
ジャワ語	Yavanca
カザフ語	Qazax
朝鮮語	Koreyalı
クルド語	Kürdcə
キルギス語	Kirgiz
ラテン語	Latın
ルクセンブルク語	Lüksemburqca
リンガラ語	Dil
リトアニア語	Litvan
ラトビア語	Latviyalı
マダガスカル語	Malagasy
マオリ語	Maori
マケドニア語	Makedonca
マラヤーラム語	Malayalam
モンゴル語	Monqol
マラーティー語	Marathi
マレー語	Malay
マルタ語	Malta dili
ビルマ語	Birmanca
ネパール語	Nepal dili
ノルウェー語	Norveçli
オランダ語	Holland
オック語	Oksitan
オロモ語	Ya da
パンジャーブ語	Pəncabca
ポーランド語	Polşaca
パシュトー語	Pişmiş
ポルトガリア語	Portuqal dili
ブラジルポルトガル語	Braziliyalı portuqal dili
ヨーロピアンポルトガル語	Avropa portuqal dili
ケチュア語	Keçua
ルーマニア語	Rumın
ロシア語	Rus
サンスクリット語	Sanskrit
スロバキア語	Sloven
スロベニア語	Sloveniyalı
セルビア語	Serb
南セソト語	Cənubi Sesuto
スンダ語	Sunda dili
スウェーデン語	İsveçcə
スワヒリ語	Svaqi
タミル語	Tamilcə
テルグ語	Telegu
タジク語	Tacik
タイ語	Tay
トルクメン語	Türklər
タガログ語	Tagalog
トルコ語	Türk
タタール語	Tatar
ウクライナ語	Ukraynalı
ウルドゥー語	Urdu
ウズベク語	Özbək
ベトナム語	Vyetnamlı
コサ語	Saç
イディッシュ語	Yidi
簡体中国語	Sadələşdirilmiş Çin dili
繁体中国語	Ənənəvi Çin dili
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Hazırda istifadə etdiyiniz brauzer köhnəlmiş versiyadır və artıq dəstəklənmir. Daha təhlükəsiz və rahat brauzinq təcrübəsi üçün brauzerinizin ən son versiyasına yeniləməyinizi xahiş edirik.
不正なリクエストです	Etibarsız tələb
画像が見つかりません	Şəkil tapılmadı
