設定	Astellungen
サポートページ	Ënnerstëtzungssäit
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Ausgefouert vun Miss Ura Manira
支援のお願い	Eng Ufro fir Ënnerstëtzung
Neo HTML Protectorをご利用いただき、ありがとうございます！	Merci datt Dir Neo HTML Protector benotzt!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	D'Entwécklung an d'Wartung vun dësem Plugin hu vill Zäit an Effort gefuerdert, an fir Mëttel ze sammelen, fir et weiderhin ze verbesseren an ze aktualiséieren, wiere mir dankbar, wann jiddereen, deen eis ënnerstëtze kann, iwwer eng Spende nodenkt.
寄付について	Iwwer Donatiounen
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Spenden sinn komplett fräiwëlleg a net obligatoresch. De Plugin ass fir jiddereen gratis verfügbar. Är Ënnerstëtzung gëtt awer héich geschätzt, fir eis weider Entwécklung ze erméiglechen, an mir géifen eis freeën, wann Dir kéint eppes bäidroen, wat och ëmmer et ass.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Dir kënnt iwwer de Link hei drënner eng Spende maachen. Wann Dir a Japan sidd, kënnt Dir gratis spenden, an Dir kënnt och einfach mat Amazon-Gutscheiner spenden.
寄付先	Wuelfaartsorganisatiounen
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Mat ärer Ënnerstëtzung ginn mir eist Bescht, fir Iech weiderhin fantastesch Aktualiséierungen ze bréngen!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Mir si dankbar fir Är Ënnerstëtzung a freeën eis op Är weiderhin Ënnerstëtzung an der Zukunft.
ライセンス	Lizenz
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Dëse Plugin gouf als Open-Source-Software entwéckelt a steet ënner der GPLv2.0 oder enger méi spéider Versioun.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	E puer vun de Technologien, déi an dësem Plugin abegraff sinn, si duerch Patenter geschützt.
特許技術の使用は、このプラグイン内での使用に限って認められます。	D'Benotzung vun der patentéierter Technologie ass nëmmen an dësem Plug-in erlaabt.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Fir all aner Notzung kontaktéiert w.e.g. den Auteur fir eng kommerziell Lizenz ze kréien.
本プラグインには以下のライブラリを同梱しています	Dëse Plugin enthält déi folgend Bibliothéiken.
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Dëse Plugin enthält d'ASCII-Konscht-Schrëftarten, déi hei ënnen generéiert goufen, souwéi d'Schrëftdateien.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Dëse Plugin enthält Musek aus dem onoffizielle Super Famicom-Spill 'SM Trainer Hitomi 3', entwéckelt vun EJ Co., Ltd. a komponéiert vum Auteur vun dësem Plugin, an ass offiziell lizenzéiert.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Dëse Plugin enthält Sporen, déi mat 'Keppy's YAMAHA C7' erstallt goufen, entwéckelt vun Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Ech hunn och e Raspberry Pi 5, ChatGPT an DeepL an der Entwécklung vun dësem Plugin benotzt.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	E Caching-Plugin gouf detektéiert. Dëse Plugin funktionéiert net korrekt, wann e Caching-Plugin aktivéiert ass.
無効なIPアドレス	Onvalidé IP-Adress
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Fir dës Websäit ze benotzen, musst Dir Cookies an JavaScript aktivéieren.
利用規約	Benotzungsbedéngungen
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Fir onautoriséierten Gebrauch ze verhënneren an d'sécher Operatioun vun eise Servicer ze garantéieren, kann dës Websäit Informatiounen wéi IP-Adressen, Browsergeschicht an Aktivitéitsprotokoller an Cookies an Datebanken späicheren. Dës Informatiounen ginn ausschliisslech fir den Betrib vun der Websäit an zu gesetzleche Zwecker benotzt a ginn net un Drëttpersounen weiderginn.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Fir dëse Service ze benotzen, musst Dir dëse Veraarbechtungsaktiounen zoustëmmen.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Dir kënnt d'Inhalter vun der Privatsphärpolitik ugekucken, onofhängeg dovun, ob Dir Är Zoustëmmung ginn hutt oder net.
同意する	Ech sinn averstanen
同意しない	Ech sinn net averstanen.
確認	Bestätegung
プライバシーポリシー	Datenschutzpolitik
通常とは異なる方法でのアクセスや操作が検出されました	Ongewéinlechen Zougang oder Aktivitéit gouf detektéiert.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	E puer Funktiounen goufen aus Sécherheets- a Inhaltsschutzgrënn agechränkt.
デバッグモード、コンソールの起動は禁止されています	De Debug-Modus an de Konsolenzougang sinn desaktivéiert.
以下の情報がサーバーに送信されました	Déi folgend Informatioun gouf un de Server geschéckt.
あなたのIPアドレス	Är IP-Adress
あなたの端末とブラウザ	Äert Apparat an Äre Browser
あなたの押下したキー	De Schlëssel, deen du gedréckt hues
リダイレクトをします	Dir gitt weidergeleet
コンテンツ保護のため一部の機能を制限しています	E puer Funktiounen goufen agechränkt, fir den Inhalt ze schützen.
右クリックは禁止されています	Mat der rietser Maustast klickt ass net erlaabt.
あなたが押下したキー	De Schlëssel, deen du gedréckt hues
印刷、PDFへの保存は禁止されています	D'Drockerei an d'Späicheren als PDF sinn verbueden.
スクリーンショットは禁止されています	Screenshots sinn verbueden.
スクリーンショット、デバッグモード等の起動は禁止されています	Screenshots ze maachen an de Debug-Modus z'aktivéieren ass verbueden.
ページの保存は禁止されています	Dës Säit ze späicheren ass verbueden.
コピー、カットは禁止されています	Kopéieren an Ausschneiden sinn verbueden.
あなたが起こしたイベント	Evenementer, déi Dir organiséiert hutt
テキストの選択は禁止されています	D'Auswiel vum Text ass net erlaabt.
HTMLソース表示は禁止されています	D'Darstellung vum HTML-Quellcode ass verbueden.
不正アクセスは禁止されています	Onbefugten Zougang ass verbueden.
アフリカーンス語	Afrikanesch
アラゴン語	Aragonesesch
アラビア語	Arabesch
アッサム語	Assamesesch
アゼルバイジャン語	Aserbaidschanesch
バシュキール語	Bashkir
ベラルーシ語	Weissrussesch
ベンガル語	Bengalesch
ブルガリア語	Bulgaresch
ボスニア語	Bosnesch
カタロニア語	Katalanesch
チェコ語	Tschechesch
ウェールズ語	Walesesch
デンマーク語	Dänesch
ドイツ語	Däitsch
現代ギリシア語	Moderne Gréichesch
英語	Englesch
イギリス英語	Britesch
アメリカ英語	Amerikanescht Englesch
エスペラント語	Esperanto
スペイン語	Spuenesch
エストニア語	Estnesch
バスク語	Basktesch
ペルシャ語	Persesch
フィンランド語	Fënnesch
フランス語	Franséisch
アイルランド語	Irlännesch
ガリシア語	Galizesch
グァラニ語	Guaraní
グジャラート語	Gujarati
ハウサ語	Hausa
ヘブライ語	Hebräesch
ヒンディ語	Hindi
クロアチア語	Kroatesch
ハイチ・クレオール語	Haitianesch Kreollesch
ハンガリー語	Ungaresch
インドネシア語	Indonesesch
イボ語	Ibo-Sprooch
アイスランド語	Islännesch
イタリア語	Italienesch
日本語	Japanesch
ジャワ語	Jawanesesch
カザフ語	Kasachesch
朝鮮語	Koreesch
クルド語	Kurdesch
キルギス語	Kirgisesch
ラテン語	Latäin
ルクセンブルク語	Lëtzebuergesch
リンガラ語	Lëtzebuergesch
リトアニア語	Lëtzebuergesch
ラトビア語	Latäinesch
マダガスカル語	Madagaskaresch
マオリ語	Maori
マケドニア語	Mazedonesch
マラヤーラム語	Malaijalamesch
モンゴル語	Mongolesch
マラーティー語	Marathi
マレー語	Malaysch
マルタ語	Maltesesch
ビルマ語	Birmanesch
ネパール語	Nepalesesch
ノルウェー語	Norwegesch
オランダ語	Hollännesch
オック語	Oksitanesch
オロモ語	Oder
パンジャーブ語	Punjabi
ポーランド語	Polnesch
パシュトー語	Pashto
ポルトガリア語	Portugisesch
ブラジルポルトガル語	Brazilianesch Portugisesch
ヨーロピアンポルトガル語	Europäescht Portugisesch
ケチュア語	Keçua
ルーマニア語	Rumänesch
ロシア語	Russesch
サンスクリット語	Altsanskrit
スロバキア語	Slowakesch
スロベニア語	Slowenesch
セルビア語	Serbesch
南セソト語	Südleche Sesotho
スンダ語	Sundaesch
スウェーデン語	Schwedesch
スワヒリ語	Swahili
タミル語	Tamilesch
テルグ語	Telugu
タジク語	Tadschikesch
タイ語	Thailännesch
トルクメン語	Türkeesch
タガログ語	Tagalog
トルコ語	Türksch
タタール語	Tatar
ウクライナ語	Ukrainesch
ウルドゥー語	Urdu
ウズベク語	Usbekesch
ベトナム語	Vietnamesesch
コサ語	Ho
イディッシュ語	ייִדיש
簡体中国語	Vereinfacht chinesesch
繁体中国語	Traditionell chinesesch
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	De Browser, deen Dir aktuell benotzt, ass eng méi al Versioun, déi net méi ënnerstëtzt gëtt. Fir eng méi sécher a méi bequem Surferfarung, aktualiséiert w.e.g. Äre Browser op déi lescht Versioun.
不正なリクエストです	Onvalidé Ufro
画像が見つかりません	Bild net fonnt
