設定	Postavke
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Ovaj dodatak uključuje muziku iz neoficijalne Super Famicom igre 'SM Trainer Hitomi 3', koju je razvila kompanija EJ Co., Ltd., a komponovao autor ovog dodatka, i koja je zvanično licencirana.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Ovaj dodatak uključuje snimke stvorene pomoću 'Keppy's YAMAHA C7', koje je razvio Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Također sam koristio Raspberry Pi 5, ChatGPT i DeepL u razvoju ovog dodatka.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Detektovan je dodatak za keširanje. Ovaj dodatak neće ispravno funkcionisati ako je dodatak za keširanje omogućen.
無効なIPアドレス	Neispravna IP adresa
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Da biste koristili ovu web stranicu, morate omogućiti kolačiće i JavaScript.
利用規約	Uslovi korištenja
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Kako bi se spriječila neovlaštena upotreba i osigurala sigurna radnja naših usluga, ova web stranica može pohraniti informacije kao što su IP adrese, historija pregledavanja i zapisi aktivnosti u kolačićima i bazama podataka. Ove se informacije koriste isključivo za rad web stranice i u zakonske svrhe te neće biti otkrivene trećim stranama.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Da biste koristili ovu uslugu, morate pristati na ove aktivnosti obrade.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Možete pregledati sadržaj Politike privatnosti bez obzira na to da li ste dali svoj pristanak.
同意する	Slažem se
同意しない	Ne slažem se
確認	Potvrda
プライバシーポリシー	Politika privatnosti
通常とは異なる方法でのアクセスや操作が検出されました	Detektovan je neobičan pristup ili aktivnost.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Određene značajke su ograničene radi sigurnosti i zaštite sadržaja.
デバッグモード、コンソールの起動は禁止されています	Režim otklanjanja grešaka i pristup konzoli su onemogućeni.
以下の情報がサーバーに送信されました	Sljedeće informacije su poslane na server.
あなたのIPアドレス	Vaša IP adresa
あなたの端末とブラウザ	Vaš uređaj i preglednik
あなたの押下したキー	Ključ koji ste pritisnuli
リダイレクトをします	Bit ćete preusmjereni
コンテンツ保護のため一部の機能を制限しています	Određene značajke su ograničene radi zaštite sadržaja.
右クリックは禁止されています	Desni klik nije dozvoljen
あなたが押下したキー	Ključ koji ste pritisnuli
印刷、PDFへの保存は禁止されています	Štampanje i spremanje kao PDF su zabranjeni.
スクリーンショットは禁止されています	Snimci ekrana su zabranjeni.
スクリーンショット、デバッグモード等の起動は禁止されています	Pravljenje snimaka ekrana i omogućavanje načina otklanjanja grešaka su zabranjeni.
ページの保存は禁止されています	Spremanje ove stranice je zabranjeno
コピー、カットは禁止されています	Kopiranje i rezanje su zabranjeni.
あなたが起こしたイベント	Događaji koje ste organizovali
テキストの選択は禁止されています	Odabir teksta nije dozvoljen
HTMLソース表示は禁止されています	Prikazivanje izvornog HTML koda je zabranjeno.
不正アクセスは禁止されています	Neovlašteni pristup je zabranjen
アフリカーンス語	Afričanski
アラゴン語	Aragonsko
アラビア語	Arapski
アッサム語	Asameško
アゼルバイジャン語	Azerbejdžanski
バシュキール語	Bashkir
ベラルーシ語	Bjeloruski
ベンガル語	Bengalski
ブルガリア語	Bugarski
ボスニア語	Bosanski
カタロニア語	Katalonski
チェコ語	Češki
ウェールズ語	Velski
デンマーク語	Danski
ドイツ語	Njemački
現代ギリシア語	Savremeni grčki
英語	Engleski
イギリス英語	Britanski
アメリカ英語	Američki engleski
エスペラント語	Esperanto
スペイン語	Španski
エストニア語	Estonac
バスク語	Baskijski
ペルシャ語	Perzijski
フィンランド語	Finski
フランス語	Francuski
アイルランド語	Irski
ガリシア語	Galicijski
グァラニ語	Guarani
グジャラート語	Gudžarati
ハウサ語	Hausa
ヘブライ語	Hebrejski
ヒンディ語	Hindi
クロアチア語	Hrvatski
ハイチ・クレオール語	Haitijanski kreolski
ハンガリー語	Mađarski
インドネシア語	Indonežanski
イボ語	Ibo jezik
アイスランド語	Islandski
イタリア語	Italijanski
日本語	Japanski
ジャワ語	Javanski
カザフ語	Kazah
朝鮮語	Korejski
クルド語	Kurdski
キルギス語	Kirgijski
ラテン語	Latinski
ルクセンブルク語	Luksemburški
リンガラ語	Lingala
リトアニア語	Litvanski
ラトビア語	Latvijski
マダガスカル語	Malagajski
マオリ語	Maori
マケドニア語	Makedonski
マラヤーラム語	Malajalski
モンゴル語	Mongolski
マラーティー語	Maratijski
マレー語	Malezijski
マルタ語	Maltanski
ビルマ語	Birmanski
ネパール語	Nepalski
ノルウェー語	Norveški
オランダ語	Holandski
オック語	Okcitanski
オロモ語	Ilića
パンジャーブ語	Punjabi
ポーランド語	Poliranje
パシュトー語	Pashto
ポルトガリア語	Portugalski
ブラジルポルトガル語	Brazilski portugalski
ヨーロピアンポルトガル語	Evropski portugalski
ケチュア語	Kičua
ルーマニア語	Rumunjski
ロシア語	Ruski
サンスクリット語	Sanskrit
スロバキア語	Slovački
スロベニア語	Slovenski
セルビア語	Srbija
南セソト語	Južni Sesoto
スンダ語	Sundanese
スウェーデン語	Švedski
スワヒリ語	Svahili
タミル語	Tamilski
テルグ語	Telugu
タジク語	Tajik
タイ語	Tajlandski
トルクメン語	Turski
タガログ語	Tagalog
トルコ語	Turski
タタール語	Tatar
ウクライナ語	Ukrajinski
ウルドゥー語	Urdu
ウズベク語	Uzbek
ベトナム語	Vijetnamski
コサ語	Kosa
イディッシュ語	Jidiš
簡体中国語	Pojednostavljeni kineski
繁体中国語	Tradicionalni kineski
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Preglednik koji trenutno koristite je starija verzija koja više nije podržana. Da biste osigurali sigurnije i ugodnije iskustvo pregledavanja, molimo ažurirajte na najnoviju verziju vašeg preglednika.
不正なリクエストです	Neispravan zahtjev
画像が見つかりません	Slika nije pronađena
