設定	Mga setting
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Ang pagbuo at pagpapanatili ng plugin na ito ay nangangailangan ng malaking oras at pagsisikap, at upang makalikom ng pondo para ipagpatuloy ang pagpapabuti at pag-update nito, lubos kaming magpapasalamat kung ang sinumang makakasuporta ay magpapasya na magbigay ng donasyon.
寄付について	Tungkol sa mga Donasyon
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Ang mga donasyon ay ganap na boluntaryo at hindi sapilitan. Libre ang plugin para sa lahat. Gayunpaman, lubos naming pinahahalagahan ang iyong suporta upang makatulong sa amin na magpatuloy sa pag-unlad, at ikalulugod namin kung makakapag-ambag ka ng kahit ano ang kaya mo.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Maaari kang mag-donasyon sa pamamagitan ng link sa ibaba. Kung ikaw ay nasa Japan, maaari kang mag-donasyon nang walang bayad, at maaari ka ring mag-donasyon nang madali gamit ang mga Amazon gift voucher.
寄付先	Mga kawanggawa
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Sa iyong suporta, gagawin namin ang aming makakaya upang patuloy na maghatid sa iyo ng mga kamangha-manghang update!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Nagpapasalamat kami sa inyong suporta at inaasahan namin ang inyong patuloy na suporta sa hinaharap.
ライセンス	Lisensya
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Ang plugin na ito ay binuo bilang open source na software at lisensiyado sa ilalim ng GPLv2.0 o mas bago.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Ang ilan sa mga teknolohiyang kasama sa plugin na ito ay protektado ng mga patente.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Ang paggamit ng nakapatenang teknolohiya ay pinapayagan lamang sa loob ng plug-in na ito.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Para sa anumang ibang paggamit, mangyaring makipag-ugnayan sa may-akda upang makakuha ng lisensyang pangkomersyal.
本プラグインには以下のライブラリを同梱しています	Kasama sa plugin na ito ang mga sumusunod na aklatan
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Kasama sa plugin na ito ang mga ASCII art font na nabuo sa ibaba, pati na rin ang mga font file.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Kasama sa plugin na ito ang musika mula sa hindi opisyal na larong Super Famicom na 'SM Trainer Hitomi 3', na dinebelop ng EJ Co., Ltd. at kinomposo ng lumikha ng plugin na ito, at opisyal itong lisensyado.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Kasama sa plugin na ito ang mga track na nilikha gamit ang 'Keppy's YAMAHA C7', na binuo ni Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Ginamit ko rin ang Raspberry Pi 5, ChatGPT, at DeepL sa pagbuo ng plugin na ito.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Natukoy na may naka-install na caching plugin. Hindi gagana nang tama ang plugin na ito kung naka-enable ang caching plugin.
無効なIPアドレス	Hindi wastong IP address
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Upang magamit ang website na ito, kailangan mong paganahin ang cookies at JavaScript.
利用規約	Mga Tuntunin ng Paggamit
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Upang maiwasan ang hindi awtorisadong paggamit at matiyak ang ligtas na operasyon ng aming mga serbisyo, maaaring mag-imbak ang website na ito ng impormasyon tulad ng mga IP address, kasaysayan ng pagba-browse, at mga tala ng aktibidad sa mga cookie at database. Ang impormasyong ito ay ginagamit lamang para sa pagpapatakbo ng website at para sa mga legal na layunin, at hindi ito ibubunyag sa mga ikatlong partido.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Upang magamit ang serbisyong ito, kailangan mong sumang-ayon sa mga aktibidad ng pagproseso na ito.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Maaari mong tingnan ang nilalaman ng Patakaran sa Privacy kahit hindi ka pa nagbigay ng iyong pahintulot.
同意する	Sang-ayon ako
同意しない	Hindi ako sumasang-ayon.
確認	Kumpirmasyon
プライバシーポリシー	Patakaran sa Pagkapribado
通常とは異なる方法でのアクセスや操作が検出されました	Natukoy ang hindi pangkaraniwang pag-access o aktibidad.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Ang ilang mga tampok ay nilimitahan para sa mga layunin ng seguridad at proteksyon ng nilalaman.
デバッグモード、コンソールの起動は禁止されています	Ang debug mode at ang pag-access sa console ay naka-disable.
以下の情報がサーバーに送信されました	Ang sumusunod na impormasyon ay naipadala na sa server.
あなたのIPアドレス	Ang iyong IP address
あなたの端末とブラウザ	Ang iyong aparato at browser
あなたの押下したキー	Ang susi na pinindot mo
リダイレクトをします	Ire-redirect ka
コンテンツ保護のため一部の機能を制限しています	Ang ilang tampok ay pinigilan upang protektahan ang nilalaman.
右クリックは禁止されています	Hindi pinapayagan ang pag-right-click.
あなたが押下したキー	Ang susi na pinindot mo
印刷、PDFへの保存は禁止されています	Ipinagbabawal ang pagpi-print at pag-save bilang PDF.
スクリーンショットは禁止されています	Ipinagbabawal ang mga screenshot.
スクリーンショット、デバッグモード等の起動は禁止されています	Ipinagbabawal ang pagkuha ng mga screenshot at ang pagpapagana ng debug mode.
ページの保存は禁止されています	Ipinagbabawal ang pag-iimbak ng pahinang ito.
コピー、カットは禁止されています	Ipinagbabawal ang pagkopya at pagputol.
あなたが起こしたイベント	Mga kaganapang inorganisa mo
テキストの選択は禁止されています	Hindi pinapayagan ang pagpili ng teksto.
HTMLソース表示は禁止されています	Ipinagbabawal ang pagpapakita ng HTML source code.
不正アクセスは禁止されています	Ipinagbabawal ang hindi awtorisadong pag-access.
アフリカーンス語	Aprikans
アラゴン語	Aralons
アラビア語	Arabiko
アッサム語	Asamese
アゼルバイジャン語	Azerbaijani
バシュキール語	Bashkir
ベラルーシ語	Belarusian
ベンガル語	Bengali
ブルガリア語	Bulgariano
ボスニア語	Bosyano
カタロニア語	Katalunya
チェコ語	Tseko
ウェールズ語	Welsh
デンマーク語	Dane
ドイツ語	Aleman
現代ギリシア語	Makabagong Griyego
英語	Ingles
イギリス英語	Britanya Ingles
アメリカ英語	Amerikanong Ingles
エスペラント語	Esperanto
スペイン語	Espanyol
エストニア語	Estonyano
バスク語	Basque
ペルシャ語	Persyano
フィンランド語	Pang-Finnish
フランス語	Pranses
アイルランド語	Irlandes
ガリシア語	Galician
グァラニ語	Tobong
グジャラート語	Gujarati
ハウサ語	Bahay
ヘブライ語	Hebreo
ヒンディ語	Hindi
クロアチア語	Kroato
ハイチ・クレオール語	Kreyòl Ayisyen
ハンガリー語	Hunggaro
インドネシア語	Indonesiyano
イボ語	Wika ng Ibo
アイスランド語	Islandese
イタリア語	Italian
日本語	Hapones
ジャワ語	Javanese
カザフ語	Kazakh
朝鮮語	Koreano
クルド語	Kurdish
キルギス語	Kyrgyz
ラテン語	Latin
ルクセンブルク語	Luxemburges
リンガラ語	Dila
リトアニア語	Lithuano
ラトビア語	Latbiyano
マダガスカル語	Malagasy
マオリ語	Māori
マケドニア語	Makasiklab
マラヤーラム語	Malayalam
モンゴル語	Mongoliano
マラーティー語	Marathi
マレー語	Malayo
マルタ語	Maltes
ビルマ語	Burmes
ネパール語	Nepali
ノルウェー語	Norwegyanong
オランダ語	Olandes
オック語	Oksitan
オロモ語	Oriyoo
パンジャーブ語	Punjabi
ポーランド語	Pakinis
パシュトー語	Pashto
ポルトガリア語	Portuges
ブラジルポルトガル語	Portuges na Brasiliano
ヨーロピアンポルトガル語	Portuges na Europeo
ケチュア語	Kutsa
ルーマニア語	Romaniano
ロシア語	Ruso
サンスクリット語	Sanskrit
スロバキア語	Eslobako
スロベニア語	Sloveno
セルビア語	Serbiyano
南セソト語	Katimugang Sesotho
スンダ語	Sundanese
スウェーデン語	Suweko
スワヒリ語	Swahili
タミル語	Tamil
テルグ語	Telugu
タジク語	Tajik
タイ語	Tsinoy
トルクメン語	Turko
タガログ語	Pilipino
トルコ語	Turko
タタール語	Tatar
ウクライナ語	Ukranyano
ウルドゥー語	Urdú
ウズベク語	Uzbeko
ベトナム語	Biyetnamita
コサ語	Kosa
イディッシュ語	Yiddish
簡体中国語	Pinadaliang Tsino
繁体中国語	Tradisyonal na Tsino
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Ang browser na kasalukuyan mong ginagamit ay isang mas lumang bersyon na hindi na sinusuportahan. Upang matiyak ang mas ligtas at mas komportableng karanasan sa pagba-browse, mangyaring i-update ang iyong browser sa pinakabagong bersyon.
不正なリクエストです	Hindi wastong kahilingan
画像が見つかりません	Hindi nahanap ang imahe
