設定	Налады
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Ахвяраванні цалкам добраахвотныя і не з'яўляюцца абавязковымі. Плагін даступны ўсім бясплатна. Аднак мы вельмі цэнім вашу падтрымку, якая дапамагае нам працягваць распрацоўку, і мы будзем вельмі рады, калі вы зможаце ахвяраваць хоць нешта.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Вы можаце зрабіць ахвяраванне па спасылцы ніжэй. Калі вы знаходзіцеся ў Японіі, вы можаце ахвяраваць бясплатна, а таксама лёгка зрабіць ахвяраванне з дапамогай падарункавых сертыфікатаў Amazon.
寄付先	Дабрачынныя арганізацыі
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	З вашай падтрымкай мы зробім усё магчымае, каб і надалей рабіць для вас фантастычныя абнаўленні!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Мы ўдзячныя за вашу падтрымку і разлічваем на вашу далейшую падтрымку ў будучыні.
ライセンス	Ліцэнзія
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Гэты плагін распрацаваны як праграмнае забеспячэнне з адкрытым зыходным кодам і ліцэнзаваны пад GPLv2.0 або больш позняй версіяй.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Некаторыя з тэхналогій, уключаных у гэты плагін, абаронены патэнтамі.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Выкарыстанне запатэнтаванай тэхналогіі дазволена выключна ў гэтым плагіне.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Для любога іншага выкарыстання, калі ласка, звяжыцеся з аўтарам, каб атрымаць камерцыйную ліцэнзію.
本プラグインには以下のライブラリを同梱しています	Гэты плагін уключае наступныя бібліятэкі
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Гэты плагін уключае ў сябе ASCII-арт-шрыфты, створаныя ніжэй, разам з файламі шрыфтоў.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Гэты плагін уключае музыку з неафіцыйнай гульні для Super Famicom «SM Trainer Hitomi 3», распрацаванай кампаніяй EJ Co., Ltd. і напісанай стваральнікам гэтага плагіна, і мае афіцыйную ліцэнзію.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Гэты плагін уключае трэкі, створаныя з дапамогай «Keppy's YAMAHA C7», распрацаванай Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Я таксама выкарыстоўваў Raspberry Pi 5, ChatGPT і DeepL у распрацоўцы гэтага плагіна.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Выяўлены плагін кэшавання. Гэты плагін не будзе працаваць правільна, калі ўключаны плагін кэшавання.
無効なIPアドレス	Несапраўдны IP-адрас
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Каб выкарыстоўваць гэты вэб-сайт, вы павінны ўключыць файлы cookie і JavaScript.
利用規約	Умовы выкарыстання
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	З мэтай прадухілення несанкцыянаванага выкарыстання і забеспячэння бяспечнай працы нашых сэрвісаў гэты вэб-сайт можа захоўваць у cookie-файлах і базах даных такую інфармацыю, як IP-адрасы, гісторыю прагляду і журналы актыўнасці. Гэтая інфармацыя выкарыстоўваецца выключна для працы вэб-сайта і ў законных мэтах і не будзе раскрывацца трэцім асобам.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Каб выкарыстоўваць гэту паслугу, вы павінны даць згоду на гэтыя аперацыі апрацоўкі.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Вы можаце азнаёміцца з зместам Палітыкі прыватнасці незалежна ад таго, далі вы сваю згоду ці не.
同意する	Згодна
同意しない	Я не згодны
確認	Пацвярджэнне
プライバシーポリシー	Палітыка прыватнасці
通常とは異なる方法でのアクセスや操作が検出されました	Выяўлены незвычайны доступ або актыўнасць.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Асобныя функцыі абмежаваныя ў мэтах бяспекі і абароны кантэнту.
デバッグモード、コンソールの起動は禁止されています	Рэжым адладкі і доступ да кансолі адключаны
以下の情報がサーバーに送信されました	Наступная інфармацыя адпраўлена на сервер
あなたのIPアドレス	Ваш IP-адрас
あなたの端末とブラウザ	Ваша прылада і браўзер
あなたの押下したキー	Клавіша, якую вы націснулі
リダイレクトをします	Вы будзеце перанакіраваны
コンテンツ保護のため一部の機能を制限しています	Асобныя функцыі абмежаваныя для абароны кантэнту.
右クリックは禁止されています	Пстрычка правай кнопкай мышы не дазволена
あなたが押下したキー	Клавіша, якую вы націснулі
印刷、PDFへの保存は禁止されています	Друк і захаванне ў фармаце PDF забаронены.
スクリーンショットは禁止されています	Здымкі экрана забаронены
スクリーンショット、デバッグモード等の起動は禁止されています	Забаронена рабіць скрыншоты і ўключаць рэжым адладкі.
ページの保存は禁止されています	Захоўванне гэтай старонкі забаронена
コピー、カットは禁止されています	Копіраванне і выразанне забаронены.
あなたが起こしたイベント	Мерапрыемствы, якія вы арганізавалі
テキストの選択は禁止されています	Вылучэнне тэксту не дазволена
HTMLソース表示は禁止されています	Паказ зыходнага HTML-кода забаронены
不正アクセスは禁止されています	Несанкцыянаваны доступ забаронены
アフリカーンス語	Афрыкаанс
アラゴン語	Арагонская
アラビア語	Арабская
アッサム語	Асамі
アゼルバイジャン語	Азербайджанскі
バシュキール語	Башҡорт
ベラルーシ語	Беларускі
ベンガル語	Бенгальскі
ブルガリア語	Балгарская
ボスニア語	Басьнійскі
カタロニア語	Каталонскі
チェコ語	Чэшскі
ウェールズ語	Уэльскі
デンマーク語	Дацкая
ドイツ語	Нямецкая
現代ギリシア語	Сучасная грэчаская
英語	Англійская
イギリス英語	Брытанскі
アメリカ英語	Амерыканскі англійскі
エスペラント語	Эсперанта
スペイン語	Іспанская
エストニア語	Эстонскі
バスク語	Баск
ペルシャ語	Персідская
フィンランド語	Фінскі
フランス語	Французскі
アイルランド語	Ірландскі
ガリシア語	Галісійскі
グァラニ語	Гuarani
グジャラート語	Гуджараці
ハウサ語	Гауса
ヘブライ語	Іўрыт
ヒンディ語	Гіндзі
クロアチア語	Харвацкая
ハイチ・クレオール語	Гайцянскі крэёль
ハンガリー語	Венгерскі
インドネシア語	Інданезійскі
イボ語	Мова іба
アイスランド語	Ісландская
イタリア語	Італьянскі
日本語	Японскі
ジャワ語	Джава
カザフ語	Казах
朝鮮語	Карэйская
クルド語	Курдскі
キルギス語	Кыргыз
ラテン語	Лацінскі
ルクセンブルク語	Люксембургская
リンガラ語	Мякка
リトアニア語	Літоўскі
ラトビア語	Латвійскі
マダガスカル語	Малагасійская
マオリ語	Маоры
マケドニア語	Мacedoнскі
マラヤーラム語	Малаялам
モンゴル語	Мангольскі
マラーティー語	Марці
マレー語	Малай
マルタ語	Мальтыйскі
ビルマ語	Бurmэцкая
ネパール語	Непальскі
ノルウェー語	Нарвежскі
オランダ語	Голландскі
オック語	Аксітан
オロモ語	Аорта
パンジャーブ語	Пенджабі
ポーランド語	Паляк
パシュトー語	Пашту
ポルトガリア語	Партугальская
ブラジルポルトガル語	Бразільская партугальская
ヨーロピアンポルトガル語	Еўрапейская партугальская
ケチュア語	Кечуа
ルーマニア語	Румынская
ロシア語	Расійская
サンスクリット語	Санскрыт
スロバキア語	Славацкая
スロベニア語	Славенскі
セルビア語	Сербскі
南セソト語	Паўднёвы Сесато
スンダ語	Сунданскі
スウェーデン語	Шведскі
スワヒリ語	Суахілі
タミル語	Тамільская
テルグ語	Тэлугу
タジク語	Таджык
タイ語	Тайскі
トルクメン語	Туркмен
タガログ語	Тагалог
トルコ語	Турэцкая
タタール語	Татар
ウクライナ語	Украінскі
ウルドゥー語	Урду
ウズベク語	Узбек
ベトナム語	В'етнамскі
コサ語	Каса
イディッシュ語	Ідыш
簡体中国語	Спрашчаны кітайскі
繁体中国語	Традыцыйны кітайскі
ズールー語	Цулу
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Браўзер, які вы зараз выкарыстоўваеце, з'яўляецца састарэлай версіяй, якая больш не падтрымліваецца. Каб забяспечыць больш бяспечнае і зручнае праглядаванне, калі ласка, абнавіце свой браўзер да апошняй версіі.
不正なリクエストです	Няправільны запыт
画像が見つかりません	Выява не знойдзена
