設定	ဆက်တင်များ
テキスト全選択	စာသားအားလုံးကိုရွေးချယ်ပါ
テキスト選択	စာသားကိုရွေးချယ်ပါ
デバッガー起動ログ、デバッガー妨害	ဒက်ဘဂ်ဂါ စတင်လည်ပတ်မှု မှတ်တမ်း၊ ဒက်ဘဂ်ဂါ ထိခိုက်မှု
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	ဒီကြောင့် debug မုဒ်သည် အသုံးပြုသူအတွက် နည်းနည်း မသက်သာတော့ဘဲ debugger စတင်ဖွင့်ထားကြောင်းကို မှတ်တမ်းတင်ပြသသည်။ သို့သော် အချို့သော ဘရောက်ဇာများက ဤအပြုအမူကို တားဆီးနိုင်ပါသည်။
リダイレクトするURL	လမ်းကြောင်းပြောင်း URL
利用規約などのページに転送すると良いでしょう	အသုံးပြုသူများကို အသုံးပြုခွင့်စည်းမျဉ်းများကဲ့သို့သော စာမျက်နှာများသို့ ပြန်လည်ညွှန်ပြသင့်သည်။
空欄にすると元のURLにリダイレクトをします	အကယ်၍ အလွတ်ထားပါက မူလ URL သို့ ပြန်လည်ညွှန်ပြမည်။
リダイレクトまでの時間	ပြန်လမ်းညွှန်ရန်အချိန်
リダイレクトなし	ပြန်လည်ညွှန်ပြခြင်းမရှိပါ
1秒	၁ စက္ကန့်
2秒	၂ စက္ကန့်
3秒	၃ စက္ကန့်
4秒	၄ စက္ကန့်
5秒	၅ စက္ကန့်
6秒	၆ စက္ကန့်
7秒	၇ စက္ကန့်
8秒	၈ စက္ကန့်
9秒	၉ စက္ကန့်
10秒	၁၀ စက္ကန့်
15秒	၁၅ စက္ကန့်
20秒	၂၀ စက္ကန့်
25秒	၂၅ စက္ကန့်
30秒	၃၀ စက္ကန့်
35秒	၃၅ စက္ကန့်
40秒	၄၀ စက္ကန့်
45秒	၄၅ စက္ကန့်
50秒	၅၀ စက္ကန့်
55秒	၅၅ စက္ကန့်
1分	၁ မိနစ်
1分10秒	၁ မိနစ် ၁၀ စက္ကန့်
1分20秒	၁ မိနစ် ၂၀ စက္ကန့်
1分30秒	၁ မိနစ် ၃၀ စက္ကန့်
1分40秒	၁ မိနစ် ၄၀ စက္ကန့်
1分50秒	၁ မိနစ် ၅၀ စက္ကန့်
2分	၂ မိနစ်
ソース表示を許可する権限	အရင်းအမြစ်ကုဒ် ကြည့်ရှုခွင့်
ADMINログイン時のみ通常のソース出力	ပုံမှန်အရင်းအမြစ်ထွက်ကို ADMIN အဖြစ် ဝင်ရောက်ထားသောအခါမှသာ ပြသမည်။
USERログインで通常のソース出力	USER အဖြစ် ဝင်ရောက်ထားသောအခါ ပုံမှန် ရင်းမြစ်ထွက်
通常のHTML出力を管理者のみかユーザーログインかを選択します	စံ HTML ထွက်ကို အုပ်ချုပ်သူများအတွက်သာ ကန့်သတ်မလား၊ သို့မဟုတ် အသုံးပြုသူ လော့ဂ်အင် လိုအပ်မလား ရွေးချယ်ပါ။
画像を無理やりダウンロードして実際にダウンロードされるもの	ပုံတစ်ပုံကို ဒေါင်းလုဒ်ဆွဲရန် အတင်းအကျပ်ပြုလုပ်ခြင်းနှင့် အမှန်တကယ် ဒေါင်းလုဒ်ဆွဲရသောအရာ
GIF形式で1×1ピクセルの透過画像	GIF ပုံစံဖြင့် 1×1 ပစ်ကစ်ရှယ် ပွင့်လင်းမြင်သာသော ပုံတစ်ပုံ
PNG形式で1×1ピクセルの透過画像	PNG ပုံစံဖြင့် 1×1 ပစ်ကစ်ရှယ် ပွင့်လင်းမြင်သာသော ပုံ
PNG形式で黄色い背景の警告画面	PNG ပုံစံဖြင့် အဝါရောင်နောက်ခံပါသော သတိပေး မျက်နှာပြင်
意味のないHTMLドキュメント	အဓိပ္ပါယ်မဲ့ HTML စာရွက်
HTML保護時のHEADタグの出力	HTML ကိုကာကွယ်ထားသောအခါ HEAD တက်၏ထွက်ပုံ
出力しない	မပုံနှိပ်ပါနှင့်
TITLEタグのみ	ခေါင်းစဉ် တက်ပဲ
WordpressのHEADタグより取得	WordPress HEAD တက်မှ ရယူထားသည်။
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	ကုမ္ပဏီအသုံးပြု အဖွဲ့ဝင်များအတွက်သာ အသုံးပြုနိုင်သည့် စာမျက်နှာများနှင့် အတွင်းပိုင်း စာမျက်နှာများအတွက် 'Do not output' သို့မဟုတ် 'TITLE tag only' ကို ရွေးချယ်ခြင်းဖြင့် လုံလောက်ပါသည်။
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	WordPress HEAD tag မှ သတင်းအချက်အလက် မယူပါက၊ လူမှုမီဒီယာပေါ်တွင် မျှဝေသည့်အခါ OGP ပုံ မပေါ်ပါလိမ့်မည်။
画像botをアクセス禁止にする	ပုံဘော့ကို ပိတ်ဆို့ပါ။
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	Image bot များကို HTML သို့ ဝင်ရောက်ခွင့် မပေးခြင်းဖြင့် image search မှတဆင့် တိုက်ရိုက်လင့်ခ်ခြင်းကြောင့် မကာကွယ်နိုင်ခဲ့သော အကြောင်းအရာများကို ကာကွယ်နိုင်သော်လည်း၊ ဤနည်းလမ်းသည် ပြည့်စုံသော ဖြေရှင်းချက် မဟုတ်ပါ။
AI学習用botをアクセス禁止にする	AI သင်ကြားရေးဘော့အတွက် ဝင်ရောက်ခွင့်ကို ပိတ်ဆို့ပါ။
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML အတွက် AI လေ့ကျင့်ရေးအတွက် ဖန်တီးထားသော ဘော့များကို မသုံးခြင်းဖြင့် အကြောင်းအရာကို AI မှ အသုံးမပြုစေရန် သေချာစေသော်လည်း၊ ၎င်းကို အပြည့်အဝ တားဆီး၍ မရနိုင်ပါ။
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	ဝက်ဘ်သိုလှောင်မှတ်တမ်းများနှင့် ဝက်ဘ်ပုံတူကူးယူမှုများသို့ ဝင်ရောက်ခြင်းကို တားဆီးပါ။
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	ကျွန်ုပ်တို့သည် အသုံးပြုသူ၏ ဆန္ဒအတိုင်း အလိုအလျောက် စုဆောင်းထားသော ဝက်ဘ်စာရွက်များနှင့် စကရင်ရှော့များကို ဝင်ရောက်ကြည့်ရှုခြင်းကို တားမြစ်ထားပါသည်၊ သို့သော် ၎င်းကို လုံးဝတားဆီး၍ မရနိုင်ပါ။
無効なUAをアクセス禁止にする	မမှန်ကန်သော user agent များကို ပိတ်ဆို့ပါ။
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	User agent စာကြောင်းတွင် မမှန်ကန်သော အက္ခရာများပါရှိပါက ဝင်ရောက်ခွင့်ကို တားဆီးသည်။
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	Internet Explorer နှင့် အဟောင်း Microsoft Edge
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	Internet Explorer နှင့် အဟောင်း Microsoft Edge မှ ဝင်ရောက်ခြင်းကို တားဆီးသည်။
alertメッセージを表示する言語	သတိပေးစာများ ပြသသည့် ဘာသာစကား
Wordpressの言語	WordPress ဘာသာစကားများ
ブラウザの設定言語	ဘရောက်ဇာဘာသာစကားဆက်တင်များ
メッセージをカスタム設定されている場合は言語を変更できません	မက်ဆေ့ခ်ျများကို စိတ်ကြိုက်ပြင်ဆင်ထားပါက ဘာသာစကားကို မပြောင်းလဲနိုင်ပါ။
同意画面の言語	သဘောတူခွင့်ပေး မျက်နှာပြင်၏ ဘာသာစကား
view-sourceメッセージを表示する言語	'view-source' မက်ဆေ့ခ်ျကို ပြသမည့် ဘာသာစကား
一時使用トークンの有効期限	ယာယီ တိုကင်များ၏ သက်တမ်းကုန်ဆုံးရက်
3分	၃ မိနစ်
4分	၄ မိနစ်
5分	၅ မိနစ်
6分	၆ မိနစ်
7分	၇ မိနစ်
8分	၈ မိနစ်
9分	၉ မိနစ်
10分	၁၀ မိနစ်
15分	၁၅ မိနစ်
20分	၂၀ မိနစ်
25分	၂၅ မိနစ်
30分	၃၀ မိနစ်
35分	၃၅ မိနစ်
40分	၄၀ မိနစ်
45分	၄၅ မိနစ်
50分	၅၀ မိနစ်
55分	၅၅ မိနစ်
1時間	တစ်နာရီ
画像URL情報の有効期限を設定します	ပုံ URL အချက်အလက်များအတွက် သက်တမ်းကုန်ဆုံးရက်ကို သတ်မှတ်ပါ။
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	တစ်ကြိမ်တင်ပြီးနောက်၊ ပုံ URL နှင့် ယာယီ token ကို မမှန်ကန်အောင် ပြုလုပ်မည်။
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	ပုံများကို တောင်းဆိုသည့်အခါ တင်သွင်းသော်လည်း သတ်မှတ်ထားသော အချိန်မတိုင်မီ ၃၀ စက္ကန့်အတွင်း အလိုအလျောက် တင်သွင်းမည်။
一時使用トークンのビット数	ယာယီ token တစ်ခုတွင် ပါဝင်သည့် bit အရေအတွက်
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	ယာယီ token ကို စကားဝှက်အဖြစ် အသုံးပြုပြီး ပုံ URL အချက်အလက်များကို ကုဒ်ဝှက်သည်။ ဤဆက်တင်သည် ၎င်း၏ ခိုင်မာမှုကို သတ်မှတ်သည်။
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	Drop-down မီနူးအောက်တွင် ပြသထားသော ရွေးချယ်စရာများသည် ပိုမိုအသေးစိတ်လာသည်နှင့်အမျှ ဆာဗာပေါ်တွင် ပိုမိုသော ဝန်တင်မှု ဖြစ်ပေါ်စေနိုင်ပြီး HTML ဒေတာပမာဏ ပိုများစွာ လွှဲပြောင်းပို့ဆောင်ရခြင်း ဖြစ်စေနိုင်သည်။
ハッシュ化アルゴリズム	ဟက်ရှ် အယ်လ်ဂိုရီသမ်
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	ယာယီ token ကို ဓာတ်ပုံ URL အချက်အလက်များကို ကုဒ်ဝှက်ရန် စကားဝှက်အဖြစ် အသုံးပြုသည်။ ဤလုပ်ငန်းစဉ်တွင် hashing လိုအပ်ပြီး၊ ဤဆက်တင်သည် ထို hashing ၏ ခိုင်မာမှုကို သတ်မှတ်ပေးသည်။
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	ရွေးချယ်စရာစာရင်း
基本設定	အခြေခံဆက်တင်များ
高度な設定	အဆင့်မြင့်ဆက်တင်များ
初期設定に戻す	မူလဆက်တင်များကို ပြန်လည်သတ်မှတ်ပါ။
デザイン・音の設定	ဒီဇိုင်းနှင့် အသံဆက်တင်များ
イベントの設定	ပွဲဆက်တင်များ
初回訪問時のお知らせの設定	ပထမဆုံးအကြိမ် လည်ပတ်မှုများအတွက် အသိပေးချက်များ စီစဉ်ခြင်း
メッセージの設定	မက်ဆေ့ခ််ဆက်တင်များ
右クリックやソースコード表示時に転送する URL を設定します	ညာဘက်ကလစ်နှိပ်ခြင်း သို့မဟုတ် အရင်းအမြစ်ကုဒ်ကြည့်ရှုခြင်းအခါ ဖွင့်မည့် URL ကို သတ်မှတ်ပါ။
警告メッセージにはHTMLは使用できません	သတိပေးစာများတွင် HTML ကို အသုံးပြု၍ မရပါ။
この画面で設定すると、高度な設定タブにある言語設定が無視されます	ဤမျက်နှာပြင်တွင် ဤကို ပြင်ဆင်ပါက Advanced တက်ဘ်ရှိ ဘာသာစကားဆက်တင်များကို မထည့်သွင်းစဉ်းစားပါ။
以下の文字列が使用できます	အောက်ပါ စာကြောင်းများကို အသုံးပြုနိုင်ပါသည်။
改行	ကြောင်းခွဲ
押下されたキー	သော့နှိပ်ခြင်း
Neo HTML Protector 設定	နီယို HTML ကာကွယ်ရေးဆက်တင်များ
お知らせ	သတိပေးချက်
メッセージ	မက်ဆေ့ခ်ျ
デザイン・音	ဒီဇိုင်းနှင့် အသံ
初期化	အစပြုခြင်း
このプラグインについて	ဤပလပ်ဂင်အကြောင်း
設定が初期化されました	ဆက်တင်များကို ပြန်လည်သတ်မှတ်ထားပါသည်။
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	ပလပ်ဂင်ကို စတင်ဖွင့်ပါ။ ဤအဆင့်တွင် IP Log Reader ဒေတာများကို ဖျက်မပစ်ကြောင်း သတိပြုပါ။
Neo HTML Protectorについて	Neo HTML Protector အကြောင်း
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	ဤပလပ်ဂင်သည် သင့် WordPress ဆိုဒ်မှ ထုတ်လုပ်သည့် HTML၊ ပုံများနှင့် အခြားအကြောင်းအရာများကို မခွင့်ပြုထားသော အသုံးပြုမှုများမှ ကာကွယ်ရန် ဒီဇိုင်းထုတ်ထားသည်။
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	အကြောင်းအရာကို အပြည့်အဝ ကာကွယ်ရန် မဖြစ်နိုင်ပါ။ သို့သော် ဖြစ်နိုင်သမျှ နေရာတိုင်းတွင် သတိပေးချက်များ ထုတ်ပြန်ကာ မည်သည့်ဖြစ်ရပ်မျှ ဖြစ်ပေါ်လာပါက ကြိုတင်ပြင်ဆင်ထားခြင်းဖြင့် အစိုးရက သတ်မှတ်ထားသည့် လုပ်ထုံးလုပ်နည်းများအတိုင်း ဖြေရှင်းနိုင်ပါလိမ့်မည်။
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	သင့်ဝန်ဆောင်မှုစည်းမျဉ်းများနှင့်ဆိုက်မူဝါဒများသည် ပြည့်စုံစွာ ဖော်ပြထားရှိရန် လိုအပ်ပါသည်။ ဤပလပ်ဂင်သည် ဝန်ဆောင်မှုစည်းမျဉ်းများ ဖန်တီးပေးသည့် ကိရိယာ မဟုတ်ပေမယ့် အကြံဉာဏ်အချို့ ပေးနိုင်ပါသည်။
開発者: 夜桜　なの	ဖွံ့ဖြိုးသူ: နာနို ယိုဇာကူရာ
バージョン	ဗားရှင်း
ビルド	တည်ဆောက်
サポートページ	ထောက်ပံ့မှု စာမျက်နှာ
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	မစ္စ ယူရာ မနီရာက သရုပ်ဆောင်ထားသည်။
支援のお願い	အကူအညီတောင်းဆိုခြင်း
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector ကို အသုံးပြုပေးတဲ့အတွက် ကျေးဇူးတင်ပါတယ်။
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	ဤပလပ်ဂင်ကို ဖွံ့ဖြိုးတိုးတက်အောင်နှင့် ထိန်းသိမ်းပြုပြင်ရန် အချိန်နှင့် ကြိုးပမ်းအားထုတ်မှုများ များစွာ လိုအပ်ခဲ့ပါသည်။ ဆက်လက်တိုးတက်အောင် မြှင့်တင်ခြင်းနှင့် အပ်ဒိတ်လုပ်ခြင်းများ ဆောင်ရွက်နိုင်ရန် ရန်ပုံငွေစုဆောင်းရာတွင် ကျွန်ုပ်တို့အား ထောက်ပံ့နိုင်သူ မည်သူမဆို လှူဒါန်းပေးပါက အထူးကျေးဇူးတင်ရှိပါသည်။
寄付について	လှူဒါန်းခြင်းအကြောင်း
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	လှူဒါန်းခြင်းသည် လုံးဝ စိတ်ကြိုက်ဖြစ်ပြီး မလိုအပ်ပါ။ ဤ plugin ကို မည်သူမဆို အခမဲ့ အသုံးပြုနိုင်ပါသည်။ သို့သော် ဖွံ့ဖြိုးတိုးတက်ရေးကို ဆက်လက်ဆောင်ရွက်နိုင်ရန် သင့်ထောက်ခံမှုကို အထူးကျေးဇူးတင်ရှိပြီး၊ သင့်နိုင်သမျှ လှူဒါန်းပေးနိုင်ပါက ဝမ်းသာပါမည်။
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	အောက်ပါလင့်ခ်မှတဆင့် လှူဒါန်းနိုင်ပါသည်။ ဂျပန်တွင် တည်နေထိုင်သူများအတွက် အခမဲ့လှူဒါန်းနိုင်ပြီး၊ Amazon လက်ဆောင်ကတ်များကိုလည်း အသုံးပြု၍ လွယ်ကူစွာ လှူဒါန်းနိုင်ပါသည်။
寄付先	အလှူအဖွဲ့များ
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	သင့်ထောက်ခံမှုဖြင့် ကျွန်ုပ်တို့သည် ထူးချွန်သော အပ်ဒိတ်အသစ်များကို ဆက်လက်ပို့ဆောင်နိုင်ရန် အကောင်းဆုံးကြိုးပမ်းပါမည်။
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	သင့်ထောက်ခံမှုအတွက် ကျွန်ုပ်တို့ ကျေးဇူးတင်ရှိပြီး အနာဂတ်တွင်လည်း ဆက်လက်ထောက်ခံပေးမည်ကို မျှော်လင့်ပါသည်။
ライセンス	လိုင်စင်
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	ဤပလပ်ဂင်ကို အခမဲ့ရင်းမြစ်ဆော့ဖ်ဝဲအဖြစ် ဖွံ့ဖြိုးထားပြီး GPLv2.0 သို့မဟုတ် နောက်ထပ်ဗားရှင်းများအောက်တွင် လိုင်စင်ပြုထားသည်။
このプラグインに含まれるいくつかの技術は特許保護の対象です。	ဤပလပ်ဂင်တွင် ပါဝင်သော နည်းပညာအချို့ကို မူပိုင်ခွင့်များဖြင့် ကာကွယ်ထားသည်။
特許技術の使用は、このプラグイン内での使用に限って認められます。	မူပိုင်ခွင့်ရရှိထားသော နည်းပညာကို ဤ plug-in အတွင်း၌သာ အသုံးပြုခွင့်ပြုသည်။
その他の使用については、作者に連絡して商用ライセンスを取得してください。	အခြားအသုံးပြုလိုပါက စီးပွားရေးလိုင်စင်ရယူရန် စာရေးသူထံ ဆက်သွယ်ပါ။
本プラグインには以下のライブラリを同梱しています	ဤပလပ်ဂင်တွင် အောက်ပါ စာကြည့်တိုက်များ ပါဝင်သည်။
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	ဤပလပ်ဂင်တွင် အောက်တွင် ဖန်တီးထားသော ASCII အနုပညာ ဖောင့်များနှင့် ဖောင့်ဖိုင်များကိုပါ ထည့်သွင်းထားသည်။
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	ဤပလပ်ဂင်တွင် EJ Co., Ltd. မှ ဖန်တီးပြီး ပလပ်ဂင်ဖန်တီးသူက တေးဂီတရေးသားထားသည့် တရားဝင်မဟုတ်သော Super Famicom ဂိမ်း 'SM Trainer Hitomi 3' ၏ တေးဂီတများ ပါဝင်ပြီး တရားဝင်လိုင်စင်ရရှိထားပါသည်။
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	ဤပလပ်ဂင်တွင် Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	ဤပလပ်ဂင် ဖွံ့ဖြိုးတိုးတက်ရေးတွင် ကျွန်ုပ်သည် Raspberry Pi 5၊ ChatGPT နှင့် DeepL ကိုလည်း အသုံးပြုခဲ့ပါသည်။
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	ကက်ရှ်ပလပ်ဂင်တစ်ခု တွေ့ရှိထားသည်။ ကက်ရှ်ပလပ်ဂင်ကို ဖွင့်ထားပါက ဤပလပ်ဂင်သည် မှန်ကန်စွာ လည်ပတ်မည်မဟုတ်ပါ။
無効なIPアドレス	မမှန်ကန်သော IP လိပ်စာ
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	ဤဝက်ဘ်ဆိုဒ်ကို အသုံးပြုရန် cookie များနှင့် JavaScript ကို ဖွင့်ထားရမည်။
利用規約	အသုံးပြုခွင့်သတ်မှတ်ချက်များ
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	ခွင့်မပြုထားသော အသုံးပြုမှုများကို တားဆီးကာ ကျွန်ုပ်တို့၏ ဝန်ဆောင်မှုများ၏ လုံခြုံစိတ်ချစွာ လည်ပတ်နိုင်ရေးအတွက် ဤဝက်ဘ်ဆိုဒ်တွင် IP လိပ်စာများ၊ ကြည့်ရှုမှတ်တမ်းများနှင့် လှုပ်ရှားမှုမှတ်တမ်းများကဲ့သို့သော အချက်အလက်များကို ကွကီများနှင့် ဒေတာဘေ့စ်များတွင် သိမ်းဆည်းနိုင်ပါသည်။ ဤအချက်အလက်များကို ဝက်ဘ်ဆိုဒ် လည်ပတ်ရေးနှင့် ဥပဒေရေးရာ ရည်ရွယ်ချက်များအတွက်သာ အသုံးပြုပြီး တတိယပါတီများထံ မဖော်ပြပါ။
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	ဤဝန်ဆောင်မှုကို အသုံးပြုရန် သင်သည် ဤဒေတာဆိုင်ရာ လုပ်ငန်းစဉ်များအား သဘောတူရမည်။
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	သင်သည် သဘောတူညီချက်ပေးထားခြင်းရှိမရှိမရွေး ကိုယ်ရေးအချက်အလက်ကာကွယ်ရေးမူဝါဒ၏ အကြောင်းအရာများကို ကြည့်ရှုနိုင်ပါသည်။
同意する	ကျွန်ုပ် သဘောတူပါသည်။
同意しない	ကျွန်ုပ် သဘောမကျပါ။
確認	အတည်ပြုခြင်း
プライバシーポリシー	ကိုယ်ရေးကိုယ်တာလုံခြုံရေးမူဝါဒ
通常とは異なる方法でのアクセスや操作が検出されました	ထူးဆန်းသော ဝင်ရောက်မှု သို့မဟုတ် လှုပ်ရှားမှု တစ်ခုကို တွေ့ရှိထားသည်။
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	လုံခြုံရေးနှင့် အကြောင်းအရာကာကွယ်ရေး ရည်ရွယ်ချက်များအတွက် အချို့သော လုပ်ဆောင်ချက်များကို ကန့်သတ်ထားသည်။
デバッグモード、コンソールの起動は禁止されています	စစ်ဆေးမှုမုဒ်နှင့် ကွန်ဆိုးလ် ဝင်ရောက်ခွင့် ပိတ်ထားသည်။
以下の情報がサーバーに送信されました	အောက်ပါအချက်အလက်များကို ဆာဗာသို့ ပို့ပြီးပါပြီ။
あなたのIPアドレス	သင့် IP လိပ်စာ
あなたの端末とブラウザ	သင့်စက်ပစ္စည်းနှင့် ဘရောက်ဇာ
あなたの押下したキー	သင်နှိပ်ခဲ့သော သော့
リダイレクトをします	သင်အား ပြန်လည်ညွှန်ပြမည်။
コンテンツ保護のため一部の機能を制限しています	အချို့သော လုပ်ဆောင်ချက်များကို အကြောင်းအရာကို ကာကွယ်ရန် ကန့်သတ်ထားသည်။
右クリックは禁止されています	ညာဘက်ကလစ်ခွင့်မပြုပါ။
あなたが押下したキー	သင်နှိပ်ခဲ့သော သော့
印刷、PDFへの保存は禁止されています	ပုံနှိပ်ခြင်းနှင့် PDF အဖြစ် သိမ်းဆည်းခြင်း တားမြစ်ထားသည်။
スクリーンショットは禁止されています	စခရင်ရှော့များ ရိုက်ကူးခြင်း တားမြစ်ထားသည်။
スクリーンショット、デバッグモード等の起動は禁止されています	စကရင်ရှော့ယူခြင်းနှင့် ဒက်ဘတ်မုဒ်ဖွင့်ခြင်းကို တားမြစ်ထားသည်။
ページの保存は禁止されています	ဤစာမျက်နှာကို သိမ်းဆည်းခြင်း တားမြစ်ထားသည်။
コピー、カットは禁止されています	ကူးယူခြင်းနှင့် ဖြတ်တောက်ခြင်း တားမြစ်ထားသည်။
あなたが起こしたイベント	သင် စီစဉ်ခဲ့သော အခမ်းအနားများ
テキストの選択は禁止されています	စာသားရွေးချယ်ခြင်း ခွင့်မပြုပါ။
HTMLソース表示は禁止されています	HTML မူရင်းကုဒ် ပြသခြင်း တားမြစ်ထားသည်။
不正アクセスは禁止されています	ခွင့်မပြုဘဲ ဝင်ရောက်ခြင်း တားမြစ်ထားသည်။
アフリカーンス語	အာဖရိကန်စ်ဘာသာစကား
アラゴン語	အာရာဂွွန်ဘာသာစကား
アラビア語	အာရဗျဘာသာ
アッサム語	အာဆမ်ဘာသာစကား
アゼルバイジャン語	အဇာဘိုင်ဂျန်ဘာသာ
バシュキール語	ဘက်ရှ်ကီး
ベラルーシ語	ဘီလာရုစ်ဘာသာစကား
ベンガル語	ဘင်ဂလီ
ブルガリア語	ဘူလ်ဂေးရီးယားဘာသာ
ボスニア語	ဘော့စ်နီးယားဘာသာစကား
カタロニア語	ကက်တလန်ဘာသာစကား
チェコ語	ချက်
ウェールズ語	ဝေလ်ရှ်
デンマーク語	ဒိန်းမတ်
ドイツ語	ဂျာမန်
現代ギリシア語	ခေတ်သစ်ဂရိ
英語	အင်္ဂလိပ်
イギリス英語	ဗြိတိသျှအင်္ဂလိပ်
アメリカ英語	အမေရိကန်အင်္ဂလိပ်
エスペラント語	အက်စ်ပါရန်တို
スペイン語	စပိန်ဘာသာ
エストニア語	အက်စ်တိုနီးယားဘာသာစကား
バスク語	ဘာစ့ခ်
ペルシャ語	ပားရှန်
フィンランド語	ဖင်လန်ဘာသာ
フランス語	ပြင်သစ်
アイルランド語	အိုင်ယာလန်
ガリシア語	ဂါလီစီယန်
グァラニ語	ဂွာရာနီ
グジャラート語	ဂူဂျာတီ
ハウサ語	ဟောဆို
ヘブライ語	ဟေဘရူး
ヒンディ語	ဟိန္ဒီ
クロアチア語	ခရိုအေးရှားဘာသာ
ハイチ・クレオール語	ဟေတီကရီးယိုလ်
ハンガリー語	ဟန်ဂေရီဘာသာ
インドネシア語	အင်ဒိုနီးရှားဘာသာ
イボ語	အိုင်ဘိုဘာသာစကား
アイスランド語	အိုက်စ်လန်ဘာသာ
イタリア語	အီတလီ
日本語	ဂျပန်ဘာသာ
ジャワ語	ဂျာဗနီစ်
カザフ語	ကာဇက်
朝鮮語	ကိုရီးယား
クルド語	ကူဒ်ဘာသာစကား
キルギス語	ကစ်ဂျစ်
ラテン語	လတ်တင်ဘာသာ
ルクセンブルク語	လစ်စ်ဘတ်စ်ရှ်
リンガラ語	လင်ဂါလာ
リトアニア語	လစ်သူအေးနီးယား
ラトビア語	လတ်ဗီးယားဘာသာစကား
マダガスカル語	မာလာဂီ
マオリ語	မာအိုရီ
マケドニア語	မက်ဆီဒိုးနီးယားဘာသာ
マラヤーラム語	မလေးအယ်လမ်
モンゴル語	မန်ဂိုလျားဘာသာ
マラーティー語	မာရသီ
マレー語	မလေး
マルタ語	မော်လ်တာဘာသာစကား
ビルマ語	ဗမာ
ネパール語	နီပေါလီ
ノルウェー語	နော်ဝေဂျီယံ
オランダ語	ဒတ်ချ်
オック語	အိုခ်စ်တန်
オロモ語	သို့မဟုတ်
パンジャーブ語	ပန်ဂျာဘီ
