設定	Mîheng
開発者: 夜桜　なの	Pêşvebir: Nano Yozakura
バージョン	Guherto
ビルド	Avakirin
サポートページ	Rûpela piştgiriyê
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Ji aliyê Xanim Ura Manira ve hatiye pêşkêşkirin
支援のお願い	Daxwazeke piştgiriyê
Neo HTML Protectorをご利用いただき、ありがとうございます！	Spas ji bo bikaranîna Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Pêşxistin û parastina vê pêvekê gelek dem û hewldan jê re pêwîst bûye, û ji bo komkirina fonan da ku em berdewam bikin li ser başkirin û nûjenkirina wê, em ê spasdar bin heke kesên ku dikarin piştgiriya me bikin, li ser dayîna bexşekê bifikirin.
寄付について	Derbarê Bexşan
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Beşxîn bi tevahî dilxwazî ye û ne mecbûrî ye. Pêveka ji bo her kesî belaş e. Lêbelê, em ji bo piştgiriya we gelek spasdar in da ku alîkariya me bikin ku em pêşveçûnê bidomînin, û em ê pir kêfxweş bibin heke hûn bikaribin her çend bi mîqdarek piçûk jî beşdar bibin.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Hûn dikarin bi rêya lînka jêrîn bexşekê bikin. Heke hûn li Japonyayê ne, hûn dikarin bêpere bexş bikin, û herwiha hûn dikarin bi hêsanî bi bikaranîna vawçerên diyariyê yên Amazonê bexş bikin.
寄付先	Xêrxwazî
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Bi piştgiriya we, em ê çi ji destê me tê bikin da ku nûvekirinên fantastîk ji we re bînin!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Em ji bo piştgiriya we spasdar in û di pêşerojê de li hêviya berdewamiya piştgiriya we ne.
ライセンス	Lîsans
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Ev pêvek wekî nermalaveke çavkanî-vekirî hatiye pêşxistin û di bin lîsansa GPLv2.0 an jî ya paşê de ye.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Hin teknolojiyên di vê pêvekê de cih digirin, bi patentan parastî ne.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Bikaranîna teknolojiya patentkirî tenê di nav vê pêveka de destûrdayî ye.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Ji bo her bikaranîneke din, ji kerema xwe bi nivîskar re têkilî daynin da ku lîsanseke bazirganî werbigirin.
本プラグインには以下のライブラリを同梱しています	Ev pêvek pirtûkxaneyên jêrîn dihewîne.
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Ev pêvek, fontên hunera ASCII yên ku li jêr hatine çêkirin, ligel pelên fontan dihewîne.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Ev pêvek muzîka lîstika nefermî ya Super Famicomê 'SM Trainer Hitomi 3', ku ji aliyê EJ Co., Ltd. ve hatiye pêşxistin û ji aliyê afirînerê vê pêvekê ve hatiye bestekirin, dihewîne, û bi awayekî fermî lîsansdar e.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Ev pêvek rêzikên ku bi 'Keppy's YAMAHA C7', ya ku ji aliyê Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Min her wiha Raspberry Pi 5, ChatGPT û DeepL di pêşxistina vê pêvekê de bi kar aniye.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Plugîneke keşê hatiye tespîtkirin. Heke plugîneke keşê çalak be, ev plugin dê rast nexebite.
無効なIPアドレス	Navnîşana IP'yê ne derbasdar e
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Ji bo bikaranîna vê malperê, divê hûn cookies û JavaScriptê çalak bikin.
利用規約	Mercên Bikaranînê
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Ji bo pêşîlêgirtina bikaranîna bêdestûr û misogerkirina xebata ewle ya xizmetên me, ev malper dibe ku agahiyên wekî navnîşanên IP'yê, dîroka gerandinê û tomarên çalakiyê di çerezan
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Ji bo bikaranîna vê xizmetê, divê hûn destûrê bidin van çalakiyên pêvajoyê.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Hûn dikarin naveroka Polîtîkaya Nepenîtiyê bibînin, çi hûn razî bûbin çi nebûbin.
同意する	Ez razî me
同意しない	Ez ne razî me
確認	Pejirandin
プライバシーポリシー	Polîtîkaya Nepenîtiyê
通常とは異なる方法でのアクセスや操作が検出されました	Gihîştin an çalakiyeke neasayî hatiye tespîtkirin.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Hin taybetmendî ji bo armancên ewlehî û parastina naverokê hatine sînordarkirin.
デバッグモード、コンソールの起動は禁止されています	Modêya debugê û gihîştina konsolê hatine neçalakirin.
以下の情報がサーバーに送信されました	Agahiyên jêrîn ji serverê re hatin şandin.
あなたのIPアドレス	Navnîşana te ya IP'yê
あなたの端末とブラウザ	Amûr û geroka we
あなたの押下したキー	Mifteya ku te pêl lê kir
リダイレクトをします	Hûn ê bên beralîkirin
コンテンツ保護のため一部の機能を制限しています	Hin taybetmendî ji bo parastina naverokê hatine sînordarkirin.
右クリックは禁止されています	Tikandina rastê nayê destûrdan.
あなたが押下したキー	Mifteya ku te pêl lê kir
印刷、PDFへの保存は禁止されています	Çapkirin û tomarkirina wekî PDF qedexe ye.
スクリーンショットは禁止されています	Girtina wêneyan qedexe ye.
スクリーンショット、デバッグモード等の起動は禁止されています	Girtina dîmenan û çalakkirina moda debugê qedexe ne.
ページの保存は禁止されています	Tomarkirina vê rûpelê qedexe ye
コピー、カットは禁止されています	Kopîkirin û jêbirin qedexe ne.
あなたが起こしたイベント	Bûyerên ku we organîze kirine
テキストの選択は禁止されています	Hilbijartina nivîsê destûr nayê dayîn.
HTMLソース表示は禁止されています	Nîşandana koda çavkaniyê ya HTMLê qedexe ye.
不正アクセスは禁止されています	Gihîştina bêdestûr qedexe ye.
アフリカーンス語	Afrîkansî
アラゴン語	Aragonî
アラビア語	Erebî
アッサム語	Asamî
アゼルバイジャン語	Azərbaycanî
バシュキール語	Serok
ベラルーシ語	Belarûsî
ベンガル語	Bengalî
ブルガリア語	Bulgari
ボスニア語	Bosnî
カタロニア語	Katalanî
チェコ語	Çekî
ウェールズ語	Welsî
デンマーク語	Danîmarkî
ドイツ語	Almanî
現代ギリシア語	Yewnanî ya nûjen
英語	Îngilîzî
イギリス英語	Îngilîzî
アメリカ英語	Îngilîzî ya Amerîkî
エスペラント語	Hêvîdar
スペイン語	Spanyolî
エストニア語	Estonî
バスク語	Baskî
ペルシャ語	Farisî
フィンランド語	Fînlandî
フランス語	Fransî
アイルランド語	Îrlandî
ガリシア語	Galiyî
グァラニ語	Guarani
グジャラート語	Gujaratî
ハウサ語	Soranî
ヘブライ語	Îbranî
ヒンディ語	Hindî
クロアチア語	Xirvatî
ハイチ・クレオール語	Kreyola Haîtî
ハンガリー語	Macarî
インドネシア語	Endonezyayî
イボ語	Zimanê Îbo
アイスランド語	Îzlandî
イタリア語	Îtalî
日本語	Yaponî
ジャワ語	Civakî
カザフ語	Kazaxî
朝鮮語	Koreyî
クルド語	Kurdî
キルギス語	Kîrgîzî
ラテン語	Latînî
ルクセンブルク語	Luksembûrgî
リンガラ語	Zimanê Lingala
リトアニア語	Lîtvanyî
ラトビア語	Latvî
マダガスカル語	Malagasy
マオリ語	Maorî
マケドニア語	Makedonî
マラヤーラム語	Zimanê Malayalam
モンゴル語	Mongolî
マラーティー語	Zimanê Maratî
マレー語	Zimanê Malayî
マルタ語	Maltî
ビルマ語	Birmanyî
ネパール語	Nepalî
ノルウェー語	Norwêcî
オランダ語	Hollendî
オック語	Oksîtanî
オロモ語	An jî
パンジャーブ語	Pencabî
ポーランド語	Polonî
パシュトー語	Piştî
ポルトガリア語	Portugalî
ブラジルポルトガル語	Portekîzî ya Brezîlyayî
ヨーロピアンポルトガル語	Portugalîya Ewropî
ケチュア語	Qehweya
ルーマニア語	Romanî
ロシア語	Rûsî
サンスクリット語	Sanskrit
スロバキア語	Slovakî
スロベニア語	Slovenî
セルビア語	Serbî
南セソト語	Bakarê Başûr
スンダ語	Sûndanî
スウェーデン語	Swêdî
スワヒリ語	Swahîlî
タミル語	Tamîlî
テルグ語	Telûgû
タジク語	Tacîk
タイ語	Taylandî
トルクメン語	Tirkmenî
タガログ語	Tagalog
トルコ語	Tirkî
タタール語	Tat
ウクライナ語	Ukraynî
ウルドゥー語	Zimanê Urdûyî
ウズベク語	Ûzbek
ベトナム語	Viyetnamî
コサ語	Tişta ku ji bîr dibe
イディッシュ語	Yîdîş
簡体中国語	Çînîya hêsankirî
繁体中国語	Çînîya kevneşopî
ズールー語	Zimanê Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Geroka ku hûn niha bi kar tînin versiyoneke kevnar e ku êdî nayê piştgirîkirin. Ji bo ku hûn serpêhatiyeke gerandinê ya ewletir û rehtir bijîn, ji kerema xwe geroka xwe nûve bikin bo versiyona herî dawî.
不正なリクエストです	Daxwaza ne derbasdar
画像が見つかりません	Wêne nehat dîtin
