設定	Paramètres
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Aqueste plugin inclutz las fonts d'art ASCII generadas çai jos, amb los fichièrs de las fonts.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Aqueste plugin inclutz de musica del jòc Super Famicom non oficial «SM Trainer Hitomi 3», desvolopat per EJ Co., Ltd. e compausada pel creator d'aqueste plugin, e es oficialament licenciat.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Aqueste plugin inclutz de pistas creadas amb «Keppy's YAMAHA C7», desvolopadas per Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Ai tanben utilizat un Raspberry Pi 5, ChatGPT e DeepL dins lo desvolopament d'aqueste plugin.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Un plugin de cache a estat detectat. Aqueste plugin foncionarà pas corrèctament se un plugin de cache es activat.
無効なIPアドレス	Adreça IP invalida
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Per utilizar aqueste sit web, cal activar los cookies e JavaScript.
利用規約	Condicions d'utilizacion
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Per evitar l'usatge non autorizat e assegurar lo foncionament segur de nòstres servicis, aqueste sit web pòt emmagatzemar d'informacions coma las adreças IP, l'istòria de navigacion e los registres d'activitat dins de cookies e de basas de donadas. Aquestas informacions son utilizadas unicament pel foncionament del sit web e per de fins legals, e seràn pas divulgadas a de tèrces.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Per utilizar aqueste servici, devètz consentir a aquelas activitats de tractament.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Podètz consultar lo contengut de la Politica de Confidencialitat, que siatz o non consentit.
同意する	Soi d'acòrdi
同意しない	Soi pas d'acòrdi
確認	Confirmacion
プライバシーポリシー	Politica de confidencialitat
通常とは異なる方法でのアクセスや操作が検出されました	Un accès o una activitat inabituala a estat detectada.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Cèrtas foncionalitats son estadas restrenchas per de rasons de seguretat e de proteccion del contengut.
デバッグモード、コンソールの起動は禁止されています	Lo mòde de depanatge e l'accès a la consola son desactivats.
以下の情報がサーバーに送信されました	Las informacions seguentas an estat mandadas al servidor.
あなたのIPアドレス	Vòstra adreça IP
あなたの端末とブラウザ	Vòstre aparelh e vòstre navegador
あなたの押下したキー	La clau que as premuda
リダイレクトをします	Seràs redirigit
コンテンツ保護のため一部の機能を制限しています	Cèrtas foncionalitats son estadas restrenchas per protegir lo contengut.
右クリックは禁止されています	Lo clic drech es pas permés
あなたが押下したキー	La clau que as premuda
印刷、PDFへの保存は禁止されています	L'impression e l'enregistrament en PDF son enebits.
スクリーンショットは禁止されています	Las capturas d'ecran son enebidas.
スクリーンショット、デバッグモード等の起動は禁止されています	Prene de capturas d'ecran e activar lo mòde de depanatge son interdichs.
ページの保存は禁止されています	Es prohibit d'enregistrar aquesta pagina.
コピー、カットは禁止されています	La còpia e lo talh son interdits.
あなたが起こしたイベント	Los eveniments que avètz organizats
テキストの選択は禁止されています	La seleccion de tèxt es pas permesa.
HTMLソース表示は禁止されています	Afichar lo còdi font d'HTML es enebit.
不正アクセスは禁止されています	L'accès non autorizat es prohibit
アフリカーンス語	Africà
アラゴン語	Aragonés
アラビア語	Arabi
アッサム語	Assamés
アゼルバイジャン語	Azerbaitjanés
バシュキール語	Bashkir
ベラルーシ語	Belarús
ベンガル語	Bengalés
ブルガリア語	Bulgari
ボスニア語	Bosniac
カタロニア語	Català
チェコ語	Tchec
ウェールズ語	Galés
デンマーク語	Danés
ドイツ語	Alemand
現代ギリシア語	Grèc modèrne
英語	Anglés
イギリス英語	Anglés britanic
アメリカ英語	Anglés american
エスペラント語	Espèrança
スペイン語	Espanhòl
エストニア語	Estonian
バスク語	Basco
ペルシャ語	Persan
フィンランド語	Finés
フランス語	Francés
アイルランド語	Irlandés
ガリシア語	Galician
グァラニ語	Guaraní
グジャラート語	Gujarati
ハウサ語	Hausa
ヘブライ語	Ebreu
ヒンディ語	Hindi
クロアチア語	Croat
ハイチ・クレオール語	Kreyòl ayisyen
ハンガリー語	Hongrès
インドネシア語	Indonesian
イボ語	Lenga ibo
アイスランド語	Islandés
イタリア語	Italià
日本語	Japonés
ジャワ語	Javanés
カザフ語	Cazaqu
朝鮮語	Corean
クルド語	Curd
キルギス語	Kirguís
ラテン語	Latin
ルクセンブルク語	Luxemburgués
リンガラ語	Língua
リトアニア語	Lituà
ラトビア語	Leton
マダガスカル語	Malagasià
マオリ語	Maori
マケドニア語	Macedonian
マラヤーラム語	Malaià
モンゴル語	Mongòl
マラーティー語	Maratès
マレー語	Malai
マルタ語	Malti
ビルマ語	Birman
ネパール語	Nepalés
ノルウェー語	Norvegian
オランダ語	Olandés
オック語	Occitan
オロモ語	Òm
パンジャーブ語	Panjabi
ポーランド語	Polonés
パシュトー語	Pashto
ポルトガリア語	Portugues
ブラジルポルトガル語	Portugués brasilièr
ヨーロピアンポルトガル語	Portugués europèu
ケチュア語	Quechua
ルーマニア語	Romanés
ロシア語	Rus
サンスクリット語	Sanskrit
スロバキア語	Eslovac
スロベニア語	Eslovèn
セルビア語	Sèrbe
南セソト語	Sesotho del Sud
スンダ語	Sundanés
スウェーデン語	Suec
スワヒリ語	Suaheli
タミル語	Tamil
テルグ語	Telugu
タジク語	Tajik
タイ語	Tailandés
トルクメン語	Turc
タガログ語	Tagalog
トルコ語	Turc
タタール語	Tatar
ウクライナ語	Ucraïnenc
ウルドゥー語	Urdu
ウズベク語	Ozbèc
ベトナム語	Vietnamian
コサ語	Pèls
イディッシュ語	Iídish
簡体中国語	Chinés simplificat
繁体中国語	Chinés tradicional
ズールー語	Zulu
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Lo navegador que utilizatz actualament es una version mai anciana que ja es pas mai suportada. Per una experiéncia de navigacion mai segura e mai confortabla, mercé d'actualizar vòstre navegador a la darrièra version.
不正なリクエストです	Demanda invalida
画像が見つかりません	Imatge pas trobada
