設定	Setting
不正操作検知のため、CookieおよびデータベースにIPアドレス等の識別子を保存する。保存されたデータは、管理者の任意のタイミングで削除を行う。	For the detection of unauthorised operations, cookies and identifiers such as IP addresses are stored in the database. The stored data is deleted at any time by the administrator.
画像保護が有効な場合のみ、画像を正常に保存するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Only when image protection is enabled, a hash of the IP address and image file name is stored in the database for up to 60 minutes in order to successfully store the image.
画像保護が有効な場合のみ、画像を正常に配信するため、IPアドレスと画像ファイル名をハッシュ化したデータをデータベースに最大60分間保存する。	Only when image protection is enabled, the hashed data of the IP address and image file name is stored in the database for up to 60 minutes in order to deliver the image successfully.
このサイトでは、不正防止や規約順守のため、IPアドレス、閲覧履歴、操作ログをCookieおよびデータベースに保存することがあります。これらはサイト運営および法的対応以外では使用せず、第三者には提供しません。	This website may store IP addresses, browsing history and operation logs in cookies and databases to prevent fraud and to comply with the terms and conditions. These will only be used for site operation and legal correspondence and will not be passed on to third parties.
サービスの利用には、これらのデータ処理に同意する必要があります。不同意の場合、サービスの利用が制限されます。	To use the services, you must consent to the processing of these data. In case of non-consent, the use of the service is restricted.
このサイトでは、不正利用の防止や規約の順守を目的に、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	This website may store information such as IP addresses, browsing history and operation logs in cookies and databases in order to prevent unauthorised use and to comply with the terms and conditions. This information is only used for the operation of the site and for legal correspondence and will not be passed on to third parties.
サービスの利用には、これらのデータ処理への同意が必要です。不同意の場合、サービスのご利用ができません。	Consent to the processing of these data is required to use the service. In case of non-consent, the service cannot be used.
初回表示で必ず表示されるメッセージです	This message is always displayed on the first display.
EU GDPRが有効の際のみ初回表示で必ず表示されるメッセージです	This message is always displayed on the first display only when EU GDPR is enabled.
お知らせの3行目	Line 3 of the notice.
プライバシーポリシーのリンクの右側に表示されます	It appears on the right-hand side of the privacy policy link
ご同意いただくことで、プライバシーポリシーを確認できます。	By agreeing, you can review the privacy policy.
同意画面の色	Colour of consent screen.
自動	Automatic
ライトモード	Light mode
ダークモード	Dark mode
同意画面表示中の配色を設定します	Set the colour scheme while the consent screen is displayed.
同意画面中のコンテンツのぼかし	Blurring of content during consent screens.
なし	Without
同意画面表示中のコンテンツのぼかし具合を設定します	Sets the blurring level of the content during the consent screen display.
同意画面の透過	Transparency of consent screen.
透過なし	Without transparency
同意画面の透過具合を設定します	Set the transparency of the consent screen.
EU圏内でWordpressを使用する場合、並びにEU圏内を対象とするには必ず有効にしてください	Must be enabled to use Wordpress in the EU and to target EU countries.
同意画面の言語	Language of consent screen.
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	This website may store information such as IP addresses, browsing history and operation logs in cookies and databases to prevent unauthorised use and to ensure the safe operation of the service. This information is only used for the operation of the site and for legal correspondence and will not be provided to third parties.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	In order to use the service, you must consent to these processes.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	The contents of the privacy policy can be viewed with or without consent.
