設定	विन्यासाः
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	स्वयंसंगृहीतानां जालपुस्तकागाराणां तथा उपयोगकर्तृनिर्णयेन गृहीतानां दृश्यचित्राणां प्रवेशं वयं निषेधामः; तथापि पूर्णतया निरोधं कर्तुं न शक्नुमः।
無効なUAをアクセス禁止にする	अमान्य उपयोगकर्तृ-प्रतिनिधीन् निरोधयतु।
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	यदि उपयोगकर्तृ-एजेंट्-स्ट्रिङ्गे अवैधलिप्याक्षराणि सन्ति तर्हि प्रवेशः निषेध्यते।
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	इंटरनेट् एक्स्प्लोरर् तथा पुरातनं माइक्रोसॉफ्ट् एज्
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	इंटरनेट् एक्सप्लोरर् तथा प्राचीन माइक्रोसॉफ्ट् एज् मार्गेण प्रवेशं निरोधयति।
alertメッセージを表示する言語	सा भाषा यया सतर्कता-सन्देशाः प्रदर्श्यन्ते।
Wordpressの言語	वर्डप्रेस् भाषाः
ブラウザの設定言語	अन्वेषकभाषाविन्यासाः
メッセージをカスタム設定されている場合は言語を変更できません	यदि सन्देशाः अनुकूलिताः स्युः तर्हि भाषा परिवर्तयितुं न शक्यते।
同意画面の言語	अनुमतिपटस्य भाषा
view-sourceメッセージを表示する言語	दृश्यस्रोतसन्देशस्य प्रदर्शनभाषा
一時使用トークンの有効期限	अस्थायी चिह्नानां समाप्ति दिनाङ्कः
3分	त्रिमिनिट्
4分	चत्वारि निमेषाः
5分	पञ्च निमेषानि
6分	षट् निमेषानि
7分	सप्त निमेषाः
8分	अष्ट निमेषानि
9分	नव निमेषानि
10分	दश निमेषानि
15分	पञ्चदश निमेषाः
20分	विंशतिमिनिट्
25分	पञ्चविंशत् निमेषानि
30分	त्रिंशत् निमेषानि
35分	पञ्चत्रिंशत् निमेषानि
40分	चत्वारिंशत् निमेषानि
45分	पञ्चचत्वारिंशत् निमेषाः
50分	पञ्चाशत् निमेषानि
55分	पञ्चपञ्चाशत् निमेषानि
1時間	एकः घण्टा
画像URL情報の有効期限を設定します	चित्र-यूआरएल्-सूचनायाः समाप्ति-दिनाङ्कं निश्चितयतु।
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	एकवारारोपिते चित्रस्य URL च अस्थायी टोकनः च अमान्यं भविष्यन्ति।
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	चित्राणि याचनेन लोडितानि भवन्ति, किन्तु निर्दिष्टसमयात् त्रिंशत् क्षणपूर्वं स्वयमेव लोडितानि भविष्यन्ति।
一時使用トークンのビット数	अस्थायी टोकनस्य बिट्-संख्या
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	चित्र-यूआरएल्-सूचनां गोपयितुं अस्थायीं चिह्नं गुप्तशब्दरूपेण प्रयुज्यते; अयं विन्यासः तस्य दृढता निर्दिशति।
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	यद्यपि अवतरणीयमेनुपट्टिकायाः अधस्तात् प्रदर्शिताः विकल्पाः क्रमशः अधिकविस्तृततराः भवन्ति, तथापि तेन सर्वरस्य अधिकभारः स्यात् तथा HTML-दत्तांशस्य अधिकपरिमाणस्य स्थानान्तरणं सम्भवति।
ハッシュ化アルゴリズム	हैश्-अल्गोरिद्म्
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	चित्र-यूआरएल्-सूचनां गोपयितुं अस्थायीं चिह्नं गुप्तशब्दरूपेण प्रयुज्यते; तस्मिन् क्रिप्टे हाशिंग् आवश्यकम्, एषा विन्यासः तस्य हाशिंगस्य दृढतां निर्धत्ते।
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	यद्यपि अवतरणीयमेनू-सूच्यां प्रदर्शितानां विकल्पानां मध्ये अधः स्क्रोल् कृत्वा तीव्रता वर्धते, तथापि एतत् सर्वरे अधिकं भारं वहति।
基本設定	मूलभूतविन्यासाः
高度な設定	उन्नतविन्यासाः
初期設定に戻す	प्राथमिकविन्यासान् पुनर्स्थापयतु
デザイン・音の設定	रूपरेखा च ध्वनि-विन्यासाः
イベントの設定	कार्यक्रमविन्यासाः
初回訪問時のお知らせの設定	प्रथमवारदर्शनानां सूचना-व्यवस्थापनम्
メッセージの設定	सन्देशविन्यासाः
右クリックやソースコード表示時に転送する URL を設定します	दक्षिणक्लिके वा स्रोतकोड् अवलोकने उद्घाटयितुं URL निर्धारितम्।
警告メッセージにはHTMLは使用できません	चेतावनीसन्देशेषु एच् टी एम् एल् उपयोगः न शक्यते।
この画面で設定すると、高度な設定タブにある言語設定が無視されます	यदि भवान् अस्मिन् पटले एतत् विन्यासं करोति तर्हि उन्नत-टैब् मध्ये भाषा-विन्यासाः उपेक्ष्यन्ते।
以下の文字列が使用できます	निम्नलिखिताः तन्तवः उपयुज्यन्ते।
改行	पङ्क्तिविरामः
押下されたキー	कुञ्जी दबिता
Neo HTML Protector 設定	नव एचटीएमएल् रक्षक-विन्यासाः
お知らせ	सूचना
メッセージ	सन्देशः
デザイン・音	रचना च ध्वनि
初期化	आरम्भिकीकरणम्
このプラグインについて	अस्य प्लगिन् विषये
設定が初期化されました	विन्यासाः पुनरारम्भिताः।
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	प्लगिन् आरम्भय।  कृपया मन्यताम् यत् अस्मिन् अवस्थायाम् आईपी लॉग् रीडर् दत्तांशः न विलोप्यते।
Neo HTML Protectorについて	नियो एचटीएमएल् रक्षकस्य विषये
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	अयं प्लगइन् भवतः वर्डप्रेस्-स्थलेन निर्मितं एच् टी एम् एल्, छायाचित्राणि च अन्यानि दत्तांशानि अनधिकृतोपयोगात् रक्षितुं अभिकल्पितम् अस्ति।
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	विषयवस्तुं पूर्णतया रक्षितुं अशक्यम्। तथापि यत्र शक्यते तत्र चेतावन्यानि प्रदातुं तथा यदि किञ्चिद् अपि घटते तर्हि पूर्वसज्जतां कुर्वन् वयं शासनद्वारा निर्दिष्टानुसारं विषयं समाधानं कर्तुं समर्थाः स्याम।
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	निश्चितम्, तव सेवा-शर्ताः च स्थलनीतयः च समग्ररूपेण स्युः इति त्वया सुनिश्चितव्यम्। यद्यपि एषः प्लगिन् सेवा-शर्ताः सृजितुं उपकरणम् नास्ति, तथापि सः किञ्चित् मार्गदर्शनं दातुं शक्नोति।
開発者: 夜桜　なの	विकासकः: नानो योझाकुरा
バージョン	संस्करणम्
ビルド	निर्माणं कुरु
サポートページ	समर्थनपृष्ठम्
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	मिस् उरा मनीरा द्वारा अभिनीतम्
支援のお願い	साहाय्याय याचना
Neo HTML Protectorをご利用いただき、ありがとうございます！	नियो एचटीएमएल् प्रोटेक्टरस्य उपयोगे धन्यवादाः।
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	अस्य प्लगिन्-स्य विकासः च संरक्षणं च महतीं कालं श्रमश्च अपेक्षितौ। तस्य निरन्तरं सुधारं अद्यतनं च कर्तुं निधिसंचयाय यः कश्चित् समर्थः अस्ति, यदि दानं दातुम् इच्छेत् तर्हि वयं कृतज्ञाः भविष्यामः।
寄付について	दानविषये
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	दानानि पूर्णतया ऐच्छिकानि, अनिवार्याणि न सन्ति।  प्लगिन् सर्वेभ्यः निशुल्कं उपलब्धः अस्ति।  तथापि विकासे निरन्तरं प्रयासाय भवतः समर्थनं अतीव प्रशंसनीयं अस्ति। यदि भवान् लघुमात्रं अपि दानं दातुं शक्नोति तर्हि वयं हृष्टाः भविष्यामः।
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	अधोलिङ्केन दानं कर्तुं शक्यते। यदि भवन्तः जापानदेशे वसन्ति, तर्हि निःशुल्कं दानं कर्तुं शक्यते, तथा अमेज़ॉन् उपहारवाउचरैः सुगमतया अपि दानं कर्तुं शक्यते।
寄付先	दानसंस्थाः
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	तव समर्थनेन वयं उत्तमान् नवीनान् समाचारान् निरन्तरं प्रदातुं यथाशक्ति प्रयत्नं करिष्यामः।
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	वयं भवतः साहाय्ये कृतज्ञाः स्मः च भविष्ये अपि भवतः अनवरतसाहाय्यस्य प्रतीक्षां कुर्मः।
ライセンス	अनुज्ञापत्रम्
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	अयं प्लगिन् मुक्तस्रोतसॉफ्टवेयररूपेण विकसितः अस्ति च GPLv2.0 वा ततः परवर्ती अन्तर्गत अनुज्ञाप्राप्तः अस्ति।
このプラグインに含まれるいくつかの技術は特許保護の対象です。	अस्मिन् प्लगिन् सम्मिलिताः केचन तन्त्रज्ञानाः पेटेन्टैः संरक्षिताः सन्ति।
特許技術の使用は、このプラグイン内での使用に限って認められます。	पेटेन्ट्-प्राप्त-प्रौद्योगिकीस्य उपयोगः केवलं अस्मिन् प्लग-इन् मध्ये अनुमतः अस्ति।
その他の使用については、作者に連絡して商用ライセンスを取得してください。	अन्यकस्मिन् उपयोगे कृपया लेखकं सम्पर्कं कुर्वन्तु वाणिज्यिकपरवानगीं प्राप्तुम्।
本プラグインには以下のライブラリを同梱しています	अयं प्लगइन् निम्नलिखितान् पुस्तकालयान् समावहति।
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	अयं प्लगिन् अधोलिखितैः ASCII-कला-लिपिकैः तथा लिपि-सञ्चिकासु सहितः अस्ति।
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	अयं प्लगइन् अनौपचारिक-सुपर-फैमिकॉम्-क्रीडायाः 'SM Trainer Hitomi 3' इत्यस्य, या EJ Co., Ltd. संस्थया विकसितम्, संगीतं समावहति, यत् अस्य प्लगइनस्य रचयितृणा रचितम् च अधिकारपूर्वकं अनुमोदितम् अस्ति।
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	अयं प्लगिन् Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	अहं अपि अस्य प्लगइन्-विकासे रास्पबेरी पाई ५, चैटजीपीटी च डीप्एल् च उपयुज्यम्।
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	कैशिङ्-प्लगिन् अवगतम्। यदि कैशिङ्-प्लगिन् सक्रियः भवति तर्हि एषः प्लगिन् सम्यक् न कार्यं करिष्यति।
無効なIPアドレス	अमान्यः आईपी-पत्ता
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	अस्य जालस्थलस्य उपयोगार्थं कुकीज् च जावास्क्रिप्ट् च सक्रियं कर्तव्यम्।
利用規約	उपयोगशर्ताः
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	अनधिकृतप्रयोगनिरोधार्थं च अस्माकं सेवानां सुरक्षितपरिचालनस्य सुनिश्चित्यर्थं च, अयं जालस्थलः कुकीज् तथा दत्तसङ्ग्रहणकोशयोः IP-पत्त्राणि, ब्राउज़िङ्-इतिहासं च क्रिया-पञ्जिकाः इत्यादीनि विवरणानि सञ्चयितुं शक्नोति। एतानि विवरणानि केवलं जालस्थलपरिचालनाय तथा विधिसम्बन्धिन्यां प्रयोजनार्थं उपयुज्यन्ते, न च तृतीयपक्षेभ्यः प्रकटीक्रियन्ते।
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	अस्य सेवायाः उपयोगार्थं त्वया एतेषां प्रक्रियाक्रियाणां अनुमोदनं कर्तव्यम्।
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	त्वया अनुमतिः प्रदत्ता वा न प्रदत्ता वा, गोपनीयता-नीति-विषयवस्तूनि त्वया अवलोकयितुं शक्यन्ते।
同意する	अहं सहमतः अस्मि।
同意しない	अहं असहमतः अस्मि।
確認	पुष्टिकरणम्
プライバシーポリシー	गोपनीयता-नीति
通常とは異なる方法でのアクセスや操作が検出されました	असामान्यः प्रवेशः वा क्रियाशीलता दृष्टा।
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	किञ्चित् विशेषताः सुरक्षा-सामग्रीरक्षणार्थं प्रतिबन्धिताः।
デバッグモード、コンソールの起動は禁止されています	त्रुटिनिरोधनविधिः च कन्सोलप्रवेशः च निषेधितौ।
以下の情報がサーバーに送信されました	निम्नलिखितं विवरणं सर्वरं प्रेषितम्।
あなたのIPアドレス	तव आईपी-पत्ता
あなたの端末とブラウザ	तव यन्त्रं तथा ब्राउज़रः
あなたの押下したキー	यत् कुञ्जिका त्वया दबिता
リダイレクトをします	त्वं पुनर्निर्देशितः भविष्यसि।
コンテンツ保護のため一部の機能を制限しています	विषयस्य रक्षणार्थं केचन विशेषताः प्रतिबन्धिताः।
右クリックは禁止されています	दक्षिणक्लिकीकरणं अनुमतं नास्ति।
あなたが押下したキー	यत् कुञ्जिका त्वया दबिता
印刷、PDFへの保存は禁止されています	प्रिन्ट् कर्तुं तथा पीडीएफ् रूपेण सञ्चयितुं निषिद्धम्।
スクリーンショットは禁止されています	स्क्रीनशॉट् निषिद्धानि।
スクリーンショット、デバッグモード等の起動は禁止されています	स्क्रीनशॉट् गृहीत्वा तथा डिबग्-मोड् सक्रियं कर्तुं निषिद्धम्।
ページの保存は禁止されています	अस्य पृष्ठस्य संरक्षणम् निषिद्धम् अस्ति।
コピー、カットは禁止されています	प्रतिलिपिकरणं छेदनञ्च निषिद्धे।
あなたが起こしたイベント	भवतः आयोजिताः कार्यक्रमाः
テキストの選択は禁止されています	पाठस्य चयनं अनुमतं नास्ति।
HTMLソース表示は禁止されています	HTML-मूलस्रोतकोडस्य प्रदर्शनम् निषिद्धम्।
不正アクセスは禁止されています	अनधिकृतप्रवेशः निषिद्धः।
アフリカーンス語	अफ्रीकान्स्
アラゴン語	अरागोनी
アラビア語	अरबी
アッサム語	अस्माकं
アゼルバイジャン語	अज़रबैजान्
バシュキール語	निन्दनम्
ベラルーシ語	बेलारूसीयः
ベンガル語	बंगाली
ブルガリア語	बुल्गेरियाई
ボスニア語	बोस्नियाई
カタロニア語	कैटालान्
チェコ語	चेक्
ウェールズ語	वेल्शः
デンマーク語	डॅनिश्
ドイツ語	जर्मन
現代ギリシア語	आधुनिकग्रीक
英語	अङ्ग्लभाषा
イギリス英語	ब्रिटिश्
アメリカ英語	अमेरिकी आङ्ग्लभाषा
エスペラント語	आशावादभाषा
スペイン語	स्पेनीयम्
エストニア語	एस्टोनीयः
バスク語	बास्क
ペルシャ語	फारसी
フィンランド語	फिनिश्
フランス語	फ्रांसीसी
アイルランド語	आयरिश्
ガリシア語	गालिसीय
グァラニ語	ग्वारानी
グジャラート語	गुजराती
ハウサ語	हाउसा
ヘブライ語	हिब्रू
ヒンディ語	हिन्दी
クロアチア語	क्रोएशियाई
ハイチ・クレオール語	हैतीदेशीय-क्रेओल्
ハンガリー語	हङ्गेरियन्
インドネシア語	इण्डोनेशियाई
イボ語	इबो भाषा
アイスランド語	आइसलैंडिक
イタリア語	इटालियन्
日本語	जापानी
ジャワ語	जावाभाषा
カザフ語	काज़ाख
朝鮮語	कोरियन्
クルド語	कुर्दिश्
キルギス語	किर्गिज्
ラテン語	लैटिनम्
ルクセンブルク語	लक्ज़मबर्गदेशीयः
リンガラ語	लिङ्गाला
リトアニア語	लिथुआनीयः
ラトビア語	लाटवियकः
マダガスカル語	मलागसी
マオリ語	माओरी
マケドニア語	मैसेडोनियन्
マラヤーラム語	मलयालम्
モンゴル語	मंगोलियाई
マラーティー語	मराठी
マレー語	मलय
マルタ語	माल्टीज़
ビルマ語	बर्मीयः
ネパール語	नेपाली
ノルウェー語	नॉर्वेजियन्
オランダ語	डच्
オック語	ओक्सिटान्
オロモ語	अथवा
パンジャーブ語	पञ्जाबी
ポーランド語	पॉलिश्
パシュトー語	पाश्तो
ポルトガリア語	पुर्तुगाली
ブラジルポルトガル語	ब्राज़ीलियाई पुर्तुगाली
ヨーロピアンポルトガル語	यूरोपीय पुर्तुगाली
ケチュア語	केचुआ
ルーマニア語	रोमानियाई
ロシア語	रूसी
サンスクリット語	संस्कृत
スロバキア語	स्लोवाक
スロベニア語	स्लोवेनियाई
セルビア語	सर्बियाई
南セソト語	दक्षिणीय सेसोटो
スンダ語	सुन्दनेसी
スウェーデン語	स्वीडिश्
スワヒリ語	स्वाहिली
タミル語	तमिल
テルグ語	तेलुगु
タジク語	ताजिक्
タイ語	थाई
トルクメン語	तुर्कमेन
タガログ語	तागालोग्
トルコ語	तुर्की
タタール語	तटार
ウクライナ語	यूक्रेनी
ウルドゥー語	उर्दू
ウズベク語	उज़्बेक
ベトナム語	वियतनामी
コサ語	कोषः
イディッシュ語	यहूदी-जर्मन
簡体中国語	सरलीकृत चीनी
繁体中国語	परम्परागत चीनी
ズールー語	जुल्लू
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	वर्तमानकाले भवतः प्रयुक्तः ब्राउज़रः पुरातनसंस्करणम् अस्ति यत् अधिकं समर्थितं नास्ति। सुरक्षिततरं सुखदतरं च ब्राउज़िङ्-अनुभवम् सुनिश्चितुं कृपया भवतः ब्राउज़रस्य नवीनतमसंस्करणं प्रतिष्ठापयतु।
不正なリクエストです	अमान्यः अनुरोधः
画像が見つかりません	चित्रं न लभ्यते
