設定	ക്രമീകരണങ്ങൾ
事実上デバッグモードから操作できてしまいます	യഥാർത്ഥത്തിൽ, നിങ്ങൾക്ക് ഇത് ഡീബഗ് മോഡിൽ നിന്ന് പ്രവർത്തിപ്പിക്കാൻ കഴിയും.
HTMLソース表示	HTML സോഴ്സ് കാണുക
view-source:から始まるURLを入力すれば操作できてしまいます	'view-source:' എന്ന് തുടങ്ങുന്ന ഒരു യുആർഎൽ നൽകുന്നതിലൂടെ നിങ്ങൾക്ക് ഈ പ്രവർത്തനം എളുപ്പത്തിൽ നടത്താനാകും.
HTML保護と組み合わせることでコンテンツを保護することができます	ഇതുമായി എച്ച്‌ടിഎംഎൽ സംരക്ഷണം സംയോജിപ്പിച്ച് നിങ്ങൾക്ക് നിങ്ങളുടെ ഉള്ളടക്കം സംരക്ഷിക്കാം.
印刷	അച്ചടിക്കുക
印刷阻止をするもものの、ブラウザによってはうまく動作しません	ഇത് പ്രിന്റിംഗ് തടയുമെങ്കിലും, ചില ബ്രൗസറുകളിൽ ഇത് ശരിയായി പ്രവർത്തിച്ചേക്കില്ല.
スクリーンショット	സ്ക്രീൻഷോട്ട്
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	ഉപയോഗിക്കുന്ന ഓപ്പറേറ്റിംഗ് സിസ്റ്റം, ബ്രൗസർ അല്ലെങ്കിൽ രീതി എന്നിവയെ ആശ്രയിച്ച്, ഇത് തടയാനോ കണ്ടെത്താനോ കഴിഞ്ഞേക്കില്ല.
ウインドウが背面に移動した時スクリーンショットの疑い	വിൻഡോ ബാക്ക്ഗ്രൗണ്ടിലേക്ക് മാറുമ്പോൾ എടുത്തിരിക്കാവുന്ന സ്ക്രീൻഷോട്ട്
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	ഇത് സ്ക്രീൻഷോട്ടുകൾക്ക് പുറമെ മറ്റ് പ്രവർത്തനങ്ങൾക്കും
2キー押下のスクリーンショットの疑い	രണ്ട് കീകൾ അമർത്തി എടുത്തതെന്ന് സംശയിക്കുന്ന സ്ക്രീൻഷോട്ട്
上の項目の検出方法は完全ではありません、予防的に検出を行います	മുകളിൽ പറഞ്ഞ ഇനങ്ങൾ കണ്ടെത്താനുള്ള രീതികൾ പൂർണ്ണമായും വിശ്വസനീയമല്ല; കണ്ടെത്തൽ ഒരു മുൻകരുതൽ നടപടിയായിട്ടാണ് നടത്തുന്നത്.
スクリーンショットだけではなく、デバッグモード等も検出します	ഇത് സ്ക്രീൻഷോട്ടുകൾ മാത്രമല്ല, ഡീബഗ് മോഡുകളും അതുപോലുള്ളവയും കണ്ടെത്തുന്നു.
ページ保存	പേജ് സേവ് ചെയ്യുക
右クリック	വലത്-ക്ലിക്ക് ചെയ്യുക
アドオンがインストールされていると操作できてしまいます	ആഡ്-ഓൺ ഇൻസ്റ്റാൾ ചെയ്തിട്ടുണ്ടെങ്കിൽ, നിങ്ങൾക്ക് അത് ഉപയോഗിക്കാൻ സാധിക്കും.
コピー・カット	പകർത്തുകയും മുറിക്കുകയും ചെയ്യുക
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	ഈ പ്ലഗിന്റെ ക്രമീകരണങ്ങളെ ആശ്രയിച്ച്, നിങ്ങൾക്ക് ഈ സംഭവം അപൂർവ്വമായി മാത്രമേ അനുഭവപ്പെടുകയുള്ളൂ.
テキスト全選択	എല്ലാ ടെക്സ്റ്റും തിരഞ്ഞെടുക്കുക
テキスト選択	പഠനം: മലയാളത്തിലെ പ്രധാനപ്പെട്ട 100 നോവലുകൾ  മലയാളത്തിലെ
デバッガー起動ログ、デバッガー妨害	ഡീബഗർ സ്റ്റാർട്ടപ്പ് ലോഗ്, ഡീബഗർ ഇടപെടൽ
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	ഇത് ഡീബഗ് മോഡിനെ അല്പം ഉപയോക്തൃ-സൗഹൃദമല്ലാതാക്കുകയും ഡീബഗർ പ്രവർത്തനക്ഷമമാക്കിയെന്ന വസ്തുത ലോഗ് ചെയ്യുകയും ചെയ്യുന്നു; എന്നിരുന്നാലും, ചില ബ്രൗസറുകൾ ഈ പ്രവർത്തനം തടഞ്ഞേക്കാം.
リダイレクトするURL	യുആർഎൽ തിരിച്ചുവിടുക
利用規約などのページに転送すると良いでしょう	ഉപയോക്താക്കളെ ഉപയോഗ നിബന്ധനകൾ പോലുള്ള പേജുകളിലേക്ക് തിരിച്ചുവിടുന്നത് ഒരു നല്ല ആശയമായിരിക്കും.
空欄にすると元のURLにリダイレクトをします	ഒന്നും നൽകാതെ വിട്ടാൽ, അത് യഥാർത്ഥ URL-ലേക്ക് റീഡയറക്ട് ചെയ്യും.
リダイレクトまでの時間	വഴിതിരിച്ചുവിടാനുള്ള സമയം
リダイレクトなし	മാർഗ്ഗനിർദ്ദേശമില്ല
1秒	ഒരു സെക്കൻഡ്
2秒	രണ്ട് സെക്കൻഡ്
3秒	മൂന്ന് സെക്കൻഡ്
4秒	നാല് സെക്കൻഡ്
5秒	5 സെക്കൻഡ്
6秒	6 സെക്കൻഡ്
7秒	ഏഴ് സെക്കൻഡ്
8秒	എട്ട് സെക്കൻഡ്
9秒	9 സെക്കൻഡ്
10秒	10 സെക്കൻഡ്
15秒	പതിനഞ്ച് സെക്കൻഡ്
20秒	ഇരുപത് സെക്കൻഡ്
25秒	25 സെക്കൻഡ്
30秒	മുപ്പത് സെക്കൻഡ്
35秒	35 സെക്കൻഡ്
40秒	40 സെക്കൻഡ്
45秒	നാൽപ്പത്തിയഞ്ച് സെക്കൻഡ്
50秒	അമ്പത് സെക്കൻഡ്
55秒	55 സെക്കൻഡ്
1分	ഒരു മിനിറ്റ്
1分10秒	ഒരു മിനിറ്റ് പത്ത് സെക്കൻഡ്
1分20秒	ഒരു മിനിറ്റ് ഇരുപത് സെക്കൻഡ്
1分30秒	ഒരു മിനിറ്റ് മുപ്പത് സെക്കൻഡ്
1分40秒	ഒരു മിനിറ്റ് നാൽപ്പത് സെക്കൻഡ്
1分50秒	1 മിനിറ്റ് 50 സെക്കൻഡ്
2分	രണ്ട് മിനിറ്റ്
ソース表示を許可する権限	സോഴ്സ് കോഡ് കാണാനുള്ള അനുമതി
ADMINログイン時のみ通常のソース出力	ADMIN ആയി ലോഗിൻ ചെയ്യുമ്പോൾ മാത്രം സാധാരണ ഉറവിട ഔട്ട്പുട്ട്
USERログインで通常のソース出力	യൂസർ ആയി ലോഗിൻ ചെയ്യുമ്പോൾ സാധാരണ സോഴ്സ് ഔട്ട്പുട്ട്
通常のHTML出力を管理者のみかユーザーログインかを選択します	സാധാരണ എച്ച്‌ടിഎംഎൽ ഔട്ട്പുട്ട് അഡ്മിനിസ്ട്രേറ്റർമാർക്ക് മാത്രമായി പരിമിതപ്പെടുത്തണോ അതോ ഉപയോക്തൃ ലോഗിൻ ആവശ്യമാണോ എന്ന് തിരഞ്ഞെടുക്കുക
画像を無理やりダウンロードして実際にダウンロードされるもの	ഒരു ചിത്രം നിർബന്ധമായി ഡൗൺലോഡ് ചെയ്യിക്കുന്നതും യഥാർത്ഥത്തിൽ ഡൗൺലോഡ് ചെയ്യപ്പെടുന്നതും
GIF形式で1×1ピクセルの透過画像	GIF ഫോർമാറ്റിലുള്ള 1x1 പിക്സൽ വലുപ്പമുള്ള സുതാര്യമായ ചിത്രം
PNG形式で1×1ピクセルの透過画像	പിഎൻജി ഫോർമാറ്റിലുള്ള 1x1 പിക്സൽ വലുപ്പമുള്ള സുതാര്യമായ ചിത്രം
PNG形式で黄色い背景の警告画面	പിഎൻജി ഫോർമാറ്റിൽ മഞ്ഞ പശ്ചാത്തലമുള്ള ഒരു മുന്നറിയിപ്പ് സ്ക്രീൻ
意味のないHTMLドキュメント	അർത്ഥശൂന്യമായ ഒരു എച്ച്‌ടിഎംഎൽ ഡോക്യുമെൻ്റ്
HTML保護時のHEADタグの出力	HTML സംരക്ഷിക്കപ്പെടുമ്പോൾ HEAD ടാഗിന്റെ ഔട്ട്പുട്ട്
出力しない	പ്രിൻ്റ് ചെയ്യരുത്
TITLEタグのみ	ടൈറ്റിൽ ടാഗ് മാത്രം
WordpressのHEADタグより取得	വേർഡ്പ്രസ്സ് HEAD ടാഗിൽ നിന്ന് വീണ്ടെടുത്തത്
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	കോർപ്പറേറ്റ് ഉപയോഗത്തിനുള്ള അംഗങ്ങൾക്ക് മാത്രമുള്ള പേജുകൾക്കും ആന്തരിക പേജുകൾക്കും, 'Do not output' അല്ലെങ്കിൽ 'TITLE tag only' തിരഞ്ഞെടുക്കുന്നത് മതിയാകും.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	നിങ്ങൾ വേർഡ്പ്രസ്സ് HEAD ടാഗിൽ നിന്ന് വിവരങ്ങൾ വീണ്ടെടുത്തില്ലെങ്കിൽ, സോഷ്യൽ മീഡിയയിൽ പങ്കുവെക്കുമ്പോൾ OGP ചിത്രം ദൃശ്യമാകില്ല.
画像botをアクセス禁止にする	ഇമേജ് ബോട്ട് തടയുക
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	ഇമേജ് ബോട്ടുകൾ HTML ആക്‌സസ് ചെയ്യുന്നത് തടയുന്നതിലൂടെ, ഇമേജ് സെർച്ചിലൂടെയുള്ള ഡയറക്ട് ലിങ്കിംഗിൽ നിന്ന് സംരക്ഷിക്കാൻ കഴിയാതിരുന്ന ഉള്ളടക്കം നിങ്ങൾക്ക് സംരക്ഷിക്കാനാകും; എന്നിരുന്നാലും, ഇത് പൂർണ്ണമായും സുരക്ഷിതമായ ഒരു പരിഹാരമല്ല.
AI学習用botをアクセス禁止にする	എഐ പരിശീലന ബോട്ടിലേക്കുള്ള പ്രവേശനം തടയുക
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	എച്ച്‌ടിഎംഎല്ലിൽ എഐ പരിശീലനത്തിനായി രൂപകൽപ്പന ചെയ്ത ബോട്ടുകളുടെ ഉപയോഗം ഒഴിവാക്കുന്നതിലൂടെ, ഉള്ളടക്കം എഐ ഉപയോഗിക്കുന്നില്ലെന്ന് ഞങ്ങൾ ഉറപ്പാക്കുന്നു; എന്നിരുന്നാലും, ഇത് പൂർണ്ണമായും തടയാൻ കഴിയില്ല.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	വെബ് ആർക്കൈവുകളിലേക്കും വെബ് സ്നാപ്പ്ഷോട്ടുകളിലേക്കുമുള്ള പ്രവേശനം തടയുക
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	സ്വയമേവ ശേഖരിക്കുന്ന വെബ് ആർക്കൈവുകളിലേക്കും ഉപയോക്താവിൻ്റെ വിവേചനാധികാരത്തിൽ എടുത്ത സ്ക്രീൻഷോട്ടുകളിലേക്കുമുള്ള പ്രവേശനം ഞങ്ങൾ നിരോധിക്കുന്നു; എന്നിരുന്നാലും, ഇത് പൂർണ്ണമായും തടയാൻ ഞങ്ങൾക്ക് കഴിയില്ല.
無効なUAをアクセス禁止にする	അസാധുവായ യൂസർ ഏജന്റുകളെ തടയുക
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	യൂസർ ഏജന്റ് സ്ട്രിംഗിൽ അസാധുവായ അക്ഷരങ്ങൾ അടങ്ങിയിട്ടുണ്ടെങ്കിൽ പ്രവേശനം തടയുന്നു.
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	ഇൻ്റർനെറ്റ് എക്സ്പ്ലോററും പഴയ മൈക്രോസോഫ്റ്റ് എഡ്ജും
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	ഇൻ്റർനെറ്റ് എക്സ്പ്ലോറർ, പഴയ മൈക്രോസോഫ്റ്റ് എഡ്ജ് എന്നിവ വഴിയുള്ള പ്രവേശനം തടയുന്നു
alertメッセージを表示する言語	അലേർട്ട് സന്ദേശങ്ങൾ പ്രദർശിപ്പിക്കുന്ന ഭാഷ
Wordpressの言語	വേർഡ്പ്രസ്സ് ഭാഷകൾ
ブラウザの設定言語	ബ്രൗസർ ഭാഷാ ക്രമീകരണങ്ങൾ
メッセージをカスタム設定されている場合は言語を変更できません	സന്ദേശങ്ങൾ കസ്റ്റമൈസ് ചെയ്തിട്ടുണ്ടെങ്കിൽ നിങ്ങൾക്ക് ഭാഷ മാറ്റാൻ കഴിയില്ല.
同意画面の言語	സമ്മതപത്രത്തിൻ്റെ ഭാഷ
view-sourceメッセージを表示する言語	'വ്യൂ-സോഴ്സ്' സന്ദേശം പ്രദർശിപ്പിക്കാനുള്ള ഭാഷ
一時使用トークンの有効期限	താൽക്കാലിക ടോക്കണുകളുടെ കാലാവധി
3分	3 മിനിറ്റ്
4分	4 മിനിറ്റ്
5分	അഞ്ച് മിനിറ്റ്
6分	6 മിനിറ്റ്
7分	ഏഴ് മിനിറ്റ്
8分	എട്ട് മിനിറ്റ്
9分	9 മിനിറ്റ്
10分	പത്ത് മിനിറ്റ്
15分	പതിനഞ്ച് മിനിറ്റ്
20分	ഇരുപത് മിനിറ്റ്
25分	ഇരുപത്തിയഞ്ച് മിനിറ്റ്
30分	മുപ്പത് മിനിറ്റ്
35分	മുപ്പത്തിയഞ്ച് മിനിറ്റ്
40分	നാൽപ്പത് മിനിറ്റ്
45分	നാല്പത്തഞ്ച് മിനിറ്റ്
50分	അമ്പത് മിനിറ്റ്
55分	അമ്പത്തിഅഞ്ച് മിനിറ്റ്
1時間	ഒരു മണിക്കൂർ
画像URL情報の有効期限を設定します	ഇമേജ് URL വിവരങ്ങളുടെ കാലാവധി തീരുന്ന തീയതി സജ്ജമാക്കുക
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	ലോഡ് ചെയ്തുകഴിഞ്ഞാൽ, ഇമേജ് URL-ഉം താൽക്കാലിക ടോക്കണും അസാധുവാക്കും.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	ചിത്രങ്ങൾ ആവശ്യാനുസരണം ലോഡ് ചെയ്യപ്പെടും, എന്നാൽ നിർദ്ദിഷ്‌ട സമയത്തിന് 30 സെക്കൻഡ് മുൻപായി അവ സ്വയമേവ ലോഡ് ചെയ്യപ്പെടും.
一時使用トークンのビット数	ഒരു താൽക്കാലിക ടോക്കണിലെ ബിറ്റുകളുടെ എണ്ണം
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	ചിത്രത്തിന്റെ URL വിവരങ്ങൾ എൻക്രിപ്റ്റ് ചെയ്യുന്നതിനായി ഒരു താൽക്കാലിക ടോക്കൺ പാസ്‌വേഡായി ഉപയോഗിക്കുന്നു; ഈ ക്രമീകരണം അതിന്റെ ശക്തി നിർണ്ണയിക്കുന്നു.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	ഡ്രോപ്പ്-ഡൗൺ മെനുവിന് താഴെ പ്രദർശിപ്പിക്കുന്ന ഓപ്ഷനുകൾ കൂടുതൽ വിശദമായതോടെ, ഇത് സെർവറിന് വലിയ ഭാരം നൽകുകയും ധാരാളം HTML ഡാറ്റ കൈമാറ്റം ചെയ്യപ്പെടുന്നതിന് കാരണമാകുകയും ചെയ്യും.
ハッシュ化アルゴリズム	ഹാഷ് അൽഗോരിതം
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	ചിത്രത്തിന്റെ URL വിവരങ്ങൾ എൻക്രിപ്റ്റ് ചെയ്യുന്നതിന് ഒരു താൽക്കാലിക ടോക്കൺ പാസ്‌വേഡായി ഉപയോഗിക്കുന്നു; ഇതിന് ഹാഷിംഗ് ആവശ്യമാണ്, ഈ ക്രമീകരണം ആ ഹാഷിംഗിന്റെ ശക്തി നിർണ്ണയിക്കുന്നു.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	ഡ്രോപ്പ്-ഡൗൺ മെനുവിൽ കാണിച്ചിരിക്കുന്ന ഓപ്ഷനുകളിലൂടെ താഴേക്ക് സ്ക്രോൾ ചെയ്യുമ്പോൾ തീവ്രത വർദ്ധിക്കുകയാണെങ്കിലും, ഇത് സെർവറിൽ കൂടുതൽ ഭാരം ചുമത്തുന്നു.
基本設定	അടിസ്ഥാന ക്രമീകരണങ്ങൾ
高度な設定	മുൻഗണനാക്രമങ്ങൾ
初期設定に戻す	പൂർവ്വസ്ഥിതി പുനഃസ്ഥാപിക്കുക
デザイン・音の設定	ഡിസൈനും ശബ്ദ ക്രമീകരണങ്ങളും
イベントの設定	പരിപാടിയുടെ ക്രമീകരണങ്ങൾ
初回訪問時のお知らせの設定	ആദ്യമായി സന്ദർശിക്കുമ്പോൾ അറിയിപ്പുകൾ സജ്ജീകരിക്കൽ
メッセージの設定	സന്ദേശ ക്രമീകരണങ്ങൾ
右クリックやソースコード表示時に転送する URL を設定します	റൈറ്റ്-ക്ലിക്ക് ചെയ്യുമ്പോഴോ സോഴ്സ് കോഡ് കാണുമ്പോഴോ തുറക്കേണ്ട URL സജ്ജീകരിക്കുക
警告メッセージにはHTMLは使用できません	മുന്നറിയിപ്പ് സന്ദേശങ്ങളിൽ എച്ച്‌ടിഎംഎൽ ഉപയോഗിക്കാൻ കഴിയില്ല.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	നിങ്ങൾ ഈ സ്ക്രീനിൽ ഇത് കോൺഫിഗർ ചെയ്താൽ, അഡ്വാൻസ്ഡ് ടാബിലെ ഭാഷാ ക്രമീകരണങ്ങൾ അവഗണിക്കപ്പെടും.
以下の文字列が使用できます	താഴെ പറയുന്ന സ്ട്രിംഗുകൾ ഉപയോഗിക്കാം
改行	വരി മുറിക്കുക
押下されたキー	കീ അമർത്തിയിരിക്കുന്നു
Neo HTML Protector 設定	നിയോ എച്ച്‌ടി‌എം‌എൽ പ്രൊട്ടക്ടർ ക്രമീകരണങ്ങൾ
お知らせ	അറിയിപ്പ്
メッセージ	സന്ദേശം
デザイン・音	രൂപകൽപ്പനയും ശബ്ദവും
初期化	ആരംഭിക്കൽ
このプラグインについて	ഈ പ്ലഗിൻനെക്കുറിച്ച്
設定が初期化されました	സെറ്റിംഗുകൾ റീസെറ്റ് ചെയ്തിരിക്കുന്നു
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	പ്ലഗിൻ ഇനിഷ്യലൈസ് ചെയ്യുക. ഈ ഘട്ടത്തിൽ ഐപി ലോഗ് റീഡർ ഡാറ്റ ഡിലീറ്റ് ചെയ്യപ്പെടില്ലെന്ന് ദയവായി ശ്രദ്ധിക്കുക.
Neo HTML Protectorについて	നിയോ എച്ച്ടിഎംഎൽ പ്രൊട്ടക്ടറിനെക്കുറിച്ച്
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	ഈ പ്ലഗിൻ നിങ്ങളുടെ വേർഡ്പ്രസ്സ് സൈറ്റ് നിർമ്മിക്കുന്ന HTML, ചിത്രങ്ങൾ, മറ്റ് ഉള്ളടക്കങ്ങൾ എന്നിവയെ അനധികൃത ഉപയോഗത്തിൽ നിന്ന് സംരക്ഷിക്കുന്നതിനായി രൂപകൽപ്പന ചെയ്തിട്ടുള്ളതാണ്.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	ഉള്ളടക്കം പൂർണ്ണമായി സംരക്ഷിക്കുന്നത് അസാധ്യമാണ്. എന്നിരുന്നാലും, സാധ്യമായ എല്ലായിടത്തും മുന്നറിയിപ്പുകൾ നൽകിയും, എന്തെങ്കിലും സംഭവിക്കുകയാണെങ്കിൽ അതിനുള്ള തയ്യാറെടുപ്പുകൾ നടത്തിയുമുള്ള നടപടികളിലൂടെ, സർക്കാർ നിശ്ചയിച്ചിട്ടുള്ള നടപടിക്രമങ്ങൾക്കനുസരിച്ച് ഈ വിഷയം പരിഹരിക്കാൻ നമുക്ക് സാധിക്കും.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	തീർച്ചയായും, നിങ്ങളുടെ സേവന നിബന്ധനകളും സൈറ്റ് നയങ്ങളും സമഗ്രമാണെന്ന് നിങ്ങൾ ഉറപ്പാക്കേണ്ടതുണ്ട്. ഈ പ്ലഗിൻ സേവന നിബന്ധനകൾ ഉണ്ടാക്കാനുള്ള ഒരു ഉപകരണമല്ലെങ്കിലും, ഇത് ചില മാർഗ്ഗനിർദ്ദേശങ്ങൾ നൽകാൻ കഴിയും.
開発者: 夜桜　なの	ഡെവലപ്പർ: നാനോ യോസാക്കുര
バージョン	പതിപ്പ്
ビルド	പണിയുക
サポートページ	പിന്തുണാ പേജ്
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	അവതരിപ്പിച്ചത്: മിസ് ഉറ മനീറ
支援のお願い	പിന്തുണയ്ക്കായുള്ള ഒരു അഭ്യർത്ഥന
Neo HTML Protectorをご利用いただき、ありがとうございます！	നിയോ എച്ച്‌ടി‌എം‌എൽ പ്രൊട്ടക്ടർ ഉപയോഗിക്കുന്നതിന് നന്ദി!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	ഈ പ്ലഗിൻ്റെ വികസനത്തിനും പരിപാലനത്തിനും ധാരാളം സമയവും പ്രയത്നവും ആവശ്യമായിട്ടുണ്ട്. ഇതിനെ തുടർന്നും മെച്ചപ്പെടുത്തുന്നതിനും അപ്ഡേറ്റ് ചെയ്യുന്നതിനും ആവശ്യമായ ഫണ്ട് കണ്ടെത്തുന്നതിനായി, ഞങ്ങളെ പിന്തുണയ്ക്കാൻ കഴിയുന്ന ആരെങ്കിലും ഒരു സംഭാവന നൽകുമെങ്കിൽ അത് വലിയ സഹായമായിരിക്കും.
寄付について	ദാനങ്ങളെക്കുറിച്ച്
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	സംഭാവനകൾ തികച്ചും സ്വമേധയാ ഉള്ളതാണ്, നിർബന്ധമില്ല. ഈ പ്ലഗിൻ എല്ലാവർക്കും സൗജന്യമായി ലഭ്യമാണ്. എന്നിരുന്നാലും, വികസനം തുടരുന്നതിന് നിങ്ങളുടെ പിന്തുണ വളരെ വിലപ്പെട്ടതാണ്, നിങ്ങൾക്ക് കഴിയുന്നതെന്തെങ്കിലും സംഭാവന നൽകിയാൽ ഞങ്ങൾക്ക് അതിയായ സന്തോഷമുണ്ട്.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	താഴെ നൽകിയിരിക്കുന്ന ലിങ്ക് വഴി നിങ്ങൾക്ക് സംഭാവന നൽകാവുന്നതാണ്. നിങ്ങൾ ജപ്പാനിലാണ് താമസിക്കുന്നതെങ്കിൽ, നിങ്ങൾക്ക് സൗജന്യമായി സംഭാവന നൽകാം, കൂടാതെ ആമസോൺ ഗിഫ്റ്റ് വൗച്ചറുകൾ ഉപയോഗിച്ചും എളുപ്പത്തിൽ സംഭാവന നൽകാവുന്നതാണ്.
寄付先	ധർമ്മസ്ഥാപനങ്ങൾ
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	നിങ്ങളുടെ പിന്തുണയോടെ, മികച്ച അപ്‌ഡേറ്റുകൾ തുടർന്നും എത്തിക്കുന്നതിന് ഞങ്ങൾ പരമാവധി ശ്രമിക്കും!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	നിങ്ങളുടെ പിന്തുണയ്ക്ക് ഞങ്ങൾ നന്ദിയുള്ളവരാണ്, ഭാവിയിലും നിങ്ങളുടെ പിന്തുണ തുടരുമെന്ന് പ്രതീക്ഷിക്കുന്നു.
ライセンス	ലൈസൻസ്
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	ഈ പ്ലഗിൻ ഒരു ഓപ്പൺ സോഴ്‌സ് സോഫ്റ്റ്‌വെയറായി വികസിപ്പിച്ചതും, ജിപിഎൽവി2.0 അല്ലെങ്കിൽ അതിനുശേഷമുള്ള ലൈസൻസിന് കീഴിലുള്ളതുമാണ്.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	ഈ പ്ലഗിനിൽ ഉൾപ്പെടുത്തിയിട്ടുള്ള ചില സാങ്കേതികവിദ്യകൾ പേറ്റന്റുകളാൽ സംരക്ഷിക്കപ്പെട്ടവയാണ്.
特許技術の使用は、このプラグイン内での使用に限って認められます。	പേറ്റൻ്റ് ചെയ്ത സാങ്കേതികവിദ്യയുടെ ഉപയോഗം ഈ പ്ലഗ്-ഇന്നിനുള്ളിൽ മാത്രമായി പരിമിതപ്പെടുത്തിയിരിക്കുന്നു.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	മറ്റേതെങ്കിലും ഉപയോഗത്തിന്, വാണിജ്യപരമായ ലൈസൻസ് ലഭിക്കുന്നതിനായി ദയവായി രചയിതാവിനെ ബന്ധപ്പെടുക.
本プラグインには以下のライブラリを同梱しています	ഈ പ്ലഗിൻ താഴെ പറയുന്ന ലൈബ്രറികൾ ഉൾക്കൊള്ളുന്നു
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	ഈ പ്ലഗിൻ, താഴെ നൽകിയിട്ടുള്ള ASCII ആർട്ട് ഫോണ്ടുകളും ഫോണ്ട് ഫയലുകളും ഉൾക്കൊള്ളുന്നു.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	ഈ പ്ലഗിൻ, ഇജെ കോ. ലിമിറ്റഡ് വികസിപ്പിക്കുകയും ഈ പ്ലഗിൻ്റെ നിർമ്മാതാവ് സംഗീതം ചിട്ടപ്പെടുത്തുകയും ചെയ്ത, ഔദ്യോഗികമല്ലാത്ത സൂപ്പർ ഫാമികോം ഗെയിമായ 'എസ്എം ട്രെയ്നർ ഹിറ്റോമി 3'-ൽ നിന്നുള്ള സംഗീതം ഉൾക്കൊള്ളുന്നു, ഇതിന് ഔദ്യോഗികമായി ലൈസൻസുണ്ട്.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	ഈ പ്ലഗിൻ, കെപ്പി
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	ഈ പ്ലഗിൻ്റെ വികസനത്തിൽ ഞാൻ റാസ്ബെറി പൈ 5, ChatGPT, DeepL എന്നിവയും ഉപയോഗിച്ചിട്ടുണ്ട്.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	ഒരു കാഷിംഗ് പ്ലഗിൻ കണ്ടെത്തിയിട്ടുണ്ട്. ഒരു കാഷിംഗ് പ്ലഗിൻ പ്രവർത്തനക്ഷമമാക്കിയിട്ടുണ്ടെങ്കിൽ ഈ പ്ലഗിൻ ശരിയായി പ്രവർത്തിക്കില്ല.
無効なIPアドレス	അസാധുവായ ഐപി വിലാസം
