設定	ছেটিংছ
2秒	২ ছেকেণ্ড
3秒	৩ ছেকেণ্ড
4秒	৪ ছেকেণ্ড
5秒	৫ ছেকেণ্ড
6秒	৬ ছেকেণ্ড
7秒	৭ ছেকেণ্ড
8秒	৮ ছেকেণ্ড
9秒	৯ ছেকেণ্ড
10秒	দহ ছেকেণ্ড
15秒	পোন্ধিশ ছেকেণ্ড
20秒	বিশ ছেকেণ্ড
25秒	পঁচিশ ছেকেণ্ড
30秒	৩০ ছেকেণ্ড
35秒	৩৫ ছেকেণ্ড
40秒	৪০ ছেকেণ্ড
45秒	৪৫ ছেকেণ্ড
50秒	৫০ ছেকেণ্ড
55秒	৫৫ ছেকেণ্ড
1分	১ মিনিট
1分10秒	১ মিনিট ১০ ছেকেণ্ড
1分20秒	১ মিনিট ২০ ছেকেণ্ড
1分30秒	এক মিনিট ত্ৰিশ ছেকেণ্ড
1分40秒	১ মিনিট ৪০ ছেকেণ্ড
1分50秒	১ মিনিট ৫০ ছেকেণ্ড
2分	২ মিনিট
ソース表示を許可する権限	চ'ৰ্চ কোড চোৱাৰ অনুমতি
ADMINログイン時のみ通常のソース出力	কেৱল এডমিন হিচাপে লগ ইন কৰিলেহে সাধাৰণ উৎস আউটপুট।
USERログインで通常のソース出力	ইউজাৰ হিচাপে লগ ইন কৰিলে সাধাৰণ উৎস আউটপুট
通常のHTML出力を管理者のみかユーザーログインかを選択します	বাছনি কৰক যে সাধাৰণ HTML আউটপুট কেৱল প্ৰশাসকসকলৰ বাবে সীমাবদ্ধ থাকিব নে ব্যৱহাৰকাৰীৰ লগইনৰ প্ৰয়োজন হ'ব।
画像を無理やりダウンロードして実際にダウンロードされるもの	এখন ছবি ডাউনলোড কৰিবলৈ বাধ্য কৰোৱা আৰু প্ৰকৃততে কি ডাউনলোড হয়
GIF形式で1×1ピクセルの透過画像	GIF ফৰ্মেটত এটা ১×১-পিক্সেলৰ স্বচ্ছ ছবি
PNG形式で1×1ピクセルの透過画像	PNG ফৰ্মেটত এটা ১x১-পিক্সেলৰ স্বচ্ছ ছবি
PNG形式で黄色い背景の警告画面	PNG ফৰ্মেটত হালধীয়া পটভূমিৰ সৈতে এটা সতৰ্কবাণীৰ স্ক্ৰীণ
意味のないHTMLドキュメント	এক অৰ্থহীন HTML নথি
HTML保護時のHEADタグの出力	যেতিয়া HTML সুৰক্ষিত কৰা হয়, তেতিয়া HEAD টেগৰ আউটপুট
出力しない	প্ৰিণ্ট নকৰিব
TITLEタグのみ	কেৱল টাইটেল টেগ
WordpressのHEADタグより取得	ৱৰ্ডপ্ৰেছৰ হেড টেগৰ পৰা সংগ্ৰহ কৰা
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	কৰ্পোৰেট-ব্যৱহাৰৰ বাবে কেৱল-সদস্য পৃষ্ঠা আৰু আভ্যন্তৰীণ পৃষ্ঠাৰ ক্ষেত্ৰত, 'Do not output' বা 'TITLE tag only' বাছনি কৰিলেই যথেষ্ট হ'ব।
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	যদি আপুনি WordPress HEAD টেগৰ পৰা তথ্যটো সংগ্ৰহ নকৰে, তেন্তে ছ'চিয়েল মিডিয়াত শ্বেয়াৰ কৰাৰ সময়ত OGP ছবিখন প্ৰদৰ্শিত নহ'ব।
画像botをアクセス禁止にする	ছবিৰ বটটোক ব্লক কৰক
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	ইমেজ বটসমূহক HTML এক্সেছ কৰাত বাধা দি, আপুনি এনে সমল সুৰক্ষিত কৰিব পাৰে যিবোৰ ইমেজ চাৰ্ছৰ জৰিয়তে ডাইৰেক্ট লিংকিংৰ পৰা সুৰক্ষিত কৰিব পৰা নাছিল; কিন্তু, ই এক সম্পূৰ্ণ সমাধান প্ৰদান নকৰে।
AI学習用botをアクセス禁止にする	এআই প্ৰশিক্ষণ বটটোত প্ৰৱেশ বন্ধ কৰক
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML-ত AI প্ৰশিক্ষণৰ বাবে ডিজাইন কৰা বটৰ ব্যৱহাৰ পৰিহাৰ কৰি আমি নিশ্চিত কৰোঁ যে AI-ৰ দ্বাৰা বিষয়বস্তুৰ ব্যৱহাৰ নহয়; কিন্তু, ইয়াক সম্পূৰ্ণৰূপে প্ৰতিৰোধ কৰিব নোৱাৰি।
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	ৱেব আৰ্কাইভ আৰু ৱেব স্নেপশ্বটসমূহৰ প্ৰৱেশ বন্ধ কৰক
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	আমি স্বয়ংক্ৰিয়ভাৱে সংগ্ৰহ কৰা ৱেব আৰ্কাইভ আৰু ব্যৱহাৰকাৰীৰ নিজৰ বিবেচনাত লোৱা স্ক্ৰীণশ্বটসমূহৰ প্ৰৱেশাধিকাৰ নিষিদ্ধ কৰোঁ; কিন্তু, আমি ইয়াক সম্পূৰ্ণৰূপে প্ৰতিৰোধ কৰিব নোৱাৰোঁ।
無効なUAをアクセス禁止にする	অবৈধ ইউজাৰ এজেণ্টসমূহ ব্লক কৰক
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	যদি ইউজাৰ এজেণ্ট ষ্ট্ৰিঙটোত অবৈধ আখৰ থাকে, তেন্তে প্ৰৱেশ বন্ধ কৰে।
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	ইণ্টাৰনেট এক্সপ্ল'ৰাৰ আৰু পুৰণি মাইক্ৰ'ছফ্ট এজ
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	ইণ্টাৰনেট এক্সপ্ল'ৰাৰ আৰু পুৰণি মাইক্ৰ'ছফ্ট এজৰ জৰিয়তে প্ৰৱেশ প্ৰতিৰোধ কৰে
alertメッセージを表示する言語	যিটো ভাষাত সতৰ্কবাৰ্তা প্ৰদৰ্শিত হয়
Wordpressの言語	ৱৰ্ডপ্ৰেছৰ ভাষাসমূহ
ブラウザの設定言語	ব্ৰাউজাৰৰ ভাষাৰ ছেটিংছ
メッセージをカスタム設定されている場合は言語を変更できません	বাৰ্তাবোৰ কাষ্টমাইজ কৰিলে আপুনি ভাষা সলনি কৰিব নোৱাৰিব।
同意画面の言語	সন্মতিৰ স্ক্ৰীণৰ ভাষা
view-sourceメッセージを表示する言語	'view-source' বাৰ্তাটো প্ৰদৰ্শন কৰিবলগীয়া ভাষা
一時使用トークンの有効期限	অস্থায়ী টোকেনসমূহৰ ম্যাদ উকলি যোৱা তাৰিখ
3分	৩ মিনিট
4分	৪ মিনিট
5分	৫ মিনিট
6分	৬ মিনিট
7分	সাত মিনিট
8分	আঠ মিনিট
9分	৯ মিনিট
10分	দহ মিনিট
15分	পোন্ধৰ মিনিট
20分	বিশ মিনিট
25分	পঁচিশ মিনিট
30分	৩০ মিনিট
35分	পঁয়ত্ৰিশ মিনিট
40分	চল্লিশ মিনিট
45分	পয়তাল্লিশ মিনিট
50分	পঞ্চাশ মিনিট
55分	পঞ্চান্ন মিনিট
1時間	এঘণ্টা
画像URL情報の有効期限を設定します	ছবিৰ URL তথ্যৰ ম্যাদ উকলি যোৱা তাৰিখ নিৰ্ধাৰণ কৰক
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	এবাৰ লোড হ'লে, ছবিৰ URL আৰু অস্থায়ী টোকেন বাতিল কৰা হ'ব।
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	ছবিবোৰ চাহিদা অনুসৰি লোড হয়, কিন্তু নিৰ্দিষ্ট সময়ৰ ৩০ ছেকেণ্ড আগতেই সেইবোৰ স্বয়ংক্ৰিয়ভাৱে লোড হৈ যাব।
一時使用トークンのビット数	এটা অস্থায়ী টোকেনত বিটৰ সংখ্যা
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	ছবিৰ URL তথ্য এনক্ৰিপ্ট কৰিবলৈ এটা অস্থায়ী টোকেন পাছৱৰ্ড হিচাপে ব্যৱহাৰ কৰা হয়; এই ছেটিংটোৱে ইয়াৰ শক্তি নিৰ্দিষ্ট কৰে।
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	যদিও ড্ৰপ-ডাউন মেনুৰ তলত দেখুওৱা বিকল্পবোৰ ক্ৰমান্বয়ে বিতং হৈ পৰে, ই ছাৰ্ভাৰৰ ওপৰত অধিক বোজা পেলাব পাৰে আৰু ফলস্বৰূপে অধিক পৰিমাণৰ HTML ডেটা স্থানান্তৰিত হ'ব পাৰে।
ハッシュ化アルゴリズム	হেছ এলগৰিথম
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	ছবিৰ URL তথ্য এনক্ৰিপ্ট কৰিবলৈ এটা অস্থায়ী টোকেন পাছৱৰ্ড হিচাপে ব্যৱহাৰ কৰা হয়; ইয়াৰ বাবে হেছিঙৰ প্ৰয়োজন হয়, আৰু এই ছেটিংটোৱে সেই হেছিঙৰ শক্তি নিৰ্ধাৰণ কৰে।
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	যদিও ড্ৰপ-ডাউন মেনুত দেখুওৱা বিকল্পসমূহৰ মাজেৰে তললৈ স্ক্ৰ'ল কৰাৰ লগে লগে ইয়াৰ তীব্ৰতা বৃদ্ধি পায়, ই ছাৰ্ভাৰৰ ওপৰত অধিক বোজা পেলায়।
基本設定	মূল ছেটিংছ
高度な設定	উন্নত ছেটিংছ
初期設定に戻す	ডিফল্ট ছেটিংছ পুনৰুদ্ধাৰ কৰক
デザイン・音の設定	ডিজাইন আৰু শব্দ ছেটিংছ
イベントの設定	অনুষ্ঠানৰ ছেটিংছ
初回訪問時のお知らせの設定	প্ৰথমবাৰৰ বাবে দৰ্শনৰ বাবে অধিসূচনা ছেট আপ কৰা
メッセージの設定	বাৰ্তাৰ ছেটিংছ
右クリックやソースコード表示時に転送する URL を設定します	ৰাইট-ক্লিক কৰাৰ সময়ত বা ছ'ৰ্চ কোড চোৱাৰ সময়ত খোলা হ'বলগীয়া URLটো ছেট কৰক
警告メッセージにはHTMLは使用できません	সতৰ্কবাৰ্তাত HTML ব্যৱহাৰ কৰিব নোৱাৰি।
この画面で設定すると、高度な設定タブにある言語設定が無視されます	যদি আপুনি এই স্ক্ৰীণত ইয়াক কনফিগাৰ কৰে, তেন্তে Advanced টেবৰ ভাষাৰ ছেটিংসমূহ অৱজ্ঞা কৰা হ'ব।
以下の文字列が使用できます	নিম্নলিখিত ষ্ট্ৰিংবোৰ ব্যৱহাৰ কৰিব পাৰি
改行	শাৰী ভঙা
押下されたキー	কী টিপা হ'ল
Neo HTML Protector 設定	নিঅ' HTML প্ৰটেক্টৰ ছেটিংছ
お知らせ	অৱগত
メッセージ	বাৰ্তা
デザイン・音	ডিজাইন আৰু শব্দ
初期化	প্ৰাৰম্ভিকীকৰণ
このプラグインについて	এই প্লাগইনটোৰ বিষয়ে
設定が初期化されました	ছেটিংসমূহ ৰিছেট কৰা হৈছে।
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	প্লাগইনটো আৰম্ভ কৰক। অনুগ্ৰহ কৰি মন কৰিব যে এই পৰ্যায়ত IP লগ ৰিডাৰৰ ডেটা মচি পেলোৱা নহ'ব।
Neo HTML Protectorについて	নিঅ' HTML প্ৰটেক্টৰৰ বিষয়ে
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	এই প্লাগইনটো আপোনাৰ ৱৰ্ডপ্ৰেছ চাইটৰ দ্বাৰা সৃষ্টি কৰা HTML, ছবি আৰু অন্যান্য সমলক সুৰক্ষিত কৰিবলৈ ডিজাইন কৰা হৈছে, যাতে ইয়াৰ অননুমোদিত ব্যৱহাৰ ৰোধ কৰিব পৰা যায়।
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	বিষয়বস্তু সম্পূৰ্ণৰূপে সুৰক্ষিত কৰাটো অসম্ভৱ। অৱশ্যে, য'ত সম্ভৱ তাত সতৰ্কবাণী জাৰি কৰি আৰু যদি কিবা ঘটে তেন্তে তাৰ বাবে প্ৰস্তুতি চলাই, আমি চৰকাৰে নিৰ্ধাৰণ কৰা কাৰ্যপ্ৰণালী অনুসৰি বিষয়টো সমাধান কৰিবলৈ সক্ষম হ'ব লাগে।
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	অৱশ্যেই, আপুনি নিশ্চিত কৰিব লাগিব যে আপোনাৰ চৰ্তাৱলী আৰু নিয়মাৱলী তথা চাইটৰ নীতিসমূহ ব্যাপক হয়। যদিও এই প্লাগইনটো চৰ্তাৱলী আৰু নিয়মাৱলী সৃষ্টি কৰাৰ বাবে এটা সঁজুলি নহয়, ই কিছু নিৰ্দেশনা আগবঢ়াব পাৰে।
開発者: 夜桜　なの	বিকাশক: নেনো য়োজাকুৰা
バージョン	সংস্কৰণ
ビルド	নিৰ্মাণ কৰা
サポートページ	সহায় পৃষ্ঠা
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	শ্ৰীমতী উৰা মানিৰাৰ দ্বাৰা পৰিৱেশিত
支援のお願い	সহায়ৰ বাবে এক অনুৰোধ
Neo HTML Protectorをご利用いただき、ありがとうございます！	নিঅ' HTML প্ৰটেক্টৰ ব্যৱহাৰ কৰাৰ বাবে ধন্যবাদ!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	এই প্লাগইনটোৰ বিকাশ আৰু ৰক্ষণাবেক্ষণত যথেষ্ট সময় আৰু শ্ৰমৰ প্ৰয়োজন হৈছে, আৰু ইয়াক উন্নত আৰু আপডেট কৰি থকাৰ বাবে পুঁজি সংগ্ৰহ কৰিবলৈ, যিকোনো সক্ষম ব্যক্তিয়ে আমাক সহায় কৰিবলৈ অনুদান দিব বুলি বিবেচনা কৰিলে আমি কৃতজ্ঞ হ'ম।
寄付について	দানৰ বিষয়ে
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	দান সম্পূৰ্ণৰূপে স্বেচ্ছামূলক, বাধ্যতামূলক নহয়। প্লাগইনটো সকলোৰে বাবে বিনামূলীয়াকৈ উপলব্ধ। তথাপি, আমাক বিকাশ অব্যাহত ৰখাত সহায় কৰিবলৈ আপোনাৰ সমৰ্থনক আমি অত্যন্ত শলাগ লওঁ, আৰু আপুনি যিমান পাৰে অৰিহণা যোগালে আমি আনন্দিত হ'ম।
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	আপুনি তলত দিয়া লিংকটোৰ জৰিয়তে দান কৰিব পাৰে। যদি আপুনি জাপানত থাকে, তেন্তে আপুনি বিনামূলীয়াকৈ দান কৰিব পাৰে, আৰু আপুনি আমাজন গিফ্ট ভাউচাৰ ব্যৱহাৰ কৰিও সহজে দান কৰিব পাৰে।
寄付先	দাতব্য সংস্থা
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	আপোনালোকৰ সমৰ্থনত, আমি আপোনালোকলৈ চমৎকাৰ আপডেটসমূহ আনি থাকিবলৈ যথাসাধ্য চেষ্টা কৰিম!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	আপোনাৰ সমৰ্থনৰ বাবে আমি কৃতজ্ঞ আৰু ভৱিষ্যতেও আপোনাৰ অবিৰত সমৰ্থনৰ বাবে আশাবাদী।
ライセンス	অনুমতিপত্ৰ
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	এই প্লাগইনটো মুক্ত উৎস চফ্টৱেৰ হিচাপে বিকশিত কৰা হৈছে আৰু ইয়াক GPLv2.0 বা তাৰ পৰৱৰ্তী সংস্কৰণৰ অধীনত অনুজ্ঞাপত্ৰ প্ৰদান কৰা হৈছে।
このプラグインに含まれるいくつかの技術は特許保護の対象です。	এই প্লাগইনত অন্তৰ্ভুক্ত কিছুমান প্ৰযুক্তি পেটেণ্টৰ দ্বাৰা সুৰক্ষিত।
特許技術の使用は、このプラグイン内での使用に限って認められます。	পেটেণ্টযুক্ত প্ৰযুক্তিৰ ব্যৱহাৰ কেৱল এই প্লাগ-ইনৰ ভিতৰতহে অনুমতিপ্ৰাপ্ত।
その他の使用については、作者に連絡して商用ライセンスを取得してください。	আন যিকোনো ব্যৱহাৰৰ বাবে, অনুগ্ৰহ কৰি বাণিজ্যিক অনুজ্ঞাপত্ৰ লাভ কৰিবলৈ লেখকৰ সৈতে যোগাযোগ কৰক।
本プラグインには以下のライブラリを同梱しています	এই প্লাগইনটোত নিম্নলিখিত লাইব্ৰেৰীবোৰ অন্তৰ্ভুক্ত আছে।
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	এই প্লাগইনটোত তলত সৃষ্টি কৰা ASCII আৰ্ট ফণ্টসমূহৰ লগতে ফণ্ট ফাইলসমূহো অন্তৰ্ভুক্ত কৰা হৈছে।
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	এই প্লাগইনটোত EJ Co., Ltd.-ৰ দ্বাৰা বিকশিত আৰু এই প্লাগইনৰ নিৰ্মাতাই সুৰ ৰচনা কৰা, অনানুষ্ঠানিক Super Famicom গেম 'SM Trainer Hitomi 3'ৰ সংগীত অন্তৰ্ভুক্ত কৰা হৈছে, আৰু ই আনুষ্ঠানিকভাৱে অনুজ্ঞাপত্ৰপ্ৰাপ্ত।
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	এই প্লাগইনটোত কেপি
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	মই এই প্লাগইনটোৰ বিকাশত এটা Raspberry Pi 5, ChatGPT আৰু DeepL-ও ব্যৱহাৰ কৰিছোঁ।
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	এটা কেছিং প্লাগইন চিনাক্ত কৰা হৈছে। যদি এটা কেছিং প্লাগইন সক্ৰিয় কৰা থাকে, তেন্তে এই প্লাগইনটোৱে সঠিকভাৱে কাম নকৰিব।
無効なIPアドレス	অবৈধ আইপি ঠিকনা
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	এই ৱেবছাইটটো ব্যৱহাৰ কৰিবলৈ, আপুনি কুকিজ আৰু জাভাস্ক্রিপ্ট সক্ষম কৰিব লাগিব।
利用規約	ব্যৱহাৰৰ চৰ্তাৱলী
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	অননুমোদিত ব্যৱহাৰ প্ৰতিৰোধ কৰিবলৈ আৰু আমাৰ সেৱাসমূহৰ সুৰক্ষিত পৰিচালনা নিশ্চিত কৰিবলৈ, এই ৱেবছাইটটোৱে আইপি ঠিকনা, ব্ৰাউজিং ইতিহাস আৰু কাৰ্যকলাপৰ লগৰ দৰে তথ্য কুকিজ আৰু ডাটাবেছত সংৰক্ষণ কৰিব পাৰে। এই তথ্য কেৱল ৱেবছাইটটোৰ পৰিচালনা আৰু আইনী উদ্দেশ্যৰ বাবেহে ব্যৱহাৰ কৰা হয়, আৰু কোনো তৃতীয় পক্ষৰ ওচৰত প্ৰকাশ কৰা নহ'ব।
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	এই সেৱা ব্যৱহাৰ কৰিবলৈ, আপুনি এই প্ৰক্ৰিয়াকৰণ কাৰ্য্যকলাপসমূহৰ বাবে সন্মতি দিব লাগিব।
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	আপুনি সন্মতি দিয়ক বা নিদিয়ক, গোপনীয়তা নীতিৰ বিষয়বস্তু চাব পাৰে।
同意する	মই একমত
同意しない	মই একমত নহয়
確認	নিশ্চিতকৰণ
プライバシーポリシー	গোপনীয়তা নীতি
通常とは異なる方法でのアクセスや操作が検出されました	অসাধাৰণ প্ৰৱেশ বা কাৰ্যকলাপ ধৰা পৰিছে
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	সুৰক্ষা আৰু বিষয়বস্তু সুৰক্ষাৰ উদ্দেশ্যে কিছুমান বৈশিষ্ট্য সীমিত কৰা হৈছে।
デバッグモード、コンソールの起動は禁止されています	ডিবাগ মোড আৰু কনছ'ল এক্সেছ নিষ্ক্ৰিয় কৰা হৈছে।
以下の情報がサーバーに送信されました	তলত দিয়া তথ্যখিনি ছাৰ্ভাৰলৈ পঠোৱা হৈছে।
あなたのIPアドレス	আপোনাৰ আইপি ঠিকনা
あなたの端末とブラウザ	আপোনাৰ ডিভাইচ আৰু ব্ৰাউজাৰ
あなたの押下したキー	আপুনি টিপিবলগীয়া চাবিটো
リダイレクトをします	আপোনাক পুনঃনিৰ্দেশিত কৰা হ'ব
コンテンツ保護のため一部の機能を制限しています	বিষয়বস্তু সুৰক্ষিত কৰিবলৈ কিছুমান বৈশিষ্ট্য সীমিত কৰা হৈছে।
右クリックは禁止されています	ৰাইট-ক্লিক কৰিবলৈ অনুমতি নাই
あなたが押下したキー	আপুনি টিপিবলগীয়া চাবিটো
印刷、PDFへの保存は禁止されています	পিডিএফ হিচাপে প্ৰিণ্ট আৰু ছেভ কৰা নিষিদ্ধ।
スクリーンショットは禁止されています	স্ক্ৰীণশ্বট নিষিদ্ধ
スクリーンショット、デバッグモード等の起動は禁止されています	স্ক্ৰীণশ্বট লোৱা আৰু ডিবাগ মোড সক্ষম কৰা নিষিদ্ধ।
ページの保存は禁止されています	এই পৃষ্ঠা সংৰক্ষণ কৰা নিষিদ্ধ
コピー、カットは禁止されています	নকল কৰা আৰু কাটি লোৱা নিষিদ্ধ।
あなたが起こしたイベント	আপুনি আয়োজন কৰা অনুষ্ঠানসমূহ
テキストの選択は禁止されています	পাঠ্য বাছনি কৰিবলৈ অনুমতি নাই
HTMLソース表示は禁止されています	HTML উৎস ক'ড প্ৰদৰ্শন কৰা নিষিদ্ধ।
不正アクセスは禁止されています	অনুমতিবিহীন প্ৰৱেশ নিষিদ্ধ
アフリカーンス語	আফ্ৰিকান্স
アラゴン語	আৰাগনীজ
アラビア語	আৰবী
アッサム語	অসমীয়া
アゼルバイジャン語	আজাৰবাইজানী
バシュキール語	বাশকিৰ
ベラルーシ語	বেলাৰুছিয়ান
ベンガル語	বঙালী
ブルガリア語	বুলগেৰিয়ান
ボスニア語	বচনিয়াক
カタロニア語	কাটালান
チェコ語	চেক
ウェールズ語	ৱেলছ
デンマーク語	ডেনিছ
ドイツ語	জাৰ্মান
現代ギリシア語	আধুনিক গ্ৰীক
英語	ইংৰাজী
イギリス英語	ব্ৰিটিছ ইংৰাজী
アメリカ英語	আমেৰিকান ইংৰাজী
エスペラント語	আন্তৰ্জাতিক
スペイン語	স্পেনিছ
エストニア語	এষ্টোনিয়ান
バスク語	বাছ্ক
ペルシャ語	ফাৰ্চী
フィンランド語	ফিনিছ
フランス語	ফৰাচী
アイルランド語	আইৰিছ
ガリシア語	গালিচিয়ান
グァラニ語	গুৱাৰানি
グジャラート語	গুজৰাটী
ハウサ語	হাউছা
ヘブライ語	হিব্ৰু
ヒンディ語	হিন্দী
クロアチア語	ক্ৰ'ৱেচিয়ান
ハイチ・クレオール語	হেইটিয়ান ক্ৰিয়েল
ハンガリー語	হাংগেৰীয়
インドネシア語	ইণ্ডোনেছিয়ান
イボ語	ইবো ভাষা
アイスランド語	আইচলেণ্ডীয়
イタリア語	ইটালীয়ান
日本語	জাপানী
ジャワ語	জাভানী
カザフ語	কাজাখ
朝鮮語	কোৰিয়ান
クルド語	কুৰ্দী
キルギス語	কীৰ্গিজ
ラテン語	লেটিন
ルクセンブルク語	লুক্সেমবাৰ্গীয়া
リンガラ語	লিংগালা
リトアニア語	লিথুৱেচিয়ান
ラトビア語	লাটভিয়ান
マダガスカル語	মালয়েশিয়ান
マオリ語	মাওৰী
マケドニア語	মেচিডোনিয়ান
マラヤーラム語	মালয়ালম
モンゴル語	মংগোলীয়
マラーティー語	মাৰাঠী
マレー語	মালয়
マルタ語	মল্টিজ
ビルマ語	বাৰ্মিজ
ネパール語	নেपाली
ノルウェー語	নৰৱেজিয়ান
オランダ語	ডাচ
オック語	অক্সিটান
オロモ語	অৰোমো
パンジャーブ語	পঞ্জাৱী
ポーランド語	পলিচ
パシュトー語	পাঠ
ポルトガリア語	পৰ্তুগীজ
ブラジルポルトガル語	ব্ৰাজিলীয় পৰ্তুগীজ
ヨーロピアンポルトガル語	ইউৰোপীয় পৰ্তুগীজ
ケチュア語	কেচুয়া
ルーマニア語	ৰোমানিয়ান
ロシア語	ৰাছিয়ান
サンスクリット語	সংস্কৃত
スロバキア語	স্লোভাক
スロベニア語	শ্ল'ভেনিয়ান
セルビア語	চাৰ্বিয়ান
南セソト語	দক্ষিণ ছেহোতো
スンダ語	চন্দনচৰীয়া
スウェーデン語	ছুইডিছ
スワヒリ語	সোৱাহিলি
タミル語	তামিল
テルグ語	তেলুগু
タジク語	তাजिक
タイ語	থাই
トルクメン語	টৰ্কমেন
タガログ語	ট্যাগালগ
トルコ語	তুৰ্কী
タタール語	তাৰ
ウクライナ語	ইউক্ৰেইনীয়
ウルドゥー語	উৰ্দু
ウズベク語	উজবেক
ベトナム語	ভিয়েটনামীয়
コサ語	কোসা
イディッシュ語	ইডিছ
簡体中国語	সৰলীকৃত চীনা
繁体中国語	পৰম্পৰাগত চীনা
ズールー語	জুলু
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	আপুনি বৰ্তমান ব্যৱহাৰ কৰি থকা ব্ৰাউজাৰটো এটা পুৰণি সংস্কৰণ, যাক আৰু সমৰ্থন কৰা নহয়। এক সুৰক্ষিত আৰু অধিক আৰামদায়ক ব্ৰাউজিং অভিজ্ঞতাৰ বাবে, অনুগ্ৰহ কৰি আপোনাৰ ব্ৰাউজাৰটো শেহতীয়া সংস্কৰণলৈ আপডেট কৰক।
不正なリクエストです	অবৈধ অনুৰোধ
画像が見つかりません	ছবিটো পোৱা নগ'ল
