設定	Կարգավորումներ
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	Չնայած որ ընկղմվող մենյուում ցուցադրված տարբերակների ցանկով ներքև շարժվելիս ինտենսիվությունը մեծանում է, սա սերվերի վրա ավելի մեծ բեռ է դնում։
基本設定	Հիմնական կարգավորումներ
高度な設定	Ընդլայնված կարգավորումներ
初期設定に戻す	Վերականգնել նախնական կարգավորումները
デザイン・音の設定	Դիզայնի և ձայնային կարգավորումներ
イベントの設定	Միջոցառման կարգավորումներ
初回訪問時のお知らせの設定	Առաջին այցերի ծանուցումների կարգավորում
メッセージの設定	Հաղորդագրության կարգավորումներ
右クリックやソースコード表示時に転送する URL を設定します	Տեղադրեք URL-ը, որը պետք է բացվի աջ կտտացնելիս կամ աղբյուրի կոդը դիտելիս։
警告メッセージにはHTMLは使用できません	HTML-ը չի կարող օգտագործվել նախազգուշացնող հաղորդագրություններում։
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Եթե այս էկրանին դուք դա կարգավորեք, «Ընդլայնված» ներդիրի լեզվային կարգավորումները անտեսվելու են։
以下の文字列が使用できます	Հետևյալ տողերը կարելի է օգտագործել
改行	Տողի կոտրում
押下されたキー	ճAVEՐ սեղմված
Neo HTML Protector 設定	Նեո HTML Պաշտպանի կարգավորումներ
お知らせ	Զգուշացում
メッセージ	Հաղորդագրություն
デザイン・音	Դիզայն և ձայն
初期化	Նախնական կարգավորում
このプラグインについて	Այս պլագինի մասին
設定が初期化されました	Տեղադրումները վերականգնվել են
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Նախաձեռնել պլագինը։ Խնդրում ենք նկատի ունենալ, որ այս փուլում IP Log Reader տվյալները չեն ջնջվի։
Neo HTML Protectorについて	Նեո HTML Պաշտպանի մասին
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Այս պլագինը նախատեսված է պաշտպանելու ձեր WordPress կայքի կողմից ստեղծված HTML-ը, պատկերները և այլ բովանդակությունը՝ չթույլատրված օգտագործումից։
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Բովանդակությունը ամբողջությամբ պաշտպանելը անհնար է։ Այնուամենայնիվ, հնարավորության դեպքում նախազգուշացումներ տալով և հնարավոր դեպքի համար նախապատրաստություններ տեսնելով՝ մենք պետք է կարողանանք հարցը լուծել կառավարության սահմանած ընթացակարգերի համաձայն։
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Իհարկե, դուք պետք է համոզվեք, որ ձեր օգտագործման պայմաններն ու կայքի քաղաքականությունները համապարփակ են։ Չնայած այս հավելումը օգտագործման պայմաններ ստեղծելու գործիք չէ, այն կարող է որոշ ուղեցույցներ տրամադրել։
開発者: 夜桜　なの	Զարգացնող՝ Նանո Յոզակուրա
バージョン	Տարբերակ
ビルド	Կառուցել
サポートページ	Աջակցության էջ
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Կատարել է Միս Ուրա Մանիրան
支援のお願い	Աջակցության խնդրանք
Neo HTML Protectorをご利用いただき、ありがとうございます！	Շնորհակալություն Neo HTML Protector-ը օգտագործելու համար։
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Այս պլագինի մշակումն ու սպասարկումը պահանջել են մեծ ժամանակ և ջանք, և որպեսզի շարունակենք այն բարելավել ու թարմացնել, մենք երախտապարտ կլինենք, եթե յուրաքանչյուր ոք, ով կարող է մեզ աջակցել, հաշվի առնի նվիրատվություն անելու հնարավորությունը։
寄付について	Նվիրատվությունների մասին
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Նվիրատվությունները ամբողջությամբ կամավոր են և ոչ պարտադիր։ Պլագինը բոլորի համար անվճար է։ Այնուամենայնիվ, ձեր աջակցությունը չափազանց գնահատելի է՝ շարունակելու մեր զարգացումը, և մենք ուրախ կլինենք, եթե կարողանաք նվիրաբերել այն, ինչ կարող եք։
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Դուք կարող եք նվիրատվություն կատարել ստորև նշված հղման միջոցով։ Եթե դուք գտնվում եք Ճապոնիայում, կարող եք անվճար նվիրատվություն անել, ինչպես նաև հեշտությամբ նվիրաբերել Amazon նվեր-քարտերով։
寄付先	Բարեգործական կազմակերպություններ
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Ձեր աջակցությամբ մենք մեր լավագույնը կդնենք, որպեսզի շարունակենք ձեզ հրաշալի թարմացումներ մատուցել։
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Մենք երախտապարտ ենք ձեր աջակցության համար և ակնկալում ենք ձեր շարունակական աջակցությունը ապագայում։
ライセンス	Լիցենզիա
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Այս պլագինը մշակվել է որպես բաց կոդով ծրագրային ապահովում և լիցենզավորված է GPLv2.0-ով կամ ավելի նոր տարբերակով։
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Այս պլագինում ընդգրկված որոշ տեխնոլոգիաներ պաշտպանված են արտոնագրերով։
特許技術の使用は、このプラグイン内での使用に限って認められます。	Պատենտավորված տեխնոլոգիայի օգտագործումը թույլատրվում է միայն այս պլագինի շրջանակներում։
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Այլ ցանկացած օգտագործման համար խնդրում ենք կապ հաստատել հեղինակի հետ՝ առևտրային լիցենզիա ստանալու համար։
本プラグインには以下のライブラリを同梱しています	Այս պլագինը ներառում է հետևյալ գրադարանները
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Այս պլագինը ներառում է ստորև գեներացված ASCII արվեստի տառատեսակները և տառատեսակների ֆայլերը։
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Այս պլագինը ներառում է երաժշտություն ոչ պաշտոնական Super Famicom խաղից՝ «SM Trainer Hitomi 3», որը մշակվել է EJ Co., Ltd.-ի կողմից և կոմպոզացվել է այս պլագինի հեղինակի կողմից, և ունի պաշտոնական լիցենզիա։
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Այս պլագինը ներառում է «Keppy's YAMAHA C7»-ով ստեղծված տրեքները, որոնք մշակվել են Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Ես նաև օգտագործել եմ Raspberry Pi 5-ը, ChatGPT-ն և DeepL-ը այս հավելվածի մշակման ընթացքում։
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Փոխանցման
無効なIPアドレス	Անվավեր IP հասցե
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Այս կայքը օգտագործելու համար դուք պետք է միացնեք cookie-ները և JavaScript-ը։
利用規約	Օգտագործման պայմաններ
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Անթույլատրելի օգտագործումը կանխելու և մեր ծառայությունների անվտանգ աշխատանքը ապահովելու համար այս կայքը կարող է cookie-ներում և տվյալների բազաներում պահպանել տեղեկատվություն, ինչպիսիք են IP հասցեները, զննարկման պատմությունը և գործունեության գրառումները։ Այս տեղեկատվությունը օգտագործվում է բացառապես կայքի աշխատանքի և իրավական նպատակների համար և չի փոխանցվի երրորդ կողմերին։
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Այս ծառայությունը օգտագործելու համար դուք պետք է համաձայնություն տաք այս մշակման գործողություններին։
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Դուք կարող եք դիտել Գաղտնիության քաղաքականության բովանդակությունը՝ անկախ նրանից, արդյոք տվել եք ձեր համաձայնությունը։
同意する	Ես համաձայն եմ
同意しない	Ես չեմ համաձայն
確認	Հաստատում
プライバシーポリシー	Գաղտնիության քաղաքականություն
通常とは異なる方法でのアクセスや操作が検出されました	Չսովորական մուտք կամ ակտիվություն է հայտնաբերվել
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Անվտանգության և բովանդակության պաշտպանության նպատակներով որոշ առանձնահատկություններ սահմանափակվել են։
デバッグモード、コンソールの起動は禁止されています	Սխալների հայտնաբերման ռեժիմը և կոնսոլի մուտքը անջատված են։
以下の情報がサーバーに送信されました	Հետևյալ տեղեկատվությունը ուղարկվել է սերվերին
あなたのIPアドレス	Ձեր IP հասցեն
あなたの端末とブラウザ	Ձեր սարքը և զննարկիչը
あなたの押下したキー	Դուք սեղմեցիք բանալին
リダイレクトをします	Դուք կուղղորդվեք
コンテンツ保護のため一部の機能を制限しています	Բովանդակությունը պաշտպանելու համար որոշ առանձնահատկություններ սահմանափակվել են։
右クリックは禁止されています	Աջ կտտացնելը թույլատրված չէ
あなたが押下したキー	Դուք սեղմեցիք բանալին
印刷、PDFへの保存は禁止されています	Տպելը և PDF ֆորմատով պահպանելը արգելվում են։
スクリーンショットは禁止されています	Էկրանահարումները արգելված են
スクリーンショット、デバッグモード等の起動は禁止されています	Սքրինշոթներ անելն ու debug ռեժիմը միացնելը արգելվում են։
ページの保存は禁止されています	Այս էջը պահպանելը արգելված է
コピー、カットは禁止されています	Պատճենահանելն ու կտրելն արգելվում են։
あなたが起こしたイベント	Դուք կազմակերպել եք միջոցառումներ
テキストの選択は禁止されています	Տեքստի ընտրությունը թույլատրված չէ
HTMLソース表示は禁止されています	HTML աղբյուրային կոդի ցուցադրումը արգելվում է
不正アクセスは禁止されています	Անթույլատրելի մուտքը արգելվում է
アフリカーンス語	Աֆրիկանս
アラゴン語	Արագոներեն
アラビア語	արաբերեն
アッサム語	Ասամերեն
アゼルバイジャン語	Ադրբեջանական
バシュキール語	Բաշկիր
ベラルーシ語	Բելառուսերեն
ベンガル語	բենգալերեն
ブルガリア語	բուլղարերեն
ボスニア語	Բոսնիացի
カタロニア語	Կատալոնացի
チェコ語	Չեխ
ウェールズ語	Ուելսցի
デンマーク語	դանիական
ドイツ語	Գերմանական
現代ギリシア語	Ժամանակակից հունարեն
英語	անգլերեն
イギリス英語	Բրիտանական անգլերեն
アメリカ英語	Ամերիկյան անգլերեն
エスペラント語	Սպերանտո
スペイン語	Իսպաներեն
エストニア語	Էստոնական
バスク語	Բասկ
ペルシャ語	պարսկերեն
フィンランド語	Ֆիննական
フランス語	Ֆրանսիական
アイルランド語	Իռլանդացի
ガリシア語	Գալիցիական
グァラニ語	Գուարանի
グジャラート語	Գուջարաթի
ハウサ語	հաուսա
ヘブライ語	հեբրայերեն
ヒンディ語	հինդի
クロアチア語	Խորվաթական
ハイチ・クレオール語	Հայթիյան կրիոլ
ハンガリー語	Հունգարական
インドネシア語	Ինդոնեզերեն
イボ語	Իբո լեզու
アイスランド語	Իսլանդերեն
イタリア語	իտալական
日本語	ճապոնական
ジャワ語	Ջավաներեն
カザフ語	Քազախ
朝鮮語	Կորեական
クルド語	Քրդական
キルギス語	Քիրգիզ
ラテン語	լատիներեն
ルクセンブルク語	լյուքսեմբուրգերեն
リンガラ語	Լինգալա
リトアニア語	Լիտվերեն
ラトビア語	լատվիերեն
マダガスカル語	Մալագասի
マオリ語	մաորի
マケドニア語	Մակեդոնական
マラヤーラム語	Մալայալամ
モンゴル語	Մոնղոլերեն
マラーティー語	Մարաթի
マレー語	Մալայ
マルタ語	Մալթերեն
ビルマ語	բիրմերեն
ネパール語	Նեպալերեն
ノルウェー語	Նորվեգական
オランダ語	հոլանդերեն
オック語	Օքսիտաներեն
オロモ語	Օրոմո
パンジャーブ語	Պունջաբի
ポーランド語	Լաք
パシュトー語	پասթո
ポルトガリア語	Պորտուգալերեն
ブラジルポルトガル語	Բրազիլական պորտուգալերեն
ヨーロピアンポルトガル語	Եվրոպական պորտուգալերեն
ケチュア語	Քեչուա
ルーマニア語	ռումիներեն
ロシア語	ռուսերեն
サンスクリット語	Սանսկրիտ
スロバキア語	Սլովակ
スロベニア語	Սլովենական
セルビア語	Սերբական
南セソト語	Հարավային Սեսոտո
スンダ語	Սունդանեզերեն
スウェーデン語	Շվեդական
スワヒリ語	Սվահիլի
タミル語	Թամիլերեն
テルグ語	Թելուգու
タジク語	Թաջիկ
タイ語	Թաիլանդական
トルクメン語	Թուրքմեն
タガログ語	Թագալոգ
トルコ語	Թուրքական
タタール語	Թաթար
ウクライナ語	Ուկրաիներեն
ウルドゥー語	ուրդու
ウズベク語	Ուզբեկ
ベトナム語	Վիետնամերեն
コサ語	Կոզա
イディッシュ語	յիդիշ
簡体中国語	Պարզեցված չինարեն
繁体中国語	Ավանդական չինարեն
ズールー語	Զուլու
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Ձեր ներկայիս օգտագործած զննարկիչը հնացած տարբերակ է, որը այլևս չի աջակցվում։ Ավելի անվտանգ և հարմարավետ զննարկման փորձ ապահովելու համար խնդրում ենք թարմացնել ձեր զննարկիչը վերջին տարբերակին։
不正なリクエストです	Անվավեր հարցում
画像が見つかりません	Պատկերը չի գտնվել
