設定	Көйләүҙәр
右クリックやソースコード表示時に転送する URL を設定します	Уң яҡ төймә менән баҫҡанда йәки сығанаҡ кодын ҡарағанда асыласаҡ URL-ды билдәләгеҙ
警告メッセージにはHTMLは使用できません	Хуплау хәбәрҙәрендә HTML ҡулланып булмай.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	Әгәр был экранда конфигурациялаһағыҙ, «Ҡушымса» вкладкаһындағы тел көйләүҙәре иҫәпкә алынмаясаҡ.
以下の文字列が使用できます	Түбәндәге юлдарҙы ҡулланырға мөмкин
改行	Юл өҙөлөшө
押下されたキー	Төймә баҫылды
Neo HTML Protector 設定	Neo HTML һаҡлағыс көйләүҙәре
お知らせ	Иҫкәрмә
メッセージ	Хәбәр
デザイン・音	Дизайн һәм тауыш
初期化	Башлап көйләү
このプラグインについて	Был плагин тураһында
設定が初期化されました	Көйләүҙәр яңынан ҡуйылды
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Плагинды инициализация итегеҙ. Иғтибар итегеҙ: был этапта IP Log Reader мәғлүмәттәре юйылмаясаҡ.
Neo HTML Protectorについて	Neo HTML Protector тураһында
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Был плагин һеҙҙең WordPress сайтығыҙ тарафынан барлыҡҡа килтерелгән HTML-ды, рәсемдәрҙе һәм башҡа контентты рөхсәтһеҙ ҡулланыуҙан һаҡлау өсөн эшләнгән.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Контентты тулыһынса һаҡлау мөмкин түгел. Әммә мөмкин булған һәр ерҙә иҫкәртеүҙәр биреп һәм ниндәйҙер хәл килеп тыуһа тип әҙерлек күреп, беҙ хөкүмәт тарафынан билдәләнгән процедураларға ярашлы был мәсьәләне хәл итә алабыҙ.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Әлбиттә, һеҙгә үҙ шарттарығыҙҙы һәм талаптарығыҙҙы, шулай уҡ сайт сәйәсәтен тулыһынса әҙерләүҙе тәьмин итергә кәрәк. Был плагин шарттарҙы һәм талаптарҙы автоматик рәүештә төҙөү ҡоралы булмаһа ла, ул ҡайһы бер кәңәштәр бирә ала.
開発者: 夜桜　なの	Үҫтереүсе: Нано Йозакура
バージョン	Нөсхә
ビルド	Төҙөү
サポートページ	Ярҙам бите
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Ура Манира ханым башҡара
支援のお願い	Ярҙам һорауы
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector-ҙы ҡулланыуығыҙ өсөн рәхмәт!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Был плагинды эшләү һәм уны хеҙмәтләндереү күп ваҡытты һәм көс талап итте, уны камиллаштырыу һәм яңыртыу өсөн аҡса йыярыу маҡсатында ярҙам итергә мөмкинлеге булған һәр кемде донат яһарға саҡырабыҙ.
寄付について	Иғәнәләр тураһында
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Иғәнәләр бөтөнләй ихтыярлы һәм мотлаҡ түгел. Плагин һәр кемгә бушлай ҡулланыуға асыҡ. Әммә беҙҙең үҫеште дауам итеүебеҙҙә ярҙам итеүегеҙҙе ҙур рәхмәт менән ҡабул итәбеҙ, һәм хатта бәләкәй генә булһа ла өлөш индерһәгеҙ, бик шат булыр инек.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Түбәндәге һылтанма аша иғәнә ебәрә алаһығыҙ. Әгәр ҙә һеҙ Японияла йәшәһәгеҙ, бушлай иғәнә ебәрә алаһығыҙ, шулай уҡ Amazon бүләк сертификаттарын ҡулланып, еңел генә иғәнә ебәрә алаһығыҙ.
寄付先	Хәйриә ойошмалары
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Һеҙҙең ярҙамығыҙ менән беҙ һеҙгә шәп яңыртыуҙарҙы килтереүҙе дауам итеү өсөн бар көсөбөҙҙө һаласаҡбыҙ!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Беҙ һеҙҙең ярҙамығыҙ өсөн рәхмәтлебеҙ һәм киләсәктә лә һеҙҙең ярҙамығыҙҙы көтәбеҙ.
ライセンス	Лицензия
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Был плагин асыҡ сығанаҡлы программа булараҡ эшләнгән һәм GPLv2.0 йәки унан һуңғы лицензия аҫтында таратыла.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Был плагинға индерелгән ҡайһы бер технологиялар патенттар менән һаҡлана.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Патентланған технологияны ҡулланыу тик был плагин эсендә генә рөхсәт ителә.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Башҡа теләсә ниндәй ҡулланыу өсөн коммерция лицензияһын алыу өсөн авторға мөрәжәғәт итегеҙ.
本プラグインには以下のライブラリを同梱しています	Был плагин түбәндәге китапханаларҙы үҙ эсенә ала
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Был плагин аҫта төҙөлгән ASCII-арт шрифттарын һәм шрифт файлдарын үҙ эсенә ала.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Был плагин EJ Co., Ltd. компанияһы тарафынан эшләнгән һәм уны төҙөүсе тарафынан яҙылған, рәсми булмаған Super Famicom уйыны «SM Trainer Hitomi 3» музыкаһын үҙ эсенә ала һәм рәсми лицензияланған.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Был плагин Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Мин был плагинды үҫтереүҙә шулай уҡ Raspberry Pi 5-те, ChatGPT-ты һәм DeepL-ды ҡулландым.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Кэшлау плагины асыҡланды. Әгәр кэшлау плагины эшләтеп ҡуйылған булһа, был плагин дөрөҫ эшләмәйәсәк.
無効なIPアドレス	Дөрөҫ булмаған IP-адрес
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Был веб-сайтты ҡулланыу өсөн cookie-файлдарҙы һәм JavaScript-ты эшләтеп ҡуйырға кәрәк.
利用規約	Ҡулланыу шарттары
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Рөхсәтһеҙ ҡулланыуҙы булдырмау һәм беҙҙең хеҙмәттәрҙең хәүефһеҙ эшләүен тәьмин итеү өсөн, был веб-сайт IP-адрестарҙы, браузер тарихын һәм эшмәкәрлек журналдарын cookie-файлдарҙа һәм мәғлүмәт базаларында һаҡлай ала. Был мәғлүмәт веб-сайтты эшләтеү һәм хоҡуҡи маҡсаттар өсөн генә ҡулланыла һәм өсөнсө яҡтарға тапшырылмай.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Был хеҙмәтте ҡулланыу өсөн һеҙ был эшкәртеү эшмәкәрлектәренә ризалыҡ бирергә тейешһегеҙ.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Һеҙ шәхси мәғлүмәттәрҙе һаҡлау сәйәсәтенең йөкмәткеһен ризалығығыҙҙы биргәндән дә, бирмәгәндән дә ҡарай алаһығыҙ.
同意する	Мин риза
同意しない	Мин килешмәйем
確認	Раҫлау
プライバシーポリシー	Шәхси мәғлүмәтте һаҡлау сәйәсәте
通常とは異なる方法でのアクセスや操作が検出されました	Ғәҙәти булмаған инеү йәки эшмәкәрлек асыҡланды
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Ҡайһы бер функциялар хәүефһеҙлек һәм контентты һаҡлау маҡсатында сикләнде.
デバッグモード、コンソールの起動は禁止されています	Хаталарҙы төҙәтеү режимы һәм консольгә инеү сүндерелгән
以下の情報がサーバーに送信されました	Түбәндәге мәғлүмәт серверға ебәрелде
あなたのIPアドレス	Һеҙҙең IP-адресығыҙ
あなたの端末とブラウザ	Һеҙҙең ҡоролмағыҙ һәм браузерығыҙ
あなたの押下したキー	Һин баҫҡан асҡыс
リダイレクトをします	Һеҙ йүнәлтеләсәкһегеҙ
コンテンツ保護のため一部の機能を制限しています	Контентты һаҡлау өсөн ҡайһы бер функциялар сикләнде.
右クリックは禁止されています	Уң төймә менән баҫыу рөхсәт ителмәй
あなたが押下したキー	Һин баҫҡан асҡыс
印刷、PDFへの保存は禁止されています	Баҫтырыу һәм PDF-ҡа һаҡлау тыйыла.
スクリーンショットは禁止されています	Скриншоттар тыйыла
スクリーンショット、デバッグモード等の起動は禁止されています	Экран һүрәттәрен алыу һәм отладка режимын эшләтеп ебәреү тыйыла.
ページの保存は禁止されています	Был битте һаҡлау тыйыла
コピー、カットは禁止されています	Күсереп алыу һәм киҫеп алыу тыйыла.
あなたが起こしたイベント	Һеҙ ойошторған саралар
テキストの選択は禁止されています	Текст һайлау рөхсәт ителмәй
HTMLソース表示は禁止されています	HTML сығанаҡ кодын күрһәтеү тыйыла
不正アクセスは禁止されています	Рөхсәтһеҙ инеү тыйыла
アフリカーンス語	Африкаанс
アラゴン語	Арагонса
アラビア語	ғәрәп
アッサム語	Ассам телендә
アゼルバイジャン語	Әзербайжан
バシュキール語	Башҡорт
ベラルーシ語	Белорус телендә
ベンガル語	Бенгаль
ブルガリア語	Болгарса
ボスニア語	Босниян
カタロニア語	Каталон
チェコ語	Чех
ウェールズ語	Уэльс
デンマーク語	Данияса
ドイツ語	Герман
現代ギリシア語	Замана грексә
英語	Инглизсә
イギリス英語	Британия инглизсәһе
アメリカ英語	Америка инглизсәһе
エスペラント語	Эсперанто
スペイン語	Испанса
エストニア語	Эстониялы
バスク語	Баск
ペルシャ語	Фарсы
フィンランド語	Финский
フランス語	Французса
アイルランド語	Ирланд
ガリシア語	Галисия
グァラニ語	Гуарани
グジャラート語	Гужарати
ハウサ語	Һауса
ヘブライ語	Иврит
ヒンディ語	Һиндса
クロアチア語	Хорватса
ハイチ・クレオール語	Гаития креолы
ハンガリー語	Венгр
インドネシア語	Индонезияса
イボ語	Ибо теле
アイスランド語	Исландса
イタリア語	Итальян
日本語	Японса
ジャワ語	Җавандар
カザフ語	Ҡазақ
朝鮮語	Корей
クルド語	Күрдсә
キルギス語	Кыргыз
ラテン語	Латин
ルクセンブルク語	Люксембургса
リンガラ語	Мөгеҙ
リトアニア語	Литва телендә
ラトビア語	Латвия телендә
マダガスカル語	Малагаси
マオリ語	маори
マケドニア語	Македония теле
マラヤーラム語	Мәләялам
モンゴル語	Монголса
マラーティー語	Маратхи
マレー語	Малай
マルタ語	Мальтийәле
ビルマ語	Бурма
ネパール語	Непалса
ノルウェー語	Норвегиялы
オランダ語	Голланд
オック語	Окситан
オロモ語	Яки
パンジャーブ語	Пәнжаби
ポーランド語	Польша телендә
パシュトー語	Пашту
ポルトガリア語	Португалса
ブラジルポルトガル語	Бразилия португал теле
ヨーロピアンポルトガル語	Европа португалия теле
ケチュア語	Кечуа
ルーマニア語	Румынса
ロシア語	Рус
サンスクリット語	Санскрит
スロバキア語	Словак
スロベニア語	Словенияса
セルビア語	Серб
南セソト語	Көньяҡ Сесото
スンダ語	Сундан телендә
スウェーデン語	Шведса
スワヒリ語	Суахили
タミル語	Тамил
テルグ語	Телугу
タジク語	Тажик
タイ語	Тай
トルクメン語	Төрөкмән
タガログ語	Тагалог
トルコ語	Төрөк
タタール語	Татар
ウクライナ語	Украинса
ウルドゥー語	урду
ウズベク語	Үзбәк
ベトナム語	Вьетнамса
コサ語	Коса
イディッシュ語	Йидиш
簡体中国語	Ябайлаштырылған ҡытай теле
繁体中国語	Традицион ҡытай теле
ズールー語	Зулу
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Һеҙ хәҙер ҡулланған браузер — хәҙер инде хупланмай торған иҫке версия. Һеҙҙең браузер тәжрибәһен хәүефһеҙерәк һәм уңайлыраҡ итеү өсөн уны иң яңы версияға яңыртығыҙ.
不正なリクエストです	Дөрөҫ булмаған һорау
画像が見つかりません	Рәсем табылманы
