設定	সেটিংস
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML-এ AI প্রশিক্ষণের জন্য ডিজাইন করা বট ব্যবহার এড়িয়ে আমরা নিশ্চিত করি যে বিষয়বস্তু AI দ্বারা ব্যবহার করা হবে না; তবে এটি সম্পূর্ণরূপে প্রতিরোধ করা যায় না।
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	ওয়েব আর্কাইভ এবং ওয়েব স্ন্যাপশটে অ্যাক্সেস ব্লক করুন
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	আমরা স্বয়ংক্রিয়ভাবে সংগৃহীত ওয়েব আর্কাইভ এবং ব্যবহারকারীর ইচ্ছামতো তোলা স্ক্রিনশটে অ্যাক্সেস নিষিদ্ধ করি; তবে, আমরা এটি সম্পূর্ণরূপে প্রতিরোধ করতে পারি না।
無効なUAをアクセス禁止にする	অবৈধ ইউজার এজেন্টগুলো ব্লক করুন
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	যদি ইউজার এজেন্ট স্ট্রিং-এ অবৈধ অক্ষর থাকে, তবে অ্যাক্সেস প্রতিরোধ করে।
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	ইন্টারনেট এক্সপ্লোরার এবং পুরনো মাইক্রোসফট এজ
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	ইন্টারনেট এক্সপ্লোরার এবং পুরনো মাইক্রোসফট এজ ব্যবহার করে অ্যাক্সেস প্রতিরোধ করে।
alertメッセージを表示する言語	যে ভাষায় সতর্কবার্তাগুলি প্রদর্শিত হয়
Wordpressの言語	ওয়ার্ডপ্রেস ভাষা
ブラウザの設定言語	ব্রাউজারের ভাষা সেটিংস
メッセージをカスタム設定されている場合は言語を変更できません	বার্তাগুলো কাস্টমাইজ করা হয়ে থাকলে আপনি ভাষা পরিবর্তন করতে পারবেন না।
同意画面の言語	সম্মতির স্ক্রিনের ভাষা
view-sourceメッセージを表示する言語	'view-source' বার্তা প্রদর্শনের ভাষা
一時使用トークンの有効期限	অস্থায়ী টোকেনের মেয়াদ উত্তীর্ণের তারিখ
3分	৩ মিনিট
4分	৪ মিনিট
5分	৫ মিনিট
6分	৬ মিনিট
7分	৭ মিনিট
8分	৮ মিনিট
9分	৯ মিনিট
10分	১০ মিনিট
15分	পনেরো মিনিট
20分	২০ মিনিট
25分	পঁচিশ মিনিট
30分	৩০ মিনিট
35分	পঁয়ত্রিশ মিনিট
40分	চল্লিশ মিনিট
45分	৪৫ মিনিট
50分	৫০ মিনিট
55分	পঁয়পঞ্চাশ মিনিট
1時間	এক ঘণ্টা
画像URL情報の有効期限を設定します	ছবির URL তথ্যের মেয়াদোত্তীর্ণতার তারিখ নির্ধারণ করুন
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	একবার লোড হয়ে গেলে, ইমেজ URL এবং অস্থায়ী টোকেন অকার্যকর হয়ে যাবে।
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	ছবিগুলো চাহিদা অনুযায়ী লোড হয়, তবে নির্দিষ্ট সময়ের ৩০ সেকেন্ড আগে স্বয়ংক্রিয়ভাবে লোড হবে।
一時使用トークンのビット数	একটি অস্থায়ী টোকেনে বিটের সংখ্যা
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	একটি অস্থায়ী টোকেন ছবি URL-এর তথ্য এনক্রিপ্ট করার জন্য পাসওয়ার্ড হিসেবে ব্যবহৃত হয়; এই সেটিংটি এর শক্তি নির্ধারণ করে।
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	যদিও ড্রপ-ডাউন মেনুর নিচে প্রদর্শিত বিকল্পগুলো ক্রমশ আরও বিস্তারিত হয়ে ওঠে, এটি সার্ভারে ভারী চাপ সৃষ্টি করতে পারে এবং প্রচুর পরিমাণে HTML ডেটা স্থানান্তরিত হতে পারে।
ハッシュ化アルゴリズム	হ্যাশ অ্যালগরিদম
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	একটি অস্থায়ী টোকেন ছবি URL-এর তথ্য এনক্রিপ্ট করার জন্য পাসওয়ার্ড হিসেবে ব্যবহৃত হয়; এর জন্য হ্যাশিং প্রয়োজন, এবং এই সেটিংটি সেই হ্যাশিংয়ের শক্তি নির্ধারণ করে।
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	যদিও ড্রপ-ডাউন মেনুতে প্রদর্শিত বিকল্পগুলো স্ক্রল ডাউন করার সাথে সাথে তীব্রতা বৃদ্ধি পায়, এতে সার্ভারে আরও বেশি লোড পড়ে।
基本設定	মৌলিক সেটিংস
高度な設定	উন্নত সেটিংস
初期設定に戻す	ডিফল্ট সেটিংস পুনরুদ্ধার করুন
デザイン・音の設定	ডিজাইন এবং সাউন্ড সেটিংস
イベントの設定	ইভেন্ট সেটিংস
初回訪問時のお知らせの設定	প্রথমবারের ভিজিটের জন্য বিজ্ঞপ্তি সেটআপ
メッセージの設定	বার্তার সেটিংস
右クリックやソースコード表示時に転送する URL を設定します	ডান-ক্লিক করলে বা সোর্স কোড দেখলে যে URL খুলবে তা সেট করুন।
警告メッセージにはHTMLは使用できません	সতর্কবার্তায় HTML ব্যবহার করা যাবে না।
この画面で設定すると、高度な設定タブにある言語設定が無視されます	যদি আপনি এই স্ক্রিনে এটি কনফিগার করেন, তাহলে অ্যাডভান্সড ট্যাবের ভাষা সেটিংস উপেক্ষিত হবে।
以下の文字列が使用できます	নিম্নলিখিত স্ট্রিংগুলো ব্যবহার করা যেতে পারে
改行	লাইন বিরতি
押下されたキー	কী চাপানো হয়েছে
Neo HTML Protector 設定	নিও এইচটিএমএল প্রোটেক্টর সেটিংস
お知らせ	বিজ্ঞপ্তি
メッセージ	বার্তা
デザイン・音	ডিজাইন এবং সাউন্ড
初期化	প্রারম্ভিকীকরণ
このプラグインについて	এই প্লাগইন সম্পর্কে
設定が初期化されました	সেটিংস রিসেট করা হয়েছে।
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	প্লাগইনটি ইনিশিয়ালাইজ করুন। অনুগ্রহ করে লক্ষ্য করুন যে এই পর্যায়ে আইপি লগ রিডার ডেটা মুছে ফেলা হবে না।
Neo HTML Protectorについて	নিও এইচটিএমএল প্রোটেক্টর সম্পর্কে
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	এই প্লাগইনটি আপনার ওয়ার্ডপ্রেস সাইটে তৈরি হওয়া HTML, ছবি এবং অন্যান্য বিষয়বস্তুকে অননুমোদিত ব্যবহার থেকে সুরক্ষিত রাখতে ডিজাইন করা হয়েছে।
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	বিষয়বস্তু সম্পূর্ণরূপে সুরক্ষিত রাখা অসম্ভব। তবে যেখানে সম্ভব সেখানে সতর্কবার্তা জারি করে এবং কোনো ঘটনা ঘটলে তার মোকাবিলা করার প্রস্তুতি নিয়ে, আমরা সরকারের নির্ধারিত প্রক্রিয়া অনুযায়ী বিষয়টি সমাধান করতে সক্ষম হব।
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	অবশ্যই, আপনাকে নিশ্চিত করতে হবে যে আপনার শর্তাবলী এবং সাইটের নীতি সম্পূর্ণ ও ব্যাপক। যদিও এই প্লাগইন শর্তাবলী তৈরি করার সরঞ্জাম নয়, এটি কিছু নির্দেশনা দিতে পারে।
開発者: 夜桜　なの	ডেভেলপার: ন্যানো ইয়োজাকুরা
バージョン	সংস্করণ
ビルド	নির্মাণ করুন
サポートページ	সহায়তা পৃষ্ঠা
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	মিস উরা মানিরা কর্তৃক পরিবেশিত
支援のお願い	সহায়তার অনুরোধ
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector ব্যবহার করার জন্য ধন্যবাদ!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	এই প্লাগইনের উন্নয়ন ও রক্ষণাবেক্ষণে প্রচুর সময় ও প্রচেষ্টা লেগেছে, এবং এটিকে আরও উন্নত ও আপডেট করার জন্য তহবিল সংগ্রহের উদ্দেশ্যে, যারা সহায়তা করতে সক্ষম, তারা যদি অনুদান দেওয়ার কথা বিবেচনা করেন তবে আমরা কৃতজ্ঞ থাকব।
寄付について	দানের বিষয়ে
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	দান সম্পূর্ণ স্বেচ্ছামূলক, বাধ্যতামূলক নয়। প্লাগইনটি সবার জন্য বিনামূল্যে উপলব্ধ। তবে, আমাদের উন্নয়ন অব্যাহত রাখতে আপনার সমর্থন অত্যন্ত মূল্যবান, এবং আপনি যতটুকু পারেন অবদান রাখতে পারলে আমরা আনন্দিত হব।
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	আপনি নিচের লিঙ্কের মাধ্যমে অনুদান দিতে পারেন। যদি আপনি জাপানে থাকেন, তবে বিনামূল্যে অনুদান দিতে পারবেন, এবং অ্যামাজন গিফট ভাউচার ব্যবহার করেও সহজে অনুদান দিতে পারবেন।
寄付先	দাতব্য সংস্থা
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	আপনার সমর্থনে, আমরা আপনাকে দারুণ আপডেট দিতে অবিরত আমাদের সেরাটা দেব!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	আমরা আপনার সমর্থনের জন্য কৃতজ্ঞ এবং ভবিষ্যতে আপনার অব্যাহত সমর্থন প্রত্যাশা করি।
ライセンス	লাইসেন্স
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	এই প্লাগইনটি ওপেন সোর্স সফটওয়্যার হিসেবে তৈরি করা হয়েছে এবং এটি GPLv2.0 বা পরবর্তী সংস্করণের অধীনে লাইসেন্সপ্রাপ্ত।
このプラグインに含まれるいくつかの技術は特許保護の対象です。	এই প্লাগইনে অন্তর্ভুক্ত কিছু প্রযুক্তি পেটেন্ট দ্বারা সুরক্ষিত।
特許技術の使用は、このプラグイン内での使用に限って認められます。	পেটেন্টকৃত প্রযুক্তি শুধুমাত্র এই প্লাগ-ইন-এর মধ্যে ব্যবহারের অনুমতি রয়েছে।
その他の使用については、作者に連絡して商用ライセンスを取得してください。	অন্যান্য যেকোনো ব্যবহারের জন্য, বাণিজ্যিক লাইসেন্স পেতে অনুগ্রহ করে লেখকের সাথে যোগাযোগ করুন।
本プラグインには以下のライブラリを同梱しています	এই প্লাগইন নিম্নলিখিত লাইব্রেরিগুলি অন্তর্ভুক্ত করে
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	এই প্লাগইনটিতে নিচে তৈরি করা ASCII আর্ট ফন্ট এবং ফন্ট ফাইলগুলি অন্তর্ভুক্ত রয়েছে।
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	এই প্লাগইনটিতে EJ Co., Ltd. দ্বারা তৈরি এবং এই প্লাগইনের নির্মাতার সুররচিত অনানুষ্ঠানিক সুপার ফ্যামিকম গেম 'SM Trainer Hitomi 3'-এর সঙ্গীত অন্তর্ভুক্ত রয়েছে, এবং এটি আনুষ্ঠানিকভাবে লাইসেন্সপ্রাপ্ত।
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	এই প্লাগইনটিতে Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	আমি এই প্লাগইনের উন্নয়নে Raspberry Pi 5, ChatGPT এবং DeepL-ও ব্যবহার করেছি।
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	একটি ক্যাশিং প্লাগইন সনাক্ত হয়েছে। যদি কোনো ক্যাশিং প্লাগইন সক্রিয় থাকে, তাহলে এই প্লাগইন সঠিকভাবে কাজ করবে না।
無効なIPアドレス	অবৈধ আইপি ঠিকানা
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	এই ওয়েবসাইটটি ব্যবহার করতে, আপনাকে কুকিজ এবং জাভাস্ক্রিপ্ট সক্ষম করতে হবে।
利用規約	ব্যবহারের শর্তাবলী
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	অননুমোদিত ব্যবহার প্রতিরোধ করতে এবং আমাদের সেবার নিরাপদ পরিচালনা নিশ্চিত করতে, এই ওয়েবসাইট কুকিজ এবং ডেটাবেসে আইপি ঠিকানা, ব্রাউজিং ইতিহাস এবং কার্যকলাপের লগ-এর মতো তথ্য সংরক্ষণ করতে পারে। এই তথ্য শুধুমাত্র ওয়েবসাইটের পরিচালনা এবং আইনি উদ্দেশ্যে ব্যবহৃত হয়, এবং তৃতীয় পক্ষের কাছে প্রকাশ করা হবে না।
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	এই সেবা ব্যবহার করতে, আপনাকে এই প্রক্রিয়াকরণ কার্যক্রমের জন্য সম্মতি দিতে হবে।
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	আপনি সম্মতি দিয়েছেন কিনা তা নির্বিশেষে গোপনীয়তা নীতিটির বিষয়বস্তু দেখতে পারেন।
同意する	আমি একমত
同意しない	আমি একমত নই
確認	নিশ্চিতকরণ
プライバシーポリシー	গোপনীয়তা নীতি
通常とは異なる方法でのアクセスや操作が検出されました	অস্বাভাবিক প্রবেশাধিকার বা কার্যকলাপ সনাক্ত হয়েছে
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	নিরাপত্তা এবং বিষয়বস্তু সুরক্ষার উদ্দেশ্যে কিছু বৈশিষ্ট্য সীমাবদ্ধ করা হয়েছে।
デバッグモード、コンソールの起動は禁止されています	ডিবাগ মোড এবং কনসোল অ্যাক্সেস নিষ্ক্রিয় করা হয়েছে।
以下の情報がサーバーに送信されました	নিম্নলিখিত তথ্য সার্ভারে পাঠানো হয়েছে।
あなたのIPアドレス	আপনার আইপি ঠিকানা
あなたの端末とブラウザ	আপনার ডিভাইস এবং ব্রাউজার
あなたの押下したキー	আপনি যে কীটি চাপলেন
リダイレクトをします	আপনাকে পুনঃনির্দেশ করা হবে
コンテンツ保護のため一部の機能を制限しています	বিষয়বস্তু সুরক্ষিত রাখতে কিছু বৈশিষ্ট্য সীমাবদ্ধ করা হয়েছে।
右クリックは禁止されています	রাইট-ক্লিক করার অনুমতি নেই
あなたが押下したキー	আপনি যে কীটি চাপলেন
印刷、PDFへの保存は禁止されています	প্রিন্ট করা এবং PDF হিসেবে সংরক্ষণ করা নিষিদ্ধ।
スクリーンショットは禁止されています	স্ক্রিনশট নিষিদ্ধ।
スクリーンショット、デバッグモード等の起動は禁止されています	স্ক্রিনশট নেওয়া এবং ডিবাগ মোড সক্ষম করা নিষিদ্ধ।
ページの保存は禁止されています	এই পৃষ্ঠা সংরক্ষণ করা নিষিদ্ধ।
コピー、カットは禁止されています	নকল করা এবং কাটা নিষিদ্ধ।
あなたが起こしたイベント	আপনি যে ইভেন্টগুলো আয়োজন করেছেন
テキストの選択は禁止されています	টেক্সট নির্বাচন অনুমোদিত নয়।
HTMLソース表示は禁止されています	এইচটিএমএল সোর্স কোড প্রদর্শন নিষিদ্ধ।
不正アクセスは禁止されています	অননুমোদিত প্রবেশ নিষিদ্ধ।
アフリカーンス語	আফ্রিকান্স
アラゴン語	আরাগোনিজ
アラビア語	আরবি
アッサム語	অসমীয়া
アゼルバイジャン語	আজারবাইজানি
バシュキール語	বাশকির
ベラルーシ語	বেলারুশিয়ান
ベンガル語	বাঙালি
ブルガリア語	বুলগেরিয়ান
ボスニア語	বসনীয়
カタロニア語	কাতালান
チェコ語	চেক
ウェールズ語	ওয়েলশ
デンマーク語	ড্যানিশ
ドイツ語	জার্মান
現代ギリシア語	আধুনিক গ্রীক
英語	ইংরেজি
イギリス英語	ব্রিটিশ ইংরেজি
アメリカ英語	আমেরিকান ইংরেজি
エスペラント語	এস্পেরান্তো
スペイン語	স্প্যানিশ
エストニア語	এস্তোনিয়ান
バスク語	বাস্ক
ペルシャ語	ফার্সি
フィンランド語	ফিনিশ
フランス語	ফরাসি
アイルランド語	আইরিশ
ガリシア語	গ্যালিশিয়ান
グァラニ語	গুয়ারানি
グジャラート語	গুজরাটি
ハウサ語	হাউসা
ヘブライ語	হিব্রু
ヒンディ語	হিন্দি
クロアチア語	ক্রোয়েশিয়ান
ハイチ・クレオール語	হেইতিয়ান ক্রেওল
ハンガリー語	হাঙ্গেরিয়ান
インドネシア語	ইন্দোনেশীয়
イボ語	ইবো ভাষা
アイスランド語	আইসল্যান্ডীয়
イタリア語	ইতালীয়
日本語	জাপানি
ジャワ語	জাভানিজ
カザフ語	কাজাখ
朝鮮語	কোরিয়ান
クルド語	কুর্দিশ
キルギス語	কিরগিজ
ラテン語	ল্যাটিন
ルクセンブルク語	লুক্সেমবুর্গিশ
リンガラ語	লিংগালা
リトアニア語	লিথুয়ানিয়ান
ラトビア語	লাটভিয়ান
マダガスカル語	মাদাগাস্কারীয়
マオリ語	মাওরি
マケドニア語	ম্যাসেডোনিয়ান
マラヤーラム語	মালয়ালম
モンゴル語	মঙ্গোলিয়ান
マラーティー語	মারাঠি
マレー語	মালয়
マルタ語	মল্টিজ
ビルマ語	বর্মী
ネパール語	নেपाली
ノルウェー語	নরওয়েজিয়ান
オランダ語	ডাচ
オック語	অক্সিটান
オロモ語	অরোমো
パンジャーブ語	পঞ্জাবি
ポーランド語	পালিশ
パシュトー語	پشتو
ポルトガリア語	পর্তুগিজ
ブラジルポルトガル語	ব্রাজিলীয় পর্তুগিজ
ヨーロピアンポルトガル語	ইউরোপীয় পর্তুগিজ
ケチュア語	কেচুয়া
ルーマニア語	রোমানিয়ান
ロシア語	রাশিয়ান
サンスクリット語	সংস্কৃত
スロバキア語	স্লোভাক
スロベニア語	স্লোভেনীয়
セルビア語	সার্বীয়
南セソト語	দক্ষিণী সেসোতো
スンダ語	সুন্দানী
スウェーデン語	সুইডিশ
スワヒリ語	সোয়াহিলি
タミル語	তামিল
テルグ語	তেলুগু
タジク語	তাজিক
タイ語	থাই
トルクメン語	তুরকমেন
タガログ語	ট্যাগালগ
トルコ語	তুরস্কীয়
タタール語	তাтар
ウクライナ語	ইউক্রেনীয়
ウルドゥー語	উর্দু
ウズベク語	উজবেক
ベトナム語	ভিয়েতনামী
コサ語	কোসা
イディッシュ語	ইদিশ
簡体中国語	সরলীকৃত চীনা
繁体中国語	ঐতিহ্যবাহী চীনা
ズールー語	জুলু
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	আপনি বর্তমানে যে ব্রাউজারটি ব্যবহার করছেন তা একটি পুরনো সংস্করণ, যা আর সমর্থিত নয়। আরও নিরাপদ ও আরামদায়ক ব্রাউজিং অভিজ্ঞতার জন্য, অনুগ্রহ করে আপনার ব্রাউজারের সর্বশেষ সংস্করণে আপডেট করুন।
不正なリクエストです	অবৈধ অনুরোধ
画像が見つかりません	ছবি পাওয়া যায়নি
