設定	அமைப்புகள்
意味のないHTMLドキュメント	அர்த்தமற்ற HTML ஆவணம்
HTML保護時のHEADタグの出力	HTML பாதுகாக்கப்படும்போது HEAD குறிச்சொல்லின் வெளியீடு
出力しない	அச்சிட வேண்டாம்
TITLEタグのみ	தலைப்புக் குறிச்சொல் மட்டும்
WordpressのHEADタグより取得	வேர்ட்பிரஸ் HEAD குறிச்சொல்லிலிருந்து மீட்டெடுக்கப்பட்டது
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	கார்ப்பரேட் பயன்பாட்டிற்கான உறுப்பினர்-மட்டும் பக்கங்கள் மற்றும் உள் பக்கங்களுக்கு, 'Do not output' அல்லது 'TITLE tag only' என்பதைத் தேர்ந்தெடுத்தால் போதுமானது.
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	நீங்கள் வேர்ட்பிரஸ் HEAD குறிச்சொல்லிலிருந்து தகவலைப் பெறாவிட்டால், சமூக ஊடகங்களில் பகிரும்போது OGP படம் தோன்றாது.
画像botをアクセス禁止にする	படப் போட்டைத் தடுக்கவும்
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	பட பாட்களை HTML-ஐ அணுகுவதிலிருந்து தடுப்பதன் மூலம், படத் தேடல் வழியாக நேரடி இணைப்பு மூலம் பாதுகாக்க முடியாத உள்ளடக்கத்தைப் பாதுகாக்கலாம்; இருப்பினும், இது ஒரு முழுமையான தீர்வை வழங்கவில்லை.
AI学習用botをアクセス禁止にする	AI பயிற்சி பாட் அணுகலைத் தடுக்கவும்
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML-க்கான AI பயிற்சிக்காக வடிவமைக்கப்பட்ட பாட்களின் பயன்பாட்டைத் தவிர்ப்பதன் மூலம், உள்ளடக்கம் AI-ஆல் பயன்படுத்தப்படுவதை நாங்கள் உறுதிசெய்கிறோம்; இருப்பினும், இதை முழுமையாகத் தடுக்க முடியாது.
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	இணையக் காப்பகங்கள் மற்றும் இணையத் தருணப்படங்களுக்கான அணுகலைத் தடுக்கவும்
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	தானாகச் சேகரிக்கப்பட்ட வலைக்காப்பகங்களுக்கான அணுகலையும், பயனரின் விருப்பத்தின் பேரில் எடுக்கப்பட்ட ஸ்கிரீன்ஷாட்களையும் நாங்கள் தடை செய்கிறோம்; இருப்பினும், இதை எங்களால் முழுமையாகத் தடுக்க முடியாது.
無効なUAをアクセス禁止にする	செயலிழந்த பயனர் முகவர்களைத் தடுக்கவும்
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	பயனர் முகவர் சரத்தில் செல்லாத எழுத்துக்கள் இருந்தால் அணுகலைத் தடுக்கிறது
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	இன்டர்நெட் எக்ஸ்ப்ளோரர் மற்றும் பழைய மைக்ரோசாப்ட் எட்ஜை
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	இன்டர்நெட் எக்ஸ்ப்ளோரர் மற்றும் பழைய மைக்ரோசாஃப்ட் எட்ஜ் வழியாக அணுகலைத் தடுக்கிறது
alertメッセージを表示する言語	எச்சரிக்கை செய்திகள் காட்டப்படும் மொழி
Wordpressの言語	வேர்ட்பிரஸ் மொழிகள்
ブラウザの設定言語	உலாவி மொழி அமைப்புகள்
メッセージをカスタム設定されている場合は言語を変更できません	செய்திகள் தனிப்பயனாக்கப்பட்டிருந்தால், மொழியை மாற்ற முடியாது.
同意画面の言語	ஒப்புதல் திரையின் மொழி
view-sourceメッセージを表示する言語	'view-source' செய்தியைக் காட்ட வேண்டிய மொழி
一時使用トークンの有効期限	தற்காலிக டோக்கன்களின் காலாவதி தேதி
3分	3 நிமிடங்கள்
4分	4 நிமிடங்கள்
5分	5 நிமிடங்கள்
6分	6 நிமிடங்கள்
7分	7 நிமிடங்கள்
8分	8 நிமிடங்கள்
9分	9 நிமிடங்கள்
10分	10 நிமிடங்கள்
15分	15 நிமிடங்கள்
20分	இருபது நிமிடங்கள்
25分	இருபத்தைந்து நிமிடங்கள்
30分	முப்பது நிமிடங்கள்
35分	35 நிമിഷങ്ങൾ
40分	நாற்பது நிமிடங்கள்
45分	45 நிமிடங்கள்
50分	50 நிമിഷങ്ങൾ
55分	55 நிമിഷങ്ങൾ
1時間	ஒரு மணி நேரம்
画像URL情報の有効期限を設定します	பட URL தகவலுக்கான காலாவதி தேதியை அமைக்கவும்
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	ஏற்றப்பட்டவுடன், படத்தின் URL மற்றும் தற்காலிக டோக்கன் செல்லாததாக்கப்படும்.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	படங்கள் தேவைக்கேற்ப ஏற்றப்படும், ஆனால் குறிப்பிட்ட நேரத்திற்கு 30 வினாடிகளுக்கு முன்பே அவை தானாக ஏற்றப்படும்.
一時使用トークンのビット数	ஒரு தற்காலிக டோக்கனில் உள்ள பிட்களின் எண்ணிக்கை
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	பட URL தகவலை மறைகுறியாக்க, ஒரு தற்காலிக டோக்கன் கடவுச்சொல்லாகப் பயன்படுத்தப்படுகிறது; இந்த அமைப்பு அதன் வலிமையைக் குறிப்பிடுகிறது.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	இறங்குபட்டி மெனுவிற்குக் கீழே காட்டப்படும் விருப்பங்கள் மேலும் மேலும் விரிவானதாக மாறும்போது, இது சேவையகத்தில் அதிக சுமையை ஏற்படுத்தி, அதிக அளவிலான HTML தரவு பரிமாற்றத்திற்கு வழிவகுக்கும்.
ハッシュ化アルゴリズム	ஹாஷ் வழிமுறை
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	பட URL தகவலை மறைகுறியாக்க, ஒரு தற்காலிக டோக்கன் கடவுச்சொல்லாகப் பயன்படுத்தப்படுகிறது; இதற்கு ஹாஷிங் தேவைப்படுகிறது, மேலும் இந்த அமைப்பு அந்த ஹாஷிங்கின் வலிமையைத் தீர்மானிக்கிறது.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	விரிவிறக்கப் பட்டி மெனுவில் காட்டப்படும் விருப்பத்தேர்வுகள் மூலம் கீழே ஸ்க்ரோல் செய்யும்போது அதன் தீவிரம் அதிகரித்தாலும், இது சேவையகத்தில் அதிக சுமையை ஏற்படுத்துகிறது.
基本設定	அடிப்படை அமைப்புகள்
高度な設定	மேம்பட்ட அமைப்புகள்
初期設定に戻す	பூர்வநிலை அமைப்புகளை மீட்டமை
デザイン・音の設定	வடிவமைப்பு மற்றும் ஒலி அமைப்புகள்
イベントの設定	நிகழ்வு அமைப்புகள்
初回訪問時のお知らせの設定	முதல் முறை வருகைகளுக்கு அறிவிப்புகளை அமைத்தல்
メッセージの設定	செய்தி அமைப்புகள்
右クリックやソースコード表示時に転送する URL を設定します	வலது கிளிக் செய்யும்போது அல்லது மூலக் குறியீட்டைப் பார்க்கும்போது திறக்கப்பட வேண்டிய URL-ஐ அமைக்கவும்
警告メッセージにはHTMLは使用できません	எச்சரிக்கைச் செய்திகளில் HTML பயன்படுத்த முடியாது.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	இந்தத் திரையில் நீங்கள் இதை உள்ளமைத்தால், மேம்பட்ட தாவலில் உள்ள மொழி அமைப்புகள் புறக்கணிக்கப்படும்.
以下の文字列が使用できます	பின்வரும் சரங்களைப் பயன்படுத்தலாம்
改行	வரி உடைப்பு
押下されたキー	விசை அழுத்தப்பட்டது
Neo HTML Protector 設定	நியோ HTML பாதுகாப்பு அமைப்புகள்
お知らせ	அறிவிப்பு
メッセージ	செய்தி
デザイン・音	வடிவமைப்பு மற்றும் ஒலி
初期化	ஆரம்பப்படுத்துதல்
このプラグインについて	இந்த செருகுநிரலைப் பற்றி
設定が初期化されました	அமைப்புகள் மீட்டமைக்கப்பட்டுள்ளன
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	பிளகினைத் தொடங்குங்கள். இந்த நிலையில் IP பதிவு பார்வையாளர் தரவு நீக்கப்படாது என்பதை நினைவில் கொள்ளவும்.
Neo HTML Protectorについて	நியோ HTML பாதுகாப்புப் பற்றி
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	உங்கள் வேர்ட்பிரஸ் தளத்தால் உருவாக்கப்படும் HTML, படங்கள் மற்றும் பிற உள்ளடக்கங்களைப் பாதுகாப்பதற்காகவும், அவற்றை அங்கீகரிக்கப்படாத பயன்பாட்டிலிருந்து காப்பதற்காகவும் இந்தப் பிளகின் வடிவமைக்கப்பட்டுள்ளது.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	உள்ளடக்கத்தை முழுமையாகப் பாதுகாப்பது சாத்தியமற்றது. இருப்பினும், முடிந்தவரை எச்சரிக்கைகளை விடுத்து, எதுவும் நடந்தால் அதற்கான ஏற்பாடுகளைச் செய்வதன் மூலம், அரசாங்கம் வகுத்துள்ள நடைமுறைகளின்படி இந்த விஷயத்தை நம்மால் தீர்க்க முடியும்.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	நிச்சயமாக, உங்கள் விதிமுறைகள் மற்றும் நிபந்தனைகள், மற்றும் தளக் கொள்கை விரிவானதாக இருப்பதை நீங்கள் உறுதி செய்ய வேண்டும். இந்த செருகுநிரல் விதிமுறைகள் மற்றும் நிபந்தனைகளை உருவாக்கும் ஒரு கருவி இல்லை என்றாலும், இது சில வழிகாட்டுதல்களை வழங்க முடியும்.
開発者: 夜桜　なの	டெவலப்பர்: நானோ யோஸகுரா
バージョン	பதிப்பு
ビルド	கட்டு
サポートページ	ஆதரவுப் பக்கம்
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	செல்வி உரா மனிரா வழங்கியது
支援のお願い	ஆதரவுக்கான கோரிக்கை
Neo HTML Protectorをご利用いただき、ありがとうございます！	நியோ HTML ப்ரொடெக்டரைப் பயன்படுத்த நன்றி!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	இந்தப் பிளகினின் மேம்பாடு மற்றும் பராமரிப்புக்கு அதிக நேரம் மற்றும் முயற்சி தேவைப்பட்டுள்ளது. இதைத் தொடர்ந்து மேம்படுத்தவும் புதுப்பிக்கவும் நிதி திரட்டுவதற்காக, எங்களுக்கு ஆதரவளிக்கக்கூடியவர்கள் நன்கொடை அளிக்க முன்வந்தால் நாங்கள் நன்றியுள்ளவர்களாக இருப்போம்.
寄付について	நன்கொடைகள் பற்றி
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	நன்கொடைகள் முற்றிலும் தன்னிச்சையானவை, கட்டாயமானவை அல்ல. இந்த செருகுநிரல் அனைவருக்கும் இலவசமாகக் கிடைக்கிறது. இருப்பினும், எங்கள் மேம்பாட்டுப் பணிகளைத் தொடர உங்கள் ஆதரவு பெரிதும் பாராட்டப்படுகிறது, மேலும் நீங்கள் ஒரு சிறிய தொகையையாவது நன்கொடையாக வழங்கினால் நாங்கள் மகிழ்ச்சியடைவோம்.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	கீழே உள்ள இணைப்பு வழியாக நீங்கள் நன்கொடை அளிக்கலாம். நீங்கள் ஜப்பானில் இருந்தால், கட்டணமின்றி நன்கொடை அளிக்கலாம், மேலும் அமேசான் பரிசுச் சீட்டுகளைப் பயன்படுத்தியும் எளிதாக நன்கொடை அளிக்கலாம்.
寄付先	தொண்டு நிறுவனங்கள்
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	உங்கள் ஆதரவுடன், உங்களுக்கு அற்புதமான புதுப்பிப்புகளைத் தொடர்ந்து வழங்க எங்களால் முடிந்த சிறந்த முயற்சியை மேற்கொள்வோம்!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	உங்கள் ஆதரவிற்கு நாங்கள் நன்றி தெரிவித்துக் கொள்கிறோம், எதிர்காலத்திலும் உங்கள் தொடர்ச்சியான ஆதரவை ஆவலுடன் எதிர்பார்க்கிறோம்.
ライセンス	அனுமதிக் கடிதம்
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	இந்த செருகுநிரல் ஒரு திறந்த மூல மென்பொருளாக உருவாக்கப்பட்டுள்ளது மற்றும் GPLv2.0 அல்லது அதற்குப் பிந்தைய உரிமத்தின் கீழ் உரிமம் பெற்றுள்ளது.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	இந்த செருகுநிரலில் சேர்க்கப்பட்டுள்ள சில தொழில்நுட்பங்கள் காப்புரிமைகளால் பாதுகாக்கப்படுகின்றன.
特許技術の使用は、このプラグイン内での使用に限って認められます。	காப்புரிமை பெற்ற தொழில்நுட்பத்தின் பயன்பாடு, இந்த பிளக்-இன்னிற்குள் மட்டுமே அனுமதிக்கப்படுகிறது.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	வேறு எந்தவொரு பயன்பாட்டிற்கும், வணிக உரிமத்தைப் பெற ஆசிரியரைத் தொடர்பு கொள்ளவும்.
本プラグインには以下のライブラリを同梱しています	இந்த செருகுநிரல் பின்வரும் நூலகங்களை உள்ளடக்கியது
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	இந்தப் பிளகின், கீழே உருவாக்கப்பட்ட ASCII கலை எழுத்துருக்கள் மற்றும் எழுத்துருக் கோப்புகளை உள்ளடக்கியது.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	இந்தப் பிளகினில், EJ Co., Ltd. அவர்களால் உருவாக்கப்பட்டு, இதன் உருவாக்குநரால் இசையமைக்கப்பட்ட, அதிகாரப்பூர்வமற்ற சூப்பர் ஃபேமிகாம் விளையாட்டான 'SM Trainer Hitomi 3'-இலிருந்து இசை சேர்க்கப்பட்டுள்ளது, மேலும் இது அதிகாரப்பூர்வமாக உரிமம் பெற்றது.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	இந்தப் பிளகின், Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	இந்த செருகு நிரலை உருவாக்குவதில் நான் ராஸ்பெர்ரி பை 5, ChatGPT மற்றும் DeepL-ஐயும் பயன்படுத்தியுள்ளேன்.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	ஒரு கேச்சிங் செருகுநிரல் கண்டறியப்பட்டுள்ளது. கேச்சிங் செருகுநிரல் இயக்கப்பட்டிருந்தால், இந்தச் செருகுநிரல் சரியாகச் செயல்படாது.
無効なIPアドレス	செயலற்ற ஐபி முகவரி
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	இந்த இணையதளத்தைப் பயன்படுத்த, நீங்கள் குக்கீகள் மற்றும் ஜாவாஸ்கிரிப்ட்டை இயக்க வேண்டும்.
利用規約	பயன்பாட்டு விதிமுறைகள்
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	அனுமதியற்ற பயன்பாட்டைத் தடுக்கவும், எங்கள் சேவைகளின் பாதுகாப்பான செயல்பாட்டை உறுதி செய்யவும், இந்த இணையதளம் ஐபி முகவரிகள், உலாவல் வரலாறு மற்றும் செயல்பாட்டுப் பதிவுகள் போன்ற தகவல்களைக் குக்கீகள் மற்றும் தரவுத்தளங்களில் சேமிக்கக்கூடும். இந்தத் தகவல் இணையதளத்தின் செயல்பாட்டிற்கும் சட்ட நோக்கங்களுக்காக மட்டுமே பயன்படுத்தப்படும், மேலும் மூன்றாம் தரப்பினருக்கு வெளியிடப்படாது.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	இந்தச் சேவையைப் பயன்படுத்த, இந்தச் செயலாக்கச் செயல்பாடுகளுக்கு நீங்கள் ஒப்புதல் அளிக்க வேண்டும்.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	நீங்கள் உங்கள் சம்மதத்தை அளித்திருந்தாலும் இல்லாவிட்டாலும், தனியுரிமைக் கொள்கையின் உள்ளடக்கங்களைப் பார்க்கலாம்.
同意する	நான் ஒப்புக்கொள்கிறேன்
同意しない	நான் உடன்படவில்லை
確認	உறுதிப்படுத்துதல்
プライバシーポリシー	தனியுரிமைக் கொள்கை
通常とは異なる方法でのアクセスや操作が検出されました	அசாதாரண அணுகல் அல்லது செயல்பாடு கண்டறியப்பட்டுள்ளது
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	பாதுகாப்பு மற்றும் உள்ளடக்கப் பாதுகாப்பு நோக்கங்களுக்காக சில அம்சங்கள் கட்டுப்படுத்தப்பட்டுள்ளன.
デバッグモード、コンソールの起動は禁止されています	பிழைதிருத்த முறை மற்றும் கன்சோல் அணுகல் முடக்கப்பட்டுள்ளன
以下の情報がサーバーに送信されました	பின்வரும் தகவல் சேவையகத்திற்கு அனுப்பப்பட்டுள்ளது.
あなたのIPアドレス	உங்கள் ஐபி முகவரி
あなたの端末とブラウザ	உங்கள் சாதனம் மற்றும் உலாவி
あなたの押下したキー	நீங்கள் அழுத்திய விசை
リダイレクトをします	நீங்கள் திருப்பிவிடப்படுவீர்கள்
コンテンツ保護のため一部の機能を制限しています	உள்ளடக்கத்தைப் பாதுகாக்க சில அம்சங்கள் கட்டுப்படுத்தப்பட்டுள்ளன.
右クリックは禁止されています	வலது கிளிக் செய்வது அனுமதிக்கப்படவில்லை
あなたが押下したキー	நீங்கள் அழுத்திய விசை
印刷、PDFへの保存は禁止されています	அச்சிடுதல் மற்றும் PDF ஆகச் சேமிப்பது தடைசெய்யப்பட்டுள்ளது.
スクリーンショットは禁止されています	திரைப்பிடிப்புகள் தடைசெய்யப்பட்டுள்ளன
スクリーンショット、デバッグモード等の起動は禁止されています	ஸ்கிரீன்ஷாட்களை எடுப்பதும், டீபக் மோடை இயக்குவதும் தடைசெய்யப்பட்டுள்ளன.
ページの保存は禁止されています	இந்தப் பக்கத்தைச் சேமிப்பது தடைசெய்யப்பட்டுள்ளது
コピー、カットは禁止されています	நகலெடுத்தலும் வெட்டுவதும் தடைசெய்யப்பட்டுள்ளன.
あなたが起こしたイベント	நீங்கள் ஏற்பாடு செய்த நிகழ்வுகள்
テキストの選択は禁止されています	உரையைத் தேர்ந்தெடுக்க அனுமதிக்கப்படவில்லை
HTMLソース表示は禁止されています	HTML மூலக் குறியீட்டைக் காண்பிப்பது தடைசெய்யப்பட்டுள்ளது.
不正アクセスは禁止されています	அனுமதியற்ற அணுகல் தடைசெய்யப்பட்டுள்ளது
アフリカーンス語	ஆப்பிரிக்கான்ஸ்
アラゴン語	அராгон மொழி
アラビア語	அரபு
アッサム語	অসমীয়া
アゼルバイジャン語	அஜர்பைஜானி
バシュキール語	பாஷ்கிர்
ベラルーシ語	பெலாரஸ் மொழி
ベンガル語	பெங்காலி
ブルガリア語	பல்கேரியன்
ボスニア語	போஸ்னியன்
カタロニア語	கatalான்
チェコ語	செக்
ウェールズ語	வெல்ஷ்
デンマーク語	டேனிஷ்
ドイツ語	ஜெர்மன்
現代ギリシア語	நவீன கிரேக்கம்
英語	ஆங்கிலம்
イギリス英語	பிரிட்டிஷ் ஆங்கிலம்
アメリカ英語	அமெரிக்க ஆங்கிலம்
エスペラント語	எஸ்பெராண்டோ
スペイン語	ஸ்பானிஷ்
エストニア語	எஸ்டோனிய
バスク語	பாஸ்க்
ペルシャ語	பாரசீக
フィンランド語	ஃபின்னிஷ்
フランス語	பிரெஞ்சு
アイルランド語	ஐரிஷ்
ガリシア語	கேலீசியன்
グァラニ語	குரானி
グジャラート語	குஜராத்தி
ハウサ語	ஹவுசா
ヘブライ語	எபிரேயம்
ヒンディ語	ஹிந்தி
クロアチア語	குரோஷிய
ハイチ・クレオール語	ஹைட்டிய க்ரீயோல்
ハンガリー語	ஹங்கேரியன்
インドネシア語	இந்தோனேசிய
イボ語	இபோ மொழி
アイスランド語	ஐஸ்லாந்து மொழி
イタリア語	இத்தாலிய
日本語	ஜப்பானிய
ジャワ語	ஜாவானீஸ்
カザフ語	காசாக்
朝鮮語	கொரியன்
クルド語	குர்து
キルギス語	கிர்கிஸ்தான்
ラテン語	லத்தீன்
ルクセンブルク語	லக்சம்பர்க் மொழி
リンガラ語	லிங்கலா
リトアニア語	லிதுவேனியன்
ラトビア語	லாட்வியன்
マダガスカル語	மடகாஸ்கரியன்
マオリ語	மாஓரி
マケドニア語	மெசடோனியன்
マラヤーラム語	மலையாளம்
モンゴル語	மங்கோலியன்
マラーティー語	மராத்தி
マレー語	மலாய்
マルタ語	மால்டீஸ்
ビルマ語	பர்மிய
ネパール語	நேபாளி
ノルウェー語	நார்வேஜிய
オランダ語	டச்சு
オック語	ஓசிட்டன்
オロモ語	அல்லது
パンジャーブ語	பஞ்சாபி
ポーランド語	பளபளப்பாக்குதல்
パシュトー語	پشتو
ポルトガリア語	போர்த்துகீசியம்
ブラジルポルトガル語	பிரேசிலிய போர்த்துகீசியம்
ヨーロピアンポルトガル語	ஐரோப்பிய போர்த்துகீசியம்
ケチュア語	கெச்சுவா
ルーマニア語	ரோமானிய
ロシア語	ரஷ்யன்
サンスクリット語	சமஸ்கிருதம்
スロバキア語	ஸ்லோவாக்
スロベニア語	ஸ்லோவேனியன்
セルビア語	செர்பிய
南セソト語	தெற்கு செசோட்டோ
スンダ語	சுண்டானீஸ்
スウェーデン語	ஸ்வீடன் மொழி
スワヒリ語	ஸ்வாஹிலி
タミル語	தமிழ்
テルグ語	தெலுங்கு
タジク語	தஜிக்
タイ語	தாய்
トルクメン語	துருக்கியன்
タガログ語	தகalog
トルコ語	துருக்கிய
タタール語	தாதர்
ウクライナ語	உக்ரேனியன்
ウルドゥー語	உர்தூ
ウズベク語	உஸ்பெக்
ベトナム語	வியட்நாமிய
コサ語	கோசா
イディッシュ語	யித்கிஷ்
簡体中国語	எளிய சீனம்
繁体中国語	பாரம்பரிய சீனம்
ズールー語	சூலு
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	நீங்கள் தற்போது பயன்படுத்தும் உலாவி ஒரு பழைய பதிப்பாகும், அது இனிமேல் ஆதரிக்கப்படாது. பாதுகாப்பான மற்றும் மிகவும் வசதியான உலாவல் அனுபவத்தை உறுதிப்படுத்த, உங்கள் உலாவியின் சமீபத்திய பதிப்பிற்குப் புதுப்பிக்கவும்.
不正なリクエストです	செயலற்ற கோரிக்கை
画像が見つかりません	படம் காணப்படவில்லை
