設定	Тохиргоо
お知らせ	Анхааруулга
メッセージ	Зурвас
デザイン・音	Дизайн ба дуу
初期化	Эхлүүлэлт
このプラグインについて	Энэхүү залгаасын талаар
設定が初期化されました	Тохиргоог сэргээв.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Плагиныг анхжуулна уу. Энэ үе шатанд IP Log Reader-ийн өгөгдөл устгагдахгүйг анхаарна уу.
Neo HTML Protectorについて	Neo HTML хамгаалагчийн тухай
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Энэхүү плагин нь таны WordPress сайт үүсгэсэн HTML, зураг болон бусад агуулгыг зөвшөөрөлгүй ашиглалтаас хамгаалах зориулалттай.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Агуулгыг бүрэн хамгаалах боломжгүй. Гэсэн хэдий ч боломжтой бүх газарт анхааруулга өгч, ямар нэгэн зүйл тохиолдсон тохиолдолд бэлтгэлтэй байх замаар бид засгийн газраас тогтоосон журмын дагуу асуудлыг шийдвэрлэх боломжтой.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Мэдээж хэрэг, та ашиглалтын нөхцөл болон сайтын бодлого бүрэн гүйцэд байгааг хангах хэрэгтэй. Энэ плагин нь ашиглалтын нөхцөл үүсгэх хэрэгсэл биш ч тодорхой зааварчилгаа өгч чадна.
開発者: 夜桜　なの	Хөгжүүлэгч: Нано Ёзакура
バージョン	Версия
ビルド	Барих
サポートページ	Дэмжлэгийн хуудас
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Гүйцэтгэгч: Ура Манира хатагтай
支援のお願い	Тусламжийн хүсэлт
Neo HTML Protectorをご利用いただき、ありがとうございます！	Neo HTML Protector-ийг ашиглаж байгаад баярлалаа!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Энэхүү плагины хөгжүүлэлт, засвар үйлчилгээ нь ихээхэн цаг хугацаа, хүчин чармайлт шаардсан бөгөөд үүнийг улам сайжруулах, шинэчлэхэд шаардлагатай хөрөнгийг босгохын тулд боломжтой хэн бүхэн бидэнд хандив өгөх боломжийг авч үзвэл бид их баяртай байх болно.
寄付について	Зохион байгуулалт
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Зохион байгуулсан хандив нь бүрэн сайн дураар өгөгддөг бөгөөд албадан өгөх шаардлагагүй. Энэ плагин нь бүх хүнд үнэ төлбөргүйгээр ашиглах боломжтой. Гэсэн хэдий ч бидний хөгжүүлэлтийг үргэлжлүүлэхэд таны дэмжлэгт бид ихээхэн талархаж байгаа бөгөөд та багахан ч болов хандив өгөхөд бид баяртай байх болно.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Доорх холбоосоор хандив өгөх боломжтой. Хэрэв та Японд оршин суудаг бол үнэ төлбөргүй хандив өгч, мөн Amazon-ийн бэлгийн ваучер ашиглан хялбархан хандивлах боломжтой.
寄付先	Сайн дурын байгууллагууд
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Таны дэмжлэгтэйгээр бид танд гайхалтай шинэчлэлтүүдийг хүргэсээр байхын тулд бүхнээ хийнэ!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Бид таны дэмжлэгт талархаж байгаа бөгөөд ирээдүйд ч таны тасралтгүй дэмжлэгийг хүлээн авахыг тэсэн ядан хүлээж байна.
ライセンス	Зөвшөөрөл
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Энэхүү плагин нь нээлттэй эхийн програм хангамж хэлбэрээр боловсруулагдсан бөгөөд GPLv2.0 эсвэл түүнээс хойших лицензийн дагуу лицензлэгдсэн.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Энэ плагин дахь зарим технологиуд патентаар хамгаалагдсан.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Патентлагдсан технологийг зөвхөн энэ залгааст ашиглахыг зөвшөөрнө.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Бусад аливаа зориулалтаар ашиглах бол зохиогчид хандаж, арилжааны лиценз аваарай.
本プラグインには以下のライブラリを同梱しています	Энэхүү плагин дараах номын сангуудыг агуулдаг
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Энэхүү залгааст доор үүсгэсэн ASCII урлагийн фонтууд болон тэдгээрийн фонтын файлууд багтсан.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Энэхүү плагин нь EJ Co., Ltd. компаниар хөгжүүлж, энэхүү плагины зохиогч нь хөгжим зохиосон, албан ёсны лицензтэй Super Famicom-ийн албан бус 'SM Trainer Hitomi 3' тоглоомын хөгжмийг агуулдаг.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Энэхүү плагин нь Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Мөн би энэ плагины хөгжүүлэлтэд Raspberry Pi 5, ChatGPT болон DeepL-ийг ашигласан.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Кэшийн плагин илэрсэн байна. Хэрэв кэшийн плагин идэвхжсэн бол энэ плагин зөв ажиллахгүй.
無効なIPアドレス	Хүчин төгөлдөр бус IP хаяг
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Энэ вэбсайтыг ашиглахын тулд та күүки болон JavaScript-ийг идэвхжүүлсэн байх ёстой.
利用規約	Ашиглах нөхцөл
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Манай үйлчилгээг зөвшөөрөлгүй ашиглахаас сэргийлж, аюулгүй ажиллагааг хангах үүднээс энэ вэбсайт IP хаяг, вэб хөтчлийн түүх, үйл ажиллагааны бүртгэл зэрэг мэдээллийг күүки болон өгөгдлийн сангаас хадгалах боломжтой. Энэхүү мэдээллийг зөвхөн вэбсайтын үйл ажиллагаа болон хууль ёсны зорилгоор ашиглаж, гуравдагч этгээдэд илгээхгүй.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Энэ үйлчилгээг ашиглахын тулд та эдгээр боловсруулалтын үйл ажиллагаанд зөвшөөрөх ёстой.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Та зөвшөөрөл өгсөн эсэхээс үл хамааран Нууцлалын бодлогын агуулгыг үзэж болно.
同意する	Би санал нэгдэж байна
同意しない	Би санал нийлэхгүй байна
確認	Баталгаажуулалт
プライバシーポリシー	Нууцлалын бодлого
通常とは異なる方法でのアクセスや操作が検出されました	Хэвийн бус хандалт эсвэл үйлдэл илэрсэн
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Зарим боломжуудыг аюулгүй байдал болон агуулгын хамгааллын үүднээс хязгаарлагдсан байна.
デバッグモード、コンソールの起動は禁止されています	Алдаа олж засах горим болон консолд хандах эрх унтраасан байна.
以下の情報がサーバーに送信されました	Дараах мэдээлэл сервер рүү илгээгдсэн байна
あなたのIPアドレス	Таны IP хаяг
あなたの端末とブラウザ	Таны төхөөрөмж ба хөтөч
あなたの押下したキー	Та дарсан түлхүүр
リダイレクトをします	Та шилжүүлэгдэх болно
コンテンツ保護のため一部の機能を制限しています	Агуулгыг хамгаалах үүднээс зарим онцлогуудыг хязгаарласан байна.
右クリックは禁止されています	Баруун товчоор дарж болохгүй
あなたが押下したキー	Та дарсан түлхүүр
印刷、PDFへの保存は禁止されています	Хэвлэх болон PDF хэлбэрээр хадгалах хориотой.
スクリーンショットは禁止されています	Дэлгэцийн зургийг авахыг хориглоно.
スクリーンショット、デバッグモード等の起動は禁止されています	Дэлгэцийн зургийг авах болон debug горимд шилжих хориотой.
ページの保存は禁止されています	Энэ хуудас хадгалахыг хориглоно
コピー、カットは禁止されています	Хуулбарлах, тайрах хориотой.
あなたが起こしたイベント	Та зохион байгуулсан арга хэмжээнүүд
テキストの選択は禁止されています	Текст сонгохыг зөвшөөрөгдөхгүй
HTMLソース表示は禁止されています	HTML эх кодыг харуулах хориотой
不正アクセスは禁止されています	Зөвшөөрөлгүй хандалт хориотой
アフリカーンス語	Африкаанс
アラゴン語	Арагон
アラビア語	Араб
アッサム語	Ассам хэл
アゼルバイジャン語	Азербайжан
バシュキール語	Бүлтгэнэ
ベラルーシ語	Беларус хэл
ベンガル語	Бенгал
ブルガリア語	Болгар
ボスニア語	Босниак
カタロニア語	Каталан
チェコ語	Чех
ウェールズ語	Уэльс
デンマーク語	Данийн
ドイツ語	Герман
現代ギリシア語	Орчин үеийн грек
英語	Англи хэл
イギリス英語	Британийн англи хэл
アメリカ英語	Америкийн англи хэл
エスペラント語	Эсперанто
スペイン語	Испани
エストニア語	Эстонийн
バスク語	Баск
ペルシャ語	Перс
フィンランド語	Финланд хэл
フランス語	Франц
アイルランド語	Ирланд
ガリシア語	Галисийн
グァラニ語	Гуарани
グジャラート語	Гужарати
ハウサ語	хауса
ヘブライ語	Еврей
ヒンディ語	Хинди
クロアチア語	Хорват
ハイチ・クレオール語	Гаити креол
ハンガリー語	Унгар хэл
インドネシア語	Индонез хэл
イボ語	Ибо хэл
アイスランド語	Исланд хэл
イタリア語	Итали
日本語	Япон
ジャワ語	Жаван хэл
カザフ語	Қазақ
朝鮮語	Солонгос
クルド語	Курд хэл
キルギス語	Кыргыз
ラテン語	Латин
ルクセンブルク語	Люксембург хэл
リンガラ語	Лингaла
リトアニア語	Литван
ラトビア語	Латви хэл
マダガスカル語	Малагаси
マオリ語	Маори
マケドニア語	Македонийн
マラヤーラム語	Малаялам
モンゴル語	Монгол
マラーティー語	Марати
マレー語	Малай
マルタ語	Мальтий
ビルマ語	Бирм
ネパール語	Непал хэл
ノルウェー語	Норвегийн
オランダ語	Голланд
オック語	Окситан
オロモ語	Эсвэл
パンジャーブ語	Панджаби
ポーランド語	Цайруулах
パシュトー語	پشتو
ポルトガリア語	Португал хэл
ブラジルポルトガル語	Бразилийн португал хэл
ヨーロピアンポルトガル語	Европын португал хэл
ケチュア語	Кечуа
ルーマニア語	Румын
ロシア語	Орос
サンスクリット語	Санскрит
スロバキア語	Словак
スロベニア語	Словени хэл
セルビア語	Серб хэл
南セソト語	Өмнөд Сесото
スンダ語	Сундан хэл
スウェーデン語	Швед хэл
スワヒリ語	Суахили
タミル語	Тамил
テルグ語	Телугу
タジク語	Тажик
タイ語	Тай
トルクメン語	Туркмэн
タガログ語	Тагалог
トルコ語	Турк
タタール語	Татар
ウクライナ語	Украин хэл
ウルドゥー語	урду
ウズベク語	Өзбек
ベトナム語	Вьетнам хэл
コサ語	Коса
イディッシュ語	Идиш
簡体中国語	Хялбаршуулсан хятад хэл
繁体中国語	Уламжлалт хятад хэл
ズールー語	Цулу
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Та одоогоор ашиглаж буй хөтөч нь хуучирч, дэмжлэггүй болсон хувилбар юм. Илүү аюулгүй, тав тухтай вэб хөтлөх туршлагыг хангахын тулд хөтчийнхөө хамгийн сүүлийн хувилбар руу шинэчилнэ үү.
不正なリクエストです	Хүчин төгөлдөр бус хүсэлт
画像が見つかりません	Зургийг олсонгүй
