設定	Cài đặt
開発者: 夜桜　なの	Tác giả: Yozakura Nano
バージョン	Phiên bản
ビルド	Xây dựng
サポートページ	Trang hỗ trợ
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Cô Ura Manira trình bày
支援のお願い	Kính mong sự hỗ trợ
Neo HTML Protectorをご利用いただき、ありがとうございます！	Cảm ơn bạn đã sử dụng Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Việc phát triển và duy trì plugin này đã tiêu tốn rất nhiều thời gian và công sức; để có kinh phí tiếp tục cải tiến và cập nhật, nếu có ai sẵn lòng ủng hộ, chúng tôi rất mong nhận được sự đóng góp từ quý vị.
寄付について	Về việc quyên góp
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Việc đóng góp là tự nguyện, không bắt buộc. Plugin này hoàn toàn miễn phí và ai cũng có thể sử dụng. Tuy nhiên, để tiếp tục phát triển sản phẩm, sự ủng hộ của các bạn là vô cùng quý giá, và chúng tôi sẽ rất vui nếu nhận được sự hỗ trợ dù chỉ là một chút từ các bạn.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Quý vị có thể đóng góp qua liên kết dưới đây. Nếu quý vị là công dân Nhật Bản, quý vị có thể đóng góp miễn phí, và thậm chí còn có thể đóng góp một cách dễ dàng bằng phiếu quà tặng Amazon.
寄付先	Đơn vị nhận đóng góp
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Với sự ủng hộ của mọi người, chúng tôi sẽ tiếp tục nỗ lực để mang đến những bản cập nhật tuyệt vời trong tương lai!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Chúng tôi xin chân thành cảm ơn sự ủng hộ của quý vị và mong tiếp tục nhận được sự ủng hộ của quý vị trong thời gian tới.
ライセンス	Giấy phép
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Plugin này được phát triển theo mô hình mã nguồn mở và áp dụng giấy phép GPL 2.0 trở lên.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Một số công nghệ có trong plugin này được bảo hộ bằng sáng chế.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Việc sử dụng công nghệ được cấp bằng sáng chế chỉ được phép trong phạm vi plugin này.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Đối với các mục đích sử dụng khác, vui lòng liên hệ với tác giả để xin giấy phép thương mại.
本プラグインには以下のライブラリを同梱しています	Plugin này đi kèm với các thư viện sau đây
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Plugin này đi kèm với phông chữ ASCII art được tạo ra tại đây, cùng với các tệp phông chữ tương ứng
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Plugin này bao gồm các bản nhạc từ trò chơi "SM Tōmei Hitomi 3" trên hệ máy Super Famicom
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Plugin này bao gồm các bản nhạc sử dụng mẫu “Keppy’s YAMAHA C7” do Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Ngoài ra, tôi còn sử dụng Raspberry Pi 5, ChatGPT và Deepl để phát triển plugin này
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Đã phát hiện plugin bộ nhớ đệm. Plugin này sẽ không hoạt động bình thường nếu plugin bộ nhớ đệm đang được kích hoạt.
無効なIPアドレス	Địa chỉ IP không hợp lệ
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Để sử dụng trang web này, bạn cần bật Cookie và JavaScript
利用規約	Điều khoản sử dụng
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Để ngăn chặn việc sử dụng trái phép và đảm bảo hoạt động an toàn của dịch vụ, trang web này có thể lưu trữ các thông tin như địa chỉ IP, lịch sử duyệt web và nhật ký thao tác vào cookie và cơ sở dữ liệu. Những thông tin này chỉ được sử dụng cho mục đích vận hành trang web và xử lý các vấn đề pháp lý, và sẽ không được cung cấp cho bên thứ ba.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Để sử dụng dịch vụ, quý khách cần đồng ý với các quy trình này.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Quý vị có thể xem nội dung Chính sách bảo mật bất kể có đồng ý hay không.
同意する	Tôi đồng ý
同意しない	Không đồng ý
確認	Xác nhận
プライバシーポリシー	Chính sách bảo mật
通常とは異なる方法でのアクセスや操作が検出されました	Đã phát hiện thấy các hành vi truy cập hoặc thao tác khác thường
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Để đảm bảo an ninh và bảo vệ nội dung, một số tính năng đã bị hạn chế
デバッグモード、コンソールの起動は禁止されています	Không được phép khởi động chế độ gỡ lỗi và bảng điều khiển
以下の情報がサーバーに送信されました	Thông tin sau đây đã được gửi đến máy chủ
あなたのIPアドレス	Địa chỉ IP của bạn
あなたの端末とブラウザ	Thiết bị và trình duyệt của bạn
あなたの押下したキー	Phím mà bạn đã nhấn
リダイレクトをします	Sẽ chuyển hướng
コンテンツ保護のため一部の機能を制限しています	Để bảo vệ nội dung, một số tính năng đã bị hạn chế
右クリックは禁止されています	Không được nhấp chuột phải
あなたが押下したキー	Phím mà bạn đã nhấn
印刷、PDFへの保存は禁止されています	Cấm in hoặc lưu dưới dạng PDF
スクリーンショットは禁止されています	Không được chụp ảnh màn hình
スクリーンショット、デバッグモード等の起動は禁止されています	Việc khởi động các tính năng như chụp ảnh màn hình, chế độ gỡ lỗi, v.v. bị cấm
ページの保存は禁止されています	Không được lưu trang này
コピー、カットは禁止されています	Cấm sao chép và cắt
あなたが起こしたイベント	Sự kiện do bạn tổ chức
テキストの選択は禁止されています	Không được chọn văn bản
HTMLソース表示は禁止されています	Việc hiển thị mã nguồn HTML bị cấm
不正アクセスは禁止されています	Việc truy cập trái phép bị cấm
アフリカーンス語	Tiếng Afrikaans
アラゴン語	Tiếng Aragon
アラビア語	Tiếng Ả Rập
アッサム語	Tiếng Assam
アゼルバイジャン語	Tiếng Azerbaijan
バシュキール語	Tiếng Bashkir
ベラルーシ語	Tiếng Belarus
ベンガル語	Tiếng Bengali
ブルガリア語	Tiếng Bulgaria
ボスニア語	Tiếng Bosnia
カタロニア語	Tiếng Catalan
チェコ語	Tiếng Séc
デンマーク語	Tiếng Đan Mạch
ドイツ語	Tiếng Đức
現代ギリシア語	Tiếng Hy Lạp hiện đại
英語	Tiếng Anh
イギリス英語	Tiếng Anh Anh
アメリカ英語	Tiếng Anh Mỹ
エスペラント語	Tiếng Esperanto
スペイン語	Tiếng Tây Ban Nha
エストニア語	Tiếng Estonia
バスク語	Tiếng Basque
ペルシャ語	Tiếng Ba Tư
フィンランド語	Tiếng Phần Lan
フランス語	Tiếng Pháp
アイルランド語	Tiếng Ailen
ガリシア語	Tiếng Galicia
グァラニ語	Tiếng Guarani
グジャラート語	Tiếng Gujarati
ハウサ語	Tiếng Hausa
ヘブライ語	Tiếng Do Thái
ヒンディ語	Tiếng Hindi
クロアチア語	Tiếng Croatia
ハイチ・クレオール語	Tiếng Creole Haiti
ハンガリー語	Tiếng Hungary
インドネシア語	Tiếng Indonesia
イボ語	Tiếng Ibo
アイスランド語	Tiếng Iceland
イタリア語	Tiếng Ý
日本語	Tiếng Nhật
ジャワ語	Tiếng Java
カザフ語	Tiếng Kazakhstan
朝鮮語	Tiếng Triều Tiên
クルド語	Tiếng Kurd
キルギス語	Tiếng Kyrgyz
ラテン語	Tiếng Latinh
ルクセンブルク語	Tiếng Luxembourg
リンガラ語	Tiếng Lingala
リトアニア語	Tiếng Litva
ラトビア語	Tiếng Latvia
マダガスカル語	Tiếng Madagascar
マオリ語	Tiếng Maori
マケドニア語	Tiếng Macedonia
マラヤーラム語	Tiếng Malayalam
モンゴル語	Tiếng Mông Cổ
マラーティー語	Tiếng Marathi
マレー語	Tiếng Mã Lai
マルタ語	Tiếng Malta
ビルマ語	Tiếng Miến Điện
ネパール語	Tiếng Nepal
ノルウェー語	Tiếng Na Uy
オランダ語	Tiếng Hà Lan
オック語	Tiếng Occitan
オロモ語	Tiếng Oromo
パンジャーブ語	Tiếng Punjab
ポーランド語	Tiếng Ba Lan
パシュトー語	Tiếng Pashto
ポルトガリア語	Tiếng Bồ Đào Nha
ブラジルポルトガル語	Tiếng Bồ Đào Nha
ヨーロピアンポルトガル語	Tiếng Bồ Đào Nha châu Âu
ケチュア語	Tiếng Quechua
ルーマニア語	Tiếng Rumani
ロシア語	Tiếng Nga
サンスクリット語	Tiếng Phạn
スロバキア語	Tiếng Slovak
スロベニア語	Tiếng Slovenia
セルビア語	Tiếng Serbia
南セソト語	Tiếng Sesotho miền Nam
スンダ語	Tiếng Sunda
スウェーデン語	Tiếng Thụy Điển
スワヒリ語	Tiếng Swahili
タミル語	Tiếng Tamil
テルグ語	Tiếng Telugu
タジク語	Tiếng Tajik
タイ語	Tiếng Thái
トルクメン語	Tiếng Turkmen
タガログ語	Tiếng Tagalog
トルコ語	Tiếng Thổ Nhĩ Kỳ
タタール語	Tiếng Tatar
ウクライナ語	Tiếng Ukraina
簡体中国語	Tiếng Trung giản thể
繁体中国語	Tiếng Trung phồn thể
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Trình duyệt bạn đang sử dụng là phiên bản cũ không còn được hỗ trợ. Để có trải nghiệm duyệt web an toàn và thoải mái hơn, vui lòng cập nhật lên phiên bản trình duyệt mới nhất.
不正なリクエストです	Đây là yêu cầu không hợp lệ
画像が見つかりません	Không tìm thấy hình ảnh
ウェールズ語	Tiếng Wales
ウルドゥー語	Tiếng Urdu
ウズベク語	Tiếng Uzbek
ベトナム語	Tiếng Việt
コサ語	Tiếng Kosa
イディッシュ語	Tiếng Yiddish
ズールー語	Tiếng Zulu
