設定	Поставки
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	За да се спречи неовластена употреба и да се обезбеди сигурното работење на нашите услуги, оваа веб-страница може да складира информации како IP-адреси, историја на прелистување и записи за активност во колачиња и бази на податоци. Овие информации се користат исклучиво за работењето на веб-страницата и за законски цели и нема да бидат споделени со трети страни.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	За да ја користите оваа услуга, мора да дадете согласност за овие активности на обработка.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Можете да ја прегледате содржината на Политиката за приватност без разлика дали сте дале согласност.
同意する	Се согласувам
同意しない	Се не согласувам
確認	Потврда
プライバシーポリシー	Политика за приватност
通常とは異なる方法でのアクセスや操作が検出されました	Детектиран е необичен пристап или активност.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Одредени функции се ограничени поради безбедносни причини и заштита на содржината.
デバッグモード、コンソールの起動は禁止されています	Режимот за отстранување грешки и пристапот до конзолата се оневозможени.
以下の情報がサーバーに送信されました	Следните информации беа испратени до серверот
あなたのIPアドレス	Вашата IP адреса
あなたの端末とブラウザ	Вашиот уред и прелистувач
あなたの押下したキー	Клучот што го притисна
リダイレクトをします	Ќе бидете пренасочени
コンテンツ保護のため一部の機能を制限しています	Одредени функции се ограничени за да се заштити содржината.
右クリックは禁止されています	Десен клик не е дозволен
あなたが押下したキー	Клучот што го притисна
印刷、PDFへの保存は禁止されています	Печатењето и зачувувањето како PDF се забранети.
スクリーンショットは禁止されています	Скриншотови се забранети
スクリーンショット、デバッグモード等の起動は禁止されています	Правењето скриншотови и овозможувањето на режим за отстранување грешки се забранети.
ページの保存は禁止されています	Зачувавањето на оваа страница е забрането
コピー、カットは禁止されています	Копирањето и сечењето се забранети.
あなたが起こしたイベント	Настани што сте ги организирале
テキストの選択は禁止されています	Не е дозволено избирање текст
HTMLソース表示は禁止されています	Прикажувањето на изворниот HTML код е забрането.
不正アクセスは禁止されています	Неовластен пристап е забранет
アフリカーンス語	Африканс
アラゴン語	Арагонски
アラビア語	Арапски
アッサム語	Асамески
アゼルバイジャン語	Азербејџански
バシュキール語	Башҡыр
ベラルーシ語	Белоруски
ベンガル語	Бенгалски
ブルガリア語	Бугарски
ボスニア語	Босански
カタロニア語	Каталонски
チェコ語	Чешки
ウェールズ語	Велшки
デンマーク語	Даниски
ドイツ語	Германски
現代ギリシア語	Современ грчки
英語	Англиски
イギリス英語	Британски
アメリカ英語	Американски англиски
エスペラント語	Есперанто
スペイン語	Шпански
エストニア語	Естонски
バスク語	Баскиски
ペルシャ語	Персиски
フィンランド語	Фински
フランス語	Француски
アイルランド語	Ирски
ガリシア語	Галициски
グァラニ語	Гурањи
グジャラート語	Гуджарати
ハウサ語	Хауса
ヘブライ語	Еврејски
ヒンディ語	Хинди
クロアチア語	Хрватски
ハイチ・クレオール語	Хаитјански креолски
ハンガリー語	Унгарски
インドネシア語	Индонезиски
イボ語	Јазик ибо
アイスランド語	Исландски
イタリア語	Италијански
日本語	Јапонски
ジャワ語	Јавански
カザフ語	Казах
朝鮮語	Корејски
クルド語	Курдски
キルギス語	Киргиз
ラテン語	Латински
ルクセンブルク語	Луксембургски
リンガラ語	Лингала
リトアニア語	Литвански
ラトビア語	Латвиски
マダガスカル語	Малагаси
マオリ語	Маори
マケドニア語	Македонски
マラヤーラム語	Малајалам
モンゴル語	Монголски
マラーティー語	Марати
マレー語	Малајски
マルタ語	Малтешки
ビルマ語	Бурмански
ネパール語	Непалски
ノルウェー語	Норвешки
オランダ語	Холандски
オック語	Окситански
オロモ語	Или
パンジャーブ語	Пенџаби
ポーランド語	Полски
パシュトー語	Паштунски
ポルトガリア語	Португалски
ブラジルポルトガル語	Бразилско португалски
ヨーロピアンポルトガル語	Европски португалски
ケチュア語	Кечуа
ルーマニア語	Романски
ロシア語	Руски
サンスクリット語	Санскрит
スロバキア語	Словачки
スロベニア語	Словенечки
セルビア語	Српски
南セソト語	Јужен Сесото
スンダ語	Сундански
スウェーデン語	Шведски
スワヒリ語	Свахили
タミル語	Тамилски
テルグ語	Телугу
タジク語	Таџик
タイ語	Тајландски
トルクメン語	Туркмен
タガログ語	Тагалог
トルコ語	Турски
タタール語	Татар
ウクライナ語	Украински
ウルドゥー語	урду
ウズベク語	Узбек
ベトナム語	Виетнамски
コサ語	Коса
イディッシュ語	Јидиш
簡体中国語	Опростен кинески
繁体中国語	Традиционален кинески
ズールー語	Зулу
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Прелистувачот што го користите моментално е постара верзија која повеќе не е поддржана. За да обезбедите побезбедно и поудобно искуство при прелистување, ве молиме ажурирајте го вашиот прелистувач на најновата верзија.
不正なリクエストです	Неважечко барање
画像が見つかりません	Сликата не е пронајдена
