設定	Tautuhinga
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	Kua hoahoatia tēnei mono tāpiri hei tiaki i te HTML, ngā whakaahua me ētahi atu ihirangi i whakaputaina e tō paetukutuku WordPress, kia kore ai e whakamahia me te kore whakaaetanga.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	E kore e taea te tiaki katoa i te ihirangi. Heoi, mā te tuku whakatūpato i ngā wā katoa e taea ana, me te whakarite i ngā whakarite mō te wā ka puta he raru, ka taea e tātou te whakatau i te take i runga i ngā tikanga i whakaritea e te kāwanatanga.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Āe mārika, me whakarite kia whānui ngā tikanga me ngā here me te kaupapa here o tō pae tukutuku. Ahakoa ehara tēnei mono tāpiri i te taputapu hei waihanga i ngā tikanga me ngā here, ka taea e ia te tuku aratohu.
開発者: 夜桜　なの	Kaiwhakawhanake: Nano Yozakura
バージョン	Putanga
ビルド	Tūhanga
サポートページ	Whārangi tautoko
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Nā Miss Ura Manira i whakatangi
支援のお願い	He tono tautoko
Neo HTML Protectorをご利用いただき、ありがとうございます！	Ngā mihi mō tō whakamahi i te Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Kua roa te whakawhanake me te tiaki i tēnei mono tāpiri, ā, kia taea ai te kohi pūtea hei whakapai ake, hei whakahou hoki, ka nui tō mātou whakawhetai mēnā ka whakaaro ngā tāngata e āhei ana ki te tautoko ki te tuku koha.
寄付について	Mō ngā Koha
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	He tino āwhina ngā koha, ehara i te mea here. He wātea kore utu te mono tāpiri ki te katoa. Heoi, e tino whakawhetai ana mātou ki tō tautoko kia taea ai e mātou te haere tonu ki te whakawhanake, ā, ka tino koa mātou mēnā ka taea e koe te tuku āwhina ahakoa he aha.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Ka taea e koe te tuku koha mā te hono kei raro nei. Mēnā kei Hapani koe, ka taea e koe te tuku koha kore utu, ā, ka taea hoki e koe te tuku koha māmā mā ngā tiwhikete koha a Amazon.
寄付先	Ngā whakahaere aroha
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Mā tō tautoko, ka whakapau kaha mātou ki te haere tonu ki te kawe mai i ngā whakahōu whakamīharo ki a koe!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Kei te mihi mātou mō tō tautoko, ā, e tūmanako ana mātou kia haere tonu tō tautoko ā muri ake nei.
ライセンス	Rāhina
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Kua whakawhanakehia tēnei mono-taapiri hei pūmanawa puna tuwhera, ā, kua raihanatia i raro i te GPLv2.0, i ngā putanga o muri ake rānei.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Ko ētahi o ngā hangarau kei roto i tēnei mono ārai ture kei runga i a rātou.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Ka whakaaetia te whakamahi i te hangarau kua raihanatia anake i roto i tēnei mono tāpiri.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Mō ētahi atu whakamahinga, tēnā whakapā atu ki te kaituhi kia whiwhi raihana hokohoko.
本プラグインには以下のライブラリを同梱しています	Kei roto i tēnei mono ngā whare pukapuka e whai ake nei
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Kei roto i tēnei mono ngā momotuhi toi ASCII i hangaia i raro nei, me ngā kōnae momotuhi.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Kei roto i tēnei mono ngā puoro nō te kēmu Super Famicom kāore i te mana, 'SM Trainer Hitomi 3', i whakawhanakehia e EJ Co., Ltd., i hangaia e te kaihanga o tēnei mono, ā, kua whiwhi raihana ā-ture.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Kei roto i tēnei mono ngā ara oro i hangaia mā te whakamahi i te 'Keppy's YAMAHA C7', i whakawhanakehia e Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Kua whakamahia hoki e au te Raspberry Pi 5, a ChatGPT me DeepL i te whakawhanaketanga o tēnei mono tāpiri.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Kua kitea he mono penapena. Kāore e mahi tika tēnei mono mēnā kua whakahohea he mono penapena.
無効なIPアドレス	He wāhitau IP hē
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Hei whakamahi i tēnei paetukutuku, me whakahohe koe i ngā kuki me te JavaScript.
利用規約	Ngā tikanga whakamahi
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Hei aukati i te whakamahinga kāore i whakaaetia, me te whakarite kia haumaru te whakahaere o ā mātou ratonga, tērā pea ka penapenahia e tēnei paetukutuku ngā pārongo pērā i ngā wāhitau IP, te hītori tirotiro, me ngā rangitaki mahi ki roto i ngā kuki me ngā pātengi raraunga. Ka whakamahia ēnei pārongo mō te whakahaere anake o te paetukutuku me ngā take ture, ā, kāore e tukuna ki ētahi atu rōpū tuatoru.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Hei whakamahi i tēnei ratonga, me whakaae koe ki ēnei mahi tukatuka.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Ka taea e koe te tiro ki ngā ihirangi o te Kaupapahere Tūmataitinga ahakoa mēnā kua whakaae koe, kāore rānei.
同意する	E whakaae ana au
同意しない	Kāore au e whakaae
確認	Whakapūmau
プライバシーポリシー	Kaupapahere Tūmataiti
通常とは異なる方法でのアクセスや操作が検出されました	Kua kitea he uru, he mahi rānei kāore i te noa.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Kua herea ētahi āhuatanga mō ngā take haumaru me te tiaki ihirangi.
デバッグモード、コンソールの起動は禁止されています	Kua whakaweto te aratau wetewete hapa me te uru ki te papapātuhi.
以下の情報がサーバーに送信されました	Kua tukuna ngā pārongo e whai ake nei ki te tūmau.
あなたのIPアドレス	Tō wāhitau IP
あなたの端末とブラウザ	Tō pūrere me tō kaitirotiro
あなたの押下したキー	Te kī i pēhia e koe
リダイレクトをします	Ka whakawhiti koe
コンテンツ保護のため一部の機能を制限しています	Kua herea ētahi āhuatanga kia tiakina te ihirangi
右クリックは禁止されています	Kāore e whakaaetia te pāwhiri-matau
あなたが押下したキー	Te kī i pēhia e koe
印刷、PDFへの保存は禁止されています	Kua aukatia te tā me te penapena hei PDF.
スクリーンショットは禁止されています	Kua aukatia ngā hopu mata.
スクリーンショット、デバッグモード等の起動は禁止されています	Kua aukatia te tango whakaahua mata me te whakahohe i te aratau wetewete.
ページの保存は禁止されています	Kua aukatia te penapena i tēnei whārangi
コピー、カットは禁止されています	Kua aukatia te kape me te tapahi.
あなたが起こしたイベント	Ngā kaupapa i whakaritea e koe
テキストの選択は禁止されています	Kāore e whakaaetia te tīpako kuputuhi.
HTMLソース表示は禁止されています	Kua aukatia te whakaatu i te waehere pūtake HTML.
不正アクセスは禁止されています	Kua aukatia te uru kāore i whakaaetia
アフリカーンス語	Āferikaans
アラゴン語	Aranese
アラビア語	Arapi
アッサム語	Ahaia
アゼルバイジャン語	Azerbaijaniana
バシュキール語	Whakamautia
ベラルーシ語	Pēhāre
ベンガル語	Pēngara
ブルガリア語	Pōhāre
ボスニア語	Pōtiānia
カタロニア語	Kātalana
チェコ語	Tēke
ウェールズ語	Wēra
デンマーク語	Dāniana
ドイツ語	Tiamana
現代ギリシア語	Kariki hou
英語	Pākehā
イギリス英語	Pākehā
アメリカ英語	Ingarihi Amerikana
エスペラント語	Rēo Tūmanako
スペイン語	Paniora
エストニア語	Nō Estonia
バスク語	Pākehā
ペルシャ語	Pārihi
フィンランド語	Pākehā
フランス語	Wīwī
アイルランド語	Airihi
ガリシア語	Gālīkānia
グァラニ語	Tāngata
グジャラート語	Gujarati
ハウサ語	Haousa
ヘブライ語	Hēbera
ヒンディ語	Hindī
クロアチア語	Kōroatia
ハイチ・クレオール語	Kareora Haitiana
ハンガリー語	Hūngāri
インドネシア語	Inonesia
イボ語	Reo Ibo
アイスランド語	Īkārāhitāne
イタリア語	Itāriana
日本語	Hapanihi
ジャワ語	Wīwī
カザフ語	Kazakh
朝鮮語	Kōrea
クルド語	Kōkurdi
キルギス語	Kīrīgī
ラテン語	Rāpana
ルクセンブルク語	Wīwī o Luxembourg
リンガラ語	Kōrero
リトアニア語	Rētiānia
ラトビア語	Rātiana
マダガスカル語	Malagasy
マオリ語	Māori
マケドニア語	Mākedoniana
マラヤーラム語	Malayalam
モンゴル語	Mōngōlia
マラーティー語	Māori
マレー語	Malaya
マルタ語	Mōtehi
ビルマ語	Pākehā
ネパール語	Nēpāri
ノルウェー語	Nō Nōwēhi
オランダ語	Hōlani
オック語	Ōketaniana
オロモ語	Rā
パンジャーブ語	Pūnaha
ポーランド語	Whakapaipai
パシュトー語	Pāhoto
ポルトガリア語	Pōtukara
ブラジルポルトガル語	Te reo Pōtukara o Brazil
ヨーロピアンポルトガル語	Pōtukara o Europi
ケチュア語	Kētsua
ルーマニア語	Rōmania
ロシア語	Rūsiana
サンスクリット語	Rāngai
スロバキア語	Sōlōvākia
スロベニア語	Sloveniana
セルビア語	Serēnia
南セソト語	Tonga Sesotho
スンダ語	Haiti
スウェーデン語	Huitene
スワヒリ語	Swahili
タミル語	Tāmī
テルグ語	Tēligū
タジク語	Taji
タイ語	Tāihi
トルクメン語	Tūki
タガログ語	Reo Tagalog
トルコ語	Tūki
タタール語	Tatar
ウクライナ語	Ukaraina
ウルドゥー語	Urdu
ウズベク語	Uzbeki
ベトナム語	Wīwīnia
コサ語	Kōsa
イディッシュ語	Yidi
簡体中国語	Haina Whakangāwari
繁体中国語	Te reo Hainamana tuku iho
ズールー語	Tūru
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Ko te pūtirotiro e whakamahia ana e koe ināianei he putanga tawhito kāore e tautokohia ana. Hei whakarite i tētahi wheako tirotiro haumaru ake, ā, kia pai ake hoki, tēnā whakahouhia tō pūtirotiro ki te putanga hou rawa atu.
不正なリクエストです	Kore whaimana te tono
画像が見つかりません	Kāore i kitea te whakaahua
