設定	Gosodiadau
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Mae'n amhosibl diogelu cynnwys yn llwyr. Fodd bynnag, drwy gyhoeddi rhybuddion lle bynnag y bo modd a gwneud paratoadau rhag ofn y bydd unrhyw beth yn digwydd, dylem allu datrys y mater yn unol â'r gweithdrefnau a osodwyd gan y llywodraeth.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	Wrth gwrs, bydd angen i chi sicrhau bod eich telerau ac amodau a pholisi'r wefan yn gynhwysfawr. Er nad yw'r ategyn hwn yn offeryn ar gyfer cynhyrchu telerau ac amodau, gall ddarparu rhywfaint o arweiniad.
開発者: 夜桜　なの	Datblygwr: Nano Yozakura
バージョン	Fersiwn
ビルド	Adeiladu
サポートページ	Tudalen gymorth
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Perfformiwyd gan Miss Ura Manira
支援のお願い	Cais am gymorth
Neo HTML Protectorをご利用いただき、ありがとうございます！	Diolch am ddefnyddio Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Mae datblygu a chynnal a chadw'r ategyn hwn wedi gofyn am lawer iawn o amser ac ymdrech, ac er mwyn codi arian i barhau i'w wella a'i ddiweddaru, byddem yn ddiolchgar pe bai unrhyw un sy'n gallu ein cefnogi yn ystyried rhoi rhodd.
寄付について	Ynghylch Rhoddion
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Mae rhoddion yn gwbl wirfoddol ac nid ydynt yn orfodol. Mae'r ategyn ar gael i bawb yn rhad ac am ddim. Fodd bynnag, gwerthfawrogir eich cefnogaeth yn fawr i'n helpu i barhau â'r gwaith datblygu, a byddem yn falch iawn pe gallech gyfrannu beth bynnag y gallwch.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Gallwch wneud rhodd drwy'r ddolen isod. Os ydych chi'n byw yn Japan, gallwch roi'n rhad ac am ddim, a gallwch hefyd roi'n hawdd gan ddefnyddio talebau rhodd Amazon.
寄付先	Elusennau
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Gyda'ch cefnogaeth, fe wnawn ein gorau i barhau i ddod â diweddariadau gwych i chi!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Rydym yn ddiolchgar am eich cefnogaeth ac edrychwn ymlaen at eich cefnogaeth barhaus yn y dyfodol.
ライセンス	Trwydded
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Mae'r ategyn hwn wedi'i ddatblygu fel meddalwedd cod agored ac mae wedi'i drwyddedu o dan y GPLv2.0 neu fersiwn ddiweddarach.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Mae rhai o'r technolegau sydd wedi'u cynnwys yn yr ategyn hwn wedi'u diogelu gan batentau.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Caniateir defnyddio'r dechnoleg batentiedig yn unig o fewn yr ategyn hwn.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Ar gyfer unrhyw ddefnydd arall, cysylltwch â'r awdur i gael trwydded fasnachol.
本プラグインには以下のライブラリを同梱しています	Mae'r ategyn hwn yn cynnwys y llyfrgelloedd canlynol
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Mae'r ategyn hwn yn cynnwys y ffontiau celf ASCII a gynhyrchwyd isod, ynghyd â'r ffeiliau ffont.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Mae'r ategyn hwn yn cynnwys cerddoriaeth o'r gêm Super Famicom anfoddog 'SM Trainer Hitomi 3', a ddatblygwyd gan EJ Co., Ltd. ac a gyfansoddwyd gan greawdwr yr ategyn hwn, ac mae wedi'i drwyddedu'n swyddogol.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Mae'r ategyn hwn yn cynnwys traciau a grëwyd gan ddefnyddio 'Keppy's YAMAHA C7', a ddatblygwyd gan Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Rwyf hefyd wedi defnyddio Raspberry Pi 5, ChatGPT a DeepL wrth ddatblygu'r ategyn hwn.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Mae ategyn storio wedi'i ganfod. Ni fydd yr ategyn hwn yn gweithio'n gywir os yw ategyn storio wedi'i alluogi.
無効なIPアドレス	Cyfeiriad IP annilys
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	I ddefnyddio'r wefan hon, rhaid i chi alluogi cwcis a JavaScript.
利用規約	Telerau Defnyddio
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Er mwyn atal defnydd heb awdurdod a sicrhau gweithrediad diogel ein gwasanaethau, gall y wefan hon storio gwybodaeth fel cyfeiriadau IP, hanes pori a chofnodion gweithgarwch mewn cwcis a chronfeydd data. Defnyddir y wybodaeth hon ar gyfer gweithredu'r wefan ac at ddibenion cyfreithiol yn unig, ac ni fydd yn cael ei datgelu i drydydd partïon.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	I ddefnyddio'r gwasanaeth hwn, rhaid i chi gydsynio i'r gweithgareddau prosesu hyn.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Gallwch weld cynnwys y Polisi Preifatrwydd, p'un a ydych wedi rhoi eich caniatâd ai peidio.
同意する	Rwy'n cytuno
同意しない	Dw i'n anghytuno
確認	Cadarnhad
プライバシーポリシー	Polisi Preifatrwydd
通常とは異なる方法でのアクセスや操作が検出されました	Canfuwyd mynediad neu weithgarwch anarferol.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Mae rhai nodweddion wedi'u cyfyngu at ddibenion diogelwch a diogelu cynnwys.
デバッグモード、コンソールの起動は禁止されています	Mae modd dadfygio a mynediad i'r consol wedi'u hanalluogi.
以下の情報がサーバーに送信されました	Mae'r wybodaeth ganlynol wedi'i hanfon i'r gweinydd
あなたのIPアドレス	Eich cyfeiriad IP
あなたの端末とブラウザ	Eich dyfais a'ch porwr
あなたの押下したキー	Yr allwedd a wasgwyd gennych
リダイレクトをします	Cewch eich ailgyfeirio
コンテンツ保護のため一部の機能を制限しています	Mae rhai nodweddion wedi'u cyfyngu i ddiogelu'r cynnwys.
右クリックは禁止されています	Nid yw clicio â'r dde yn cael ei ganiatáu.
あなたが押下したキー	Yr allwedd a wasgwyd gennych
印刷、PDFへの保存は禁止されています	Gwaherddir argraffu a chadw fel PDF.
スクリーンショットは禁止されています	Gwaherddir sgrinluniau.
スクリーンショット、デバッグモード等の起動は禁止されています	Gwaherddir cymryd sgrinluniau ac alluogi modd dadfygio.
ページの保存は禁止されています	Gwaherddir cadw'r dudalen hon
コピー、カットは禁止されています	Gwaherddir copïo a thorri.
あなたが起こしたイベント	Digwyddiadau rydych wedi'u trefnu
テキストの選択は禁止されています	Nid yw'n bosibl dewis testun.
HTMLソース表示は禁止されています	Gwaherddir dangos cod ffynhonnell HTML.
不正アクセスは禁止されています	Gwaherddir mynediad heb awdurdod.
アフリカーンス語	Affricans
アラゴン語	Aragonesa
アラビア語	Arabeg
アッサム語	Asameg
アゼルバイジャン語	Aserbaijaneg
バシュキール語	Bashkir
ベラルーシ語	Bieloruseg
ベンガル語	Bengalaidd
ブルガリア語	Bwlgariaidd
ボスニア語	Bwsnaidd
カタロニア語	Catalanaidd
チェコ語	Tsieceg
デンマーク語	Daneg
ドイツ語	Almaeneg
現代ギリシア語	Groeg fodern
英語	Saesneg
イギリス英語	Saesneg Prydeinig
アメリカ英語	Saesneg Americanaidd
エスペラント語	Esperanto
スペイン語	Sbaeneg
エストニア語	Estonaidd
バスク語	Basgeg
ペルシャ語	Persaidd
フィンランド語	Ffinnaidd
フランス語	Ffrangeg
アイルランド語	Gwyddelig
ガリシア語	Galisaidd
グァラニ語	Guaraní
グジャラート語	Gwjarati
ハウサ語	Tsie
ヘブライ語	Hebraeg
ヒンディ語	Hindî
クロアチア語	Croateg
ハイチ・クレオール語	Criôl Haitian
ハンガリー語	Hwngaraidd
インドネシア語	Indonesieg
イボ語	Iaith Ibo
アイスランド語	Iselandi
イタリア語	Eidalaidd
日本語	Siapaneaidd
ジャワ語	Jawine
カザフ語	Casar
朝鮮語	Coreanaidd
クルド語	Cwrdaidd
キルギス語	Cyrgystanaidd
ラテン語	Lladin
ルクセンブルク語	Lwcsembwrgeg
リンガラ語	Pysgodyn
リトアニア語	Lithwanaidd
ラトビア語	Latfieg
マダガスカル語	Malaig
マオリ語	Māori
マケドニア語	Macedonaidd
マラヤーラム語	Malayalameg
モンゴル語	Mongolaidd
マラーティー語	Maraffî
マレー語	Malay
マルタ語	Maltes
ビルマ語	Bwrmaidd
ネパール語	Nepalaidd
ノルウェー語	Norwyeg
オランダ語	Iseldiraeg
オック語	Ocitan
オロモ語	Neu
パンジャーブ語	Pwnjabi
ポーランド語	Gwydr
パシュトー語	Pashto
ポルトガリア語	Portiwgaleg
ブラジルポルトガル語	Portiwgaleg Brasil
ヨーロピアンポルトガル語	Portiwgaleg Ewropeaidd
ケチュア語	Peched
ルーマニア語	Rwmanaidd
ロシア語	Rwsieg
サンスクリット語	Lladin
スロバキア語	Slofaca
スロベニア語	Slofeneg
セルビア語	Serbiaidd
南セソト語	De Sesotho
スンダ語	Sundaeseg
スウェーデン語	Swedaidd
スワヒリ語	Swahili
タミル語	Tamileg
テルグ語	Telwgi
タジク語	Tajic
タイ語	Talaidd
トルクメン語	Twrcaidd
タガログ語	Tagalog
トルコ語	Twrcaidd
タタール語	Tatar
ウクライナ語	Wcreiniaidd
簡体中国語	Tsieinëeg symlach
繁体中国語	Tsieinëeg draddodiadol
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Mae'r porwr rydych chi'n ei ddefnyddio ar hyn o bryd yn fersiwn hŷn nad oes ei gefnogi mwyach. Er mwyn sicrhau profiad pori mwy diogel a chyfforddus, diweddarwch i'r fersiwn ddiweddaraf o'ch porwr.
不正なリクエストです	Cais annilys
画像が見つかりません	Ni chanfuwyd y ddelwedd
ウェールズ語	Cymraeg
ウルドゥー語	Wrdw
ウズベク語	Ozbeg
ベトナム語	Fietnameg
コサ語	Gwallt
イディッシュ語	Iddeweg
ズールー語	Zulu
