設定	איינשטעלונגען
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	ווײַזן אַ וואָרענונג ווען מען גייט אַרײַן אין אינטערנעט עקספּלאָרער און דעם אַלטן מייקראָסאָפֿט עדזש
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	פֿאַרהיט צוטריט דורך אינטערנעט עקספּלאָרער און דעם אַלטן מייקראָסאָפֿט עדזש
alertメッセージを表示する言語	שפּראַך אין וועלכער ווארענונגס־מעסעדזשעס ווערן געוויזן
Wordpressの言語	וואָרדפּרעס שפּראַכן
ブラウザの設定言語	שפּראַך־איינשטעלונגען פֿונעם בראַוזער
メッセージをカスタム設定されている場合は言語を変更できません	איר קענט נישט טוישן די שפּראַך אויב די אָנזאָגן זענען פּערזענלעך צוגעפּאַסט.
同意画面の言語	שפּראַך פֿונעם צוזימונג־עקראַן
view-sourceメッセージを表示する言語	שפּראַך אין וועלכער צו ווײַזן דעם 'view-source' אָנזאָג
一時使用トークンの有効期限	אויסגיין־דאַטע פֿון צײַטווײַליקע טאָקענס
3分	דרײַ מינוט
4分	פֿיר מינוט
5分	פֿינף מינוט
6分	6 מינוט
7分	זיבן מינוט
8分	אַכט מינוט
9分	9 מינוט
10分	צען מינוט
15分	פֿופצן מינוט
20分	20 מינוט
25分	פֿינף און צוואַנציק מינוט
30分	30 מינוט
35分	פֿינף און דרייסיק מינוט
40分	40 מינוט
45分	45 מינוט
50分	פֿופֿציק מינוט
55分	פֿופֿציק און פֿינף מינוט
1時間	איין שעה
画像URL情報の有効期限を設定します	שטעלט דעם אויסגאַנג־דאַטע פֿאַר די אינפֿאָרמאַציע פֿון בילד־URL
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	אַמאָל געלאָודעט, וועלן דער בילד־URL און דער צײַטווייליקער טאָקען אומגילטיק ווערן.
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	בילדער ווערן געלאָדן אויף פֿאַרלאַנג, אָבער זיי וועלן זיך אויטאָמאַטיש געלאָדן ווערן 30 סעקונדעס פֿריִער פֿון דער באַשטימטער צײַט.
一時使用トークンのビット数	צאָל פֿון ביטס אין אַ צײַטווײַליקן טאָקען
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	אַ צײַטווייליקער טאָקען ווערט גענוצט ווי אַ פּאַראָל צו פֿאַרשליסלען בילד־URL אינפֿאָרמאַציע; די אײַנשטעלונג ספּעציפֿיצירט זײַן שטאַרקייט
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	כאָטש די אָפּציעס וואָס ווערן געוויזן אונטערן אויספֿאַל־מעניו ווערן אַלץ מער דעטאַלירט, קען דאָס לייגן אַ שווערע לאַסט אויפֿן סערווער און פֿירן צו אַ גרויסן פֿאַרנעם פֿון HTML־דאַטן וואָס ווערן אַריבערגעפֿירט.
ハッシュ化アルゴリズム	האַש־אַלגאָריטם
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その時ハッシュ化が必要です、その強度を設定します	אַ צײַטווייליקער טאָקען ווערט גענוצט ווי אַ פּאַראָל צו פֿאַרשליסלען בילד־URL אינפֿאָרמאַציע; דאָס פֿאָדערט העשינג, און די דאָזיקע אײַנשטעלונג באַשטימט די שטאַרקייט פֿון יענעם העשינג.
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなります	כאָטש די אינטענסיטעט פֿאַרגרעסערט זיך ווען מען גייט אַראָפּ די רשימה פֿון אָפּציעס אינעם אַראָפּפֿאַלנדיקן מעניו, לייגט דאָס אַ גרעסערע לאַסט אויפֿן סערווער.
基本設定	בסיסי אײַנשטעלונגען
高度な設定	פֿאָרגעשריטענע אײַנשטעלונגען
初期設定に戻す	שטעלט צוריק די סטאַנדאַרט־איינשטעלונגען
デザイン・音の設定	דיזיין און קלאַנג־איינשטעלונגען
イベントの設定	אונטערנעמונג־אײַנשטעלונגען
初回訪問時のお知らせの設定	אײַנשטעלן אָנזאָגן פֿאַר ערשטע באַזוכן
メッセージの設定	מעסעדזש־איינשטעלונגען
右クリックやソースコード表示時に転送する URL を設定します	שטעלט דעם URL וואָס זאָל זיך עפֿענען ווען מען קליקט מיטן רעכטן קנעפּל אָדער ווען מען זעט דעם מקור־קאָד.
警告メッセージにはHTMLは使用できません	HTML קען נישט ווערן גענוצט אין וואָרענונגס־מעסעדזשעס.
この画面で設定すると、高度な設定タブにある言語設定が無視されます	אויב איר קאָנפֿיגורירט דאָס אויף דעם עקראַן, וועלן די שפּראַך־איינשטעלונגען אין דעם אַוואַנסירטן טאַב איגנאָרירט ווערן.
以下の文字列が使用できます	די פאלגנדיקע שטרינגס קענען ווערן גענוצט
改行	שורה־ברעך
押下されたキー	שליסל געדריקט
Neo HTML Protector 設定	נעאָ HTML שוץ־איינשטעלונגען
お知らせ	אָנזאָג
メッセージ	מעסעדזש
デザイン・音	דיזיין און קלאַנג
初期化	איניציאַליזאַציע
このプラグインについて	וועגן דעם פּלאַגין
設定が初期化されました	די אײַנשטעלונגען זענען צוריקגעשטעלט געוואָרן.
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	יניציאַליזירן דעם פּלאַגין. ביטע באַמערקט אַז די דאַטן פֿון IP Log Reader וועלן אין דעם שטאַפּל נישט ווערן אויסגעמעקט.
Neo HTML Protectorについて	וועגן נעאָ עיט־עיט־על פּראָטעקטאָר
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	דער פּלאַגין איז דיזיינירט צו באַשיצן די HTML, בילדער און אַנדערע אינהאַלט וואָס ווערן גענערירט דורך אייער WordPress־זייטל, און צו באַשיצן עס קעגן אומאויטאָריזירטע נוצן.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	עס איז אוממעגלעך צו גאָר באַשיצן דעם אינהאַלט. אָבער דורך אַרויסגעבן ווארענונגען וווּ מע קען און דורכפֿירן צוגרייטונגען אין פאַל אַז עפּעס פּאַסירט, זאָלן מיר קענען לייזן דעם ענין לויט די פּראָצעדורן וואָס די רעגירונג האָט באַשטימט.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	פֿאַרשטייט זיך, איר דאַרפֿט זיכער מאַכן אַז אייערע תנאים און באַדינגונגען און די פּלאַץ־פּאָליטיק זײַנען גאַנץ און אַרומנעמיק. כאָטש דער פּלוגין איז נישט אַ געצייַג צו שאַפֿן תנאים און באַדינגונגען, קען ער געבן עטלעכע עצות.
開発者: 夜桜　なの	אַנטוויקלער: נאַנאָ יאָזאַקוראַ
バージョン	ווערסיע
ビルド	בויען
サポートページ	שטיצע־בלאַט
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	געשפּילט פֿון פֿרײַלין אוראַ מאַניראַ
支援のお願い	אַ בקשה פֿאַר הילף
Neo HTML Protectorをご利用いただき、ありがとうございます！	אַ דאַנק פֿאַרן ניצן ניאָ עיט־עט־על פּראָטעקטאָר!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	די אַנטוויקלונג און דער אויפֿהאַלט פֿון דעם פּלאַגין האָבן געפֿאָדערט אַ סך צײַט און מי, און כּדי צונויפֿצוזאַמלען געלטער כּדי ווײַטער צו פֿאַרבעסערן און דערהײַנטיקן אים, וואָלטן מיר געווען דאַנקבאַר אויב יעדער איינער וואָס קען אונדז שטיצן וואָלט באַטראַכט צו מאַכן אַ נדבֿה.
寄付について	וועגן נדבֿות
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	תרומות זענען גאָר פֿרײַוויליק און נישט פֿאַרפֿליכטעט. דער פּלאַגין איז פֿאַר אַלעמען אומזיסט. אָבער, אײַער שטיצע ווערט זייער אָפּגעשאַצט, כּדי מיר קענען פאָרזעצן די אַנטוויקלונג, און מיר וואָלטן זיך זייער געפֿרייט, אויב איר קענט בײַשטײַערן וואָס איר קענט.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	איר קענט מאַכן אַ דאָנאַציע דורך דעם לינק אונטן. אויב איר וווינט אין יאַפּאַן, קענט איר דאָנירן אָן קיין קאָסטן, און איר קענט אויך גרינג דאָנירן מיט אַמאַזאָן גיפט־וואָוטשערז.
寄付先	צדקה־אָרגאַניזאַציעס
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	מיט אייער שטיצע וועלן מיר טאָן אונדזער בעסטע צו ווייטער ברענגען אייך פאַנטאַסטישע דערהייַנטיקונגען!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	מיר זענען דאַנקבאַר פֿאַר אײַער שטיצע און קוקן פאָרויס צו אײַער ווײַטערדיקער שטיצע אין דער צוקונפֿט.
ライセンス	ליצענץ
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	דער פּלאַגין איז אַנטוויקלט געוואָרן ווי אָפֿן־קאָד ווייכווארג און איז ליצענצירט אונטער דער GPLv2.0 אָדער שפּעטער.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	עטלעכע פֿון די טעכנאָלאָגיעס וואָס זענען אַרײַנגערעכנט אין דעם פּלוגין זענען באַשיצט דורך פּאַטענטן.
特許技術の使用は、このプラグイン内での使用に限って認められます。	די באַניצונג פֿון דער פּאַטענטירטער טעכנאָלאָגיע איז דערלויבט בלויז אינעם דאָזיקן פּלאַג־אין.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	פֿאַר יעדן אַנדערן באַניץ, ביטע קאָנטאַקטירט דעם מחבר צו באַקומען אַ געשעפֿטלעכע ליצענץ.
本プラグインには以下のライブラリを同梱しています	דער פּלאַגין אַנטהאַלט די פֿאָלגנדיקע ביבליאָטעקן
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	דער פּלאַגין אַנטהאַלט די ASCII-קונסט-פֿאָנטן וואָס ווערן גענערירט אונטן, צוזאַמען מיט די פֿאָנט-טעקעס.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	דער פּלאַגין אַרײַננעמט מוזיק פֿון דער אומאָפֿיציעלער סופּער פֿאַמיקאָם־שפּיל "SM Trainer Hitomi 3", אַנטוויקלט דורך EJ Co., Ltd. און קאָמפּאָזירט דורך דעם שאַפֿער פֿון דעם פּלאַגין, און איז אָפֿיציעל ליצענצירט.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	דער פּלאַגין אַרײַננעמט טראַקס געשאַפֿן מיט "קעפּיס יאַמאַהאַ C7", אַנטוויקלט פֿון קעפּי
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	איך האָב אויך גענוצט אַ Raspberry Pi 5, ChatGPT און DeepL אין דער אַנטוויקלונג פֿון דעם פּלאַגין.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	אַ קאַשינג־פּלאַגין איז דערקענט געוואָרן. דער פּלאַגין וועט נישט פֿונקציאָנירן ריכטיק אויב אַ קאַשינג־פּלאַגין איז אַקטיוו.
無効なIPアドレス	אומגילטיקער IP־אַדרעס
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	כדי צו נוצן דעם וועבזײַטל, מוזט איר אַקטיווירן קוקיס און דזשאַוואַסקריפּט.
利用規約	תּנאָים פֿון באַניץ
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	צו פאַרמיידן אומאויטאָריזירטע נוצן און צו פֿאַרזיכערן די זיכערע אָפּעראַציע פֿון אונדזערע סערוויסן, קען דער וועבזײַט שפּײַכן אינפֿאָרמאַציע ווי IP-אַדרעסן, בראַוזער-היסטאָריע און אַקטיוויטעט-לאָגס אין קוקיס און דאַטאַבייסן. די אינפֿאָרמאַציע ווערט גענוצט בלויז פֿאַר די אָפּעראַציע פֿון דעם וועבזײַט און פֿאַר לעגאַלע צילן, און וועט נישט ווערן אַנטפּלעקט צו דריטע פּאַרטייען.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	צו נוצן דעם סערוויס, מוזט איר מסכים זײַן צו די פּראַסעסירונג־אַקטיוויטעטן.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	איר קענט זען דעם אינהאַלט פֿון אונדזער פּריוואַטקייט־פּאָליטיק, צי איר האָט געגעבן אייער צוזימונג אָדער נישט.
同意する	איך בין מסכים
同意しない	איך בין נישט מסכים
確認	באַשטעטיקונג
プライバシーポリシー	פּריוואַטקייט־פּאָליטיק
通常とは異なる方法でのアクセスや操作が検出されました	אומגעוויינטלעכער צוטריט אָדער טעטיקייט איז דעטעקטירט געוואָרן
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	געוויסע פֿונקציעס זענען באַגרענעצט געוואָרן פֿאַר זיכערהייט און אינהאַלט־שוץ צוועקן.
デバッグモード、コンソールの起動は禁止されています	דיבאַג־מאָדוס און קאָנסאָלע־צוטריט זענען אָפּגעשאַלטן
以下の情報がサーバーに送信されました	די פאלגנדיקע אינפֿאָרמאַציע איז געשיקט געוואָרן צום סערווער
あなたのIPアドレス	אײַער IP-אַדרעס
あなたの端末とブラウザ	אײַער מיטל און בלעטערער
あなたの押下したキー	דער שליסל וואָס דו האָסט געדריקט
リダイレクトをします	איר וועט ווערן איבערגעפֿירט
コンテンツ保護のため一部の機能を制限しています	געוויסע פֿונקציעס זענען באַגרענעצט געוואָרן כּדי צו באַשיצן דעם אינהאַלט.
右クリックは禁止されています	רעכט־קליקן איז נישט דערלויבט
あなたが押下したキー	דער שליסל וואָס דו האָסט געדריקט
印刷、PDFへの保存は禁止されています	דרוקן און אויפֿהיטן ווי PDF איז פֿאַרבאָטן.
スクリーンショットは禁止されています	עס איז פֿאַרבאָטן צו נעמען סקרינשאַטן.
スクリーンショット、デバッグモード等の起動は禁止されています	נעמען סקרינשאַץ און אַקטיווירן דעבאַג־מאָדוס זענען פֿאַרבאָטן.
ページの保存は禁止されています	עס איז פֿאַרבאָטן צו שפּאָרן דעם בלאַט
コピー、カットは禁止されています	קאָפּירן און אויסשניידן זענען פֿאַרבאָטן.
あなたが起こしたイベント	אירועות וואָס איר האָט אָרגאַניזירט
テキストの選択は禁止されています	אויסקלײַבן טעקסט איז נישט דערלויבט
HTMLソース表示は禁止されています	די ווײַזונג פֿון HTML קוואַל־קאָד איז פֿאַרבאָטן.
不正アクセスは禁止されています	אומדערלויבטער צוטריט איז פֿאַרבאָטן
アフリカーンス語	אַפֿריקאַנס
アラゴン語	אַראַגאָניש
アラビア語	אַראַביש
アッサム語	אַסאַמישע
アゼルバイジャン語	אַזערבײַדזשאַניש
バシュキール語	באַשקיריש
ベラルーシ語	בעלאַרוסיש
ベンガル語	בענגאַליש
ブルガリア語	בולגאַריש
ボスニア語	באָסניש
カタロニア語	קאַטאַלאָניש
チェコ語	טשעכיש
デンマーク語	דאַניש
ドイツ語	דײַטש
現代ギリシア語	מאָדערנע גריכיש
英語	ענגליש
イギリス英語	בריטיש ענגליש
アメリカ英語	אַמעריקאַנער ענגליש
エスペラント語	עספּעראַנטאָ
スペイン語	שפּאַניש
エストニア語	עסטלאַנדיש
バスク語	באַסקיש
ペルシャ語	פּערסיש
フィンランド語	פֿיניש
フランス語	פֿראַנצויזיש
アイルランド語	אירלענדיש
ガリシア語	גאַליציאַניש
グァラニ語	גואראני
グジャラート語	גוגזשאַראַטי
ハウサ語	האַוסאַ
ヘブライ語	עברי
ヒンディ語	הינדי
クロアチア語	קראָאַטיש
ハイチ・クレオール語	הייטיש־קרעאָל
ハンガリー語	אונגעריש
インドネシア語	אינדאָנעזיש
イボ語	איבאָ שפּראַך
アイスランド語	איסלענדיש
イタリア語	איטאַליעניש
日本語	יאַפּאַניש
ジャワ語	דזשאַווינעזיש
カザフ語	קאַזאַך
朝鮮語	קאָרעיִש
クルド語	קורדיש
キルギス語	קירגיזיש
ラテン語	לאַטײַן
ルクセンブルク語	לוקסעמבורגיש
リンガラ語	לינגאַלאַ
リトアニア語	ליטוויש
ラトビア語	לאַטוויש
マダガスカル語	מאַלאַגאַסי
マオリ語	מאָרי
マケドニア語	מאַסעדאָניש
マラヤーラム語	מלאיאַלאַם
モンゴル語	מאָנגאָליש
マラーティー語	מאראטי
マレー語	מאַלייִש
マルタ語	מאַלטיזיש
ビルマ語	בירמעזיש
ネパール語	נעפּאַליש
ノルウェー語	נאָרוועגיש
オランダ語	האָלענדיש
オック語	אָקסיטאַן
オロモ語	אָרעם
パンジャーブ語	פּונג'אַבי
ポーランド語	פּאָליש
パシュトー語	פּאַשטۆ
ポルトガリア語	פּאָרטוגעזיש
ブラジルポルトガル語	בראַזיליאַניש־פּאָרטוגעזיש
ヨーロピアンポルトガル語	אייראָפּעיִש־פּאָרטוגעזיש
ケチュア語	קעטשואַ
ルーマニア語	רומעניש
ロシア語	רוסיש
サンスクリット語	סאַנסקריט
スロバキア語	סלאוואַקיש
スロベニア語	שלאָוועניש
セルビア語	סערבישער
南セソト語	דרום־סעסאָטאָ
スンダ語	סונדאַנעזיש
スウェーデン語	שוועדיש
スワヒリ語	סוּאַהילִי
タミル語	טאַמיל
テルグ語	טעלוּגוּ
タジク語	טאַדזשיק
タイ語	טײַ
トルクメン語	טורקמען
タガログ語	טאַגאַלאָג
トルコ語	טערקיש
タタール語	טאַטאַר
ウクライナ語	אוקראַיִניש
簡体中国語	פֿאַראיינפֿאַכטע כינעזיש
繁体中国語	טראַדיציאָנעלער כינעזיש
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	דער בראַוזער וואָס איר איצט נוצט איז אַ עלטערע ווערסיע וואָס ווערט ניט מער געשטיצט. צו פֿאַרזיכערן אַ זיכערער און באַקוועמערער בראַוזן־ערפֿאַרונג, ביטע דערהייַנטיקט אײַער בראַוזער צו דער לעצטער ווערסיע.
不正なリクエストです	אומגילטיקער בקשה
画像が見つかりません	בילד ניט געפֿונען
ウェールズ語	וועלשיש
ウルドゥー語	اردو
ウズベク語	אוזבעק
ベトナム語	וויעטנאַמיש
コサ語	קאָסאַ
イディッシュ語	ייִדיש
ズールー語	זולו
