設定	Stillingar
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Við erum þakklát fyrir stuðninginn þinn og hlökkum til að fá áframhaldandi stuðning þinn í framtíðinni.
ライセンス	Leyfi
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	Þessi viðbót er þróuð sem opinn hugbúnaður og er leyfð samkvæmt GPLv2.0 eða nýrri.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Sumar af tæknunum sem eru innifaldar í þessu viðbót eru verndaðar með einkaleyfum.
特許技術の使用は、このプラグイン内での使用に限って認められます。	Notkun einkaleyfisverndaðrar tækni er einungis leyfð innan þessa viðbótar.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Fyrir aðra notkun, vinsamlegast hafðu samband við höfund til að fá viðskiptaleyfi.
本プラグインには以下のライブラリを同梱しています	Þessi viðbót inniheldur eftirfarandi bókasöfn
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Þessi viðbót inniheldur ASCII-listletur sem búin eru til hér að neðan, ásamt leturskránum.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Þessi viðbót inniheldur tónlist úr óopinberu Super Famicom-leiknum 'SM Trainer Hitomi 3', þróuðum af EJ Co., Ltd. og saminn af höfundi þessarar viðbótar, og er með opinbera leyfi.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Þessi viðbót inniheldur lög sem búin eru til með 'Keppy's YAMAHA C7', þróuð af Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Ég hef einnig notað Raspberry Pi 5, ChatGPT og DeepL við þróun þessa viðbótar.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	Könnun hefur greint skyndiminni-viðbót. Þessi viðbót mun ekki virka rétt ef skyndiminni-viðbót er virkjuð.
無効なIPアドレス	Ógild IP-tala
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Til að nota þessa vefsíðu verður þú að virkja smákökur og JavaScript.
利用規約	Notkunarskilmálar
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Til að koma í veg fyrir óheimila notkun og tryggja öruggan rekstur þjónustu okkar getur þessi vefsíða vistað upplýsingar eins og IP-tölur, vafrasögu og virkni- og atburðaskrár í kökum og gagnagrunnum. Þessar upplýsingar eru eingöngu notaðar til reksturs vefsíðunnar og í lögmætum tilgangi og verða ekki afhentar þriðja aðila.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Til að nota þessa þjónustu verður þú að samþykkja þessa vinnsluaðgerðir.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Þú getur skoðað efni persónuverndarstefnu okkar óháð því hvort þú hafir veitt samþykki þitt.
同意する	Ég er sammála
同意しない	Ég er ósammála
確認	Staðfesting
プライバシーポリシー	Persónuverndarstefna
通常とは異なる方法でのアクセスや操作が検出されました	Óvenjulegur aðgangur eða virkni hefur verið greind
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Ákveðnar aðgerðir hafa verið takmarkaðar til öryggis- og efnisverndarsjónarmiða.
デバッグモード、コンソールの起動は禁止されています	V villuleitarhamur og aðgangur að ferilskjá eru óvirkir.
以下の情報がサーバーに送信されました	Eftirfarandi upplýsingar hafa verið sendar á netþjóninn
あなたのIPアドレス	IP-tala þín
あなたの端末とブラウザ	Tækið þitt og vafrinn þinn
あなたの押下したキー	Lykillinn sem þú ýtti á
リダイレクトをします	Þú verður beint áfram
コンテンツ保護のため一部の機能を制限しています	Ákveðnar aðgerðir hafa verið takmarkaðar til að vernda efnið
右クリックは禁止されています	Hægri-smellur er ekki leyfður
あなたが押下したキー	Lykillinn sem þú ýtti á
印刷、PDFへの保存は禁止されています	Prentun og vistun sem PDF er bönnuð.
スクリーンショットは禁止されています	Myndir af skjánum eru bannaðar.
スクリーンショット、デバッグモード等の起動は禁止されています	Það er bannað að taka skjámyndir og virkja villuleitarham.
ページの保存は禁止されています	Bannað er að vista þessa síðu
コピー、カットは禁止されています	Afritun og klipping eru bönnuð.
あなたが起こしたイベント	Viðburðir sem þú hefur skipulagt
テキストの選択は禁止されています	Ekki er heimilt að velja texta
HTMLソース表示は禁止されています	Það er bannað að birta HTML-uppsprettukóða.
不正アクセスは禁止されています	Óheimil aðgangur er bannaður
アフリカーンス語	Afríkans
アラゴン語	Aragonska
アラビア語	Arabíska
アッサム語	Assamíska
アゼルバイジャン語	Aserbaídskan
バシュキール語	Bashkir
ベラルーシ語	Hvítrússneskur
ベンガル語	Bengalska
ブルガリア語	Búlgörskur
ボスニア語	Bosnískur
カタロニア語	Katalónskur
チェコ語	Tékkneskur
ウェールズ語	Welskur
デンマーク語	Danskur
ドイツ語	Þýskur
現代ギリシア語	Nútíma gríska
英語	Enska
イギリス英語	Ensk
アメリカ英語	Bandarísk enska
エスペラント語	Esperanto
スペイン語	Spænska
エストニア語	Eistneskur
バスク語	Baski
ペルシャ語	Persneska
フィンランド語	Finnska
フランス語	Franskur
アイルランド語	Írskur
ガリシア語	Galískur
グァラニ語	Guarani
グジャラート語	Gújarati
ハウサ語	Hausa
ヘブライ語	Hebreska
ヒンディ語	Hindí
クロアチア語	Króatneskur
ハイチ・クレオール語	Haitísk kreól
ハンガリー語	Ungverskur
インドネシア語	Indónesískur
イボ語	Ibo-mál
アイスランド語	íslenska
イタリア語	Ítalskur
日本語	Japanskt
ジャワ語	Javanska
カザフ語	Kasakíska
朝鮮語	Kóreskur
クルド語	Kúrdískt
キルギス語	Kyrgyz
ラテン語	Latin
ルクセンブルク語	Lúxembúrgska
リンガラ語	Mánta
リトアニア語	Líftvísneskur
ラトビア語	Lettneskur
マダガスカル語	Malagasy
マオリ語	Maórí
マケドニア語	Makedóneska
マラヤーラム語	Malajalam
モンゴル語	Mongólskur
マラーティー語	Marathi
マレー語	Malajískur
マルタ語	Maltneskur
ビルマ語	Búrmaíska
ネパール語	Nepalskur
ノルウェー語	Norskur
オランダ語	Hollenskur
オック語	Oktsítanska
オロモ語	Eða
パンジャーブ語	Punjabi
ポーランド語	Pólska
パシュトー語	پشتو
ポルトガリア語	Portúgölsk
ブラジルポルトガル語	Brasilísk portúgölska
ヨーロピアンポルトガル語	Evrópskur portúgölsk
ケチュア語	Inka
ルーマニア語	Rúmenskur
ロシア語	Rússneskur
サンスクリット語	Sanskrit
スロバキア語	Slóvakíska
スロベニア語	Slóvenska
セルビア語	Serbneskur
南セソト語	Suður-Sesotho
スンダ語	Súndaneska
スウェーデン語	Sænskur
スワヒリ語	Svasíli
タミル語	Tamilmaður
テルグ語	Telugu
タジク語	Tajík
タイ語	Taílenskur
トルクメン語	Tyrkneskur
タガログ語	Tagalog
トルコ語	Tyrkneskur
タタール語	Tatar
ウクライナ語	Úkraínumaður
ウルドゥー語	Úrdú
ウズベク語	Úsbek
ベトナム語	Víetnamskir
コサ語	Kosa
イディッシュ語	Jiddisch
簡体中国語	Forsimplað kínverska
繁体中国語	Hefðbundið kínverska
ズールー語	Zúlú
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Vafrinn sem þú ert að nota núna er eldri útgáfa sem ekki er lengur studd. Til að tryggja öruggari og þægilegri vafraupplifun, vinsamlegast uppfærðu vafrann þinn í nýjustu útgáfu.
不正なリクエストです	Ógild beiðni
画像が見つかりません	Myndin fundin ekki
