設定	ਸੈਟਿੰਗਾਂ
ショパン エチュード Op.10-12 革命 打ち込み版 高速版 - 1分57.6秒 - 724,457bytes - 48kbps -  ライセンス：CC BY-ND 4.0 or later	ਚੋਪਿਨ ਐਟਿਊਡ ਓਪਸ. 10 ਨੰ. 12 'ਇਨਕਲਾਬ' – ਕੰਪਿਊਟਰ-ਜਨਰੇਟ ਕੀਤਾ ਸੰਸਕਰਣ, ਉੱਚ-ਗਤੀ – 1 ਮਿੰਟ 57.6 ਸਕਿੰਟ – 724,457 ਬਾਈਟ – 48 kbps – ਲਾਇਸੈਂਸ: CC BY-ND 4.0 ਜਾਂ ਬਾਅਦ ਦਾ
ショパン スケルツォ 変ロ短調 Op2 打ち込み版 高速短縮版 - 1分48.0秒 - 665,369bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	ਚੋਪਿਨ: ਸ਼ੇਰਜ਼ੋ ਇਨ ਬੀ ਫਲੈਟ ਮਾਈਨਰ, ਓਪਸ. 2 – ਕੰਪਿਊਟਰ-ਜਨਰੇਟ ਕੀਤਾ ਸੰਸਕਰਣ, ਤੇਜ਼-ਗਤੀ ਸੰਖੇਪ ਸੰਸਕਰਣ – 1 ਮਿੰਟ 48.0 ਸਕਿੰਟ – 665,369 ਬਾਈਟਸ – 48 kbps – ਲਾਇਸੈਂਸ: CC BY-ND 4.0 ਜਾਂ ਬਾਅਦ ਦਾ
リスト 超絶技巧練習曲 4番 マゼッパ 打ち込み版 高速短縮版 - 1分51.6秒 - 687,586bytes - 48kbps - ライセンス：CC BY-ND 4.0 or later	ਸੂਚੀ: Étude d'Exécution No. 4 'ਮੇਜ਼ੇਪਾ'
ファンファーレ - 22.3秒 - 183,926bytes - 64kbps - ライセンス：パブリックドメイン	ਸ਼ਾਨੋ-ਸ਼ੌਕਤ – 22.3 ਸਕਿੰਟ – 183,926 ਬਾਈਟ – 64 kbps – ਲਾਇਸੈਂਸ: ਪਬਲਿਕ ਡੋਮੇਨ
レトロ風ファンファーレ - 2.2秒 - 10,536bytes - 32kbps - ライセンス：パブリックドメイン	ਰੈਟਰੋ-ਸ਼ੈਲੀ ਦਾ ਸ਼ੋਰ-ਸ਼ਰਾਬਾ – 2.2 ਸਕਿੰਟ – 10,536 ਬਾਈਟ – 32 kbps – ਲਾਇਸੈਂਸ: ਪਬਲਿਕ ਡੋਮੇਨ
レトロ風オープン - 42.1秒 - 179,138bytes - 32kbps - ライセンス：パブリックドメイン	ਰੈਟਰੋ-ਸ਼ੈਲੀ ਦਾ ਇੰਟਰੋ – 42.1 ਸਕਿੰਟ – 179,138 ਬਾਈਟ – 32 kbps – ਲਾਇਸੈਂਸ: ਪਬਲਿਕ ਡੋਮੇਨ
警告 by ChatGPT - 3.8秒 - 109,700bytes - 256kbps - ライセンス：パブリックドメイン	ਚੈਟਜੀਪੀਟੀ ਵੱਲੋਂ ਚੇਤਾਵਨੀ - 3.8 ਸਕਿੰਟ - 109,700 ਬਾਈਟਸ - 256 kbps - ਲਾਇਸੈਂਸ: ਪਬਲਿਕ ਡੋਮੇਨ
マルウェア検出みたいな緊急感の高い音 その１ by ChatGPT - 3.3秒 - 102,850bytes - 256kbps - ライセンス：パブリックドメイン	ਇੱਕ ਉੱਚ-ਤੁਰੰਤਤਾ ਵਾਲੀ ਆਵਾਜ਼, ਮਾਲਵੇਅਰ ਪਛਾਣ ਚੇਤਾਵਨੀ ਵਾਂਗ – ਭਾਗ 1 ChatGPT ਦੁਆਰਾ – 3.3 ਸਕਿੰਟ – 102,850 ਬਾਈਟ – 256 kbps – ਲਾਇਸੈਂਸ: ਪਬਲਿਕ ਡੋਮੇਨ
マルウェア検出みたいな緊急感の高い音 その２ by ChatGPT - 3.3秒 - 103,122bytes - 256kbps - ライセンス：パブリックドメイン	ਮਾਲਵੇਅਰ ਪਛਾਣ ਚੇਤਾਵਨੀ ਵਰਗਾ ਇੱਕ ਉੱਚ-ਤੁਰੰਤਤਾ ਵਾਲਾ ਆਵਾਜ਼, ਭਾਗ 2 ChatGPT ਦੁਆਰਾ - 3.3 ਸਕਿੰਟ - 103,122 ਬਾਈਟ - 256 kbps - ਲਾਇਸੈਂਸ: ਪਬਲਿਕ ਡੋਮੇਨ
MRI風サウンド by ChatGPT - 1分14.9秒 - 3,340,392bytes - 320kbps - ライセンス：パブリックドメイン	ਚੈਟਜੀਪੀਟੀ ਦੁਆਰਾ MRI-ਸ਼ੈਲੀ ਦੀ ਆਵਾਜ਼ – 1 ਮਿੰਟ 14.9 ਸਕਿੰਟ – 3,340,392 ਬਾਈਟ – 320 kbps – ਲਾਇਸੈਂਸ: ਪਬਲਿਕ ਡੋਮੇਨ
警告表示中のBGMを選択します	ਚੇਤਾਵਨੀ ਦੌਰਾਨ ਚਲਾਉਣ ਲਈ ਬੈਕਗ੍ਰਾਊਂਡ ਸੰਗੀਤ ਚੁਣੋ।
びっくりするような雰囲気を作ります	ਇਹ ਇੱਕ ਹੈਰਾਨੀਜਨਕ ਮਾਹੌਲ ਬਣਾਉਂਦਾ ਹੈ।
Firefoxでは音声ブロックされます	ਫਾਇਰਫਾਕਸ ਵਿੱਚ ਆਡੀਓ ਬਲੌਕ ਹੈ।
対象アクションを起こした時のビープ音	ਨਿਰਧਾਰਤ ਕਾਰਵਾਈ ਪੂਰੀ ਹੋਣ 'ਤੇ ਇੱਕ ਬੀਪ
有効 音量小さ目	ਚਾਲੂ, ਆਵਾਜ਼ ਘੱਟ
有効 音量大き目	ਸਰਗਰਮ, ਆਵਾਜ਼ ਉੱਚੀ 'ਤੇ ਹੈ
警告表示中にすべてのキー・マウスイベントでビープ音を鳴らします	ਜਦੋਂ ਚੇਤਾਵਨੀ ਦਿਖਾਈ ਜਾ ਰਹੀ ਹੋਵੇ, ਤਾਂ ਸਾਰੇ ਕੀ ਅਤੇ ਮਾਊਸ ਈਵੈਂਟਾਂ ਦੇ ਜਵਾਬ ਵਿੱਚ ਇੱਕ ਬੀਪ ਵੱਜੇਗੀ।
警告表示中に端末が暴走したかのような雰囲気を作ります	ਇਹ ਪ੍ਰਭਾਵ ਬਣਦਾ ਹੈ ਕਿ ਚੇਤਾਵਨੀ ਦਿਖਾਈ ਦੇਣ ਦੌਰਾਨ ਡਿਵਾਈਸ ਬੇਕਾਬੂ ਹੋ ਗਈ ਹੈ।
対象アクションを起こした時のマウスカーソルの消去	ਜਦੋਂ ਕੋਈ ਵਿਸ਼ੇਸ਼ ਕਾਰਵਾਈ ਕੀਤੀ ਜਾਂਦੀ ਹੈ ਤਾਂ ਮਾਊਸ ਕਰਸਰ ਨੂੰ ਲੁਕਾਉਣਾ
警告表示中にブラウザのエリアのマウスカーソルを消去します	ਜਦੋਂ ਚੇਤਾਵਨੀ ਦਿਖਾਈ ਜਾ ਰਹੀ ਹੋਵੇ, ਤਾਂ ਬ੍ਰਾਊਜ਼ਰ ਖੇਤਰ ਵਿੱਚ ਮਾਊਸ ਕਰਸਰ ਨੂੰ ਛੁਪਾ ਦਿੰਦਾ ਹੈ।
デバッグモード	ਡੀਬੱਗ ਮੋਡ
妨害＋記録のみ	ਹਸਤਖੇਪ + ਰਿਕਾਰਡ ਹੀ
妨害＋記録＋表示＋リダイレクト	ਹਸਤਖੇਪ + ਲੌਗਿੰਗ + ਡਿਸਪਲੇ + ਰੀਡਾਇਰੈਕਟ
メニューからは操作できてしまいます	ਤੁਸੀਂ ਅਜੇ ਵੀ ਇਸਨੂੰ ਮੀਨੂ ਰਾਹੀਂ ਪਹੁੰਚ ਸਕਦੇ ਹੋ।
Firefoxにおけるデバッグモード	ਫਾਇਰਫਾਕਸ ਵਿੱਚ ਡੀਬੱਗ ਮੋਡ
ブラウザーコンソール	ਬ੍ਰਾਊਜ਼ਰ ਕੰਸੋਲ
事実上デバッグモードから操作できてしまいます	ਅਸਲ ਵਿੱਚ, ਤੁਸੀਂ ਇਸਨੂੰ ਡੀਬੱਗ ਮੋਡ ਤੋਂ ਚਲਾ ਸਕਦੇ ਹੋ।
HTMLソース表示	HTML ਸਰੋਤ ਵੇਖੋ
view-source:から始まるURLを入力すれば操作できてしまいます	ਤੁਸੀਂ ਸਿਰਫ਼ 'view-source:' ਨਾਲ ਸ਼ੁਰੂ ਹੋਣ ਵਾਲਾ URL ਦਾਖਲ ਕਰਕੇ ਇਹ ਕਾਰਵਾਈ ਕਰ ਸਕਦੇ ਹੋ।
HTML保護と組み合わせることでコンテンツを保護することができます	ਤੁਸੀਂ ਇਸਨੂੰ HTML ਸੁਰੱਖਿਆ ਨਾਲ ਜੋੜ ਕੇ ਆਪਣੀ ਸਮੱਗਰੀ ਦੀ ਰੱਖਿਆ ਕਰ ਸਕਦੇ ਹੋ।
印刷	ਛਾਪੋ
印刷阻止をするもものの、ブラウザによってはうまく動作しません	ਹਾਲਾਂਕਿ ਇਹ ਛਪਾਈ ਨੂੰ ਰੋਕਦਾ ਹੈ, ਪਰ ਇਹ ਕੁਝ ਬ੍ਰਾਊਜ਼ਰਾਂ ਵਿੱਚ ਠੀਕ ਤਰ੍ਹਾਂ ਕੰਮ ਨਹੀਂ ਕਰ ਸਕਦਾ।
スクリーンショット	ਸਕ੍ਰੀਨਸ਼ਾਟ
OSやブラウザ、方法によっては妨害できず、もしくは検出しないことがあります	ਵਰਤੇ ਜਾ ਰਹੇ ਓਪਰੇਟਿੰਗ ਸਿਸਟਮ, ਬ੍ਰਾਊਜ਼ਰ ਜਾਂ ਤਰੀਕੇ ਦੇ ਆਧਾਰ 'ਤੇ, ਇਸਨੂੰ ਰੋਕਣਾ ਸੰਭਵ ਨਹੀਂ ਹੋ ਸਕਦਾ, ਜਾਂ ਇਸਦਾ ਪਤਾ ਨਹੀਂ ਲੱਗ ਸਕਦਾ।
ウインドウが背面に移動した時スクリーンショットの疑い	ਜਦੋਂ ਵਿੰਡੋ ਬੈਕਗ੍ਰਾਊਂਡ ਵਿੱਚ ਜਾਂਦੀ ਹੈ, ਤਾਂ ਸੰਭਾਵਿਤ ਸਕ੍ਰੀਨਸ਼ਾਟ
あわせて、スクリーンショット以外の機能（タブ切り替え・ウィンドウ切り替え）にも反応してしまいます。	ਇਹ ਸਕ੍ਰੀਨਸ਼ਾਟਾਂ ਤੋਂ ਇਲਾਵਾ ਹੋਰ ਕਾਰਜਾਂ
2キー押下のスクリーンショットの疑い	ਦੋ ਕੁੰਜੀਆਂ ਦਬਾ ਕੇ ਲਿਆ ਗਿਆ ਸ਼ੱਕੀ ਸਕ੍ਰੀਨਸ਼ਾਟ
上の項目の検出方法は完全ではありません、予防的に検出を行います	ਉਪਰੋਕਤ ਆਈਟਮਾਂ ਦੀ ਪਛਾਣ ਕਰਨ ਦੇ ਤਰੀਕੇ ਪੂਰੀ ਤਰ੍ਹਾਂ ਭਰੋਸੇਯੋਗ ਨਹੀਂ ਹਨ; ਪਛਾਣ ਇੱਕ ਸਾਵਧਾਨੀ ਵਜੋਂ ਕੀਤੀ ਜਾਂਦੀ ਹੈ।
スクリーンショットだけではなく、デバッグモード等も検出します	ਇਹ ਸਿਰਫ ਸਕ੍ਰੀਨਸ਼ਾਟ ਹੀ ਨਹੀਂ, ਸਗੋਂ ਡੀਬੱਗ ਮੋਡ ਅਤੇ ਇਸ ਤਰ੍ਹਾਂ ਦੀਆਂ ਹੋਰ ਚੀਜ਼ਾਂ ਨੂੰ ਵੀ ਪਛਾਣਦਾ ਹੈ।
ページ保存	ਪੰਨਾ ਸੇਵ ਕਰੋ
右クリック	ਸੱਜਾ-ਕਲਿੱਕ
アドオンがインストールされていると操作できてしまいます	ਜੇਕਰ ਐਡ-ਆਨ ਇੰਸਟਾਲ ਕੀਤਾ ਗਿਆ ਹੈ, ਤਾਂ ਤੁਸੀਂ ਇਸਨੂੰ ਵਰਤ ਸਕੋਗੇ।
コピー・カット	ਕਾਪੀ ਕਰੋ ਅਤੇ ਕੱਟੋ
本プラグインの設定によってはこのイベントにたどり着くことはほとんどない場合があります	ਇਸ ਪਲੱਗਇਨ ਦੀਆਂ ਸੈਟਿੰਗਾਂ ਦੇ ਅਨੁਸਾਰ, ਤੁਹਾਨੂੰ ਇਹ ਘਟਨਾ ਘੱਟ ਹੀ ਵੇਖਣ ਨੂੰ ਮਿਲੇਗੀ।
テキスト全選択	ਸਾਰਾ ਲਿਖਤ ਚੁਣੋ
テキスト選択	ਟੈਕਸਟ ਚੁਣੋ
デバッガー起動ログ、デバッガー妨害	ਡੀਬੱਗਰ ਸ਼ੁਰੂਆਤੀ ਲੌਗ, ਡੀਬੱਗਰ ਦਖਲਅੰਦਾਜ਼ੀ
デバッグモードの使い勝手を少し悪くし、デバッガを起動したことをログに残します、ブラウザによってはこの挙動が止められてしまいます	ਇਸ ਨਾਲ ਡੀਬੱਗ ਮੋਡ ਥੋੜ੍ਹਾ ਘੱਟ ਉਪਭੋਗਤਾ-ਮਿੱਤਰ ਬਣ ਜਾਂਦਾ ਹੈ ਅਤੇ ਇਹ ਦਰਜ ਕਰਦਾ ਹੈ ਕਿ ਡੀਬੱਗਰ ਚਾਲੂ ਕੀਤਾ ਗਿਆ ਸੀ; ਹਾਲਾਂਕਿ, ਕੁਝ ਬ੍ਰਾਊਜ਼ਰ ਇਸ ਵਿਹਾਰ ਨੂੰ ਰੋਕ ਸਕਦੇ ਹਨ।
リダイレクトするURL	URL ਮੁੜ-ਨਿਰਦੇਸ਼ਿਤ ਕਰੋ
利用規約などのページに転送すると良いでしょう	ਇਹ ਚੰਗਾ ਵਿਚਾਰ ਹੋਵੇਗਾ ਕਿ ਉਪਭੋਗਤਾਵਾਂ ਨੂੰ ਵਰਤੋਂ ਦੀਆਂ ਸ਼ਰਤਾਂ ਵਰਗੇ ਪੰਨਿਆਂ 'ਤੇ ਰੀਡਾਇਰੈਕਟ ਕੀਤਾ ਜਾਵੇ।
空欄にすると元のURLにリダイレクトをします	ਜੇ ਖਾਲੀ ਛੱਡਿਆ ਗਿਆ, ਤਾਂ ਇਹ ਮੂਲ URL 'ਤੇ ਰੀਡਾਇਰੈਕਟ ਕਰੇਗਾ।
リダイレクトまでの時間	ਮੁੜ-ਨਿਰਦੇਸ਼ਨ ਤੱਕ ਦਾ ਸਮਾਂ
リダイレクトなし	ਕੋਈ ਰੀਡਾਇਰੈਕਟ ਨਹੀਂ
1秒	1 ਸਕਿੰਟ
2秒	2 ਸਕਿੰਟ
3秒	3 ਸਕਿੰਟ
4秒	4 ਸਕਿੰਟ
5秒	5 ਸਕਿੰਟ
6秒	ਛੇ ਸਕਿੰਟ
7秒	7 ਸਕਿੰਟ
8秒	8 ਸਕਿੰਟ
9秒	9 ਸਕਿੰਟ
10秒	10 ਸਕਿੰਟ
15秒	15 ਸਕਿੰਟ
20秒	ਵੀਹ ਸਕਿੰਟ
25秒	25 ਸਕਿੰਟ
30秒	30 ਸਕਿੰਟ
35秒	35 ਸਕਿੰਟ
40秒	40 ਸਕਿੰਟ
45秒	45 ਸਕਿੰਟ
50秒	50 ਸਕਿੰਟ
55秒	55 ਸਕਿੰਟ
1分	ਇੱਕ ਮਿੰਟ
1分10秒	1 ਮਿੰਟ 10 ਸਕਿੰਟ
1分20秒	1 ਮਿੰਟ 20 ਸਕਿੰਟ
1分30秒	ਇੱਕ ਮਿੰਟ ਤੇ ਸੱਤਰ ਸੈਕਿੰਡ
1分40秒	1 ਮਿੰਟ 40 ਸਕਿੰਟ
1分50秒	1 ਮਿੰਟ 50 ਸਕਿੰਟ
2分	2 ਮਿੰਟ
ソース表示を許可する権限	ਸੋਰਸ ਕੋਡ ਦੇਖਣ ਦੀ ਇਜਾਜ਼ਤ
ADMINログイン時のみ通常のソース出力	ਆਮ ਸਰੋਤ ਆਉਟਪੁੱਟ ਸਿਰਫ਼ ADMIN ਵਜੋਂ ਲੌਗ ਇਨ ਹੋਣ 'ਤੇ ਹੀ
USERログインで通常のソース出力	ਯੂਜ਼ਰ ਵਜੋਂ ਲੌਗ ਇਨ ਹੋਣ 'ਤੇ ਆਮ ਸਰੋਤ ਆਉਟਪੁੱਟ
通常のHTML出力を管理者のみかユーザーログインかを選択します	ਚੁਣੋ ਕਿ ਕੀ ਮਿਆਰੀ HTML ਆਉਟਪੁੱਟ ਸਿਰਫ਼ ਪ੍ਰਸ਼ਾਸਕਾਂ ਲਈ ਸੀਮਤ ਹੈ ਜਾਂ ਇਸ ਲਈ ਉਪਭੋਗਤਾ ਲੌਗਇਨ ਦੀ ਲੋੜ ਹੈ।
画像を無理やりダウンロードして実際にダウンロードされるもの	ਇੱਕ ਚਿੱਤਰ ਨੂੰ ਡਾਊਨਲੋਡ ਕਰਨ ਲਈ ਮਜਬੂਰ ਕਰਨਾ ਅਤੇ ਅਸਲ ਵਿੱਚ ਕੀ ਡਾਊਨਲੋਡ ਹੁੰਦਾ ਹੈ
GIF形式で1×1ピクセルの透過画像	GIF ਫਾਰਮੈਟ ਵਿੱਚ 1×1-ਪਿਕਸਲ ਦੀ ਪਾਰਦਰਸ਼ੀ ਤਸਵੀਰ
PNG形式で1×1ピクセルの透過画像	ਪੀਐਨਜੀ ਫਾਰਮੈਟ ਵਿੱਚ ਇੱਕ 1×1-ਪਿਕਸਲ ਪਾਰਦਰਸ਼ੀ ਚਿੱਤਰ
PNG形式で黄色い背景の警告画面	ਪੀਐਨਜੀ ਫਾਰਮੈਟ ਵਿੱਚ ਪੀਲੇ ਪਿਛੋਕੜ ਵਾਲੀ ਇੱਕ ਚੇਤਾਵਨੀ ਸਕ੍ਰੀਨ
意味のないHTMLドキュメント	ਇੱਕ ਬੇਮਤਲਬ HTML ਦਸਤਾਵੇਜ਼
HTML保護時のHEADタグの出力	ਜਦੋਂ HTML ਸੁਰੱਖਿਅਤ ਹੁੰਦਾ ਹੈ ਤਾਂ HEAD ਟੈਗ ਦਾ ਆਉਟਪੁੱਟ
出力しない	ਛਾਪੋ ਨਾ
TITLEタグのみ	ਸਿਰਫ਼ ਟਾਈਟਲ ਟੈਗ
WordpressのHEADタグより取得	WordPress HEAD ਟੈਗ ਤੋਂ ਪ੍ਰਾਪਤ ਕੀਤਾ ਗਿਆ
企業用途の会員専用ページや社内ページなどでは「出力しない」、「TITLEタグのみ」で良いでしょう	ਕਾਰਪੋਰੇਟ-ਉਪਯੋਗ ਲਈ ਸਿਰਫ਼ ਮੈਂਬਰਾਂ ਲਈ ਪੰਨਿਆਂ ਅਤੇ ਅੰਦਰੂਨੀ ਪੰਨਿਆਂ ਲਈ, 'Do not output' ਜਾਂ 'TITLE tag only' ਚੁਣਨਾ ਕਾਫ਼ੀ ਹੋਵੇਗਾ।
WordpressのHEADタグから取得しないと、SNSのシェアでOGP画像が表示されません	ਜੇ ਤੁਸੀਂ WordPress HEAD ਟੈਗ ਤੋਂ ਜਾਣਕਾਰੀ ਨਹੀਂ ਲੈਂਦੇ, ਤਾਂ ਸੋਸ਼ਲ ਮੀਡੀਆ 'ਤੇ ਸਾਂਝਾ ਕਰਨ ਵੇਲੇ OGP ਚਿੱਤਰ ਨਹੀਂ ਦਿਖਾਈ ਦੇਵੇਗਾ।
画像botをアクセス禁止にする	ਚਿੱਤਰ ਬੋਟ ਨੂੰ ਰੋਕੋ
画像botをHTMLに対し避けることにより、画像検索から直接リンクされることによって守れなかったコンテンツを守ることができます、ただし完全には対処することはできません	ਚਿੱਤਰ ਬੋਟਾਂ ਨੂੰ HTML ਤੱਕ ਪਹੁੰਚਣ ਤੋਂ ਰੋਕ ਕੇ, ਤੁਸੀਂ ਉਹ ਸਮੱਗਰੀ ਸੁਰੱਖਿਅਤ ਕਰ ਸਕਦੇ ਹੋ ਜਿਸਨੂੰ ਚਿੱਤਰ ਖੋਜ ਰਾਹੀਂ ਸਿੱਧੀ ਲਿੰਕਿੰਗ ਤੋਂ ਬਚਾਇਆ ਨਹੀਂ ਜਾ ਸਕਦਾ; ਹਾਲਾਂਕਿ, ਇਹ ਪੂਰਾ ਹੱਲ ਨਹੀਂ ਹੈ।
AI学習用botをアクセス禁止にする	AI ਸਿਖਲਾਈ ਬੋਟ ਤੱਕ ਪਹੁੰਚ ਰੋਕੋ
AIの学習用のbotをHTMLに対し避けることにより、AIで利用されないようにします、ただし完全には対処することはできません	HTML 'ਤੇ AI ਸਿਖਲਾਈ ਲਈ ਬਣਾਏ ਗਏ ਬੋਟਾਂ ਦੀ ਵਰਤੋਂ ਤੋਂ ਬਚ ਕੇ, ਅਸੀਂ ਇਹ ਯਕੀਨੀ ਬਣਾਉਂਦੇ ਹਾਂ ਕਿ ਸਮੱਗਰੀ AI ਦੁਆਰਾ ਵਰਤੀ ਨਾ ਜਾਵੇ; ਹਾਲਾਂਕਿ, ਇਸ ਨੂੰ ਪੂਰੀ ਤਰ੍ਹਾਂ ਰੋਕਿਆ ਨਹੀਂ ਜਾ ਸਕਦਾ।
ウェブアーカイブ、ウェブ魚拓をアクセス禁止にする	ਵੈੱਬ ਆਰਕਾਈਵਜ਼ ਅਤੇ ਵੈੱਬ ਸਨੈਪਸ਼ਾਟਾਂ ਤੱਕ ਪਹੁੰਚ ਬਲੌਕ ਕਰੋ
自動的に収集されるウェブアーカイブ並びにユーザーの任意で取得される魚拓のアクセスを禁止します、ただし完全には対処することはできません	ਅਸੀਂ ਆਪਣੇ ਆਪ ਇਕੱਠੇ ਕੀਤੇ ਵੈੱਬ ਆਰਕਾਈਵਜ਼ ਅਤੇ ਉਪਭੋਗਤਾ ਦੀ ਮਰਜ਼ੀ ਨਾਲ ਲਏ ਗਏ ਸਕ੍ਰੀਨਸ਼ਾਟਾਂ ਤੱਕ ਪਹੁੰਚ 'ਤੇ ਪਾਬੰਦੀ ਲਗਾਉਂਦੇ ਹਾਂ; ਹਾਲਾਂਕਿ, ਅਸੀਂ ਇਸਨੂੰ ਪੂਰੀ ਤਰ੍ਹਾਂ ਰੋਕ ਨਹੀਂ ਸਕਦੇ।
無効なUAをアクセス禁止にする	ਗਲਤ ਯੂਜ਼ਰ ਏਜੰਟਾਂ ਨੂੰ ਬਲੌਕ ਕਰੋ
ユーザーエイジェントの文字に不正な文字列があった場合のアクセスを避けます	ਜੇ ਯੂਜ਼ਰ ਏਜੰਟ ਸਟਰਿੰਗ ਵਿੱਚ ਗਲਤ ਅੱਖਰ ਹੋਣ ਤਾਂ ਪਹੁੰਚ ਰੋਕ ਦਿੱਤੀ ਜਾਂਦੀ ਹੈ।
Internet Explorerと旧Microsoft Edge(EdgeHTML)のアクセスに警告を表示する	ਇੰਟਰਨੈੱਟ ਐਕਸਪਲੋਰਰ ਅਤੇ ਪੁਰਾਣੇ ਮਾਈਕ੍ਰੋਸਾਫਟ ਐਜ
Internet Explorerと旧Microsoft Edgeのアクセスを避けます	ਇੰਟਰਨੈੱਟ ਐਕਸਪਲੋਰਰ ਅਤੇ ਪੁਰਾਣੇ ਮਾਈਕ੍ਰੋਸਾਫਟ ਐਜ ਰਾਹੀਂ ਪਹੁੰਚ ਨੂੰ ਰੋਕਦਾ ਹੈ।
alertメッセージを表示する言語	ਉਹ ਭਾਸ਼ਾ ਜਿਸ ਵਿੱਚ ਚੇਤਾਵਨੀ ਸੁਨੇਹੇ ਦਿਖਾਏ ਜਾਂਦੇ ਹਨ।
Wordpressの言語	ਵਰਡਪ੍ਰੈੱਸ ਭਾਸ਼ਾਵਾਂ
ブラウザの設定言語	ਬ੍ਰਾਊਜ਼ਰ ਭਾਸ਼ਾ ਸੈਟਿੰਗਾਂ
メッセージをカスタム設定されている場合は言語を変更できません	ਜੇ ਸੁਨੇਹੇ ਅਨੁਕੂਲਿਤ ਕੀਤੇ ਗਏ ਹਨ ਤਾਂ ਤੁਸੀਂ ਭਾਸ਼ਾ ਨਹੀਂ ਬਦਲ ਸਕਦੇ।
同意画面の言語	ਸਹਿਮਤੀ ਸਕ੍ਰੀਨ ਦੀ ਭਾਸ਼ਾ
view-sourceメッセージを表示する言語	'view-source' ਸੁਨੇਹਾ ਦਿਖਾਉਣ ਲਈ ਭਾਸ਼ਾ
一時使用トークンの有効期限	ਅਸਥਾਈ ਟੋਕਨਾਂ ਦੀ ਮਿਆਦ ਪੁੱਗਣ ਦੀ ਤਾਰੀਖ
3分	3 ਮਿੰਟ
4分	4 ਮਿੰਟ
5分	5 ਮਿੰਟ
6分	ਛੇ ਮਿੰਟ
7分	7 ਮਿੰਟ
8分	8 ਮਿੰਟ
9分	9 ਮਿੰਟ
10分	10 ਮਿੰਟ
15分	ਪੰਦਰਾਂ ਮਿੰਟ
20分	ਵੀਹ ਮਿੰਟ
25分	ਪੱਚੀ ਮਿੰਟ
30分	30 ਮਿੰਟ
35分	ਪੈਂਤੀ ਮਿੰਟ
40分	ਚਾਲੀ ਮਿੰਟ
45分	ਪੈਂਤੀ ਮਿੰਟ
50分	ਪੰਜਾਹ ਮਿੰਟ
55分	ਪੰਜਾਹ-ਪੰਜ ਮਿੰਟ
1時間	ਇੱਕ ਘੰਟਾ
画像URL情報の有効期限を設定します	ਚਿੱਤਰ URL ਜਾਣਕਾਰੀ ਲਈ ਮਿਆਦ ਪੁੱਗਣ ਦੀ ਮਿਤੀ ਨਿਰਧਾਰਤ ਕਰੋ
一度読み込まれると画像URL情報と一時使用トークンは無効化されます	ਇੱਕ ਵਾਰ ਲੋਡ ਹੋਣ 'ਤੇ, ਚਿੱਤਰ ਦਾ URL ਅਤੇ ਅਸਥਾਈ ਟੋਕਨ ਅਵੈਧ ਕਰ ਦਿੱਤੇ ਜਾਣਗੇ।
画像は遅延読み込みされますが、この指定した時間の30秒前に強制的に画像が読み込まれます	ਚਿੱਤਰ ਮੰਗ 'ਤੇ ਲੋਡ ਕੀਤੇ ਜਾਂਦੇ ਹਨ, ਪਰ ਉਹ ਨਿਰਧਾਰਤ ਸਮੇਂ ਤੋਂ 30 ਸਕਿੰਟ ਪਹਿਲਾਂ ਆਪਣੇ ਆਪ ਲੋਡ ਹੋ ਜਾਣਗੇ।
一時使用トークンのビット数	ਇੱਕ ਅਸਥਾਈ ਟੋਕਨ ਵਿੱਚ ਬਿਟਾਂ ਦੀ ਗਿਣਤੀ
画像URL情報を暗号化するのに一時使用トークンをパスワードとして使用しますが、その強度を指定します	ਇੱਕ ਅਸਥਾਈ ਟੋਕਨ ਨੂੰ ਚਿੱਤਰ URL ਜਾਣਕਾਰੀ ਨੂੰ ਇਨਕ੍ਰਿਪਟ ਕਰਨ ਲਈ ਪਾਸਵਰਡ ਵਜੋਂ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ; ਇਹ ਸੈਟਿੰਗ ਇਸਦੀ ਮਜ਼ਬੂਤੀ ਨਿਰਧਾਰਤ ਕਰਦੀ ਹੈ।
ドロップダウンメニューの下に表示される選択肢にいくにつれて強度が強くなるものの、サーバーへの負荷が高くなり、HTML転送量が多くなることがあります	ਹਾਲਾਂਕਿ ਡ੍ਰੌਪ-ਡਾਊਨ ਮੀਨੂ ਹੇਠਾਂ ਦਿਖਾਏ ਗਏ ਵਿਕਲਪ ਵੱਧ ਤੋਂ ਵੱਧ ਵਿਸਥਾਰਪੂਰਕ ਹੋ ਜਾਂਦੇ ਹਨ, ਇਸ ਨਾਲ ਸਰਵਰ 'ਤੇ ਭਾਰੀ ਲੋਡ ਪੈ ਸਕਦਾ ਹੈ ਅਤੇ ਵੱਡੀ ਮਾਤਰਾ ਵਿੱਚ HTML ਡਾਟਾ ਟ੍ਰਾਂਸਫਰ ਹੋ ਸਕਦਾ ਹੈ।
ハッシュ化アルゴリズム	ਹੈਸ਼ ਐਲਗੋਰਿਦਮ
