設定	Aconfiguracions
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Iste complemento incluye musica d'o chuego no oficial ta Super Famicom 'SM Trainer Hitomi 3', desembolicau por EJ Co., Ltd. y composada por o creyador d'iste complemento, y ye con licencia oficial.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Iste complemento incluye pistas creyadas fendo servir 'Keppy's YAMAHA C7', desembolicato por Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	Tamién he feito servir una Raspberry Pi 5, ChatGPT y DeepL en o desembolique d'este complemento.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	S'ha detectau un plugin de caché. Iste plugin no funcionará correctament si un plugin de caché ye activau.
無効なIPアドレス	Adreza IP invalida
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Pa fer servir iste sitio web, ha d'activar as cookies y o JavaScript.
利用規約	Condicions d'uso
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Pa privar l'uso no autorizau y asegurar o funcionamiento seguro d'os nuestros servicios, iste sitio web puede almagazenar información como adrezas IP, historial de navegación y rechistros d'actividat en cookies y bases de datos. Ista información s'usa exclusivament pa o funcionamiento d'o sitio web y pa fins legals, y no se revelará a tercers.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Pa fer servir iste servicio, ha de consentir istas actividaz de tractamiento.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Puede veyer o conteniu d'a Politica de privacidat independientment de si ha dau o suyo consentimiento.
同意する	Soi d'alcuerdo
同意しない	No soi d'alcuerdo
確認	Confirmación
プライバシーポリシー	Politica de privacidat
通常とは異なる方法でのアクセスや操作が検出されました	S'ha detectau un acceso u actividat inusual.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	Ciertas caracteristicas s'han restrinchiu por razons de seguridat y protección d'o conteniu.
デバッグモード、コンソールの起動は禁止されています	O modo de depuración y l'acceso a la consola son desactivaus.
以下の情報がサーバーに送信されました	A siguient información s'ha ninviau a o servidor.
あなたのIPアドレス	A tuya adreza IP
あなたの端末とブラウザ	O tuyo dispositivo y navegador
あなたの押下したキー	A tecla que pretés
リダイレクトをします	Se le redirichirá
コンテンツ保護のため一部の機能を制限しています	Ciertas caracteristicas s'han restrinchiu pa protecher o conteniu.
右クリックは禁止されています	No se permite fer clic dreito.
あなたが押下したキー	A tecla que pretés
印刷、PDFへの保存は禁止されています	A impresión y l'almagazenache como PDF son viedaus.
スクリーンショットは禁止されています	As capturas de pantalla son viedadas.
スクリーンショット、デバッグモード等の起動は禁止されています	Prener capturas de pantalla y activar o modo de depuración ye viedau.
ページの保存は禁止されています	Alzar ista pachina ye viedau
コピー、カットは禁止されています	A copia y o retalle son viedaus.
あなたが起こしたイベント	Eventos que has organizau
テキストの選択は禁止されています	No se permite seleccionar texto.
HTMLソース表示は禁止されています	Ye viedau amostrar o codigo fuent d'HTML.
不正アクセスは禁止されています	L'acceso no autorizau ye viedau
アラビア語	Arabe
ブルガリア語	Búlgaro
チェコ語	Tcheco
デンマーク語	Danés
ドイツ語	Alemán
現代ギリシア語	Griego moderno
英語	Anglés
イギリス英語	Britanico
アメリカ英語	Anglés americano
スペイン語	Espanyol
エストニア語	Estonio
フィンランド語	Finés
フランス語	Francés
ハンガリー語	Húngaro
インドネシア語	Indonesio
イタリア語	Italiano
日本語	Chaponés
朝鮮語	Coren
リトアニア語	Lituano
ラトビア語	Letón
ノルウェー語	Noruego
オランダ語	Holandés
ポーランド語	Polsaco
ポルトガリア語	Portugués
ブラジルポルトガル語	Portugués brasilero
ヨーロピアンポルトガル語	Portugués europeu
ルーマニア語	Romanés
ロシア語	Ruso
スロバキア語	Eslovaco
スロベニア語	Esloveno
スウェーデン語	Sueco
トルコ語	Turco
ウクライナ語	Ucraínico
中国語	Chinés
簡体中国語	Chinés simplificau
繁体中国語	Chinés tradicional
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	O navegador que ye fendo servir actualment ye una versión antiga que ya no ye compatible. Pa asegurar una experiencia de navegación más segura y comoda, por favor, actualice a la zaguera versión d'o suyo navegador.
不正なリクエストです	Solicitut invalida
画像が見つかりません	Imachen no trobada
アフリカーンス語	Afrikaans
アラゴン語	Aragonés
アッサム語	Asamés
アゼルバイジャン語	Azerbaiyan
バシュキール語	Bashkir
ベラルーシ語	Belarruso
ベンガル語	Bengalí
ボスニア語	Bosnio
カタロニア語	Catalán
ウェールズ語	Gales
エスペラント語	Esperanto
バスク語	Vasco
ペルシャ語	Persa
アイルランド語	Irlandés
ガリシア語	Gallego
グァラニ語	Guaraní
グジャラート語	Gujarati
ハウサ語	Hausa
ヘブライ語	Hebreu
ヒンディ語	Hindi
クロアチア語	Croata
ハイチ・クレオール語	Creole Haitiano
イボ語	Lengua ibo
アイスランド語	Islandés
ジャワ語	Chavanés
カザフ語	Kazajo
クルド語	Curdí
キルギス語	Qirguís
ラテン語	Latin
ルクセンブルク語	Luxemburgués
リンガラ語	Lengua
マダガスカル語	Malagui
マオリ語	Maorí
マケドニア語	Macedonio
マラヤーラム語	Malaialam
モンゴル語	Mongol
マラーティー語	Maratí
マレー語	Malayo
マルタ語	Maltés
ビルマ語	Birmano
ネパール語	Nepalés
オック語	Ocitan
オロモ語	Uruu
パンジャーブ語	Punxabi
パシュトー語	Pashto
ケチュア語	Quechua
サンスクリット語	Sánscrito
セルビア語	Serbio
南セソト語	Sesotho d'o Sud
スンダ語	Sundaes
スワヒリ語	Suaheli
タミル語	Tamil
テルグ語	Telecinco
タジク語	Tachico
タイ語	Tailandés
トルクメン語	Turco
タガログ語	Tagalog
タタール語	Tatar
ウルドゥー語	Urdu
ウズベク語	Uzbeco
ベトナム語	Vietnamita
コサ語	Pelo
イディッシュ語	Yidish
ズールー語	Zulu
